"","Combined"
"89","NCT00168064_A Phase II Pivotal Trial to Evaluate the Safety and Efficacy of Nitrogen Mustard (NM) 0.02% Ointment Formulations in Patients With Stage I or IIA Mycosis Fungoides (MF)_This study will evaluate the efficacy, tolerability and safety of the topical application of mechlorethamine (MCH) formulations in patients with stage I or IIA mycosis fungoides (MF)._All_N/A_N/A_Inclusion Criteria:~Patients with mycosis fungoides confirmed by a skin biopsy~Stage I or IIA patients must have been treated previously with prior topical therapies including PUVA, UVB, topical steroids, but not NM within the past 2 years, or topical carmustine (BCNU)~Patients must be otherwise healthy with acceptable organ function.~Prior to initiating study therapy, patients must not have had topical therapy within four weeks~Lab values within normal range~Willing/able to give consent~Must use effective means of contraception if of childbearing potential~Exclusion Criteria:~Newly diagnosed mycosis fungoides with no prior therapy~A prior history of treatment with topical NM within the past 2 years or topical carmustine (BCNU)~Use of topical or systemic therapies for MF within four (4) weeks of entry in the study~Patients with a diagnosis of stage IIB-IV MF~Serious known concurrent medical illness or infection, which could potentially present a safety risk and/or prevent compliance with the requirements of the treatment program~Pregnant or nursing females, or males and females of childbearing potential, not using an effective means of contraception~Patients who have had radiation therapy within one year of study start~Patients who have a history of a higher T score than T2 or a higher N score than N1~Patients who do not agree to do all labs at one site"
"90","NCT02657408_A Randomized, Double-blind, Placebo-controlled, Parallel Group, Phase I Trial in Healthy Male Current Smoker Subjects to Assess Pharmacodynamic Effects on Segmental Endotoxin Induced Inflammatory Response and Safety of 4 Weeks Oral Administration of BI 1026706_The primary and secondary objectives of the current study are the assessments of anti-inflammatory pharmacodynamic effects on segmental endotoxin induced inflammatory response after 4 weeks treatment with BI 1026706._All_N/A_N/A_Inclusion criteria:~Signed informed consent consistent with ICH-Good Clinical Practice (GCP) guidelines and local legislation prior to participation in the trial.~Healthy volunteers of both sex between 18 and 65 years (inclusive) of age, on the day of subject's signature of informed consent.~Healthy subjects as assessed by the investigator, based on a screening examination including medical history, physical examination, vital signs (blood pressure, pulse rate, body temperature), 12-lead ECG, lung function and clinical laboratory results.~Forced expiratory volume (FEV1) of >80% and FEV1/Forced vital capacity(fFVC) of >70% of the predicted normal value at screening~Current smokers with a smoking history of at least 1 pack year and with at least 1 cigarette per day in the previous year~BMI (Body mass index) range: >18.5 and < 29.9kg/m2.~Negative urine drug screening.~Negative breath alcohol test.~Negative skin prick test (performed within the 12 months prior to study start or at study start)~Females NOT of childbearing potential are defined as: Women who are postmenopausal (12 months with no menses without an alternative medical cause; in questionable cases a blood sample with simultaneous levels of FSH above 40 U/L and estradiol below 30 ng/L is confirmatory) or who are permanently sterilized (defined as hysterectomy, bilateral oophorectomy or bilateral salpingectomy).~Further inclusion criteria apply~Exclusion criteria:~History of any relevant lung disease (i.e. Chronic Obstructive Pulmonary Disease (COPD), asthma, chronic bronchitis, pulmonary fibrosis, pulmonary alveolar proteinosis (PAP), pneumocystis infection, active tuberculosis, silicosis or any other lung surfactant overproduction syndromes).~Subjects with clinically relevant abnormal hematology, blood chemistry, or urinalysis at the screening visit~Any finding of the medical examination (including blood pressure, pulse rate, body temperature and ECG) deviating from normal and of clinical relevance.~Subjects with a history of any clinically significant cardiovascular, metabolic, renal (including renal stones), hepatic, gastrointestinal, hematological, dermatological, venereal, neurological, psychiatric or other major disorders.~Subjects with a malignancy for which the subject has undergone resection, radiation therapy or chemotherapy within the last five years. Subjects with treated basal cell carcinoma or fully cured squamous cell carcinoma are allowed to participate.~Subjects with previous surgery of the gastro-intestinal tract likely to affect drug absorption.~History of relevant orthostatic hypotension, fainting spells or blackouts.~Subjects with clinically relevant infection or known ongoing clinically relevant inflammatory process.~History of relevant allergy/hypersensitivity including allergy to drug or its excipients or medications in line with bronchoscopy (bronchodilators, sedatives and local anesthetics).~Subjects with a marked baseline prolongation of QT/QTcB interval (such as repeated demonstration of a QTcB interval >450 ms), or any other relevant ECG finding at screening visit (Visit 1) according to the investigator.~Neutrophil blood count indicative of immunosuppression according to the investigator at screening visit (Visit 1).~Subjects with previous surgeries that may have left ferromagnetic material in the body, ferromagnetic implants or pacemakers.~Participation in another study with any investigational product within 2 months prior to screening or if screening occurs within 6 half-lives of intake of another investigational drug (whichever is greater).~Male subjects who do not agree to minimize the risk of female partners becoming pregnant from the first dosing day until 3 months after the trial medication treatment has finished.~Subjects who are committed to an institution by way of official or juridical order will not be enrolled in the trial.~Receipt of live (attenuated) vaccine within the 4 weeks prior to screening or during the trial.~Subject is assessed as unsuitable for inclusion by the investigator; for instance, because he is not considered able to understand and comply with study requirements or has a condition that would not allow safe participation in the study.~For female subjects:~Positive pregnancy test at screening Visit 1, pregnancy or plans to become pregnant within 30 days after study completion~Lactation~Further exclusion criteria apply"
"91","NCT01231490_A Double Blind, Randomised, Placebo Controlled Methodological Cross-over Study to Investigate the Senstivity of a Novel Study Design and Endpoints to Treatment Effects of Naproxen in Osteoarthritis_This is a methodological study designed to investigate a new model for testing pain agents in the treatment of patients with osteoarthritis (OA). This will be a double-blind, randomised, placebo controlled three-way cross-over study in patients with OA of the knee._All_N/A_N/A_Inclusion Criteria:~A diagnosis of OA of the knee and suitable for the study as determined by a responsible physician, based on a medical evaluation including medical history, physical examination, laboratory tests and cardiac monitoring. A subject with a clinical abnormality or laboratory parameters outside the reference range for the population being studied may be included only if the Investigator and the GSK Medical Monitor agree that the finding is unlikely to introduce additional risk factors and will not interfere with the study procedures.~Male or female between 50 to 75 years of age inclusive.~A female subject is eligible to participate if she is of non-childbearing potential defined as:~Non-childbearing potential defined as pre-menopausal females with a documented tubal ligation or hysterectomy; or postmenopausal defined as 12 months of spontaneous amenorrhea [in questionable cases a blood sample with simultaneous follicle stimulating hormone (FSH) > 40 MlU/ml and estradiol < 40 pg/ml (<140 pmol/L) is confirmatory].~Females with menopausal status ( > 12 months of spontaneous amenorrhea) and receiving hormone replacement therapy (HRT) treatment for more than 3 months.~BMI within the range 15-35 kg/m2 (inclusive).~Capable of giving written informed consent, which includes compliance with the requirements and restrictions listed in the consent form.~QTcB or QTcF < 450 msec; or QTc < 480 msec in subjects with Bundle Branch Block.~Diagnosis~Have a radiological and clinical diagnosis of OA based upon Arthritis Research Council (ACR) (Appendix 3) criteria affecting at least one knee of a minimum of 3 months in symptom duration prior to screening. An X-ray will be performed at screening if required.~Have symptomatic OA of at least one knee. The symptoms should be significantly worse in one knee than the other if OA affects both knees.~When questioned, confirm they experience moderate pain when climbing stairs.~Be able to walk unaided or with the aid of one stick (2 sticks not allowed)~A minimum of 4 out 10 on the NRS (numerical rating scales) at screening and/ or a requirement for the use of an analgesic for the pain in the OA knee for most days during the previous three months. In addition, baseline pain must be stable for at least 72 hours prior to day 1 based on patient's assessment or day 1 may be delayed.~A maximum of 8 out of 10 on the NRS at screening. Enrollement may be delayed if, in the opinion of the investigator, the severity of pain represents an isolated incident.~In good general health with (in the opinion of the investigator) no clinically significant and relevant abnormalities of medical history or physical examination and suitable for treatment with both naproxen and paracetamol.~Exclusion Criteria:~General~The subject has a positive pre-study drug/alcohol screen. A minimum list of drugs that will be screened for include amphetamines, barbiturates, cocaine, opiates, cannabinoids and benzodiazepines. However, a positive drug screen will not automatically exclude a subject if there is a valid explanation for the positive result other than drug abuse e.g. poppy seeds.~History of regular alcohol consumption within 6 months of the study defined as:~• An average weekly intake of greater than 21 units or an average daily intake of greater than 3 units (males), or defined as an average weekly intake of greater than 14 units or an average daily intake of greater than 2 units (females). One unit is equivalent to a half-pint (220mL) of beer or 1 (25ml) measure of spirits or 1 glass (125ml) of wine.~Intolerance of paracetamol or not response to Non Steriodal Anti Inflammatory Drugs (NSAID) therapy.~The subject has participated in a clinical trial and has received an investigational product within the following time period prior to the first dosing day in the current study: 30 days, 5 half-lives or twice the duration of the biological effect of the investigational product (whichever is longer).~Exposure to more than four new chemical entities within 12 months prior to the first dosing day.~Use of anticoagulants (warfarin, heparin) or anti-platelet aggregation agents (excluding low-dose aspirin) or a condition associated with decreased haemostasis.~Use of prescription or non-prescription drugs within 7 days (or 14 days if the drug is a potential enzyme inducer) or 5 half-lives (whichever is longer) prior to the first dose of study medication, unless in the opinion of the Investigator and GSK Medical Monitor the medication will not interfere with the study procedures or compromise subject safety. Please also see OA exclusion criteria 10.~Subject with a known allergy to or judged by the investigator not to be a suitable candidate for naproxen or paracetamol therapy based on medical history, concomitant medications, and concurrent systemic disease as described in the product labelling~History or presence of gastro-intestinal, hepatic or renal disease or other condition known to interfere with the absorption, distribution, metabolism or excretion of drugs. In particular dyspepsia, peptic ulceration, gastrointestinal bleeding, ulcerative colitis or Crohn´s disease~Presence of anaemia.~Subjects who have asthma, have received anti-asthmatic medication within the last 5 years, have a history of NSAID-sensitive asthma or who have ever required hospital admission due to asthma.~Presence of cardiac heart failure NYHA > 1.~Presence of hypertension (BP systolic > 150 mmHg, diastolic > 90 mmHg) not adequately controlled by antihypertensive treatment.~History of sensitivity to any of the study medications, or components thereof or a history of drug or other allergy that, in the opinion of the investigator or GSK Medical Monitor, contraindicates their participation.~Unwillingness or inability to follow the procedures outlined in the protocol including being able to undertake the walking as defined in the protocol.~Inability or unwillingness to comply with study restrictions.~Exclusion criteria related to OA~Secondary causes of arthritis of the knee including septic arthritis, inflammatory joint disease, articular fracture, major dysplasias or congenital abnormality, ochronosis, acromegaly, hemochromatosis, Wilson's disease, and primary osteochondromatosis.~Had lower extremity surgery (including arthroscopy) within 6 months prior to screening or scheduled for surgery of any kind during the study period~Significant prior injury to the index knee within 12 months prior to screening.~Disease of the spine or other lower extremity joints of sufficient degree to affect the index knee.~Any other musculoskeletal or arthritic condition that may affect the interpretation of clinical efficacy and/or safety data or otherwise contraindicates participation in this clinical study (i.e., currently symptomatic fractures or any concurrent rheumatic disease such as but not limited to fibromyalgia, rheumatoid arthritis, and Reiter's syndrome are excluded).~Corticosteroid use prior to baseline as follows:~Intra-articular injection of steroids to the index knee within the previous 3 months~Intra-articular steroid injections into any site other than the index knee within the previous 1 month~Intra-muscular corticosteroid injections within the previous 3 months~Oral corticosteroids within the previous 1 month~Received hyaluronan injections into index knee within the previous six months prior to baseline.~Initiation of or change to an established physiotherapy program within 2 weeks prior to baseline or during the study period. An established physiotherapy program may be continued throughout the study period if unchanged in frequency and intensity.~Recent start or change in dose regimen ( 3 months prior to baseline) of any OA specific therapies (i.e., nutraceutical products) including but not limited to chondroitin or keratin sulfate, s-adenosyl methionine (SAMe) and glucosamine preparations.~Use of opioid analgesics other than codeine containing preparations."
"92","NCT01994330_Severe Aortic Stenosis and Acquired Von Willebrand´s Disease: The Impact of Desmopressin in Valve-Replacement Surgery_Acquired Von Willebrand disease (type 2A) has been described in patients with severe aortic stenosis, the association of aortic stenosis and Digestive bleeding due to this phenomena has received the name of Heye´s syndrome.~We propose that administering Desmopressin (DDAVP) in patients scheduled to aortic valve replacement surgery will reduce blood loss and transfusion rate.~this was a pilot study_All_N/A_N/A_Inclusion Criteria:~severe aortic stenosis defined as mean transvalvular gradient greater or equal to 40 mmHg ot transvalvular area less than 1 cm2~scheduled for aortic valve replacement surgery~Exclusion Criteria:~combined surgery (plus coronary artery bypass graft or other valve replacement/plasty)~Infective Endocarditis~previously known haemostatic disorder~previous treatment with oral anticoagulants or IIb-IIIa inhibitors (we did not exclude those on acetyl-salicylic acid)"
"93","NCT01258322_Twelve Weeks of Pioglitazone Therapy Significantly Attenuates Dysmetabolism and Reduces Inflammation in Prevalent Peritoneal Dialysis Patients. A Randomized, Cross-over Trial._Background:Cardiovascular disease (CVD) is the major cause of mortality in peritoneal dialysis (PD) patients, in whom it is partly attributable to a higher prevalence of dysmetabolism. Currently, few treatments are available with a proven effect on dyslipidemia, insulin resistance and inflammation in this patient group.~Study design: Randomized, cross-over trial.~Settings and Participants: Prevalent PD patients (>20 years old, s-triglycerides >1.8 mmol/L) who had never received glitazones were enrolled.~Interventions: Participants were randomized to receive either oral pioglitazone (PIO; 15 mg once daily) and no pioglitazone, both for 12 weeks and in random order, with a four-week wash out in between.~Outcomes and measurements: The primary endpoint was change of serum triglyceride (TG) level during the PIO as compared to no PIO. Secondary endpoints included changes in other lipid levels, HOMA-IR, adipocytokines and CRP. Outcome effects were assessed using a GLM._All_N/A_N/A_Inclusion Criteria:~All patients received more than one month regular continuous ambulatory peritoneal dialysis(CAPD) or intermittent peritoneal dialysis(IPD). The causes of chronic renal failure were diabetes and non-diabetes.-~Exclusion Criteria:~history of allergy to thiazolidinediones and fenofibrate; history of any sever adverse event for fibrate that can't be tolerated by the patients; patient can not be follow-up regularly; history of myocardial infarction(MI) or coronary artery bypass graft (CABG) surgery within the past 1 month, history of cerebral vascular accident (CVA) or percutaneous transluminal coronary angioplasty(PTCA) within the past 6 months; chronic use of non-steroidal anti-inflammatory drugs(NSAIDs), steroids or immunosuppressives; patient with the acute infection; patient with malignant tumor; have the evidence of severe hepatic injury (ALT/AST>100u/L).-"
"94","NCT02893423_The Dose Dependent Effect of Ropivacaine Transversus Abdominis Plane Blocks on Postoperative Analgesia After Cesarean Section_With this research the investigators hope to determine the lowest dose of ropivacaine used in transversus abdominis plane (TAP) blocks that can effectively treat pain in women after cesarean section (c-section)._Female_N/A_N/A_Inclusion Criteria:~Pregnant patients undergoing elective c-section~Exclusion criteria:~Allergy to local anesthetics~Contraindication to tap blocks"
"95","NCT03387579_Comparison of Composite Lipid Emulsion Containing Fish Oil to Soy-based Lipid Reduction for Cholestasis Prevention in Neonates Requiring Abdominal Surgery_Intestinal failure associated liver disease is a cholestatic liver disease associated with prolonged need for parenteral nutrition that can lead to such significant complications as liver failure. In the neonatal population, infants with history of intestinal resection and short bowel syndrome are at increased risk for this disease. The investigators plan to compare two possible lipid dosing preventative strategies including a composite, fish oil lipid and soy-based lipid reduction._All_N/A_N/A_Inclusion Criteria: Neonates with anticipated need for parenteral nutrition (based on primary physicians opinion) for greater than or equal to four weeks and one of the following diagnoses:~Anatomic: Neonate with intestinal atresia, omphalocele, gastroschisis, or volvulus with or without intestinal resection.~Ischemic/perforation: Neonates with spontaneous intestinal perforation or necrotizing enterocolitis requiring surgical intervention.~Exclusion Criteria:~Current weight less than 750 grams~AST or ALT greater than 5 times the upper limit of normal within 2 weeks of enrollment~Direct bilirubin greater than 2 mg/dL on any consecutive measurements 5 - 7 days apart within 2 weeks of enrollment~Severe coagulopathy with INR greater than 95th percentile for age (>1.7 at less than 5 days of age, > 1.5 older than five days of age)~Culture confirmed sepsis with positive blood, urine, or CSF culture within 2 weeks of enrollment~Renal failure requiring dialysis~Cyanotic heart disease requiring prostaglandin therapy~Hypertriglyceridemia (greater than 250mg/dL) at time of enrollment"
"96","NCT03265132_A Randomized, Double-blind, Placebo-controlled, Multicenter, Phase 3 Efficacy and Safety Study of 2 Dose Levels of Subcutaneous Anakinra (Kineret®) in Patients With Still's Disease (SJIA and AOSD)_The aim of this study is to demonstrate the efficacy and to evaluate the safety, pharmacokinetics (PK) and immunogenicity of anakinra in patients with newly diagnosed Still's disease, including SJIA (Systemic juvenile idiopathic arthritis) and AOSD (Adult-onset Still's disease)._All_N/A_N/A_Inclusion Criteria:~Signed informed consent.~Male and female patients with a body weight ≥ 10 kg.~Diagnosis of Still's disease.~If currently on glucocorticoid treatment, a stable dose for at least 1 week prior to randomization.~If currently on methotrexate treatment, a stable dose for at least 8 weeks prior to randomization.~Active disease.~Female patients of childbearing potential must use an effective method of contraception during the study (abstinence being a possible option) as well as present a negative pregnancy test prior to randomization.~Negative interferon-gamma release assay or Purified protein derivative ( PPD) test within 2 months prior to randomization. If not available, a test should be performed at day of randomization.~Exclusion Criteria:~Diagnosis of Still's disease more than 6 months prior to randomization.~Previous randomization into this study.~Participation in another concurrent clinical interventional study within 30 days of randomization.~Treatment with an investigational drug within 5 half-lives prior to randomization.~Previous or current treatment with anakinra, canakinumab or any other IL-1 inhibitor.~Use of the following therapies prior to randomization:~Narcotic analgesics within 24 hours prior to randomization.~Dapsone or etanercept within 3 weeks prior to randomization.~Intraarticular, intramuscular or intravenous administration of glucocorticoids or intravenous immunoglobulin (Ig) within 4 weeks prior to randomization.~Intravenous Ig with proven Still's disease modifying effect, leflunomide, infliximab or adalimumab within 8 weeks prior to randomization.~Thalidomide, cyclosporine, mycophenolate mofetil, 6-mercaptopurine, azathioprine, cyclophosphamide, chlorambucil or any other immunosuppressant within 12 weeks prior to randomization.~Tocilizumab within 12 weeks prior to randomization or any other immunomodulatory medication within 4 half-lives prior to randomization~Rituximab within 26 weeks prior to randomization.~Live vaccines within 1 month prior to randomization.~Known presence or suspicion of active, chronic or recurrent bacterial, fungal or viral infections, including tuberculosis, HIV infection or hepatitis B or C infection.~Clinical evidence of liver disease or liver injury.~Presence of severe renal function impairment.~Presence of neutropenia.~Presence or suspicion of MAS at baseline.~A diagnosis of MAS within the last 2 months prior to randomization.~History of malignancy within 5 years.~Known hypersensitivity to E coli-derived proteins, or any components of Kineret® (anakinra).~Pregnant or lactating women.~Foreseeable inability to cooperate with given instructions or study procedures.~Presence of any medical or psychological condition or laboratory result that in the opinion of the investigator can interfere with the patient's ability to comply with the protocol requirements or makes the patient not appropriate for inclusion to the study and treatment with IMP."
"97","NCT01052480_A Randomized, Open-Label, Phase 2, Multicenter Safety and Exploratory Efficacy Study of Investigational Anti-Influenza Immune Plasma for the Treatment of Influenza (IRC002)_This randomized, open-label, multicenter phase 2 trial will assess the safety, efficacy, and pharmacokinetics (PK) of anti-influenza plasma in subjects with influenza A or B. Hospitalized subjects with influenza A or B that have either a low oxygen level or a high respiratory rate will be eligible for study participation. This study will enroll adults, children and pregnant women._All_N/A_N/A_Inclusion Criteria:~Diagnosis of influenza A or B within 72 hours prior to enrollment (by local assay including rapid antigen, direct fluorescent antibody (DFA), polymerase chain reaction (PCR), or culture, and must be able to detect and distinguish influenza A from influenza B)~Hospitalization for signs and symptoms of influenza (decision for hospitalization will be up to the individual treating clinician).~Abnormal respiratory status, defined as room air saturation of oxygen (SaO2) less than 93% or tachypnea (respiratory rate above an age adjusted normal range)~Agree to the storage of specimens and data~ABO compatible plasma available on site or available within 24 hours after randomization with activity against locally circulating strains of influenza~Exclusion Criteria:~Receipt of non-licensed treatment for influenza within the last 2 weeks (or plans to receive any time during the study). This does not include licensed drugs at non approved doses, off-label indications, or drugs available under an Emergency Use Authorization (EUA).~History of severe allergic reaction to blood products (as judged by the investigator).~Medical conditions for which receipt of 500 mL volume (or 8 mL/kg for pediatric patients) may be dangerous to the subject (e.g. decompensated congestive heart failure [CHF], etc.)~Clinical suspicion that etiology of acute illness is primarily due to a condition other than active influenza virus replication (e.g., a bacterial or fungal infection)"
"98","NCT04567420_A Randomized Phase II Trial Of Circulating Tumor DNA-Guided Second Line Adjuvant Therapy For High Residual Risk, Stage II-III, Hormone Receptor Positive, HER2 Negative Breast Cancer_A randomized, Phase II trial of circulating tumor DNA-guided second line Adjuvant therapy for high Residual risk, stage II-III, Estrogen Receptor positive, HER-2 negative breast cancer (DARE)_All_N/A_N/A_Inclusion Criteria:~- 4.1.1. Stage II or III, HER2 negative, ER positive invasive breast cancer in male or female patients. For this study, ER positivity is defined as equal to or greater than 10% ER positivity by immunohistochemistry, regardless of progesterone receptor (PR) status. Patients with PR positive but ER negative cancer are not eligible. HER2 negative status is defined as per the ASCO/CAP 2018 practice guidelines.~(i) if patients have synchronous bilateral ER+ breast cancer tissue from both sites should be submitted to Natera to perform ctDNA testing.~(ii) patients with multifocal/multicentric tumors are eligible and the largest focus of cancer should be submitted for testing. All tumors must meet pathological criteria for HER2-and ER+ status.~(iii) For. patients who received neoadjuvant therapy and have discordant ER and HER2 results between the diagnostic biopsy (pre-treatment) and surgical pathology (post neoadjuvant therapy), the ER+ and HER2- status of the post-treatment specimen determine eligibility.~4.1.2. Currently taking an aromatase inhibitor, or tamoxifen, as adjuvant endocrine therapy and have completed at least 6 months (i.e. 24 weeks), but no more than 7 years with 3 more years planned, of endocrine therapy. Patients may register for the screening phase of the study within the first 6 months of adjuvant endocrine therapy but the first ctDNA testing must occur at, or after, 6 months of endocrine therapy.~(i) Adjuvant bisphosphonate therapy is allowed. (ii) LHRH analogues are required for premenopausal patients randomized to receive fulvestrant.~4.1.3. Clinical and pathological high risk for recurrence defined as any one of the following: (i) At least a 15% predicted risk of death within 10 years using ePREDICT V2.1 (https://breast.predict.nhs.uk/tool), or (ii) At least 15% or greater risk of distant metastasis within 10 years using RSPC, (https://tools.genomichealth.com/Tools/RSPCTool.aspx), or (iii) At least 15% or greater risk of distant metastasis within 10 years CTS5 (https://www.cts5-calculator.com) for patients who have completed a minimum of 4 years of adjuvant endocrine therapy, or (iv) Tumor size > 5 cm, regardless of lymph node status, or (v) 1-3 involved axillary lymph nodes and at least one of the following;~Tumor size > 3 cm,~High histological grade (e.g. grade 3).~High genomic risk defined as Oncotype Dx Recurrence Score >26, EndoPredict score >4, Prosigna risk of recurrence score ≥ 60, or Mammaprint high risk.~(vi) Patients who have received pre-operative (neoadjuvant) chemotherapy must have either:~greater than or equal to 3 cm invasive residual cancer regardless of nodal status AND grade 3 disease or RS>26/MammPrint High/Prosigna high/Endopredict high status, or~greater than or equal to 1 cm invasive residual cancer (ypT1c) and at least 1 positive lymph node (ypN+) AND grade 3 disease, or RS>26, or MammPrint High, or Endopredict high or Prosigna high status.~4.1.4. Patients must have FFPE tissue from the primary tumor available for submission to Natera to perform ctDNA assay (see Appendix B for tissue submission instructions).~4.1.5. Signed and dated informed consent, including willingness to be randomized to standard of care versus fulvestrant + palbociclib.~4.2 Inclusion and exclusion criteria for treatment randomization~Inclusion criteria for randomization~4.2.1. ctDNA positivity by the Signatera assay, defined as 2 of the 16 cancer specific markers positive in plasma.~4.2.2. Patients with positive Signatera results obtained in the context of commercial testing, outside of the screening phase of this trial, are also eligible for randomization if they meet other eligibility criteria.~4.2.3. No evidence of metastatic disease on CT scan of the chest, abdomen and pelvis.~If imaging, after review with a radiologist, is low probability for metastatic disease, patients may proceed to randomization.~Patients with suspicious but inconclusive imaging results should undergo a diagnostic biopsy, if biopsy is negative patients are eligible for randomization.~Patients with positive imaging that is conclusive of metastatic disease, or with biopsy proven metastatic disease, are not eligible for randomization.~4.2.4. Pre-menopausal women and male patients must be willing to use an adequate method of contraception for the duration of trial treatment and for 4 additional weeks after completion of treatment in the control arm, and for 2 years after the last dose of fulvestrant, if randomized into the experimental arm.~Post-menopausal status is defined as:~Documented bilateral oophorectomy.~Age ≥ 60 years.~Age < 60 years and amenorrhoeic for ≥ 12 consecutive months and FSH and estradiol levels in the post-menopausal range according to the institutional reference range for post-menopausal.~Adequate contraception is defined as ONE highly effective form (i.e. abstinence, surgical sterilization through bilateral tubal ligation, vasectomy), or TWO effective forms (e.g. non-hormonal IUD and condom / occlusive cap with spermicidal foam / gel / film / cream / suppository).~- Abstinence is to be interpreted as true abstinence for heterosexual intercourse and therefore, periodic abstinence (e.g. calendar, symptothermal, post-ovulation methods) and withdrawal (coitus interruptus) are not considered highly effective.~Exclusion Criteria~4.1.5. Prior or current treatment with fulvestrant, or current treatment with a CDK4/6 inhibitor, or treatment in the prior 12 months, or participants in the PENELOPE and PALLAS clinical trials.~4.1.6. Patients cannot start participation in another therapeutic clinical trial for breast cancer after enrollment in this trial.~4.1.7. Patients with current or past invasive cancer, other than breast cancer are not eligible, except:~Adequately treated basal or squamous cell carcinoma of the skin are eligible.~Cancer survivors of previously diagnosed invasive cancer, who were treated with a curative intent, have no evidence of disease recurrence for 5 years or more, and are considered low risk for future recurrence by the treating physician are also eligible.~4.1.8. Patients with a second HER2 positive or triple negative synchronous breast cancer are not eligible.~Exclusion criteria for randomization~4.2.5. Patients with known contraindications to receive fulvestrant and palbociclib or those who are unable to tolerate these drugs are not eligible.~Absolute neutrophil count less than <1000/mm3;~4.2.6. Any concurrent severe and uncontrolled medical condition that would, in the Investigator' opinion cause unacceptable safety risks or compromise compliance with the protocol including but not limited to:~Impairment of gastrointestinal (GI) function or GI disease that may significantly alter the absorption of oral medication (e.g. Crohn's disease, ulcerative diseases, uncontrolled chronic nausea, vomiting, diarrhea, malabsorption syndrome, or small bowel resection).~History of pneumonitis, interstitial lung disease or pulmonary fibrosis.~Known history of Human Immunodeficiency Virus (HIV) (testing is not mandatory).~Known active Hepatitis B or Hepatitis C (testing is not mandatory).~Females who are pregnant or breastfeeding.~History of bleeding diathesis (i.e. disseminated intravascular coagulation, clotting factor deficiency) that preclude the IM injections of fulvestrant or LHRH agonist as applicable.~4.2.7 Patients taking any CYPC3A4 strong inducers and inhibitors, that cannot be changed."
"99","NCT02601157_Harmonizing Optimal Strategy for Treatment of Coronary Artery Stenosis - Coronary Intervention With Next Generation Drug-Eluting Stent Platforms and Abbreviated Dual Antiplatelet Therapy (HOST-IDEA) Trial_We had little experience in coronary intervention with recently introduced newer drug-eluting stent (DES) platforms, despite great anticipation, and optimal duration of dual antiplatelet therapy (DAPT) for these stent systems still needs to be established.~Herein, we plan the HOST-coronary intervention with next-generation drug-eluting stent platforms and abbreviated dual antiplatelet therapy (HOST-IDEA) trial to compare single antiplatelet therapy (SAPT) after 3-month DAPT with 12-month DAPT in all-comers undergoing coronary intervention with third-generation DES with the thinnest struts.~P2Y12 inhibitor treatment is added to aspirin during the 3-months period after the stenting, and this abbreviated duration of DAPT will be compared with conventional 1-year mandatory DAPT regimen in a 1:1 randomized stratification.~Net adverse clinical events (NACEs), a composite of cardiac death, target vessel related myocardial infarction, clinically-drivent target lesion revascularization, definite or probable stent thrombosis and major bleeding is a primary endpoint for evaluating safety and efficacy of the difference of DAPT duration.~1-year target lesion failure (TLF) as a composite of cardiac death, target vessel related myocardial infarction and clinically driven target lesion revascularization will be identified as a secondary ischemic outcome. 1-year major bleeding events classified as BARC type 3 or 5 bleeding events will be identified as a secondary bleeding outcome.~With this trial, you will be able to get clear insight on the behavior of newer DES platforms. Reference data for the shortened mandatory DAPT regimen will also be delineated in the selected patients, and it might be helpful to those who need it._All_N/A_N/A_Inclusion Criteria:~Patients with de novo stenotic lesions who are suitable for coronary stenting with drug-eluting stent~Exclusion Criteria:~1. High risk profiles for ischemic adverse events such as A. ST-segment elevation myocardial infarction (STEMI) B. Patients with cardiogenic shock or concomitant severe decompensated heart failure C. Myocardial infarction or stent thrombosis in spite of the maintenance of antiplatelet therapy D. Restenosis in stented segments or previous sites of balloon angioplasty 2. Patients who cannot follow allocated DAPT schedule due to the planned surgery or elective procedure within 3 months after the stenting 3. Recent history of major surgery or evident events of gastrointestinal bleeding within 1 month from the procedure 4. Patients on anticoagulation therapy with warfarin or other anticoagulants 5. Life expectancy less than 1 year (such as malignancies or other chronic systemic diseases) 6. Pregnant women 7. Past history of allergy or other contraindications for the following medications/materials: aspirin, clopidogrel, heparin, cobalt chromium, sirolimus"
