NCT_ID,Any_women,Enrolls 18-45,Reason,Either
NCT03967054,1,1,The trial includes women who are not pregnant or breastfeeding and includes participants aged 18-45.,FALSE
NCT01188551,1,0,"The trial does not specify gender restrictions, so it enrolls any women. However, it is focused on patients undergoing myringotomy and tube placement, which typically involves children, not adults aged 18-45.",TRUE
NCT00041080,1,1,"The trial enrolls women with recurrent ovarian epithelial cancer, fallopian tube cancer, or primary peritoneal cancer. There are no age restrictions mentioned that would exclude individuals aged 18-45.",FALSE
NCT04155697,1,1,"The trial includes any non-staff participants visiting the NICU, which can include women and people aged 18-45.",FALSE
NCT00076570,1,1,The trial does not exclude women except for those who are pregnant or unwilling to practice birth control. It also does not have age restrictions that exclude individuals aged 18-45.,FALSE
NCT01863823,1,1,"The trial does not specify any gender or age restrictions, so it is assumed to enroll both men and women of any age, including those aged 18-45.",FALSE
NCT00949533,1,0,"The trial enrolls participants who are 5 years of age or younger, and it excludes women who are pregnant or planning to get pregnant during the study.",TRUE
NCT04316936,1,1,The trial includes patients 18 years of age or older and does not exclude women.,FALSE
NCT00113841,1,1,"The trial does not specify any gender restrictions and includes adults with multiple myeloma, which typically includes the age range 18-45.",FALSE
NCT02998541,1,1,The trial includes participants of any age and does not exclude women except for those who are pregnant or lactating.,FALSE
NCT00114517,1,0,"The trial enrolls only postmenopausal women, which excludes women aged 18-45.",TRUE
NCT00256698,1,0,"The trial enrolls postmenopausal women only, excluding premenopausal women, which means it does not include women aged 18-45.",TRUE
NCT01877694,1,1,"The trial enrolls adults and children one year of age and older, including women and individuals aged 18-45.",FALSE
NCT01672710,1,1,"The trial includes any veteran of the 1990-1991 Gulf War who meets the Kansas Gulf War Illness case definition, excluding only those with certain chronic conditions, psychiatric conditions, or pregnancy. This means women who are not pregnant can enroll, and it does not specify an age restriction that would exclude those aged 18-45.",FALSE
NCT00643786,1,1,"The trial includes all genders and enrolls patients from 1 year old, which includes the age range 18-45.",FALSE
NCT00600106,1,0,"The trial enrolls postmenopausal women only, which typically excludes women aged 18-45.",TRUE
NCT00125138,1,1,"The trial includes both male and female subjects, including women of childbearing potential who are not pregnant or breastfeeding. There are no age restrictions that exclude individuals aged 18-45.",FALSE
NCT00707941,1,1,"The trial includes persons at least one year old and excludes only pregnant women, allowing non-pregnant women to enroll. It also includes adults aged 18-45.",FALSE
NCT01081652,1,1,The trial enrolls women undergoing IVF/ET and includes women under 36 years old.,FALSE
NCT05410535,1,1,"The trial does not specify any gender or age restrictions, and it includes patients who participated in the PEGASUS-D trial, which likely included adults of various ages.",FALSE
NCT05099640,1,1,The trial includes women of childbearing potential who must have a negative pregnancy test and use contraception. There are no age restrictions that exclude people aged 18-45.,FALSE
NCT02129348,1,0,"The trial includes both male and female adults but requires female patients to be post-menopausal, which typically excludes women aged 18-45.",TRUE
NCT02033941,1,1,The trial includes women who are using effective birth control or are post-menopausal. There are no age restrictions that exclude people aged 18-45.,FALSE
NCT04090710,1,1,The trial does not exclude women except for those who are pregnant or lactating. There are no age restrictions that exclude individuals aged 18-45.,FALSE
NCT02617407,1,0,"The trial enrolls children undergoing chemotherapy, radiation treatment, and Hematopoietic Stem Cell Transplantation (HSCT), which includes both boys and girls. However, it does not include adults aged 18-45.",TRUE
NCT00050960,1,1,"The trial does not specify any gender restrictions and includes adults with advanced or metastatic NSCLC, which typically includes the age range 18-45.",FALSE
NCT04767373,1,0,"The trial enrolls healthy pre-term and full-term infants up to 1 year of age, which excludes individuals aged 18-45.",TRUE
NCT00119847,1,1,The trial excludes only pregnant women but allows other women to enroll. There are no age restrictions that exclude people aged 18-45.,FALSE
NCT05096663,1,1,"The trial does not exclude women except for those who are pregnant or nursing. The trial includes adults with non-small cell lung cancer, which typically includes the age range of 18-45.",FALSE
NCT00063258,1,1,The trial excludes only pregnant or nursing women but allows other women to enroll. There are no age restrictions that exclude people aged 18-45.,FALSE
NCT01096784,1,0,"The trial enrolls premature infants only, which includes both male and female infants, but does not include individuals aged 18-45.",TRUE
NCT04522635,1,1,"The trial includes both men and women aged over 18 years old, with no specific exclusion based on gender or age within the adult population.",FALSE
NCT00847912,1,1,"The trial does not exclude women except for those who are pregnant or breastfeeding, and it does not have age restrictions that exclude people aged 18-45.",FALSE
NCT00168064,1,1,The trial includes both men and women who are not pregnant or nursing and does not exclude based on age within the adult range.,FALSE
NCT02657408,1,1,"The trial includes healthy volunteers of both sexes between 18 and 65 years of age. It excludes only pregnant or breastfeeding women, but allows women who are not pregnant or not breastfeeding to enroll.",FALSE
NCT01231490,1,0,"The trial includes both men and women, but only those aged 50 to 75 years.",TRUE
NCT01994330,1,1,"The trial does not specify any gender restrictions and does not exclude based on age, thus it includes women and people aged 18-45.",FALSE
NCT01258322,1,1,"The trial enrolls prevalent peritoneal dialysis patients over 20 years old, without gender restrictions.",FALSE
NCT02893423,1,1,"The trial enrolls pregnant women undergoing elective c-section, which includes women aged 18-45.",FALSE
NCT03387579,0,0,"The trial exclusively enrolls neonates, with no mention of including adults or specifying gender restrictions.",TRUE
NCT03265132,1,1,"The trial includes both male and female patients with a body weight ≥ 10 kg, and female patients of childbearing potential must use an effective method of contraception. There are no age restrictions that exclude individuals aged 18-45.",FALSE
NCT01052480,1,1,"The trial enrolls adults, children, and pregnant women, and does not exclude based on gender or the age range of 18-45.",FALSE
NCT04567420,1,1,"The trial enrolls both male and female patients with stage II or III, HER2 negative, ER positive invasive breast cancer. It includes premenopausal and postmenopausal women, and there are no age restrictions that exclude individuals aged 18-45.",FALSE
NCT02601157,1,1,The trial excludes pregnant women but allows other women to enroll. There are no age restrictions that exclude people aged 18-45.,FALSE
NCT05467293,1,1,The trial includes individuals aged 18 and older and does not exclude women except for those who are pregnant or nursing.,FALSE
NCT00015002,1,1,"The trial enrolls pregnant women, who are typically within the age range of 18-45.",FALSE
NCT04880850,1,1,"The trial includes both men and women aged 18 years and older, excluding only pregnant or breastfeeding women.",FALSE
NCT00053898,1,0,"The trial enrolls only postmenopausal women, which excludes women aged 18-45.",TRUE
NCT00106288,1,1,"The trial enrolls adult and pediatric patients, excluding only pregnant or nursing women. It does not specify any age restrictions that would exclude people aged 18-45.",FALSE
NCT00386958,1,1,"The trial does not specify any gender restrictions and includes participants from 1 month of age, which encompasses the 18-45 age range.",FALSE
NCT00006096,1,1,The trial enrolls women of any age and does not exclude the age range 18-45.,FALSE
NCT04207710,1,1,"The study does not specify any gender or age restrictions, so it includes both women and people aged 18-45.",FALSE
NCT00006348,1,1,The trial does not exclude women except for those who are pregnant or nursing. It also does not have age restrictions that would exclude individuals aged 18-45.,FALSE
NCT02251093,1,1,The trial specifically targets women of child-bearing age and includes criteria for contraception and negative pregnancy tests. It does not exclude women aged 18-45.,FALSE
NCT00158743,1,1,"The trial enrolls pregnant women with severe preeclampsia, which includes women aged 18-45.",FALSE
NCT00161473,1,1,"The trial does not have gender restrictions and includes adults of any age, including those aged 18-45.",FALSE
NCT04428684,1,1,"The trial enrolls pre-menopausal females with regular menstrual cycles and > 30 years of age, which includes women aged 18-45.",FALSE
NCT00007605,1,1,The trial does not specify any gender or age restrictions that would exclude women or individuals aged 18-45.,FALSE
NCT04885257,1,1,The trial includes both male and female veterans and does not exclude women except for those who are pregnant or breastfeeding. The inclusion criteria do not specify an age range that excludes individuals aged 18-45.,FALSE
NCT00008697,1,1,"The trial excludes only pregnant women but allows other women to enroll. There are no rigid exclusion criteria based on age, so it includes people aged 18-45.",FALSE
NCT00081653,1,0,"The trial enrolls only postmenopausal women, which typically excludes women aged 18-45.",TRUE
NCT00000120,1,0,The study includes male and female infants only.,TRUE
NCT00000180,1,0,"The trial enrolls healthy older volunteers, which implies it does not include people aged 18-45.",TRUE
NCT00084071,1,1,"The trial excludes pregnant women but allows other women to enroll. There are no age restrictions mentioned, so it includes people aged 18-45.",FALSE
NCT00097669,0,1,Excludes women of child-bearing potential who are at risk of pregnancy.,TRUE
NCT00000576,1,0,"The trial enrolls premature infants of both genders, but does not include individuals aged 18-45.",TRUE
NCT00003702,1,1,"The trial enrolls women with gestational trophoblastic neoplasia and includes criteria for fertile patients to use effective contraception, indicating that women of reproductive age (18-45) are included.",FALSE
NCT00105001,1,1,"The trial includes both men and women, excluding only pregnant or breastfeeding women. It also includes participants aged 18-45 as it allows patients <= 50 years of age.",FALSE
NCT01103388,1,1,The trial includes patients of childbearing potential (indicating women are included) and does not specify an age restriction that excludes individuals aged 18-45.,FALSE
NCT00010699,1,1,The trial does not specify any gender or age restrictions that would exclude women or individuals aged 18-45.,FALSE
NCT00012688,1,1,"The trial does not specify gender restrictions and includes adults with diabetes, which typically includes the age range 18-45.",FALSE
NCT00014989,1,1,The trial enrolls pregnant women aged 18-45 with a diagnosis of preterm labor.,FALSE
NCT00006017,1,1,"The trial does not specify gender restrictions other than excluding pregnant or nursing women, and it does not specify age restrictions, implying it includes adults of all ages.",FALSE
NCT00392275,1,1,"The trial excludes pregnant women but allows other women to enroll. There are no age restrictions specified, so it includes people aged 18-45.",FALSE
NCT02421172,1,1,The trial includes both male and female patients aged 18 to 65 years.,FALSE
NCT02506192,1,1,"The trial excludes only pregnant or nursing women and those who refuse to use birth control, but allows other women to enroll. There are no age restrictions that exclude people aged 18-45.",FALSE
NCT00281671,1,0,"The trial enrolls infants under 1 year of age, excluding anyone older.",TRUE
NCT00083980,1,1,"The trial does not specify any gender or age restrictions, so it is assumed to enroll both men and women, including those aged 18-45.",FALSE
NCT02223520,1,1,"The trial enrolls parents of neonates, which can include women and individuals aged 18-45.",FALSE
NCT00085384,1,1,"The trial enrolls women with platinum-resistant ovarian, fallopian tube, or peritoneal cancer. There are no age restrictions mentioned that would exclude individuals aged 18-45.",FALSE
NCT00094042,1,1,"The study does not specify any gender or age restrictions, so it includes women and people aged 18-45.",FALSE
NCT00097123,1,1,"The trial enrolls pregnant women, which includes women aged 18-45.",FALSE
NCT03212625,1,1,"The trial excludes only pregnant or breastfeeding women but allows other women to enroll. There are no age restrictions specified, so it includes people aged 18-45.",FALSE
NCT00006401,0,0,"The trial enrolls only premature infants, excluding adults aged 18-45.",TRUE
NCT00108238,1,0,"The trial enrolls only postmenopausal women, which excludes women aged 18-45.",TRUE
NCT01972035,1,1,The trial enrolls all consenting kidney transplant recipients without specific gender or age restrictions.,FALSE
NCT00007631,1,1,"The trial excludes pregnant or nursing women but allows other women to enroll. There are no specific age restrictions mentioned, so it is assumed that adults of any age, including those aged 18-45, can participate.",FALSE
NCT00112996,1,1,"The trial does not specify gender restrictions other than excluding pregnant or nursing women, and it does not specify age restrictions, implying it includes adults of all ages.",FALSE
NCT00113074,1,1,"The trial does not exclude women except for those who are pregnant or planning to become pregnant. The age criteria are not specified, so it is assumed to include adults, which typically includes ages 18-45.",FALSE
NCT00116623,1,1,"The trial enrolls women with preterm labor between 24 and 32 weeks of gestation, which typically includes women aged 18-45.",FALSE
NCT01014767,1,1,"The trial includes females of reproductive age who are not pregnant and requires them to use contraception. There are no age restrictions specified, so it includes people aged 18-45.",FALSE
NCT00122629,1,1,The trial does not exclude women and includes participants aged 18-65.,FALSE
NCT00009204,1,0,"The study enrolls patients with dementia, which typically affects older adults. There are no gender restrictions, but the age range is not specified to include 18-45.",TRUE
NCT00000140,1,1,"The trial does not specify any gender or age restrictions, so it is assumed to enroll both men and women of any age, including those aged 18-45.",FALSE
NCT00026104,1,1,"The trial does not exclude women except for those who are pregnant or nursing, and it does not specify an age restriction that excludes individuals aged 18-45.",FALSE
NCT00360685,1,1,The trial does not specify any gender or age restrictions that would exclude women or individuals aged 18-45.,FALSE
NCT05561387,1,1,The trial does not exclude women except for those who are pregnant or nursing. It also does not have age restrictions that would exclude individuals aged 18-45.,FALSE
NCT00028756,1,1,"The trial does not exclude women except for those who are pregnant or nursing, and it does not specify an age restriction that would exclude individuals aged 18-45.",FALSE
NCT00000494,1,0,"The trial enrolls both boy and girl premature infants, but does not include individuals aged 18-45.",TRUE
NCT00000563,1,1,"The trial enrolls pregnant women with anticipated premature delivery, which includes women aged 18-45.",FALSE
NCT00032500,1,1,"The study does not specify any gender or age restrictions, so it is assumed to enroll both men and women, including those aged 18-45.",FALSE
NCT03149809,1,0,"The trial does not specify gender restrictions, so women are allowed to enroll. However, the inclusion criteria and context suggest it is focused on older adults with Parkinson's Disease, likely excluding the 18-45 age group.",TRUE
NCT00759148,1,1,"The trial enrolls patients one month of age or older, including women who are not pregnant or breastfeeding.",FALSE
NCT00015873,1,0,"The trial enrolls infants under one year old, which excludes the age group 18-45.",TRUE
NCT00016263,1,1,The trial includes patients of any age and does not exclude women except for those who are pregnant or nursing.,FALSE
NCT00016341,1,1,"The trial enrolls female patients with stage III or IV endometrial cancer. There are no specific age restrictions mentioned, so it is assumed that women aged 18-45 can participate.",FALSE
NCT00479089,1,1,The trial includes women of childbearing potential who must practice acceptable methods of birth control. There are no age restrictions that exclude individuals aged 18-45.,FALSE
NCT00017004,1,1,The trial enrolls women with cervical cancer and does not exclude based on age within the range of 18-45.,FALSE
NCT00040456,1,1,"The trial includes both male and female patients with Hb SC disease and does not exclude women except for those who are pregnant. It also includes adult and pediatric patients, which implies that it includes individuals aged 18-45.",FALSE
NCT00043147,1,1,"The trial does not specify gender restrictions other than excluding pregnant or nursing women, and it does not specify age restrictions, implying it includes adults of typical childbearing age.",FALSE
NCT00043810,1,1,"The trial includes both male and female participants who have provided written informed consent. Women of childbearing potential must use adequate birth control methods. The age criteria are not explicitly restricted, so it is assumed that adults, including those aged 18-45, are eligible.",FALSE
NCT00047632,1,1,"The trial enrolls women with advanced ovarian or primary peritoneal carcinoma, including those of child-bearing potential who are not pregnant or nursing. There are no age restrictions specified that would exclude individuals aged 18-45.",FALSE
NCT00054613,1,1,"The trial enrolls women who are not pregnant or lactating and does not specify an upper age limit, thus including the 18-45 age range.",FALSE
NCT00518089,1,1,"The trial does not specify any gender or age restrictions, thus it includes women and people aged 18-45.",FALSE
NCT00745030,1,1,"The trial does not specify any gender restrictions and includes adults with parkinsonism, which can include individuals aged 18-45.",FALSE
NCT00509873,1,1,"The trial does not specify any gender or age restrictions, thus it includes women and people aged 18-45.",FALSE
NCT00729586,1,1,"The trial enrolls women with advanced, persistent, or recurrent endometrial carcinoma. There are no age restrictions that exclude people aged 18-45.",FALSE
NCT01671410,0,0,"The trial enrolls only infants, with no mention of enrolling women or individuals aged 18-45.",TRUE
NCT00081952,1,0,"The trial enrolls postmenopausal women only, which typically excludes women aged 18-45.",TRUE
NCT01262196,1,1,"The trial enrolls adult males and females who are surgically sterile, post-menopausal, or confirmed not to be pregnant. There is no upper age limit specified, and the trial does not exclude women who are not pregnant or breastfeeding. The trial includes adults, which encompasses the age range of 18-45.",FALSE
NCT01806792,1,0,"The trial enrolls only postmenopausal women, which excludes women under 45.",TRUE
NCT00009191,1,0,"The trial does not specify any gender restrictions, so it enrolls women. However, it is for patients with Alzheimer's disease, which typically affects older adults, and the inclusion criteria do not specify an age range that includes 18-45.",TRUE
NCT00009620,1,1,The trial enrolls pregnant women aged 18-45 who are in preterm labor.,FALSE
NCT00011960,1,1,"The trial does not specify gender restrictions other than excluding pregnant or nursing women. Age is not specified, so it is assumed to include adults of all ages.",FALSE
NCT00570089,1,1,The trial enrolls women with signs and symptoms of myocardial ischemia and excludes only those who are pregnant or breastfeeding. It includes women aged 18 and older.,FALSE
NCT00571259,1,1,"The trial includes both men and women who are at least 18 years old. It excludes only pregnant women, but allows non-pregnant women to enroll.",FALSE
NCT00015548,1,0,"The trial does not specify gender restrictions, so women can enroll. However, it is for people with Alzheimer's disease, which typically affects older adults, not those aged 18-45.",TRUE
NCT03751098,1,1,The trial does not exclude women except for those who are pregnant or lactating. There are no age restrictions mentioned that would exclude individuals aged 18-45.,FALSE
NCT00020709,1,1,"The trial does not exclude women except for those who are pregnant or nursing. The age criteria are not explicitly restrictive, so it includes people aged 18-45.",FALSE
NCT00767689,1,1,"The trial includes any adult patient starting capecitabine-containing chemotherapy, with no gender or specific age restrictions mentioned.",FALSE
NCT00625391,1,0,"The trial exclusively enrolls postmenopausal women, who are typically older than 45 years.",TRUE
NCT00029289,1,1,"The trial does not specify any gender restrictions and includes adults, which typically includes the age range 18-45.",FALSE
NCT00030030,1,1,"The trial does not specify any gender or age restrictions, so it is assumed to enroll both men and women, including those aged 18-45.",FALSE
NCT00035880,1,1,The trial does not specify any gender or age restrictions that would exclude women or individuals aged 18-45.,FALSE
NCT00393731,1,1,"The trial enrolls women for labor induction and includes women aged 24 weeks gestational age, which typically includes women aged 18-45.",FALSE
NCT00038259,1,1,The trial includes both men and women (excluding only pregnant or breastfeeding women) and does not specify any age restrictions that would exclude individuals aged 18-45.,FALSE
NCT00638456,1,1,The trial includes participants aged 1 year and older and does not exclude women except for those who are pregnant.,FALSE
NCT02213757,1,0,"The trial enrolls postmenopausal women only, which excludes the age group 18-45.",TRUE
NCT05464381,1,1,"The trial includes both male and female subjects with a diagnosis of RDEB or JEB. Women of childbearing potential must have a negative pregnancy test and use contraception, but they are not excluded. The trial does not specify age restrictions, so it is assumed to include adults aged 18-45.",FALSE
NCT00798577,1,1,"The trial includes individuals of any sex aged 1 year and older, excluding only pregnant or lactating women.",FALSE
NCT00725374,1,0,"The trial enrolls postmenopausal women only, which typically excludes women aged 18-45.",TRUE
NCT00811369,1,0,"The trial enrolls postmenopausal women only, which typically excludes women aged 18-45.",TRUE
NCT02397213,0,1,Excludes fertile women but does not specify age restrictions that would exclude 18-45.,TRUE
NCT00867139,1,1,"The trial includes both males and females aged 7 years and older, and does not exclude women except those who are pregnant or breastfeeding. It also includes adults aged 18-45.",FALSE
NCT00105105,1,0,"The trial includes women who have had a partial or complete hysterectomy, but it does not enroll people aged 18-45 as it is focused on Alzheimer's disease patients, who are typically older.",TRUE
NCT00050973,1,1,"The trial does not specify any gender restrictions and includes adults with advanced or metastatic NSCLC, which typically includes the age range 18-45.",FALSE
NCT00054171,1,1,"The trial does not specify gender restrictions other than excluding pregnant or nursing women. Age is not specified, so it is assumed to include adults of all ages.",FALSE
NCT00027443,1,1,The trial excludes pregnant women but allows non-pregnant women to enroll. There are no age restrictions that exclude people aged 18-45.,FALSE
NCT00026039,1,0,"The trial enrolls postmenopausal women, which typically excludes women aged 18-45.",TRUE
NCT03004924,1,1,The study includes participants of any age and does not exclude women except for those who are pregnant or lactating.,FALSE
NCT00031811,1,1,"The trial enrolls women of any age who are breast cancer survivors, including those aged 18-45.",FALSE
NCT00062595,1,0,"The trial enrolls postmenopausal women only, which excludes women aged 18-45.",TRUE
NCT00035594,1,1,"The trial enrolls patients with advanced breast cancer, which includes women, and the age criteria include individuals 18 years of age or older.",FALSE
NCT02829060,1,1,"The trial includes both men and women and enrolls participants aged >17 years, which includes the 18-45 age range.",FALSE
NCT02967432,0,0,"The trial enrolls only infants in the NICU, excluding any adults or older children.",TRUE
NCT00066144,1,0,"The trial enrolls menopausal women only, which typically excludes women aged 18-45.",TRUE
NCT00203125,1,1,The trial includes both men and women with idiopathic Parkinson's disease who have completed the 26-week PRESTO study. There are no age restrictions mentioned that would exclude individuals aged 18-45.,FALSE
NCT00962585,1,1,"The trial enrolls menopausal women, which includes women aged 18-45 who meet the criteria for menopause.",FALSE
NCT00932035,1,1,"The trial enrolls women with breast cancer and does not exclude based on age, only on pregnancy or breastfeeding status.",FALSE
NCT03008590,1,1,"The trial includes both men and women, excluding only pregnant or breastfeeding women. It also includes individuals aged 18 and older.",FALSE
NCT00859105,1,1,"The trial includes women who are post-menopausal, surgically sterile, or using birth control. There are no age restrictions that exclude people aged 18-45.",FALSE
NCT00217828,1,1,No eligibility criteria,FALSE
NCT02799498,1,1,The trial enrolls healthy men and women aged 18-55.,FALSE
NCT00048230,1,1,"The trial includes women who are post-menopausal, surgically sterilized, or willing to use birth control. The inclusion criteria do not specify an upper age limit, and the exclusion criteria do not exclude individuals aged 18-45.",FALSE
NCT00048620,1,1,"The trial includes both men and women, excluding only pregnant or lactating women. It also includes patients aged five years and older, which encompasses the 18-45 age range.",FALSE
NCT03455218,1,0,"The trial enrolls infants less than one year of age, thus excluding individuals aged 18-45.",TRUE
NCT00156520,1,1,"The trial includes competent adult patients scheduled for elective aortic valve surgery for severe aortic stenosis, with no gender or specific age restrictions mentioned.",FALSE
NCT00407017,1,1,"The trial includes both males and females scheduled to undergo cataract surgery, and there are no age restrictions specified that would exclude individuals aged 18-45.",FALSE
NCT00053612,1,1,"The trial enrolls HIV-infected women and excludes only pregnant women. Age restrictions are not specified, so it is assumed to include adults, including those aged 18-45.",FALSE
NCT01106833,1,1,"The trial does not exclude women except for those who are pregnant or breastfeeding. The age criteria are not specified, but there is no exclusion for the 18-45 age range.",FALSE
NCT01002742,1,1,The trial includes patients of all ages and does not exclude women except for those who are pregnant or breastfeeding.,FALSE
NCT01126099,1,1,The trial does not have gender restrictions and includes adults of any age.,FALSE
