"","var"
"103","NCT03737253 The study is focused on women undergoing in vitro fertilization (IVF) or egg donation, which inherently excludes pregnant individuals. The exclusion criteria do not explicitly mention pregnancy, but the nature of the study (IVF) implies exclusion of pregnant individuals. The aim is to be able to predict the hormonal response according to gonadotropin receptor genotype and hormone type used for treatment of women undergoing in vitro fertilization or egg donation."
"104","NCT00329303 Pregnant individuals are excluded as the study requires female subjects to be postmenopausal, surgically incapable of childbearing, or effectively practicing an acceptable method of contraception. Female subjects either postmenopausal for at least one year, surgically incapable of childbearing, or effectively practising an acceptable method of contraception. Subjects agreed to continue using adequate contraception during the study and for 12 weeks after the last dose of CDP870"
"105","NCT02738931 Pregnant individuals are explicitly excluded from the trial as indicated by the requirement for a negative pregnancy test and the exclusion of lactating women. Female subject of non-reproductive potential: is eligible to participate if she is not pregnant (as confirmed by a negative serum or urine human chorionic gonadotrophin [hCG] test), not lactating."
"106","NCT02819141 Pregnant and lactating individuals are explicitly excluded from the trial as indicated by the exclusion criteria. Positive pregnancy test or lactation"
"107","NCT01431339 Pregnant or nursing females are explicitly excluded from the trial. Pregnant or nursing females."
"108","NCT03812198 Pregnant individuals are excluded as female subjects of childbearing potential must use a highly effective form of birth control in conjunction with a barrier method of contraception throughout the trial and for at least 90 days after final follow-up. Female subjects of childbearing potential must be willing to use a highly effective form of birth control in conjunction with a barrier method of contraception throughout the trial and for at least 90 days after final follow-up."
"109","NCT03280095 Pregnant and lactating women are explicitly excluded from the trial. Female volunteers of child-bearing potential must have a negative serum pregnancy test and use contraception. Female volunteers of child-bearing potential and less than one year postmenopausal must have a negative serum pregnancy test and be non-lactating."
"110","NCT02788279 Pregnant, lactating, breastfeeding, or intending to become pregnant during the study are explicitly excluded. Pregnant, lactating, breastfeeding, or intending to become pregnant during the study"
"111","NCT01451606 The study explicitly excludes currently pregnant or lactating women from participation. Currently pregnant or lactating"
"112","NCT03958123 Pregnant individuals are explicitly excluded from the trial as indicated by the requirement for a negative pregnancy test and the use of contraception. If female, have a negative result from a serum pregnancy test at screening and a negative result from a serum or urine pregnancy test on Day -4. If female of childbearing potential, agree to use an effective method of contraception (ie, condom plus diaphragm with spermicide, condom plus spermicide, or nonhormonal intrauterine device) and not become pregnant throughout the study."
"113","NCT02153099 Pregnant individuals are explicitly excluded from the trial as the inclusion criteria specify that female participants must have no childbearing potential, and the exclusion criteria state that females of childbearing potential are not eligible. If female, the participant is of childbearing potential (e.g premenopausal, not sterilized)."
"114","NCT00119587 Pregnant and breastfeeding women are explicitly excluded from the trial. Women of child-bearing potential must be using adequate contraception. Pregnancy (women of child-bearing potential must be using adequate contraception) - Breast feeding"
"115","NCT00777946 Pregnant or nursing women and women of child-bearing potential are explicitly excluded from the trial. Exclusion Criteria: Pregnant or nursing (lactating) women. Women of child-bearing potential."
"116","NCT02675127 Pregnant and nursing women are explicitly excluded from the trial. Additionally, women taking birth control pills are also excluded. Female subjects who were pregnant, nursing or taking birth control pills."
"117","NCT05626621 Pregnant and lactating individuals are explicitly excluded from the trial. Known or suspected pregnancy, or lactation."
"118","NCT00709371 Pregnant or breast-feeding women are explicitly excluded from the trial. Women of child-bearing potential must use acceptable contraception and have a negative pregnancy test. Pregnant or breast-feeding women or planning to become pregnant during the study period or within 30 days of discontinuing study drug"
"119","NCT00048451 Pregnant individuals are excluded as the study requires females to be not of childbearing potential, practicing birth control, and not breastfeeding. If female: Not of childbearing potential, OR Practicing birth control Not breastfeeding"
"120","NCT04412252 Pregnant and breastfeeding women are explicitly excluded from the trial. Women of childbearing potential must use two forms of contraception. A female is eligible if she is not pregnant or breastfeeding. WOCBP must use 2 highly effective forms of contraception."
"121","NCT04349124 The study explicitly enrolls postpartum women with hypertensive disorders of pregnancy and persistent non-severe blood pressure. Pregnant individuals are excluded as the study focuses on the postpartum period. This study is a pilot, open-label, randomized controlled trial of postpartum women with hypertensive disorders pregnancy and persistent non-severe blood pressure."
"122","NCT05761028 Pregnant or lactating women are explicitly excluded from the trial. Fertile women with positive pregnancy test results during screening; Pregnant or lactating women."
"123","NCT04982029 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Currently pregnant"
"124","NCT04855201 Pregnant individuals are explicitly excluded from the trial as female participants must not be pregnant and must follow contraceptive guidance. Additionally, female participants must agree not to breastfeed and not to donate ova during the study period. Female participant is not pregnant and at least 1 of the following conditions apply: Not a woman of childbearing potential (WOCBP) WOCBP who agrees to follow the contraceptive guidance from the time of informed consent through at least 28 days after final IP administration. Female participant must agree not to breastfeed starting at screening and throughout the study period and for 28 days after final IP administration. Female participant must not donate ova starting at first dose of IP and throughout the study period and for 28 days after final IP administration."
"125","NCT05348122 Pregnant or lactating females are explicitly excluded from the trial. Pregnant or lactating female;"
"126","NCT03588026 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Planned or actual pregnancy or breast feeding (females)"
"127","NCT00624559 Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Exclusion Criteria: pregnant"
"128","NCT04269408 Pregnant or lactating women are explicitly excluded from the trial. Additionally, female patients of child-bearing potential must have a negative pregnancy test and use adequate birth control. Pregnant or Lactating Women."
"129","NCT00603434 Pregnant individuals are explicitly excluded from the trial as participants must have a negative pregnancy test and agree to use birth control. If female, have a negative pregnancy test and agree to use one of the following methods of birth control, or be postmenopausal, have had a hysterectomy or have been sterilized."
"130","NCT00761995 Pregnant and lactating individuals are explicitly excluded from the trial. Participants must use contraception, have a negative pregnancy test, and be non-lactating. Must have a negative pregnancy test. Must be non-lactating. Pregnant and lactating females"
"131","NCT03637400 Pregnant or lactating individuals are explicitly excluded from the trial. Women of childbearing potential must have a negative pregnancy test and agree to use birth control. Pregnant or lactating, or intending to become pregnant within 3 months after screening Women of childbearing potential must have a negative urine or serum pregnancy test result within 1 day prior to initiation of study drug."
"132","NCT03859986 Pregnant individuals are explicitly excluded from the trial as female subjects of childbearing potential must have a negative pregnancy test and agree to use contraception. Additionally, females who are breastfeeding, pregnant, or planning to become pregnant during the study are excluded. Female subject of childbearing potential involved in any sexual intercourse that could lead to her pregnancy, must have a negative serum pregnancy test at Visit 1, a negative urine pregnancy test at Visit 2 (baseline) and agree to use an approved highly effective contraceptive method for the entire study and up to 4 weeks following the final dose of study medication unless they are surgically sterile (hysterectomy, bilateral oophorectomy, or bilateral salpingectomy) or in menopausal state for at least one year prior to screening (Visit 1)... Subject is a female who is breastfeeding, pregnant, or who is planning to become pregnant during the study."
"133","NCT05857215 Pregnant and lactating individuals are explicitly excluded from the trial. The study requires a negative pregnancy test for female participants. Females of childbearing potential including those who were pregnant or lactating (all female subjects must have had a negative highly sensitive urine and serum pregnancy test)."
"134","NCT01181934 Pregnant and breastfeeding women are explicitly excluded from the trial. Women of childbearing potential must have a negative pregnancy test and use contraception. Female volunteers who are pregnant or breastfeeding"
