NCT_ID,ChatGPT_Check,Explanation
NCT01735370,Excluded,"The trial explicitly requires a negative Beta-hCG pregnancy test and the use of contraceptives for females of childbearing potential, which clearly indicates that pregnant individuals are excluded."
NCT01233050,Excluded,"The exclusion criteria explicitly state that pregnant individuals are excluded from the trial. Additionally, it is required that women of child-bearing age must have a negative pregnancy test prior to surgery, further confirming the exclusion of pregnant individuals."
NCT01739218,Excluded,"The justification clearly states that pregnant or lactating females are explicitly excluded from the trial, which directly matches the quote provided."
NCT00840411,Excluded,"The study explicitly mentions the exclusion of pregnant and lactating females and requires a negative pregnancy test for female participants, which clearly indicates that pregnant and lactating individuals are excluded from the trial."
NCT02564146,Excluded,"The justification explicitly states that pregnant females and breastfeeding females are excluded from the trial. Additionally, it mentions that females of childbearing potential who cannot perform adequate contraceptive measures or practice complete abstinence from heterosexual intercourse are also excluded. This clearly indicates that pregnant and lactating individuals are not allowed to participate in the trial."
NCT01690520,Excluded,The justification clearly states that pregnant or breastfeeding individuals are explicitly excluded from the trial. The phrase 'Pregnant or breastfeeding' directly supports this exclusion.
NCT05165485,Excluded,"The study explicitly states that it excludes pregnant and lactating women. It also requires women of childbearing potential to have a negative pregnancy test and use highly effective birth control measures, which confirms the exclusion."
NCT01573442,Excluded,"The trial specifies that it includes only postmenopausal women, which inherently excludes pregnant individuals. The criteria of being postmenopausal by surgery, radiotherapy, or natural amenorrhea for ≥ 12 months further supports this exclusion."
NCT02732314,Excluded,"The quote explicitly states that individuals who are currently pregnant or lactating, or planning to become pregnant in the next 6 months, are excluded from the trial."
NCT01754961,Excluded,The quote 'Women who are pregnant or breastfeeding' clearly indicates that pregnant and breastfeeding women are explicitly excluded from the trial.
NCT03250507,Excluded,"The study involves open abdominal hysterectomies, which are surgical procedures to remove the uterus. Since the uterus is removed, pregnancy is impossible, and thus pregnant individuals are explicitly excluded."
NCT01433263,Excluded,"The evidence clearly states that pregnant or lactating women are explicitly excluded from the trial. Additionally, it specifies that women capable of becoming pregnant must use highly effective contraception and have negative pregnancy test results throughout the study, further supporting the exclusion of pregnant or lactating women."
NCT01760330,Excluded,"The study is focused on a pediatric population undergoing palatoplasty, which inherently excludes pregnant individuals as the participants are children."
NCT00622687,Excluded,"The evidence clearly states that a negative pregnancy test was required for fertile women, which implies that pregnant individuals were explicitly excluded from the trial."
NCT02742441,Excluded,"The trial explicitly states that pregnant and lactating individuals are excluded. The inclusion criteria require females to be post-menopausal, surgically sterile, or using effective birth control with a negative pregnancy test. Additionally, it specifies that subjects who are pregnant, lactating, or planning to become pregnant during the study are excluded."
NCT01773798,Excluded,"The exclusion criteria explicitly state that females of childbearing potential who are pregnant, breastfeeding, or intend to become pregnant are excluded from the trial. Additionally, it specifies the requirement for adequate contraceptive methods, further supporting the exclusion of pregnant or lactating individuals."
NCT00314340,Excluded,"The evidence clearly states that pregnant individuals are excluded from the trial, as participants must take a mandatory commercial pregnancy test before any study medication is consumed. This indicates that if a participant is found to be pregnant, they would not be allowed to participate in the trial."
NCT01780259,Excluded,"The requirement for participants to agree to a protocol-defined method of contraception implies that pregnant individuals are excluded, as they would not need contraception."
NCT06119529,Excluded,The quote 'Exclusion Criteria: Women who are pregnant and/or lactating' clearly states that pregnant and lactating women are explicitly excluded from the trial.
NCT01589380,Excluded,"The quote explicitly states that women who are pregnant or breastfeeding are excluded from the trial. It also mentions that females of child-bearing potential must use adequate contraception, further supporting the exclusion of pregnant and breastfeeding women."
NCT01795248,Excluded,"The trial explicitly states that pregnant and breastfeeding women, as well as those planning to become pregnant within the next 5 years, are excluded. It also requires safe contraception and a negative pregnancy test, which further supports the exclusion of pregnant and lactating women."
NCT01803867,Excluded,"The evidence explicitly states that pregnant individuals are excluded from the trial. It requires women of childbearing potential to have a negative serum pregnancy test and to practice adequate contraception or remain abstinent, which clearly indicates that pregnant individuals cannot participate."
NCT01803945,Excluded,"The justification clearly states that the trial explicitly excludes pregnant and breastfeeding women, as well as those with a positive serum pregnancy test. This directly indicates that pregnant and lactating people are excluded from the trial."
NCT03034967,Excluded,"The evidence clearly states that pregnant and breastfeeding individuals are explicitly excluded from the trial. The inclusion criteria specify that female participants must not be pregnant or breastfeeding and must adhere to contraceptive guidance, which confirms the exclusion."
NCT00656227,Excluded,"The exclusion criteria explicitly state that pregnant individuals are excluded from the trial. Additionally, it mentions that subjects must use suitable forms of contraception during at least the first two months of the trial, further indicating that pregnant individuals are not allowed to participate."
NCT00665665,Excluded,"The evidence clearly states that pregnant individuals are explicitly excluded from the trial. It specifies that females of childbearing potential must have a negative pregnancy test and must use double barrier contraception. Additionally, it mentions criteria for females who are post-menopausal, older than 50 years, or have had a total hysterectomy, further supporting the exclusion of pregnant individuals."
NCT00208767,Excluded,"The justification clearly states that premenopausal females with potential for pregnancy are not eligible, which explicitly excludes pregnant individuals from the trial."
NCT00443729,Excluded,"The exclusion criteria explicitly state that individuals who are pregnant, plan to become pregnant, or are nursing a child are excluded from the trial."
NCT01098448,Excluded,The exclusion criteria explicitly state that pregnant or nursing individuals are excluded from the trial.
NCT02269917,Excluded,I agree because the requirement for participants to take contraceptives implies that pregnant individuals are excluded from the trial.
NCT02814058,Excluded,"The provided quote explicitly states that pregnant and breastfeeding women are excluded from the trial. It mentions that women must have a negative BHCG urine test, cannot be pregnant or breastfeeding, and must use effective contraceptive methods during the study."
NCT01658020,Excluded,"The evidence clearly states that pregnant individuals are explicitly excluded from the trial. It mentions that female subjects who might be pregnant must undergo a pregnancy test and the results should be negative before randomization. Additionally, it specifies that subjects who have used single hormone contraception for pregnancy control or have not been more than 1 year after tubal ligation and menopause are excluded."
NCT03082573,Excluded,"The justification clearly states that pregnancy is listed under the exclusion criteria, which explicitly excludes pregnant individuals from the trial."
NCT03845023,Excluded,The quote 'Women who are pregnant or nursing' clearly indicates that pregnant and nursing women are explicitly excluded from the trial.
NCT03467932,Excluded,The quote 'Subject is pregnant or breastfeeding' clearly indicates that pregnant and breastfeeding individuals are explicitly excluded from the study.
NCT02984683,Excluded,"The justification clearly states that 'Pregnant or breast-feeding women are explicitly excluded from the trial.' This is further supported by the requirement for participants with reproductive potential to use effective contraception, indicating a concern for avoiding pregnancy during the study."
NCT01145326,Excluded,"The evidence explicitly mentions that women who are currently breastfeeding are excluded, which implies that pregnant individuals are also likely excluded."
NCT01721655,Excluded,"The study is focused on preterm infants with chronic lung disease, and the inclusion criteria specify a gestational age of less than 32 weeks at the time of delivery. This clearly indicates that the study is for neonates and not for pregnant or lactating individuals."
NCT01882361,Excluded,"The evidence provided clearly states that participants must have a negative pregnancy test and use medically acceptable contraception if of childbearing age, which explicitly excludes pregnant individuals from the trial."
NCT00925587,Excluded,"The exclusion criteria explicitly mention 'Pregnancy or breast feeding, or inadequate contraception', which clearly indicates that pregnant and breastfeeding individuals are excluded from the trial."
NCT03067194,Excluded,"The justification clearly states that pregnant women, nursing mothers, or fertile women who do not practice contraception with appropriate methods are explicitly excluded from the trial. This directly indicates that pregnant and lactating women are not allowed to participate."
NCT02733627,Excluded,The trial explicitly excludes pregnant individuals as it requires female subjects to be surgically sterilized or postmenopausal to participate. This criterion ensures that pregnant individuals cannot be part of the trial.
NCT01063283,Excluded,The evidence explicitly states that pregnant and lactating individuals are excluded from the trial. The requirement for adequate contraception and the mention of pregnancy (positive pregnancy test) or lactation as exclusion criteria confirm this.
NCT03424707,Excluded,The evidence explicitly states that pregnant or lactating women are excluded from the trial. The mention of appropriate contraceptive use further supports the exclusion of this population.
NCT04175392,Excluded,The justification clearly states that pregnant individuals are explicitly excluded from the trial as mentioned in the exclusion criteria. The phrase 'Self-reported pregnant patients' further supports this exclusion.
NCT02635750,Excluded,"The study explicitly requires the use of adequate contraception or other methods to prevent pregnancy, which implies that pregnant individuals are excluded from participation."
NCT05256225,Excluded,"The trial explicitly requires a negative pregnancy test for participants of child-bearing potential, indicating that pregnant individuals are excluded."
NCT01946386,Excluded,The quote 'Female subjects who are pregnant or who are breast feeding' explicitly states that pregnant and breastfeeding women are excluded from the trial.
NCT03739268,Excluded,"The inclusion criteria explicitly state that only men and postmenopausal women are included, which inherently excludes pregnant individuals."
NCT06220721,Excluded,"The trial explicitly mentions enrolling postpartum individuals within 1 month of giving birth, which indicates that it is focused on individuals who have already given birth. Therefore, pregnant individuals are excluded by definition."
NCT06216561,Excluded,"The evidence clearly states that pregnant and nursing individuals are explicitly excluded from the trial. Additionally, it mentions that women of child-bearing potential must have a negative pregnancy test and use adequate contraception, which further supports the exclusion of pregnant individuals."
NCT03262116,Excluded,"The evidence clearly states that pregnant individuals are explicitly excluded from the trial. The exclusion criteria include a positive pregnancy test, breastfeeding, planning to become pregnant, or being sexually active without contraception. This indicates that pregnant and lactating individuals are not allowed to participate in the trial."
NCT03140072,Excluded,"The evidence clearly states that all females must have a negative pregnancy test and must not be lactating, indicating that pregnant and lactating individuals are explicitly excluded from the trial."
NCT05718921,Excluded,The quote 'Pregnant or lactating women are explicitly excluded from the trial' clearly indicates that pregnant or lactating women are not allowed to participate in the trial.
NCT00807001,Excluded,"The justification clearly states that pregnant and breastfeeding individuals are explicitly excluded from the trial. Additionally, it mentions that subjects of childbearing potential must use an acceptable double-barrier method of birth control, further supporting the exclusion of pregnant or breastfeeding individuals."
NCT01089075,Excluded,The exclusion criteria explicitly state that pregnancy and lactation period during study treatment are grounds for exclusion. This clearly indicates that pregnant and lactating individuals are excluded from the trial.
NCT01251315,Excluded,"The quote explicitly states that pregnant and nursing females are excluded from the study, which directly supports the claim."
NCT01976208,Excluded,"The evidence clearly states that pregnant individuals are explicitly excluded from the trial. Participants must agree to use contraception and not be pregnant during the study and for 6 months after. Additionally, it specifies that patients who are currently pregnant or nursing or intend to become pregnant over the course of the study or later 6 months are excluded."
NCT05494528,Excluded,"The evidence explicitly states that pregnant subjects are excluded from the trial. Additionally, it specifies that female subjects or the spouse of male subjects with child-bearing potential must practice adequate contraception, further supporting the exclusion of pregnant individuals."
NCT01109498,Excluded,"The evidence clearly states that pregnant individuals are explicitly excluded from the trial. Female participants must be of non-child bearing potential or have a negative pregnancy test and not be breastfeeding. Additionally, they must use appropriate contraception, and their spouse must use barrier contraception for the duration of the study."
NCT05180773,Excluded,The study explicitly excludes pregnant individuals and only enrolls women within 5 months postpartum. This clearly indicates that pregnant individuals are not included in the trial.
NCT01057511,Excluded,"The exclusion criteria explicitly mention that pregnant women, identified by a positive hCG test, are excluded from the trial."
NCT04850144,Excluded,The justification clearly states that pregnant or lactating females and females of childbearing potential not using contraception of acceptable effectiveness are explicitly excluded from the trial. This directly indicates that pregnant or lactating individuals are not allowed to participate.
NCT00774787,Excluded,"The justification clearly states that pregnant or nursing individuals are explicitly excluded from the trial, which directly indicates that they are not allowed to participate."
NCT03565861,Excluded,"The requirement for participants to use two forms of contraceptive methods for the duration of the study implies that pregnant individuals are excluded, as they would not need contraception."
NCT06171113,Excluded,"The study explicitly states that only female participants who are not of childbearing potential are eligible, which directly excludes pregnant individuals."
NCT02889562,Excluded,"The evidence clearly states that pregnant individuals are excluded from the trial. It specifies that women of childbearing potential must have a negative pregnancy test and agree to use contraception, and it also explicitly mentions that women must not be breastfeeding."
NCT01890655,Excluded,The requirement for two methods of contraception for males and females of reproductive potential implies that pregnant individuals are excluded from the trial. This is because the use of contraception is not applicable to those who are already pregnant.
NCT04470024,Excluded,"The evidence clearly states that pregnant individuals are excluded from the trial. This is indicated by the requirement for a negative pregnancy test and the use of contraceptives, as well as the stipulation that women of childbearing potential must have a negative pregnancy test before starting the study and must take precautions to avoid pregnancy during and after the treatment period."
NCT05216614,Excluded,"The justification clearly states that pregnant or breastfeeding mothers are explicitly excluded from the trial, and the quote 'Pregnant or breastfeeding mothers' supports this exclusion."
NCT05081388,Excluded,The justification clearly states that pregnant individuals are explicitly excluded from the trial as mentioned in the exclusion criteria.
NCT05799495,Excluded,"The trial explicitly requires all fertile participants to use a highly effective method of contraception, which implies that pregnant individuals are excluded from the trial."
NCT02767089,Excluded,"The study explicitly excludes pregnant individuals by requiring women to be surgically sterile, which means they cannot become pregnant."
NCT00073008,Excluded,The trial explicitly excludes pregnant individuals by requiring women of childbearing potential to have a negative serum pregnancy test at screening and to use acceptable methods of birth control. This indicates that pregnant individuals are not allowed to participate in the trial.
NCT03737253,Excluded,"The study focuses on women undergoing in vitro fertilization (IVF) or egg donation, which inherently excludes pregnant individuals as these procedures are for those trying to conceive or donate eggs, not for those who are already pregnant."
NCT00329303,Excluded,"The study explicitly requires female subjects to be postmenopausal, surgically incapable of childbearing, or effectively practicing an acceptable method of contraception. This clearly excludes pregnant individuals from participating in the trial."
NCT02738931,Excluded,"The evidence clearly states that pregnant individuals are explicitly excluded from the trial, as indicated by the requirement for a negative pregnancy test and the exclusion of lactating women. The criteria specify that a female subject must not be pregnant (confirmed by a negative hCG test) and not lactating to be eligible."
NCT02819141,Excluded,"The justification clearly states that pregnant and lactating individuals are explicitly excluded from the trial, as indicated by the exclusion criteria mentioning a positive pregnancy test or lactation."
NCT01431339,Excluded,The quote 'Pregnant or nursing females' explicitly states that pregnant or nursing females are excluded from the trial.
NCT03812198,Excluded,"The trial explicitly requires female subjects of childbearing potential to use highly effective birth control methods, which implies that pregnant individuals are excluded from participation. The requirement for contraception throughout the trial and for a period after the trial indicates that the trial is not designed to include pregnant individuals."
NCT03280095,Excluded,"The evidence clearly states that pregnant and lactating women are explicitly excluded from the trial. It specifies that female volunteers of child-bearing potential must have a negative serum pregnancy test and use contraception, and those less than one year postmenopausal must also be non-lactating."
NCT02788279,Excluded,"The justification clearly states that pregnant, lactating, breastfeeding, or intending to become pregnant during the study are explicitly excluded. This directly indicates that these groups are not allowed to participate in the trial."
NCT01451606,Excluded,The justification clearly states that the study explicitly excludes currently pregnant or lactating women from participation.
NCT03958123,Excluded,The evidence clearly states that pregnant individuals are excluded from the trial. This is indicated by the requirement for a negative pregnancy test and the use of contraception throughout the study.
NCT02153099,Excluded,The trial explicitly excludes pregnant individuals by requiring female participants to have no childbearing potential and stating that females of childbearing potential are not eligible.
NCT00119587,Excluded,"The justification explicitly states that pregnant and breastfeeding women are excluded from the trial. Additionally, it mentions that women of child-bearing potential must be using adequate contraception, which further supports the exclusion of pregnant women."
NCT00777946,Excluded,"The provided quote explicitly states that pregnant or nursing women and women of child-bearing potential are excluded from the trial. The exclusion criteria clearly mention 'Pregnant or nursing (lactating) women' and 'Women of child-bearing potential,' which confirms their exclusion."
NCT02675127,Excluded,"The justification clearly states that pregnant and nursing women are explicitly excluded from the trial. Additionally, it mentions that women taking birth control pills are also excluded, which further supports the exclusion of pregnant and nursing women."
NCT05626621,Excluded,"The justification clearly states that pregnant and lactating individuals are explicitly excluded from the trial, as it mentions 'Known or suspected pregnancy, or lactation.'"
NCT00709371,Excluded,"The evidence explicitly states that pregnant or breast-feeding women are excluded from the trial. It also mentions the requirement for women of child-bearing potential to use acceptable contraception and have a negative pregnancy test, further supporting the exclusion."
NCT00048451,Excluded,"The evidence clearly states that females must either be not of childbearing potential, practicing birth control, and not breastfeeding. This explicitly excludes pregnant and lactating individuals from the trial."
NCT04412252,Excluded,"The provided quote explicitly states that pregnant and breastfeeding women are excluded from the trial. It also specifies that women of childbearing potential must use two forms of contraception, further indicating that the trial is designed to exclude those who are pregnant or breastfeeding."
NCT04349124,Excluded,"The study explicitly mentions that it enrolls postpartum women, which means it focuses on women who have already given birth. Therefore, pregnant individuals are excluded as the study is specifically designed for the postpartum period."
NCT05761028,Excluded,The justification clearly states that 'Pregnant or lactating women are explicitly excluded from the trial' and provides specific criteria such as 'Fertile women with positive pregnancy test results during screening; Pregnant or lactating women.' This directly indicates that pregnant or lactating women are not allowed to participate in the trial.
NCT04982029,Excluded,The justification states that pregnant individuals are explicitly excluded from the trial as mentioned in the exclusion criteria. The phrase 'Currently pregnant' clearly indicates that pregnant individuals are not allowed to participate.
NCT04855201,Excluded,"The evidence clearly states that pregnant individuals are explicitly excluded from the trial. Female participants must not be pregnant, must follow contraceptive guidance, must agree not to breastfeed, and must not donate ova during the study period."
NCT05348122,Excluded,"The justification clearly states that pregnant or lactating females are explicitly excluded from the trial, which aligns with the quote provided."
NCT03588026,Excluded,The exclusion criteria explicitly mention that planned or actual pregnancy or breastfeeding females are excluded from the trial.
NCT00624559,Excluded,The exclusion criteria explicitly mention that pregnant individuals are excluded from the trial.
NCT04269408,Excluded,"The evidence explicitly states that pregnant or lactating women are excluded from the trial. Additionally, it mentions that female patients of child-bearing potential must have a negative pregnancy test and use adequate birth control, further supporting the exclusion."
NCT00603434,Excluded,"The trial explicitly excludes pregnant individuals as it requires participants to have a negative pregnancy test and to use birth control, or to be postmenopausal, have had a hysterectomy, or have been sterilized."
NCT00761995,Excluded,"The evidence clearly states that pregnant and lactating individuals are explicitly excluded from the trial. The requirements for participants to use contraception, have a negative pregnancy test, and be non-lactating further support this exclusion."
NCT03637400,Excluded,"The evidence explicitly states that pregnant or lactating individuals are excluded from the trial. It also mentions that women of childbearing potential must have a negative pregnancy test and agree to use birth control, further supporting the exclusion of pregnant or lactating individuals."
NCT03859986,Excluded,"The evidence clearly states that pregnant individuals are explicitly excluded from the trial. It mentions that female subjects of childbearing potential must have a negative pregnancy test and agree to use contraception. Additionally, it specifies that females who are breastfeeding, pregnant, or planning to become pregnant during the study are excluded."
NCT05857215,Excluded,The evidence clearly states that pregnant and lactating individuals are explicitly excluded from the trial. The requirement for a negative pregnancy test for female participants confirms this exclusion.
NCT01181934,Excluded,"The justification clearly states that pregnant and breastfeeding women are explicitly excluded from the trial. Additionally, it mentions that women of childbearing potential must have a negative pregnancy test and use contraception, which further supports the exclusion of pregnant and breastfeeding women."
NCT00034047,Excluded,The quote 'Pregnancy or breast feeding' under Exclusion Criteria explicitly states that pregnant and breastfeeding individuals are excluded from the trial.
NCT00541697,Excluded,The justification clearly states that pregnant or lactating individuals are explicitly excluded from the trial. The phrase 'Pregnant or lactating' directly indicates that these individuals are not allowed to participate.
NCT04372940,Excluded,"The exclusion criteria explicitly mention 'pregnancy,' indicating that pregnant individuals are excluded from the trial."
NCT03789552,Excluded,"The evidence clearly states that female patients of child-bearing potential must have negative pregnancy tests at both the screening and randomization visits, and must use appropriate birth control. This indicates that pregnant individuals are explicitly excluded from the trial."
NCT04385563,Excluded,"The evidence clearly states that participants must have a negative pregnancy test, must not be breastfeeding, and must use contraception, which explicitly excludes pregnant and lactating individuals from the trial."
NCT01276327,Unspecified,"The justification states that the study involves healthy male and female subjects and does not mention pregnancy in the inclusion criteria. However, the absence of a mention does not necessarily mean exclusion. Therefore, the evidence suggests that the trial did not specify whether pregnant/lactating people were included."
NCT02466074,Excluded,The trial explicitly excludes pregnant individuals by requiring a negative pregnancy test and the use of effective birth control. This indicates that pregnant individuals cannot participate in the trial.
NCT03987620,Unspecified,"The justification provided does not explicitly state that pregnant individuals are excluded. The requirement for postmenarchal females does not inherently imply exclusion of pregnant individuals, as postmenarchal females can still be pregnant. Therefore, the evidence suggests that the trial did not specify whether pregnant/lactating people were included or excluded."
NCT02003625,Excluded,"The justification clearly states that pregnant or lactating individuals are explicitly excluded from the trial, and this is supported by the quote 'Exclusion Criteria: Pregnancy or lactation.'"
NCT01663532,Excluded,"The exclusion criteria explicitly state that females who are breastfeeding or have a positive pregnancy test are excluded from the trial. Additionally, it mentions that sexually active females of childbearing potential must practice birth control or remain abstinent, further supporting the exclusion of pregnant and breastfeeding individuals."
NCT02275546,Excluded,"The study explicitly states that participants must be non-pregnant and pre-menopausal, and it also specifies that participants must not be within 2 months of their last pregnancy outcome. This clearly indicates that pregnant individuals are excluded from the trial."
NCT03585504,Excluded,"The study explicitly excludes pregnant individuals as it focuses on postpartum adolescents and involves the insertion of a contraceptive implant. The exclusion criteria specifically mention breastfeeding women, which implies that the study does not include pregnant individuals."
NCT00903344,Excluded,"The study explicitly states that it only enrolls fully lactating mothers within 1 month after delivery, which means it excludes pregnant individuals. The inclusion criteria clearly specify that participants must be fully lactating mothers, which inherently excludes those who are currently pregnant."
NCT05877638,Excluded,The justification states that pregnant individuals are explicitly excluded from the trial as mentioned in the exclusion criteria. The phrase 'Current pregnancy' clearly indicates that those who are currently pregnant are not eligible to participate.
NCT05740280,Excluded,The study explicitly states that it excludes pregnant and lactating females and only includes females of nonchildbearing potential. The quote 'Females will not be pregnant or lactating' confirms this exclusion.
NCT00839293,Excluded,The quote 'Females who are pregnant or breast-feeding' clearly states that pregnant or breastfeeding females are explicitly excluded from the trial.
NCT00006734,Excluded,The evidence explicitly states that pregnant individuals are excluded from the trial by mentioning 'Not pregnant or nursing' and requiring fertile patients to use effective contraception.
NCT04732169,Excluded,The evidence explicitly states that pregnant and lactating women are excluded from the trial. It mentions that women of reproductive potential must have a negative urine pregnancy test at screening and specifies 'no current pregnancy or lactation.'
NCT00166543,Excluded,"The trial specifies that only postmenopausal females are included, which inherently excludes pregnant individuals as postmenopausal females cannot be pregnant."
NCT02939326,Excluded,"The evidence explicitly states that pregnant and lactating women are excluded from the trial. The requirement for women of childbearing potential to use dual methods of contraception and the stipulation that they must not be pregnant, lactating, or planning to become pregnant during the study further supports this exclusion."
NCT00862225,Excluded,"The justification clearly states that pregnant and lactating individuals are explicitly excluded from the trial. Additionally, it mentions that women of childbearing potential must use a highly effective method of birth control, which further supports the exclusion of pregnant or lactating individuals."
NCT02367183,Excluded,"The justification clearly states that pregnant or breastfeeding individuals are explicitly excluded from the trial. Additionally, the requirement for females of childbearing potential to have a negative pregnancy test and use contraception further supports this exclusion."
NCT04892641,Excluded,"The trial explicitly states that pregnant or lactating individuals are excluded, as indicated by the exclusion criteria which mention that individuals who are pregnant or lactating at screening or planning to become pregnant during the study are not eligible."
NCT00218218,Excluded,The quote 'Pregnant or breastfeeding individuals are explicitly excluded from the trial. Exclusion Criteria:~Pregnant or breastfeeding' clearly states that pregnant or breastfeeding individuals are not allowed to participate in the trial.
NCT02294734,Excluded,"The trial explicitly excludes pregnant individuals as it requires a negative pregnancy test and the use of contraception for females of reproductive potential. Additionally, it specifies that female subjects must not be lactating."
NCT00399711,Excluded,"The exclusion criteria specifically mention 'Pregnancy diabetes', which indicates that pregnant individuals are explicitly excluded from the trial."
NCT02350725,Excluded,"The study explicitly excludes pregnant individuals by requiring female subjects to be at least 2 years post-menopausal, which means they cannot be pregnant."
NCT01213407,Excluded,"The evidence provided clearly states that a negative pregnancy test is required and that participants must use birth control, which explicitly excludes pregnant individuals. Additionally, the mention of a positive pregnancy test or breast-feeding as exclusion criteria further supports this."
NCT00376714,Excluded,"The justification clearly states that pregnant individuals are explicitly excluded from the trial, as evidenced by the requirement for a negative pregnancy test and the exclusion of subjects with a positive pregnancy test."
NCT01012895,Excluded,"The justification states that pregnant individuals are explicitly excluded from the trial, which directly indicates that pregnant people are not allowed to participate."
NCT02697136,Excluded,"The study explicitly excludes females of childbearing potential, which includes pregnant individuals. Therefore, it is clear that pregnant individuals are not included in the trial."
NCT02285920,Excluded,"The exclusion criteria explicitly mention 'Pregnancy, anticipated pregnancy, or breastfeeding,' which clearly indicates that pregnant and lactating individuals are excluded from the trial."
