"","nct_id","official_title","summary","criteria","C_section_pain","Postpartum_GPT","Postpartum_quote.x","Enrolls_postpartum","Postpartum_intervention","Postpartum_quote.y"
"11","NCT03929640","Management Of Pain After Cesarean Trial","This is a double blinded randomized controlled trial to test the efficacy of a combination of acetaminophen and ibuprofen administered to patients on schedule compared to ibuprofen alone on the patient's reported pain score on the second post-operative day after Cesarean delivery. The investigators will also record opiate consumption and pain scores throughout the hospitalization of participants, and will survey patients at one and two weeks after surgery regarding opiate consumption and quality of life.","Inclusion Criteria:~Pregnant women at least 18 years of age~Planned delivery via C-section~Pfannenstiel skin incision~Lower uterine segment transverse hysterotomy~English speaking~Exclusion Criteria:~Major intra-operative or post-operative complication such that clinician recommends patient should not receive non-steroidal anti-inflammatory drugs or that patient requires acetaminophen to treat fever (ie suspected endometritis)~Unplanned surgery (hysterectomy, bowel/bladder repair)~Allergy or contraindication to study medication~Non-English speaking~Inability to provide informed consent~History of opioid, other illicit substance, or alcohol use disorder either before or during pregnancy~Severe renal or hepatic impairment",1,"Enrolls postpartum","The investigators will also record opiate consumption and pain scores throughout the hospitalization of participants, and will survey patients at one and two weeks after surgery regarding opiate consumption and quality of life.",0,1,"efficacy of a combination of acetaminophen and ibuprofen administered to patients on schedule compared to ibuprofen alone on the patient's reported pain score on the second post-operative day after Cesarean delivery."
"12","NCT01943565","Intrathecal Hydromorphone for Post-cesarean Delivery Pain - a Dose Finding Study","Pain relief after cesarean delivery can be provided in a few ways. Most commonly, certain medications called opioids, such as morphine, are given through the vein or into the muscle. However, a more effective way to give pain relief with fewer side effects (such as nausea and slowing your breathing) is to give opioids in the spinal space as part of the medications given for a cesarean delivery.~For many years, the opioid of choice was morphine due to its long anesthetic effect and acceptable side effect profile. A nation-wide disruption in the supply of preservative-free morphine has made it necessary to look for alternatives. Many institutions worldwide have used another opioid, called hydromorphone, in the spinal space for over a decade. This drug has a very good safety and side effect profile and has been used at the investigators' institution for more than a year. Of interest, while a number of different doses of hydromorphone have been used, there have been very few studies to evaluate the best dose for providing good pain relief with minimal side effects. The goal of this study is to find the best dose of spinal hydromorphone for women undergoing cesarean delivery.","Inclusion Criteria:~Healthy at-term parturients undergoing elective cesarean delivery under spinal anesthesia~Exclusion Criteria:~Emergency cesarean delivery~Respiratory disease~significant comorbidities: preeclampsia, insulin-dependent diabetes mellitus~obstructive sleep apnea~body mass index > 35kg/m2~<18yrs~documented intolerance or allergy to systemic or neuraxial opioids~patient with a history of chronic opioid or current use of opioids",1,"Neither","0",0,0,"Pain relief after cesarean delivery can be provided in a few ways."
"13","NCT03959969","Educational Video on Pain Management and Subsequent Opioid Use After Cesarean Delivery","This is a randomized controlled trial assessing the utility of an educational video on pain management after a cesarean section to reduce opioid use. The educational video will be shown during the patient's postpartum stay and the amount of opioid and adjunct medications will be assessed in those who watched the video compared to those who received the standard of care discharge instructions without the video. Participants will be contacted 7 and 14 days after cesarean birth (post operative day number 7 and number 14) to complete a telephone survey on their overall pain management and to determine how many opioid tablets have been used.","Inclusion Criteria:~Greater than 18 years of age~Underwent repeat or primary C-section~Literate in English Language~Exclusion Criteria:~Complicated cesarean section including cesarean hysterectomy, bowel injury, bladder injury, and/or take-back~History of opioid use disorder and/or on chronic opiates in pregnancy~Contraindications to NSAIDS or acetaminophen",1,"Postpartum intervention","The educational video will be shown during the patient's postpartum stay and the amount of opioid and adjunct medications will be assessed in those who watched the video compared to those who received the standard of care discharge instructions without the video.",1,1,"assessing the utility of an educational video on pain management after a cesarean section to reduce opioid use"
"14","NCT04369950","Post-cesarean Analgesia With Epidural Morphine Following Epidural 2-chloroprocaine","The purpose of this study is to show that the effect of 3% 2-chloroprocaine prior to epidural morphine administration will be not inferior to the effect of epidural 2% lidocaine with 1:200,000 epinephrine on total opioid use for 24h","Inclusion Criteria:~pregnant patients~live singleton pregnancy~Exclusion Criteria:~BMI >40~obstructive sleep apnea~drug abuse~chronic pain~chronic opioid use~nonfunctioning epidural",1,"Postpartum intervention","The purpose of this study is to show that the effect of 3% 2-chloroprocaine prior to epidural morphine administration will be not inferior to the effect of epidural 2% lidocaine with 1:200,000 epinephrine on total opioid use for 24h",0,0,"The purpose of this study is to show that the effect of 3% 2-chloroprocaine prior to epidural morphine administration will be not inferior to the effect of epidural 2% lidocaine with 1:200,000 epinephrine on total opioid use for 24h"
"15","NCT02571881","Opioid Induced Bowel Dysfunction in Patients Undergoing Cesarean Section","Constipation is common in pregnant women. Surgery, anaesthesia and opioid analgesics may further impair bowel function. The aim of the present study was to evaluate if oxycodone-naloxone combination compared to oxycodone reduced bowel dysfunction in patients undergoing caesarean section.","Inclusion Criteria:~• elective caesarean section in spinal anaesthesia~normal full term single pregnancy~age 18 years or more~BMI 20 - 35 kg/m2~written informed consent obtained~Exclusion Criteria:~• not normal or full term pregnancy~age less than 18 years~allergy to study drugs~substance misuse other contraindication to used study drugs no informed consent",1,"Neither","0",0,0,"Surgery, anaesthesia and opioid analgesics may further impair bowel function. The aim of the present study was to evaluate if oxycodone-naloxone combination compared to oxycodone reduced bowel dysfunction in patients undergoing caesarean section."
"16","NCT02789410","Intrathecal Morphine Versus Intrathecal Hydromorphone for Analgesia Following Cesarean Delivery","Intrathecal (IT) opioids are commonly administered with local anesthetic during spinal anesthesia for post-Cesarean delivery analgesia. Traditionally, IT morphine has been used but the use of IT hydromorphone is growing. A previous study has shown that the effective dose for postoperative analgesia in 90% patients (ED90) for both IT hydromorphone and IT morphine (NCT02009722). These doses were found to be 75 mcg for hydromorphone and 150 mcg for morphine. The current proposed study would compare the duration of analgesia of IT morphine vs IT hydromorphone after elective cesarean delivery. Additionally, the investigators will compare each drug with respect the incidence of nausea and pruritus.","Inclusion Criteria:~American Society of Anesthesiologists (ASA) physical status II-III women presenting for elective cesarean delivery~Term gestation (37-42 weeks)~Desire to have a spinal anesthesia technique for cesarean delivery~Exclusion Criteria:~Any contraindication to the administration of a spinal technique for anesthesia~History of intolerance or adverse reaction to opioid medications~Chronic pain syndrome or current opioid use >30 oral morphine equivalents/day~Allergy or intolerance to acetaminophen, ketorolac, ibuprofen, or oxycodone~Current BMI > 50",1,"Postpartum intervention","Intrathecal (IT) opioids are commonly administered with local anesthetic during spinal anesthesia for post-Cesarean delivery analgesia.",0,0,"Intrathecal Morphine Versus Intrathecal Hydromorphone for Analgesia Following Cesarean Delivery"
"17","NCT02959996","Liposomal Bupivacaine at Cesarean Delivery to Decrease Post-operative Pain","This is a randomized controlled trial to test whether the use of liposomal bupivacaine at the time of cesarean delivery may decrease post-operative pain scores.","Inclusion Criteria:~Scheduled cesarean delivery via Pfannenstiel incision;~Planned neuraxial anesthetic with intrathecal morphine and fentanyl administration.~Exclusion Criteria:~Current or prior use of methadone, buprenorphine, or other opioids before cesarean delivery;~Contraindication to neuraxial anesthetic;~Allergy to local anesthetic;~Planned general anesthetic.",1,"Neither","0",0,0,"test whether the use of liposomal bupivacaine at the time of cesarean delivery may decrease post-operative pain scores"
"18","NCT03805607","Prospective Evaluation of the Effects of IV Ketorolac on Platelet Function Post-Cesarean Delivery","Cesarean delivery has become the most common surgical procedure in the US. Non-steroidal anti-inflammatory drugs (NSAIDs) have been shown to improve the quality of post-cesarean analgesia and markedly reduce opioid consumption. The effect of NSAIDs on healthy volunteers results in inhibition of platelet aggregation and prolonged bleeding time. However, in the obstetric population, the presence and degree of platelet inhibition after NSAID exposure is less clear. The investigators plan to use Platelet Aggregometry and Thromboelastography (TEG) to evaluate the effect of ketorolac on platelets.","Inclusion Criteria:~Pregnant~Undergoing routine, scheduled cesarean section~Gestation >37 weeks~Singleton gestation~Intraoperative anesthesia - 1.5 ml of intrathecal bupivicaine 0.75%, 25mcg of intrathecal fentanyl and 250 mcg of intrathecal morphine via Spinal or Combined Spinal Epidural~Exclusion Criteria:~Pre-eclampsia with severe features or HELLP~Allergy to NSAIDs~Pre-existing bleeding disorder~Other major risk factor for postpartum hemorrhage (placenta accreta, large uterine fibroid)~Chronic kidney disease~Plt count less than 100k~Gastric ulcer or gastric bleeding~Pre-existing uterine bleeding or disseminated intravascular coagulation~Patient or Obstetrician refusal~Intraoperative exclusion criteria - Postpartum hemorrhage (EBL >1000 ml) or unplanned intraoperative extension of surgery",1,"Postpartum intervention","The investigators plan to use Platelet Aggregometry and Thromboelastography (TEG) to evaluate the effect of ketorolac on platelets post-cesarean delivery.",0,1,"post-cesarean analgesia"
"19","NCT01015807","Transversus Abdominis Plane (TAP) Block for Cesarean Section","The purpose of this study is to determine whether a transversus abdominis plane (TAP) block with Clonidine added to the injectate (Clo-TAP) performed approximately 2hrs after the cesarean section (CS) will decrease the amount of postoperative hyperalgesia and ultimately reduce post-CS chronic pain.","Inclusion Criteria:~non-laboring women who will benefit from and have clinically consented to a scheduled or non-scheduled cesarean delivery under spinal anesthesia~English speaking (UW Site) or Portuguese speaking (Brazil site)~aged between 18 and 45 years~BMI < 40~ASA physical status class I or II~Exclusion Criteria:~laboring women undergoing a non-scheduled cesarean delivery~non-English speaking (UW Site) or non-Portuguese speaking (Brazil site)~previous spinal surgery~contraindications for neuraxial anesthesia~allergy to local anesthetic, ultrasound conduction gel, or Clonidine~history of chronic pain~inability to receive intraoperative Toradol",1,"Postpartum intervention","The purpose of this study is to determine whether a transversus abdominis plane (TAP) block with Clonidine added to the injectate (Clo-TAP) performed approximately 2hrs after the cesarean section (CS) will decrease the amount of postoperative hyperalgesia and ultimately reduce post-CS chronic pain.",0,1,"a transversus abdominis plane (TAP) block with Clonidine added to the injectate (Clo-TAP) performed approximately 2hrs after the cesarean section (CS)"
"20","NCT02922985","Multimodal Pain Management for Cesarean Delivery: A Randomized Control Trial","Opioid use and abuse has become a major medical problem in the United States. Over prescription of opioid medications is a major contributor to this growing problem. Cesarean delivery (CD) is the most commonly performed surgery in the US and women are generally given opioid medications for postoperative pain management. This is not a common practice in other developed countries. We believe that a multimodal pain management strategy is superior to current practices for control of postoperative pain after CD and will lead to a decrease in the use of opioid medications. This will have beneficial effects on patients' recovery and bonding with their newborns, as well as societal effects in reducing the burden of opioid abuse in the US. Our objective is to investigate the use of a multimodal pain regimen in pregnant patients undergoing CD. This is a randomized double-blinded, placebo controlled trial. The multimodal intervention consists of a pre-operative dose of IV acetaminophen (Ofirmev), infiltration of subcutaneous bupivacaine prior to skin incision, and a dose of IM ketorolac at time of fascial closure. These study medications are currently used in our patient population but not in a standardized fashion, not in every patient, and not always in combination with each other. The control group will receive placebo IV infusion preoperatively and an IM injection at fascial closure, and subcutaneous infiltration with normal saline before skin incision. Both groups will receive spinal regional anesthesia as per anesthesia team and then postoperatively, both groups will receive the current standard of care, which consists postoperative hydrocodone/acetaminophen and ibuprofen as needed depending on pain score. Our primary outcome of interest will be the total opioid intake in the first 48 hours after surgery. Secondary outcomes include time to first opioid given, pain scores at 6-12, 24 and 48 hours post op, and total number of opioid tablets left after discharge on post op day number 7. We will also evaluate patient satisfaction scores and total length of hospital stay. We will evaluate neonatal outcomes including Apgar scores, cord blood gases, immediate newborn complications in the first 48 hours after birth, and any infant adverse outcomes related to maternal opioid use up to 4 weeks of life. Our hypothesis is that our multimodal pain regimen will decrease the total opioid requirement in the first 48 hours after surgery.","Inclusion Criteria:~Women who are 18 - 45 years of age at the time of cesarean delivery with the ability to give informed consent~Elective cesarean delivery~Gestational age ≥ 34 weeks~Fluent in either English or Spanish~Spinal anesthesia~Exclusion Criteria:~Urgent or emergent CD~Epidural or combined spinal epidural regional anesthesia~General anesthesia~Patients with a contraindication for regional anesthesia~Acute or chronic hepatic disease~Acute or chronic renal disease~Active asthma~Gastrointestinal ulceration~Inflammatory bowel disease~Allergy to ketorolac, acetaminophen, hydrocodone, codeine, ibuprofen or bupivacaine~Opioid dependence~Non reassuring fetal or maternal status requiring immediate delivery~Placenta previa or accreta~Acute or chronic pain disorder~Maternal weight <50 kilograms~Uncontrolled hypertension~Ischemic cardiac disease~Congestive heart failure~Thrombocytopenia, platelet count <150,000/microliter~Preeclampsia including Hemolysis Elevated Liver enzymes Low Platelets syndrome~Disseminated intravascular coagulation (DIC) or active hemorrhage before randomization~Estimated blood loss > 2000 mL",1,"Neither","0",0,0,"Our objective is to investigate the use of a multimodal pain regimen in pregnant patients undergoing CD."
"21","NCT01844206","Two Dose Epidural Morphine for Post-cesarean Analgesia","The investigators aim to assess the analgesic effect of a two-dose epidural morphine regimen for 2nd day post-cesarean pain, as part of a multimodal analgesia regimen, which includes scheduled Nonsteroidal anti-inflammatory drugs (NSAIDs). The investigators hypothesize that administration of a second dose of epidural morphine 3 mg, 24 hours after an initial intraoperative dose, will provide superior post-cesarean analgesia during the 2nd 24 hours after surgery, compared to a single epidural morphine dose regimen. The primary outcome will be the amount of intravenous morphine patients self-administer during the 2nd 24 hours post-surgery.","Inclusion Criteria:~Women undergoing cesarean section under epidural anesthesia.~Exclusion Criteria:~Emergent cesarean section~Coagulopathy~Failed epidural anesthesia or patchy block~General anesthesia~Use of epidural chloroprocaine~Allergy or contraindication to Non-steroidal anti-inflammatory drug (NSAIDs)~Severe opioid side effects~History of chronic opioid use~History of chronic pain~History of obstructive sleep apnea~Morbid obesity (Body Mass Index (BMI)>45 kg/m2)~Height under 4' 10 (147 cm)~Documented dural puncture by the epidural (Tuohy) needle~Preeclampsia~Other significant medical disease (American Society of Anesthesiologists (ASA) 3 or more).",1,"Postpartum intervention","The investigators aim to assess the analgesic effect of a two-dose epidural morphine regimen for 2nd day post-cesarean pain.",1,1,"The investigators aim to assess the analgesic effect of a two-dose epidural morphine regimen for 2nd day post-cesarean pain"
"22","NCT04680221","Stopping Opioid Overuse in Obstetrics to Halt Exposure Trial","As the opioid epidemic continues on, more research is needed on multi-modal approaches to decrease opioid exposure after common procedures. The aim of this study is to investigate the role of a transverses abdominis block using liposome bupivacaine suspension in reducing use of opioid medications through post-operative day 7. The study is a proposed double-blind, randomized controlled trial.","Inclusion Criteria:~Unlabored, scheduled primary or repeat cesarean delivery~Cesarean performed by obstetrician or surgically-trained family medicine physician~Ability to complete numeric pain scale assessment and surveys~Patients who do not speak English but are able to converse via an interpreter both in person and by phone~Exclusion Criteria:~Complications requiring return to the operating room~Unscheduled deliveries~<18 years old, >45 years old~Twin deliveries~Preterm deliveries (<37 wks)~Current or previous history of opioid-substance use disorder according to patient report or medical chart~Prescription of opioid medication filled in previous 30 days prior to delivery according to patient report, documentation in electronic medical record, or documentation in the prescription drug monitoring program~Allergy to local anesthetics or NSAIDs~Cardiovascular disease, eg arrhythmia, or ASA (American Society of Anesthesiologists) Class III or higher~Diagnosis of liver disorder or dysfunction including fatty liver of pregnancy, preeclampsia with severe features including liver or kidney involvement~Known significant renal disease, oliguria, or Cr >1.1.~Platelet count less than or equal to 90k or rapid decline in third trimester or other coagulopathy~Infection overlying the regional anesthesia site~Hypovolemia prohibiting regional anesthesia~General anesthesia",1,"Postpartum intervention","The aim of this study is to investigate the role of a transverses abdominis block using liposome bupivacaine suspension in reducing use of opioid medications through post-operative day 7.",0,1,"The aim of this study is to investigate the role of a transverses abdominis block using liposome bupivacaine suspension in reducing use of opioid medications through post-operative day 7."
"23","NCT04033562","The Analgesic Efficacy of Continuous Sub-fascial Bupivacaine Infusion and Lidocaine Patches in Post-cesarean Patients With Opiate Use Disorder: A Comparative Efficacy Analysis","Pregnant women with a history of opioid use disorder, chronic opioid use or those who are on medication assisted treatment will be randomly assigned to receive either a sub-fascial continuous infusion of bupivacaine or lidocaine/menthol patch after Cesarean delivery. Post-operative pain scores and opioid usage in the post-operative period will be recorded.","Inclusion Criteria:~Pregnancy~undergoing a Cesarean delivery via a transverse incision at York Hospital labor and delivery~Documented history of chronic opioid use or documented OUD, or currently utilizing medically assisted treatment (MAT)~Exclusion Criteria:~Patients with a history of clinically significant cardiovascular, hepatic, or renal disease~Non-English speaking~Allergy to bupivacaine, lidocaine, zinc, silver or menthol~Unable to consent, due to lack of decisional capacity or need for emergent Cesarean delivery~History of glucose-6-phosphate deficiency~Use of anti-arrhythmic drugs such as tocainide or mexiletine",1,"Postpartum intervention","Pregnant women with a history of opioid use disorder, chronic opioid use or those who are on medication assisted treatment will be randomly assigned to receive either a sub-fascial continuous infusion of bupivacaine or lidocaine/menthol patch after Cesarean delivery.",0,1,"sub-fascial continuous infusion of bupivacaine or lidocaine/menthol patch after Cesarean delivery"
