,nct_id,official_title,summary,criteria,Postpartum_GPT,Postpartum_quote.x,Enrolls_postpartum,Postpartum_intervention,Postpartum_quote.y,Review
35,NCT04629534,"Mothers' Own Milk Optimization for Preterm Infants Project (MoMO PIP): Maternal Diet and Vitamin D Supplementation Effects on Preterm Infants, a Randomized Control Pilot Study.","The overall goal of this study is to assess maternal vitamin D status along with diet, and milk composition, and in turn, to evaluate if infant vitamin D status can be improved with increased maternal supplementation and diet education. The central hypothesis is that by maximizing maternal vitamin D status in breastfed, preterm infants (<35 weeks), there will be an increase infant 25(OH)D status at 1,2, and 3 months of age.","Inclusion Criteria:~Women with documentation of fully breastfeeding who present within one month of delivery, who are 18-45 years old and in good general health will be eligible for participation.~Infants <35 weeks corrected gestational age at birth~Exclusion Criteria:~NO DMI/DMII, HTN, or parathyroid disease IF thyroid issues, currently euthyroid~Multiple gestations~No liver disease~No major congenital abnormalities~No kidney disease~No inborn errors of metabolism~No parathyroid disease~No disorders of calcium metabolism~No antiepileptics~No steroids~No congenital heart disease~No severe illness at birth deemed incompatible with survival",Enrolls postpartum,"Women with documentation of fully breastfeeding who present within one month of delivery, who are 18-45 years old and in good general health will be eligible for participation.",1,1,Women with documentation of fully breastfeeding who present within one month of delivery,
36,NCT04094870,Z 31801 - A Pilot Trial of Perinatal Depression Treatment in HIV Infected Women,"This pilot study will evaluate, through quantitative and qualitative methods, whether different treatments for postpartum depression are feasible and acceptable in postpartum HIV infected women on antiretrovirals (ART). The study will take place at several clinics in Lusaka, Zambia.","Inclusion criteria:~18 years of age or older~Documentation of confirmed HIV-1 infection~Six to eight weeks postpartum~Currently taking ART treatment~Able and willing to provide written informed consent~Willing to adhere to study visit schedule~PND diagnosis confirmed by Mini-International Neuropsychiatric Interview~Exclusion criteria:~Taking an ADM in the prior 12 months prior to enrollment~Actively suicidal~Known or suspected allergy or contraindication to first line Sertraline~Any other condition (social or medical) which, in the opinion of the study staff, would make trial participation unsafe or complicate data interpretation.",Enrolls postpartum,Six to eight weeks postpartum,1,1,Six to eight weeks postpartum,
37,NCT02070237,Comparing Anti-XA Levels in Post-Cesarean Patients With BMI >35 Undergoing Enoxaparin Thromboprophylaxis With Weight Based Dosing Twice Daily Versus Fixed Dose 40 Milligrams Daily,"Pregnant and recently postpartum women are at significantly higher risk of developing a blood clot in their arms or legs known as a deep venous thrombosis (DVT) and/or a blood clot in their lungs known as a pulmonary embolism (PE) compared to their non pregnant counterparts. It is estimated that this risk increases anywhere from 4 to 50 times higher in pregnant versus non-pregnant women and further increases almost 11 fold in the post partum period. This risk is almost doubled when the patient undergoes cesarean delivery. In 2011, the American College of Obstetricians and Gynecologists (ACOG) issued updated guidelines stating that for patients undergoing cesarean delivery with additional risk factors for clot or thromboembolism, protective (prophylactic) treatment with low molecular weight heparin (LMWH) a type of blood thinner should be considered. However, no specific guidelines about which risk factors should be considered, or what medication doses should be used were provided. The American College of Chest Physicians (ACCP) Evidence-Based Clinical Practice Guidelines published in 2012 delineated who should be given prophylaxis based on various risk factors, however acknowledged that the recommendations were based on weak quality evidence.~ACOG endorses either once or twice a day dosing for high risk patients after delivery and states that adjustments for obese women should be made on a case by case basis. However, there are limited studies on the dosing of LMWH in specific subpopulations including post operative patients, pregnant patients and obese patients. All of these studies have urged further investigation of the correct dosing for these high risk subjects due to changes associated with pregnancy and the level of medication in the blood that may put these patients at higher risk of venous thromboembolism. Many previous studies have shown that women in these high risk categories do not achieve protective levels of the medication measured with a laboratory test; anti Xa level. The investigators hypothesize that due to their dual risk, obese post-operative recently pregnant women may not be adequately protected with the daily fixed dose and might need more frequent dosing to protect them.~The objective of this study is to assess what proportion of women achieve the desired anti Xa level with the fixed daily dose versus twice daily weight based dosing (0.5 mg/kg).","Inclusion Criteria:~Women with a body mass index >35 who have undergone cesarean delivery in the last 12 hours who will receive thromboprophylaxis with enoxaparin~Subjects who consent to the study.~Exclusion Criteria:~Women with a previous history of deep venous thrombosis or pulmonary embolism~Women who are currently receiving another form of low molecular weight heparin or unfractionated heparin.~Women who are receiving other concomitant anticoagulant medications, such as warfarin, lepirudin, or argatroban.~Subjects who are unable or unwilling to give informed consent.~Women who, in the judgment of the investigators, would not be in the best interest of the patient to participate in the study.~Allergy to enoxaparin.~Women with renal impairment~Women with contraindications to Lovenox treatment such as women with active bleeding or thrombocytopenia",Enrolls postpartum,Women with a body mass index >35 who have undergone cesarean delivery in the last 12 hours who will receive thromboprophylaxis with enoxaparin,1,1,Women with a body mass index >35 who have undergone cesarean delivery in the last 12 hours who will receive thromboprophylaxis with enoxaparin,
38,NCT04140266,"Phase 3B, Randomized, Open-Label, Safety, and Drug Detection Study of Dapivirine Vaginal Ring and Oral TRUVADA® in Breastfeeding Mother-Infant Pairs",The purpose of this study is to evaluate the safety and drug detection of the dapivirine vaginal ring and oral Truvada in breastfeeding mother-infant pairs.,"Inclusion Criteria:~Inclusion Criteria - Mother~Participant mothers must meet all the following criteria to be eligible for inclusion in the study:~Age 18 years or older at Screening, as verified per site Standard Operating Procedures (SOPs).~At Enrollment, between 6 to 12 weeks postpartum (verified by birth records and/or similar supportive documentation and defined as between 42 - 84 days after delivery, inclusive).~By participant report at Screening and Enrollment, currently exclusively breastfeeding one infant and willing and able to continue exclusively breastfeeding that infant for the duration of their participation in the study.~Note: Exclusive breastfeeding will be defined as infant nutrition solely from breast milk, as determined by 7-day recall breastfeeding history. For the purposes of MTN-043, breastfeeding refers to all human milk feeding situations when an infant is fed with participant's own human milk whether the milk is received directly from the breast or as expressed milk.~Consistently using an effective method of contraception per participant report at Enrollment, and intending to continue use of an effective method for the duration of study participation. Effective methods include contraceptive implants, intrauterine device, injectable progestin, oral contraceptive pills, and surgical sterilization.~Able and willing to comply with all study requirements and complete all study procedures.~Able and willing to provide the following:~Written informed consent to be screened for and to take part in the study.~Written informed consent for the breastfed infant to be screened for and take part in the study.~Intention to stay within study catchment area for study duration and willingness to give adequate locator information, as defined in site SOPs.~At Screening and Enrollment, HIV-uninfected based on HIV testing performed by study staff (per algorithm in the study protocol).~At Screening and Enrollment, willing to be randomized at time of enrollment to either of the study products, and to continue study product use for at least 12 weeks.~Inclusion Criteria - Infant~Each mother eligible for MTN-043 will be asked to provide written informed consent for herself and her infant to participate in the study if the infant meets the following criteria:~At Screening and Enrollment, infant is exclusively breastfed.~Note: Exclusive breastfeeding will be defined as infant nutrition solely from breast milk, as determined by 7-day recall breastfeeding history. For the purposes of MTN-043, breastfeeding refers to all human milk feeding situations when an infant is fed with participant's own human milk whether the milk is received directly from the breast or as expressed milk.~At Screening and Enrollment, the infant is generally healthy, according to the judgment of the investigator of record (IoR)/designee.~At Enrollment, the infant is between the ages of 6 and 12 weeks postpartum (verified by birth records and/or similar supportive documentation with age defined as between 42 - 84 days after delivery, inclusive).~Exclusion Criteria:~Exclusion Criteria - Mother~Mothers who meet any of the following criteria will be excluded from the study:~At Screening or Enrollment, breastfeeding infant ineligible for enrollment in the study.~At Screening or Enrollment, participant reports any of the following:~Known adverse reaction to any of the study products (ever).~Known adverse reaction to latex and polyurethane (ever).~Post-exposure prophylaxis (PEP) for HIV exposure within 6 months prior to Enrollment.~Use of vaginal medications(s) or other vaginal products within five days prior to Enrollment.~Non-therapeutic injection drug use in the 12 months prior to Enrollment.~History of exposure to any investigational drug(s) during pregnancy, including participation in MTN-042.~At Screening or Enrollment, has a positive HIV test.~At Screening or Enrollment, Grade 2 or higher breast or genitourinary findings.~At Screening or Enrollment, has a positive urinary pregnancy test.~At Screening, has any of the following laboratory abnormalities:~Positive for hepatitis B surface antigen (HBsAg).~Aspartate aminotransferase (AST)/alanine aminotransferase (ALT) ≥ Grade 2.~Creatinine ≥ Grade 1.~Estimated creatinine clearance ≥ Grade 2 (Cockcroft Gault formula).~Diagnosed with urinary tract infection (UTI), pelvic inflammatory disease (PID), sexually transmitted infection (STI) or reproductive tract infection (RTI), requiring treatment per World Health Organization (WHO) Guidelines.~Note: Otherwise eligible participants diagnosed during Screening with a UTI, PID or STI/RTI requiring treatment per WHO Guidelines - other than asymptomatic bacterial vaginosis (BV) and asymptomatic vulvovaginal candidiasis - are offered treatment consistent with WHO recommendations and may be enrolled after completing treatment if all symptoms have resolved. If treatment is completed and symptoms have resolved prior to obtaining informed consent for Screening, the participant may be enrolled. Genital warts requiring treatment also must be treated prior to enrollment. Genital warts requiring treatment are defined as those that cause undue burden or discomfort to the participant, including bulky size, unacceptable appearance, or physical discomfort.~As determined by the IoR/designee, any significant uncontrolled active or chronic cardiovascular, renal, liver, hematologic, neurologic, gastrointestinal, psychiatric, endocrine, respiratory, immunologic disorder or infectious disease.~Has any other condition that, in the opinion of the IoR/designee, would preclude informed consent, make study participation unsafe, complicate interpretation of study outcome data, or otherwise interfere with achieving the study objectives.~At Enrollment, participant reports any of the following:~Participation in any research study involving drugs, vaccines, or medical devices 30 days or less prior to enrollment.~Currently participating in other research studies involving drugs, vaccines, or medical devices.~Expected to participate in other research studies involving drugs, vaccines, or medical devices during study participation.~Exclusion Criteria - Infants~Has any condition that, in the opinion of the IoR/designee, would preclude eligibility, make study participation unsafe, complicate interpretation of study outcome data, or otherwise interfere with achieving the study objectives.~Note: Examples of exclusionary infant conditions include clinical evidence of stunting or illness.~At Enrollment, according to the report of the mother, any of the following apply for the infant:~Infants with birth weight less than 2000g.~Participation in any research study involving drugs, vaccines, or medical devices since birth.~Currently participating in other research studies involving drugs, vaccines, or medical devices.~Expected to participate in other research studies involving drugs, vaccines, or medical devices for the duration of study participation.",Enrolls postpartum,"At Enrollment, between 6 to 12 weeks postpartum (verified by birth records and/or similar supportive documentation and defined as between 42 - 84 days after delivery, inclusive).",1,1,"At Enrollment, between 6 to 12 weeks postpartum (verified by birth records and/or similar supportive documentation and defined as between 42 - 84 days after delivery, inclusive).",
39,NCT03585504,A Randomized Controlled Trial of Immediate Versus Delayed Insertion of Implanon in Postpartum Adolescents,"The specific aim of this study is to evaluate whether insertion of a long-acting contraceptive implant in postpartum adolescents prior to hospital discharge increases use of this highly effective contraception during the first twelve months postpartum among adolescents who elect Implanon® as their preferred method of contraception. Additionally, this study aims to compare the acceptability of bleeding in postpartum adolescents who have an etonogestrel contraceptive implant prior to discharge versus those with insertion at the six week postpartum visit. The investigators will evaluate the acceptability of bleeding rather than collect prospective diaries because the investigators feel subjective perceptions of bleeding impact contraceptive continuation more than quantitative differences in bleeding.","Inclusion Criteria:~ages 15-21~women~english or spanish speaking~less than 120 hours post partum~Exclusion Criteria:~women who are breastfeeding~contraindications to Implanon® insertion including current or prior thrombo-embolic disease, liver disease, hypersensitivity to components of Implanon®, or are using medications such as rifampin, phenytoin, or carbamazepine that increase metabolism of steroid hormones.~indicate unwillingness to continue follow-up for one year.",Enrolls postpartum,less than 120 hours post partum,1,1,less than 120 hours post partum,
40,NCT00903344,Impact of Vitamin D Supplementation on Lactation Associated Bone Loss,"Studies have shown that lactation is associated with a loss of bone density from four to seven percent at the spine and hip among women who lactate for six months. Decline in bone density with lactation occurs rapidly. Although bone density increases after weaning, there is controversy on whether or not it is completely restored. Epidemiological studies find no significant negative impact of lactation on bone mass or fractures, and in fact there is evidence that lactation has a positive effect on bone mass. We think that interventions that attenuate this physiologic loss of bone that is associated with lactation and accelerate restoration of bone mass after weaning may result in improved long term bone mass and diminished fracture risk.",Inclusion Criteria:~Fully lactating mothers age 18 and up~Within 1 month after delivery~Plan to breast feed for at least 6 months~Exclusion Criteria:~Known metabolic bone disease~Chronic renal insufficiency~Chronic corticosteroid use~Eating disorder~Estrogen containing hormonal contraception use~Daily use of >400IU Vitamin D supplementation~Delivery of Multiples~Delivery of a singleton with a birth weight of <2500 grams~Preterm delivery of baby~History of kidney stones,Enrolls postpartum,Inclusion Criteria:~Fully lactating mothers age 18 and up~Within 1 month after delivery~Plan to breast feed for at least 6 months,1,1,Within 1 month after delivery,
41,NCT03679780,The Effect of Endothelin and L-Arginine on Racial Differences in Vasoconstriction,The goal of the study is to examine the possible mechanisms of impaired cutaneous microvascular function through local heating along with administration of vasoconstrictors.,"Inclusion Criteria:~Individuals (ages 18-35, both genders) will be recruited from the greater Arlington area to participate in the study.~Must self-report both parents as either African American or Caucasian American.~Exclusion Criteria:~Individuals who have donated more than 550 ml of blood within the past 8 weeks will not have blood drawn from them in this protocol. However, if they remain interested in the study, and otherwise meet the inclusion criteria, than we may still opt to proceed with data collection.~Individuals with cardiovascular, neurological, and/or metabolic illnesses will be excluded from participating as well as individuals with a history of various diseases of the microvasculature including Reynaud's disease, cold-induced urticaria, cryoglobulinemia, etc.~Subjects currently taking any prescription medications and individuals with a body mass index about 30 kg/m2) will be excluded.~Pregnant subjects and children (i.e. younger than 18) will not be recruited for the study. Eligible females will be scheduled for days 2-7 of their menstrual cycle to account for hormonal effects on blood flow. A regular menstrual cycle is required to identify and schedule the study for the low hormone period, therefore females who lack a regular cycle will be excluded from the study. Females currently taking birth control are eligible, as long as they can be scheduled during a low-hormone placebo week. If their hormone do not contain a placebo week than these individuals will not be eligible for data collection. Females who are breast-feeding will also be eligible as there are no systemic or lasting effects of the proposed vasoactive agents.~Given that smoking can affect the peripheral vasculature, current smokers and individuals who regularly smoked (>1 pack per two weeks) within the prior 2 years will be excluded",Neither,0,1,0,Females who are breast-feeding will also be eligible as there are no systemic or lasting effects of the proposed vasoactive agents.,
42,NCT03680638,The Effect of Antioxidants on Skin Blood Flow During Local Heating,The goal of this study is to examine possible mechanisms of impaired vasodilaton in obese and Black/African American men and women as possible links to the elevated prevalence of cardiovascular dysfunction and disease. The main targets in this study are sources of oxidative stress.,"Inclusion Criteria:~Individuals (ages 18-35, both genders) will be recruited from the greater Arlington area to participate in the study.~Must self-report both parents as either African American or Caucasian American.~Exclusion Criteria:~Individuals who have donated more than 550 ml of blood within the past 8 weeks will not have blood drawn from them in this protocol. However, if they remain interested in the study, and otherwise meet the inclusion criteria, than we may still opt to proceed with data collection.~Individuals with cardiovascular, neurological, and/or metabolic illnesses will be excluded from participating as well as individuals with a history of various diseases of the microvasculature including Reynaud's disease, cold-induced urticaria, cryoglobulinemia, etc.~Subjects currently taking any prescription medications and individuals with a body mass index about 30 kg/m2) will be excluded.~Pregnant subjects and children (i.e. younger than 18) will not be recruited for the study. Eligible females will be scheduled for days 2-7 of their menstrual cycle to account for hormonal effects on blood flow. A regular menstrual cycle is required to identify and schedule the study for the low hormone period, therefore females who lack a regular cycle will be excluded from the study. Females currently taking birth control are eligible, as long as they can be scheduled during a low-hormone placebo week. If their hormone do not contain a placebo week than these individuals will not be eligible for data collection. Females who are breast-feeding will also be eligible as there are no systemic or lasting effects of the proposed vasoactive agents.~Given that smoking can affect the peripheral vasculature, current smokers and individuals who regularly smoked (>1 pack per two weeks) within the prior 2 years will be excluded",Neither,0,1,0,Females who are breast-feeding will also be eligible as there are no systemic or lasting effects of the proposed vasoactive agents.,
43,NCT00963599,"A Multicenter, Double-Blind, Randomized, Parallel-Group Study Investigating the Clinical Effect of Combination Montelukast/Loratadine in Patients With Seasonal Allergic Rhinitis-Fall Study","This study will evaluate the ability of oral montelukast/loratadine to improve the signs and symptoms of seasonal allergic rhinitis compared with loratadine alone, montelukast alone and placebo.",Inclusion Criteria:~Patient has a documented history of seasonal allergic rhinitis symptoms that flare up during the study season~Patient is a nonsmoker~Patient is in good general health~Exclusion Criteria:~Patient is hospitalized~Patient is a woman who is less than 8 weeks postpartum or is breast-feeding~Patient intends to move or vacation away during the study~Patient has had any major surgery within 4 weeks of study start~Patient is a current or past abuser of alcohol or illicit drugs~Patient has been treated in an emergency room for asthma in the past month~Patient had an upper respiratory infection with in 3 weeks prior to study start~Patient has any active pulmonary disorder other than asthma,Enrolls postpartum,Patient is a woman who is less than 8 weeks postpartum or is breast-feeding,0,0,,
44,NCT04462939,"Effects of Multiple Micronutrients, Lutein and Docosahexaenoic Acid (DHA) Supplementation During Lactation on Human Milk Nutrient Content, Maternal Blood Biomarkers and Infant Anthropometric Parameters","The aim of the study is to learn about the effect of multi-micronutrient, lutein and DHA supplementation (Elevit Breastfeeding & Postnatal Care) on the breast milk nutrient composition and babies physical growth parameters.~Mothers participating in this study received either Elevit or placebo orally once a day for 12 weeks starting from 4 to 6 weeks after delivery. Blood, urine and milk samples were collected from the mothers and physical parameters like size and weight were collected from the babies to assess the effect of the supplementation.","Inclusion Criteria for women:~Healthy pregnant women aged 18 to 45 years (inclusive) in their third trimester of pregnancy who are expected to give birth to a healthy single full-term infant;~Hb > 105 g/L;~Intention to breastfeed for at least four months (no more than one bottle or 10% of total milk intake daily as formula);~Omnivorous diet;~Not intent to take multivitamin supplements, DHA supplements, lutein supplements or any combination of the aforementioned after giving birth except for iodine and iron;~Seronegative for Human Immunodeficiency Virus (HIV), Hepatitis B, and Hepatitis C at screening;~Pregnant women who, in the opinion of the Investigator, are willing and able to participate in all scheduled visits, to adhere to the study plan, to laboratory tests and to all other study related procedures according to the clinical protocol;~Pregnant women providing a personally signed and dated informed consent willing to participate in the study and to adhere to all study procedures including the assessments done to the infant, indicating that they have been informed of all pertinent aspects of the trial and that they understood and accepted these, prior to admission to the study.~Inclusion Criteria for infants:~Full term/gestational age > 37 weeks < 43 weeks and birth weight adequate for gestational age;~Apgar score at 5 minutes after birth > 7;~No indication of abnormal neurodevelopment.~Exclusion Criteria for women:~Physical (including vital signs e.g. blood pressure, pulse rate), hematological and clinical-chemical parameters deviating from normal and with clinical relevance in the opinion of the investigator;~Any serious infection (acute or chronic) at screening and randomization;~Any history of or current metabolic diseases (e.g. diabetes, hypothyroidism, and other metabolic diseases);~Less than 12 months from previous delivery;~Any history of or current diseases, which are associated with malabsorption, or other severe diseases of the gastrointestinal tract (e.g. chronic inflammatory bowel disease, iron accumulation, iron utilization disorders);~Any history of or current neurological, cardiac, endocrine or bleeding disorders;~Specific diets (e.g. vegan, vegetarian, celiac);~Pre-pregnancy body mass index (BMI) < 18.5 or > 30 kg/m2;~Diagnosed or suspected malignant or premalignant disease;~Current clinically significant depression;~Not willing, or unable for medical reasons to interrupt any intake of pharmaceuticals or dietary supplements which may interact with any of the ingredients of the trial product (i.e. fluoroquinolones, bisphosphonates, levodopa, levothyroxine, penicillamine, antibiotics containing tetracycline or trietine) during the study supplementation period (From Visit 2 (Randomization) until Visit 4 (EoS));~History of or current diseases where vitamin, mineral, trace element, lutein or DHA supplementation might be not recommended / contraindicated (such as sickle cell anemia, copper metabolism disorders (Wilson's disease), renal disease, nephrolithiasis, urolithiasis, hypercalcemia, hypercalciuria, hepatobiliary diseases, existing hypervitaminosis, iron metabolism disorders, hypermagnesemia);~Any pregnancy complications or adverse pregnancy outcomes in current pregnancy that may affect micronutrient metabolism or status (e.g. preeclampsia, eclampsia, polyhydramniosis, placental insufficiency);~Diagnosed congenital abnormalities in current pregnancy;~Current smoker or smoker during current pregnancy.~Main exclusion criteria for infants:~Congenital anomalies;~Obvious gastrointestinal or metabolic disorders;~Perinatal hypoxia;~Preterm birth;~Very low birth weight (VLBW).",Enrolls postpartum,Mothers participating in this study received either Elevit or placebo orally once a day for 12 weeks starting from 4 to 6 weeks after delivery.,1,1,Mothers participating in this study received either Elevit or placebo orally once a day for 12 weeks starting from 4 to 6 weeks after delivery.,
45,NCT00186082,A Randomized Controlled Trial of the Effect of Prophylactic Antibiotics on the Infection Rate in Postpartum Third and Fourth Degree Perineal Tear Repairs,This study is undertaken to find out whether prophylactic antibiotics can decrease the infection rate in third and fourth degree perineal tear repairs done in the immediate postpartum period.,"Inclusion Criteria:~- third and fourth degree perineal laceration~Exclusion Criteria:~- chorioamnionitis, HIV positive, inflammatory bowel disease",Enrolls postpartum,This study is undertaken to find out whether prophylactic antibiotics can decrease the infection rate in third and fourth degree perineal tear repairs done in the immediate postpartum period.,1,1,prophylactic antibiotics can decrease the infection rate in third and fourth degree perineal tear repairs done in the immediate postpartum period,
46,NCT02168309,Comparison of Oral Nifedipine to Oral Labetolol for the Management of Severe Postpartum Hypertension,"This study's aim is to determine whether oral extended release nifedipine is superior to oral labetolol for the management of postpartum severe hypertension, specifically time to achieve goal blood pressure, and shortening hospital stay. Our hypothesis is that oral extended release nifedipine is superior to oral labetolol for achieving goal blood pressure in the postpartum period.",Inclusion Criteria:~Age ≥ 18 years with the abililty to give informed consent~Intrauterine pregnancy ≥ 32 weeks~Postpartum~Persistent postpartum blood pressures ≥ 160/105 on two or more occasions~Primary obstetrician amenable to starting either study medication in the postpartum period~Exclusion Criteria:~Use of other oral antihypertensives concomitantly~Known AV heart block~HR <60 or >120~Absolute contraindication to nifedipine or labetolol such as allergy~Significant renal disease (Cr >1.5 mg/dL)~Heart failure~Moderate persistent or severe asthma~Preexisting diagnosis of chronic hypertension with medical treatment before delivery~Chronic hypertension,Enrolls postpartum,Postpartum~Persistent postpartum blood pressures ≥ 160/105 on two or more occasions,1,1,management of postpartum severe hypertension,
47,NCT04011592,Efficacy And Tolerability Of Sub-Anesthetic Ketamine In Postpartum Depression,"Postpartum depression is a non-psychotic major or minor depressive episode that occurs during pregnancy or within 12 months of post-partum period. The nature of symptoms is same as depressive episode characterized by depressed mood, anxiety, sleep difficulties, suicidal thoughts, tiredness and diminished interest in pleasurable activities. Severe maternal depression affects children by increasing the risk of emotional and behavioral and physical health problems and cognitive difficulties. Thus early screening and intervention is critical in reducing the negative impact of PND in the mother and child, family and the community.~The purpose of this study is to assess the safety, pharmacokinetics and antidepressant efficacy of sub-anesthetic dose of intravenous ketamine in perinatal depression.","Inclusion Criteria:~Female subjects, ages 18-45 years~Experienced a major depressive episode in the postpartum period beginning within the first 4 weeks following delivery and with moderate or severe symptoms (>12 EPDS or >14 HAM-D).~No or partial response to adequate doses of SSRI medications to treat PND for longer than 6 weeks.~PND patients will be requested to maintain the stable dose of antidepressants while enrolled in the study trial.~Patients that can speak and read the English language, are able to understand the study procedures and sign the informed consent~Exclusion Criteria:~No current or past psychosis or severe personality disorder.~No current substance abuse or dependence.~No serious and imminent suicidal or homicidal risk.~No recent or history of major and unstable medical problems that affect brain anatomy, neurochemistry, or function.~Not diagnosed with cardiovascular disorders.~No increased risk of laryngospasm or active upper respiratory infections.~Not diagnosed with an intellectual disability or neurodegenerative diseases.~Mothers that are currently breastfeeding.~No current pregnancy.",Enrolls postpartum,Experienced a major depressive episode in the postpartum period beginning within the first 4 weeks following delivery.,1,1,Experienced a major depressive episode in the postpartum period beginning within the first 4 weeks following delivery,
48,NCT00236782,An Open-label Study to Evaluate Contraceptive Efficacy and Safety of the Transdermal Contraceptive System of 17dNorgestimate and Ethinyl Estradiol With the Oral Contraceptive Mercilon.,The purpose of the study was to compare the contraceptive efficacy and safety of the transdermal patch to Mercilon.,"Inclusion Criteria:~Healthy women with regular menstrual cycles~sexually active and at risk of pregnancy~nonpregnant~acceptable body mass index (BMI)~last term pregnancy at least 42 days prior, nonlactating, with 1 normal menstrual cycle since~sitting BP<140mmHg/<90mmHg~1 normal menstrual cycle since removal of IUD or norplant~agreement to use study drug for contraception for up to 13 cycles, except when backup contraception is required for disease protection or patch detachment~agree not to use other systemic steroid medication~signed Informed Consent Form.~Exclusion Criteria:~Presence, history, hereditary predisposition or risk of deep vein thrombophlebitis or thromboembolic disorders~cerebral vascular or coronary artery disease, hypertension, or severe migraines~liver tumor resulting from estrogen-containing products~diabetes mellitus~cholestatic jaundice, liver or renal disease~neurovascular lesion of the eye or serious visual disturbance~abnormal PAP smear~undiagnosed abnormal vaginal bleeding~thyroid disorder~dermal hypersensitivity~carcinoma of breast, endometrium or other estrogen-dependent neoplasia~substance abuse~received experimental drug or any hepatic enzyme-inducing drugs within prior 30 days~received any depot hormone injection within prior 6 months~smoking women over 35 years of age.",Neither,0,1,0,"last term pregnancy at least 42 days prior, nonlactating, with 1 normal menstrual cycle since",
49,NCT00059228,The Efficacy of 17Beta-Estradiol in Postpartum-Related Depressive Illness,"This study evaluates the efficacy of estrogen treatment in women with postpartum depression (PPD).~PPD causes significant distress to a large number of women; the demand for effective therapies to treat PPD is considerable. Estradiol therapy has a prophylactic effect in women at high risk for developing PPD. The prevention of a decline in estradiol levels may prevent the onset of PPD. Studies also suggest that estradiol has antidepressant effects in women and may provide a safe and effective alternative to traditional antidepressants in women with PPD.~Participants will be screened with a medical history, physical examination, blood and urine tests, psychological tests, genetic studies, and self-rating scales and questionnaires. Upon study entry, women will be randomly assigned to wear skin patches containing either estradiol or placebo (a patch with no active ingredient) for 6 weeks. Women who receive estradiol and do not menstruate during the last week of the study will receive progesterone for 7 days to initiate menstruation. Women who receive placebo and do not menstruate during the last week of the study will continue to receive placebo at the end of the study. Every week, participants will have blood taken and will be asked to complete symptom self-rating scales. A urine sample and blood samples will be collected at different time points through out of the study. Participants who receive placebo and those whose symptoms do not improve with estradiol therapy will be offered treatment with standard antidepressant medications for 8 weeks at the end of the study.","INCLUSION CRITERIA:~A history of at least two weeks with postpartum-related mood disturbances of moderate severity, and self-report of the onset of depression within three months of a normal vaginal delivery or uncomplicated Caesarean section;~A current episode of minor (meeting 3-4 criterion symptoms) or major depression (of moderate severity or less on the SCID severity scale and not meeting DSM-IV criteria symptom 9 [suicidal ideation]) as determined by the administration of the minor depression module of the SADS-L and the Structured Clinical Interview for DSM-IV. Additionally, to ensure that subjects meet a minimum threshold for severity of depression, subjects will have scores greater than or equal to 10 on either the Beck Depression Inventory (BDI) or the Center for Epidemiologic Studies - Depression (CES-D) Scale during at least three of the six clinic visits during the two week screening phase, as well as a 17 item Hamilton Depression score greater than or equal to 10. Subjects will be excluded if they meet any of the following criteria: major depression of greater than moderate severity (including postpartum psychosis). DSM-IV criteria #9 (suicidal ideation), or anyone requiring immediate treatment after clinical assessment.~Not greater than six months post delivery;~Age 20 to 45;~In good medical health, and not taking any medication or dietary and herbal supplements on a regular basis (with the exception of multivitamins or calcium supplements).~EXCLUSION CRITERIA:~The following conditions will constitute contraindications to treatment and will preclude a subject s participation in this protocol:~severe major depression with any of the following:~positive (threshold) response to SCID major depression section item # 9, suicidal ideation;~anyone requiring immediate treatment after clinical assessment;~severity ratings greater than moderate on the SCID IV interview (including postpartum psychosis);~current treatment with antidepressant medications~history of psychiatric illness during the two years before the reported onset of the current episode of depression or a history of either mania (DSM-IV criteria) or postpartum psychosis at any time in the past.~history of ischemic cardiac disease, pulmonary embolism, retinal thrombosis, or thrombophlebitis; any subject with risk factors for thrombo-embolic phenomena including cigarette smokers (greater than 10 cigarettes per day), varicose veins, patients with prolonged periods of immobilization (including prolonged travel), and active heart disease.~renal disease, asthma~hepatic dysfunction~women with a history of carcinoma of the breast, or women with a family history of the following: premenopausal breast cancer or bilateral breast cancer in a first degree relative; multiple family members (greater than three relatives) with postmenopausal breast cancer~women with a history of uterine cancer, endometriosis, ill-defined pelvic lesions, particularly undiagnosed ovarian enlargement, undiagnosed vaginal bleeding~patients with a known hypersensitivity to estradiol, transdermal skin patches, or medroxyprogesterone acetate~pregnant women~porphyria~diabetes mellitus~cholecystitis or pancreatitis~history of cerebrovascular disease (stroke), epilepsy, hypertension, hypercalcemia~recurrent migraine headaches~malignant melanoma~history of familial hyperlipoproteinemia~prior hormonal therapy for the treatment of postpartum-related mood or physical symptoms within the last six months~history of psychiatric illness during the two years prior to the reported onset of the current episode of depression",Enrolls postpartum,Not greater than six months post delivery,1,1,"A history of at least two weeks with postpartum-related mood disturbances of moderate severity, and self-report of the onset of depression within three months of a normal vaginal delivery or uncomplicated Caesarean section; Not greater than six months post delivery;",
