,nct_id,official_title,summary,criteria,conditions,Nonviable_GPT,Nonviable_quote,Review,
11,NCT00986921,Mifepristone vs. Laminaria Insertion for Cervical Preparation Prior to Surgical Abortion at 14-16 Weeks,"Women who are requesting pregnancy termination at 14-16 weeks, who would normally have osmotic dilator insertion the day before their procedure, would be asked if they wanted to participate. Participants would be randomized to two groups: first, dilator insertion as usual, or second, mifepristone taken the day before the procedure.","Inclusion Criteria:~women aged 18-45 having pregnancy termination at 14-16 weeks~Exclusion Criteria:~multiple gestation, pre-existing infection, contraindication to osmotic dilators, unable to obtain proper consent",abortion,1,Women who are requesting pregnancy termination at 14-16 weeks,1,
12,NCT00003702,A Randomized Phase III Trial of Weekly Parenteral Methotrexate Versus Pulsed Dactinomycin as Primary Management for Low Risk Gestational Trophoblastic Neoplasia,Randomized phase III trial to compare the effectiveness of methotrexate with that of dactinomycin in treating patients who have gestational trophoblastic neoplasia. Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. It is not yet known whether methotrexate is more effective than dactinomycin in treating patients with gestational trophoblastic neoplasia.,"Inclusion Criteria:~Histologically proven low-risk gestational trophoblastic neoplasia (persistent hydatidiform mole or choriocarcinoma), defined as 1 of the following:~Less than 10% decrease in the beta human chorionic gonadotropin (HCG) titer over 3 weekly titers~Greater than 20% sustained rise in beta HCG titer over two consecutive weeks~Persistently elevated beta HCG titer more than 4 months after initial curettage (greater than 5 mIU/mL minimum)~Histologically proven nonmetastatic choriocarcinoma~Metastases to vagina, parametria, or lung (if no single pulmonary lesion is greater than 2 cm)~WHO score 0-6 (not including blood group or CT lung)~No histologically confirmed placental site pseudotumor~Must have undergone at least 1 uterine curettage~Previously untreated disease~Performance status - GOG 0-2~WBC at least 3,000/mm^3~Granulocyte count at least 1,500/mm^3~Platelet count at least 100,000/mm^3~Bilirubin no greater than 1.5 times upper limit of normal (ULN)~SGPT and SGOT no greater than 3 times ULN~Alkaline phosphatase no greater than 3 times ULN~No significant prior abnormal hepatic function~Creatinine no greater than 2.0 mg/dL~No significant prior abnormal renal function~Not pregnant or nursing~Fertile patients must use effective contraception during and for one year after study entry~No other prior or concurrent malignancies within the past 5 years except nonmelanomatous skin cancer~No prior chemotherapy for gestational trophoblastic neoplasia~No concurrent curettage except as needed to control vaginal bleeding or to rule out placental site pseudotumor",good prognosis metastatic gestational trophoblastic tumor~hydatidiform mole~non-metastatic gestational trophoblastic tumor~uterine corpus choriocarcinoma,1,Histologically proven low-risk gestational trophoblastic neoplasia (persistent hydatidiform mole or choriocarcinoma),1,
13,NCT03139240,Opioid Analgesia for MAB: A Randomized Controlled Trial,"Our primary objective will be to determine if a strong opioid, oxycodone, given at a dose recommended for severe pain in addition to ibuprofen decreases maximum pain scores compared to ibuprofen and placebo in women undergoing medical abortion (MAB). Results of this study will help future providers understand whether prescribing opioids are an important adjunct for pain control in women undergoing MAB.","Inclusion Criteria:~Aged 18 years or older~Seeking elective medical abortion~In good health~Pregnancy with intrauterine gestational sac up to 10 0/7 weeks, dated by ultrasound~Able and willing to receive text messages via phone~Literate in English~Able and willing to give informed consent and agree to the study terms~Have assistance at home; no motor vehicle use while taking study medications~Exclusion Criteria:~Lack of access to cell phone and texting capabilities~Early pregnancy failure~Contraindications to the study medications: Oxycodone, Ibuprofen~Contraindications to medical abortion with Mifepristone or Misoprostol~History of methadone or heroin use~Used alcohol in the past 24 hours~Used marijuana >4 times per week~Any opioid in the past 30 days~Using additional pain medications",mab~pain,1,"Pregnancy with intrauterine gestational sac up to 10 0/7 weeks, dated by ultrasound",1,
14,NCT02456662,A Randomized Controlled Trial of Scheduled Prophylactic Antiemetics for Reduction of Emesis With Doxycycline,"Background/Purpose of the Study Doxycycline is an antibiotic used for infection prevention before surgical pregnancy termination, and a side effect of it is nausea/vomiting. The investigators' study explores whether or not taking the anti-emetic ondansetron prior to doxycycline decreases rates of nausea/vomiting. Patients enrolled in the investigators' study will take either ondansetron or a placebo before they take doxycycline to see if ondansetron decreases their nausea/vomiting. Reducing nausea/vomiting may prevent more infections, and decrease the rates of general anesthesia, patient risks and hospital costs. Decreasing nausea/vomiting will also improve patient experience.~Study Design This will be a randomized controlled trial. Data will be collected by administrating surveys and a log where patients will record the timing of their medications and episodes of nausea/vomiting. The primary outcome is nausea/vomiting after taking the anti-emetic/placebo and doxycycline. 400 eligible patients will be enrolled over two years, 200 in the intervention group and 200 in the placebo group.~Rationale for Study Design A randomized controlled trial will be used to determine the effects of the anti-emetic ondansetron on rates of nausea/vomiting.~Subject Characteristics Patients will be pregnant females, 18-45 years old, who are undergoing surgical termination of pregnancy.~Design 1-2 days before the procedure, patients will complete a demographic questionnaire and a survey about symptoms of nausea/vomiting. They will use a log to record symptoms they experience between taking the anti-emetic/placebo and when they present for their procedure. When patients come to the hospital, they will fill out a repeat survey rating their nausea/vomiting.","Inclusion Criteria:~Pregnant women seeking care at the University of Rochester's Women's Health Practice Family Planning Clinic~Undergoing second trimester surgical termination of pregnancy~Proficient in reading, writing, and comprehending English~Able to give informed consent~Exclusion Criteria:~Not proficient in reading, writing, or comprehending English~Not able to give informed consent~Already taking antiemetics~Doxycycline allergy~Hyperemesis gravidarum~History of gastroparesis or cyclical vomiting~Unable to swallow pills",drug-induced nausea and vomiting,1,Doxycycline is an antibiotic used for infection prevention before surgical pregnancy termination,1,
15,NCT00386867,NA,"This open-label, randomized study will compare the efficacy, safety, and acceptability of mifepristone 200 mg followed in 24-36 hours either by buccal (i.e., in the cheeks) or oral misoprostol 800 mcg for termination of pregnancy in women up to 63 days L.M.P.","Inclusion Criteria:~be willing and able to sign consent forms;~be eligible for medical abortion according to clinician's assessment;~be willing to undergo a surgical completion if necessary;~have ready and easy access to a telephone and emergency transportation;~speak English, Spanish, or have a translator available to translate for all study procedures; and,~agree to comply with the study procedures and visit schedule.~Exclusion Criteria:~Confirmed or suspected ectopic pregnancy or undiagnosed adnexal mass;~IUD in place;~Chronic renal failure;~Concurrent long-term corticosteroid therapy;~History of allergy to mifepristone, misoprostol or other prostaglandin;~Hemorrhagic disorders or concurrent anticoagulant therapy;~Inherited porphyrias; or~Other serious physical or mental health conditions.","abortion, induced",1,termination of pregnancy in women up to 63 days L.M.P.,1,
16,NCT02141555,Comparing Buccal and Vaginal Misoprostol in Management of Early Pregnancy Loss: a Pilot Randomized Controlled Trial,"First trimester miscarriages are common. When the failed pregnancy does not pass spontaneously on its own, it is called a missed abortion. There are several ways in which missed abortions are managed, one of which involves administering a medication called misoprostol which causes uterine contractions inducing expulsion of the failed pregnancy. Misoprostol can be administered in multiple ways but has been traditionally inserted vaginally when used for management of missed abortions. Some studies have shown that some women are not comfortable with vaginal insertion of misoprostol and prefer oral administration. Buccal misoprostol is a way of administering misoprostol by having the patients insert the tablets of misoprostol between their gum and cheek, letting it dissolve for 30 minutes, then swallowing the remaining remnants. Buccal misoprostol is used safely in medical abortion. In fact a study by Fjerstad et al (2009), found a decrease in infection rate for medical abortion when misoprostol administration was switched from vaginal to buccal route combined with routine administration of doxycycline. The efficacy of using buccal misoprostol to treat missed abortions has not been studied previously to the investigators' knowledge. In this pilot study, investigators aim to test the hypotheses that buccal misoprostol is equally effective as vaginal misoprostol in the medical management of early pregnancy loss. As secondary outcomes, investigators suspect that buccal misoprostol may be associated with higher rates of gastrointestinal side effect but that patient satisfaction will remain equally as high for buccal misoprostol as for vaginal misoprostol.","Inclusion Criteria:~Women ages 18-50 who are English or Spanish speaking~First trimester pregnancy (less than 13 weeks and 0 days)~Desires medical management of an early pregnancy loss with misoprostol~Diagnosed with an early pregnancy failure by UCSD Radiology or diagnosed early pregnancy failure defined by any of the following criteria (Bourne 2013):~Crown-rump length > 7mm with no cardiac activity~Mean gestational sac diameter of > 25 mm and no embryo~Absence of an embryo with heartbeat > 2 weeks after a scan showing a gestational sac without a yolk sac~Absence of embryo with heartbeat > 11 days after a scan showing a gestational sac with a yolk sac~Exclusion Criteria:~Evidence of infection, acute hemorrhage, or hemodynamic instability~Hemoglobin less than 9.5 including use of point of care Hgb testing~Known allergy to misoprostol~Underwent surgical or medical abortion during current pregnancy~Currently breastfeeding~Currently has intrauterine device in place~Suspicion of ectopic or gestational trophoblastic disease~History of clotting disorder or on anticoagulant therapy (excluding aspirin)~Unreliable for follow up",spontaneous abortion in first trimester,1,"When the failed pregnancy does not pass spontaneously on its own, it is called a missed abortion. There are several ways in which missed abortions are managed, one of which involves administering a medication called misoprostol which causes uterine contractions inducing expulsion of the failed pregnancy.",1,
17,NCT03356145,12 Versus 20 mL Paracervical Block for Pain-Control During Cervical Preparation for Dilation and Evacuation: A Single-Blinded Randomized Controlled Trial,"More research is needed to investigate methods of pain control for cervical preparation for abortion procedures. Women report pain with paracervical block injection as well as with osmotic dilator placement. This study seeks to compare a 12 mL, 2-site 1% plain lidocaine paracervical block for pain control during cervical preparation (osmotic dilator insertion) for Dilation and Evacuation (D&E) to a 20 mL 1% lidocaine 2-site paracervical block.",Inclusion Criteria:~Women 18 and older~Intrauterine pregnancy ≥16 weeks gestation~English speaking competency~Willing and able to sign consent forms~Agree to comply with study procedures~Exclusion Criteria:~Women less than 18 years of age~IV conscious sedation~Known allergy to study medication (lidocaine)~Any women not meeting inclusion criteria above will be excluded from participation,pain,1,"This study seeks to compare a 12 mL, 2-site 1% plain lidocaine paracervical block for pain control during cervical preparation (osmotic dilator insertion) for Dilation and Evacuation (D&E) to a 20 mL 1% lidocaine 2-site paracervical block.",1,
18,NCT00816751,Paracervical Versus Intracervical Lidocaine for Suction Curettage: A Randomized Controlled Trial,"The aim of this study is to estimate the efficacy of intracervical versus paracervical block on pain experienced during first trimester suction curettage without the use of preoperative cervical ripening. Because of the theoretical improved reliability of stromal block, the investigators hypothesize that intracervical block would produce lower pain scores than paracervical block at the time of cervical dilation.",Inclusion Criteria:~Women presenting for elective first trimester abortion~Exclusion Criteria:~Gestation over 12 weeks by ultrasound~Weight less than 98 pounds~Known allergy to lidocaine~Known nonviable pregnancy,"abortion, induced~pain",1,Women presenting for elective first trimester abortion,1,
19,NCT02782169,Prophylactic Pregabalin to Decrease Pain During Medical Abortion: a Randomized Controlled Trial,"Medical abortion has been associated with significant pain. The objective of this trial is to determine whether one dose of pregabalin 300 mg, given during medical abortion in addition to the standard of care analgesics, will decrease experienced pain. Investigators will perform a randomized, double-blinded, placebo-controlled trial. Participant pain levels and side effects will be assessed at multiple time points, along with a measure of satisfaction.","Inclusion Criteria:~Requested and consented for pregnancy termination by medical abortion~Willing and able to complete multiple electronic surveys~Exclusion Criteria:~Previous participation in this trial~Current use of pregabalin or gabapentin~Contraindication to medical abortion with mifepristone and misoprostol~Contraindication or allergy to ibuprofen, oxycodone, acetaminophen, or pregabalin~Unable to understand and sign written informed consents in English",acute pain,1,"The objective of this trial is to determine whether one dose of pregabalin 300 mg, given during medical abortion in addition to the standard of care analgesics, will decrease experienced pain.",1,
20,NCT00835731,Cervical Preparation Before Same-day Second Trimester Abortion With Buccal Misoprostol Versus Dilapan-S: A Randomized Placebo Controlled Trial,The purpose of this study is to compare the dilatory effect of 400 mcg of buccally administered misoprostol to one Dilapan-S rod placed 3-4 hours before abortion by dilation and evacuation in women who are 12 weeks 0 days to 15 weeks 0 days gestation.,"Inclusion Criteria:~medically eligible for dilation and evacuation at Planned Parenthood League of Massachusetts~gestational age 12 weeks 0 days to 15 weeks 0 days as evaluated by ultrasound~proficient in English or Spanish~agreeing to study procedures, including randomization and surveys regarding demographics, medical and gynecological history, and assessments of pain and satisfaction~Exclusion Criteria:~less than 18 years old~cervical or uterine anomaly that the research physician deems may affect the difficulty of dilation or the abortion procedure~inflammatory bowel disease~contraindication to misoprostol use~known intolerance or allergy to misoprostol or Dilapan-S~inability to give informed consent",cervical ripening,1,The purpose of this study is to compare the dilatory effect of 400 mcg of buccally administered misoprostol to one Dilapan-S rod placed 3-4 hours before abortion by dilation and evacuation in women who are 12 weeks 0 days to 15 weeks 0 days gestation.,1,
