,nct_id,official_title,summary,gender,minimum_age,maximum_age,criteria,AnyPregGPT_updated2,Summary.x,Summary_quote,Preg_Only_GPT.x,Nonviable_GPT,Nonviable_quote,Category,Secondary.category,Code,Summary.y,AnyPreg_Rev,Preg_Only_Rev,Postpartum_Rev,Category_Rev
45,NCT01904500,Peri-operative Cefazolin Prophylaxis at Time of Cesarean Delivery in the Obese Gravida,"Obesity has become an increasingly prevalent public health problem in the United States, reaching epidemic proportions. According to 2009 CDC epidemiologic data on obesity in the United States, 35.7% of the United States population is considered overweight or obese. Currently, on the review of the literature, over 20% of pregnancies in this country are complicated by maternal obesity. Obesity has been well demonstrated to be correlated with numerous adverse pregnancy outcomes such hypertensive disorders of pregnancy, gestational diabetes, and increased rates of operative delivery. Moreover, obesity, irrespective of pregnancy, has been demonstrated to be an independent risk factor for the development of postoperative surgical site infections. Development of such infections can have both consequential long-term medical sequelae for patients and economic impacts on the health care system at large. Cefazolin, a first generation hydrophilic cephalosporin whose clearance is exclusively mediated via the kidneys unchanged, is used as pre-operative antibiotic prophylaxis for cesarean deliveries. The current accepted standard of care is to administer 2 grams of cefazolin within 60 minutes of skin incision. Studies of drug concentrations of cephalosporins for pre-operative antibiotic prophylaxis in obese bariatric patients have shown that therapeutic concentrations may not be achieved in both tissue and plasma. Limited data exist in pregnancy. Therefore, it is the goal of this study to investigate whether obese patients presenting for cesarean delivery require an increased dosing amount of pre-operative antibiotic prophylaxis. This study will randomized women with a pre-pregnancy body mass index of 30 kg/m2 or more who are presenting for their scheduled cesarean delivery to receive either 2 grams or 3 grams of cefazolin for pre-operative antibiotic prophylaxis. By drawing blood at specific time points in the peri-operative period and extracting adipose tissue samples during cesarean delivery, this study will investigate the pharmacokinetics of cefazolin in both the plasma and tissues of the obese gravida.",Female,18 Years,N/A,"Inclusion Criteria:~Body mass index (BMI) greater than 30kg/m2~Those women having scheduled primary or repeat cesarean delivery~Exclusion Criteria:~Type 1 and Type 2 Insulin Dependent Diabetes Mellitus~Autoimmune disease, including systemic lupus erythematosus~History of chronic renal disease~Those using chronic corticosteroids~Those with a history of a previous wound breakdown~Those who have an allergy to cephalosporins whose reaction includes anaphylaxis, urticaria or other systemic consequences~Those who are unable to receive their antibiotics in a timely fashion",Included,The study explicitly includes pregnant individuals as it investigates the pharmacokinetics of cefazolin in obese pregnant women undergoing cesarean delivery.,This study will randomized women with a pre-pregnancy body mass index of 30 kg/m2 or more who are presenting for their scheduled cesarean delivery to receive either 2 grams or 3 grams of cefazolin for pre-operative antibiotic prophylaxis.,1,0,0,15. C-section/caesarean,30. Other - maternal/parental/pregnant person disease or injury,C-sections,"This study investigates the appropriate dosing of cefazolin for pre-operative antibiotic prophylaxis in obese pregnant women undergoing cesarean delivery. The primary focus is on cesarean delivery, but it also addresses maternal obesity, which can complicate pregnancy and lead to adverse outcomes.",1,1,0,
46,NCT03140488,High Dose vs. Low Dose Oxytocin for Labor Induction in Obese Women: a Randomized Controlled Trial - the OPS (Obese Pitocin Study) Trial,This is a randomized controlled trial in which women are allocated either 'high dose' or 'low dose' oxytocin infusions for induction of labour. The randomization is stratified by maternal body mass index.,Female,18 Years,N/A,"Inclusion Criteria:~Singleton pregnancy ≥ 37 weeks gestation~Patient presented for induction of labor who is determined to be a candidate for oxytocin~Cephalic presentation~Reassuring fetal health assessment (no abnormal findings in fetal assessment, see below)~Meeting one of the following BMI category:~Obese group: BMI ≥30 at <20 weeks of pregnancy, or BMI ≥35 at a term gestation of pregnancy Lean group: BMI ≤25 at <20 weeks of pregnancy, or BMI ≤28 at a term gestation of pregnancy~Exclusion Criteria:~Non-reassuring fetal assessment at the time of recruitment~Previous cervical ripening agents (cytotec, cervidil, cervical Foley Balloon)~<18 years of age~Prisoners~Any patients contraindicated for vaginal delivery~Multiple gestations~History of previous cesarean delivery~Patients with history of significant cardiac disease~Fetal demise~Estimated fetal weight greater than 4500 grams in diabetic and 5000 grams in non-diabetic mother~Ruptured membranes~Spontaneous labor (latent or active phase)~Augmentation of labor (latent or active phase)",Included,The trial explicitly includes pregnant women for labor induction using oxytocin. It does not study nonviable pregnancies or postpartum interventions.,Inclusion Criteria: Singleton pregnancy ≥ 37 weeks gestation,1,0,0,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,Labor induction/management (non-C-section),"This trial investigates the use of high dose vs. low dose oxytocin for labor induction in obese women. The primary focus is on labor induction and management, which fits best under the category '16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)'. Pregnant individuals are the only participants, hence 'Preg_Only_GPT' is 1. There is no indication that the trial evaluates a pain management drug or intervention.",1,1,0,
47,NCT01912677,Oral Antihypertensive Regimens for Management of Hypertension in Pregnancy,"This is a pragmatic, open-label, randomised control trial of three oral anti-hypertensive regimens for women with severe hypertension in pregnancy. Women presenting with severe hypertension in pregnancy in two hospitals in Nagpur, India will be randomised to one of three oral regimens: nifedipine, labetalol or methyldopa. This trial will compare the efficacy, safety and side effects of these three oral regimens for management of hypertension in pregnant women. The investigators hypothesize that nifedipine treatment of severe hypertensive parturient women is more effective than treatment with labetalol or methyldopa in controlling high blood pressure within six hours.",Female,18 Years,50 Years,"Inclusion Criteria:~Pregnant gestational age >= 28 weeks~Systolic blood pressure >=160 mm Hg OR a diastolic blood pressure of >=110 mm Hg measured twice more than 15 minutes apart~Able to swallow pills~>= 18 years~Exclusion Criteria:~Indication for emergent cesarean or known fetal anomaly~Anti-hypertensive therapy received in the past 12 hours~History of eclampsia or other adverse CNS complication (e.g., stroke or PRES) in this pregnancy~Actively wheezing at time of enrollment or history of asthma complications~Known coronary artery disease or type I DM with microvascular complications or signs of heart failure or clinical dissection of the aorta",Included,"The trial explicitly includes pregnant women with severe hypertension, as indicated by the inclusion criteria specifying pregnant women with a gestational age >= 28 weeks.",Inclusion Criteria: Pregnant gestational age >= 28 weeks,1,0,0,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,None,HTN/Pre-eclampsia/Eclampsia,"This trial focuses on the management of severe hypertension in pregnant women using three different oral antihypertensive regimens. The inclusion criteria specifically target pregnant women with severe hypertension, and the trial aims to compare the efficacy, safety, and side effects of the treatments. Therefore, it fits best under the category of 'Hypertension/pre-eclampsia/eclampsia/HELLP syndrome.'",1,1,0,
48,NCT01103063,"A Phase 3, Open Label, Randomized, Comparative Study To Evaluate Azithromycin Plus Chloroquine And Sulfadoxine Plus Pyrimethamine Combinations For Intermittent Preventive Treatment Of Falciparum Malaria Infection In Pregnant Women In Africa",The primary objective is to establish superiority of AZCQ over SP in protective efficacy for IPTp as measured by the proportion of subjects with sub-optimal pregnancy outcome.,Female,16 Years,35 Years,"Inclusion Criteria:~Pregnant women (all gravidae) with ≥14 and ≤26 weeks of gestational age (by ultrasound).~Evidence of a personally signed and dated informed consent/assent document. Assent will be obtained from subjects <18 years of age.~Subjects who are willing to and able to comply with scheduled visits, treatment plan, laboratory tests, and other study procedures.~Subjects who are available for follow up at delivery and on 28 days post delivery.~Exclusion Criteria:~Age <16 years old or >35 years old.~Multiple gestations as per the ultrasound at screening.~Clinical symptoms of malaria.~Hemoglobin < 8 g/dL (at enrollment).~Any condition requiring hospitalization at enrollment.~History of convulsions, hypertension, diabetes or any other chronic illness that may adversely affect fetal growth and viability.~Inability to tolerate oral treatment in tablet form.~Known allergy to the study drugs (azithromycin, chloroquine, and sulfadoxine-pyrimethamine) or to any macrolides or sulphonamides.~Requirement to use medication during the study that might interfere with the evaluation of the study drug eg, trimethoprim-sulfamethoxazole use in subjects positive for HIV infection.~Other severe acute or chronic medical or psychiatric condition or laboratory abnormality that may increase the risk associated with study participation.~Evidence of current obstetric complications that may adversely impact the pregnancy and/or fetal outcomes, including presence of congenital anomalies, placenta previa or abruption.~Known severe Sickle Cell (SS) disease or Sickle Hemoglobin C (SC) anemia.~Known family history of prolonged QT Syndrome, serious ventricular arrhythmia, or sudden cardiac death.",Included,The trial explicitly includes pregnant women aged 16-35 years with 14-26 weeks of gestational age. It does not study nonviable pregnancies or postpartum interventions.,Pregnant women (all gravidae) with ≥14 and ≤26 weeks of gestational age (by ultrasound).,1,0,0,5. Malaria (with or without HIV),None,Malaria/TB,"This trial evaluates the efficacy of azithromycin plus chloroquine versus sulfadoxine plus pyrimethamine for intermittent preventive treatment of falciparum malaria infection in pregnant women in Africa. The inclusion criteria specifically target pregnant women, making it clear that only pregnant individuals can enroll. The primary focus is on malaria prevention, fitting well into the category of 'Malaria (with or without HIV)'. There is no indication that the trial involves pain management.",1,1,0,
49,NCT02299414,A Pragmatic Multicenter Randomized Clinical Trial (RCT) of Antihypertensive Therapy for Mild Chronic Hypertension During Pregnancy: Chronic Hypertension and Pregnancy (CHAP) Project,The purpose of this study is to evaluate whether a blood pressure treatment strategy during pregnancy to achieve targets that are recommended for non-pregnant reproductive-age adults (<140/90 mmHg) compared ACOG- recommended standard during pregnancy (no treatment unless BP is severe) is effective and safe.,Female,12 Years,N/A,"Inclusion Criteria:~Women with chronic hypertension in pregnancy with new or untreated chronic hypertension, blood pressure 140-159 systolic or 90-104 diastolic OR known chronic hypertension on monotherapy and taking any antihypertensive and blood pressure ≤159/104 (including those with blood pressure <140/90);~Singleton; and~viable pregnancy <23 weeks of gestation.~Exclusion Criteria:~Blood pressures prior to randomization ≥160 systolic or ≥105 diastolic (with or without treatment);~Severe hypertension including patients currently treated with >1 antihypertensive medication (more likely to have severe chronic hypertension);~Multi-fetal pregnancy;~Known secondary cause of chronic hypertension;~High-risk co-morbidities for which treatment may be indicated:~Diabetes mellitus diagnosed at age ≤10 years or duration of diagnosis ≥20 years~Diabetes mellitus complicated by end organ damage (retinopathy, nephropathy, heart disease, transplant)~Chronic kidney disease - including baseline proteinuria (>300mg/24-hr, protein/creatinine ratio ≥0.3, or persistent 1+ proteinuria*) or creatinine >1.2.~*If a dipstick value at screening is more than trace, a clean catch or catheter urine should be obtained and re-tested by dipstick. If this shows trace or absence of protein, the patient is included. If it again shows 1+ protein, the patient is excluded until a 24-hr urine <300mg/24hr or p/c ratio is <0.3. If a p/c ratio is >0.3, the patient may be included if a 24-hour urine is < 300 mg.~Cardiac disorders: cardiomyopathy, angina, CAD~Prior stroke~Retinopathy~Sickle cell disease~Known major fetal anomaly;~Known fetal demise;~Suspected IUGR;~Membrane rupture or planned termination prior to randomization;~Plan to deliver outside the consortium centers (unless approved by the Clinical Coordinating Center) or unlikely to follow-up in the opinion of study staff or previous participation in this trial;~Contraindication to labetalol and nifedipine (e.g. know hypersensitivity);~Current substance abuse or addiction (cocaine, methamphetamine)~Participation in another trial without prior approval (CHAP participants will not be enrolled in other trials without prior approval by protocol committee)~Physician or provider refusal~Patient refusal *The minimum age varies by center",Included,The trial explicitly includes pregnant women with chronic hypertension and evaluates a blood pressure treatment strategy during pregnancy.,The purpose of this study is to evaluate whether a blood pressure treatment strategy during pregnancy to achieve targets that are recommended for non-pregnant reproductive-age adults (<140/90 mmHg) compared ACOG- recommended standard during pregnancy (no treatment unless BP is severe) is effective and safe.,1,0,0,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,None,HTN/Pre-eclampsia/Eclampsia,"This trial evaluates antihypertensive therapy for mild chronic hypertension during pregnancy, focusing on achieving blood pressure targets recommended for non-pregnant adults. The inclusion criteria specify pregnant women with chronic hypertension, and the study aims to determine the safety and effectiveness of this treatment strategy during pregnancy.",1,1,0,
50,NCT01005459,Comparison of Spinal Tetracaine With Fentanyl and Epinephrine Versus Bupivacaine With Fentanyl and Epinephrine for Combined Spinal Epidural Labor Analgesia,"The investigators hypothesis is that spinal tetracaine with fentanyl and epinephrine used for CSE labor analgesia volume will last a significantly longer period of time that that of spinal bupivacaine with fentanyl. After informed consent is obtained for the study, subjects meeting criteria when analgesia is requested will be randomized to receive a combined spinal-epidural containing either tetracaine 2 mg with fentanyl and epinephrine or bupivacaine 2 mg with fentanyl and epinephrine.",Female,12 Years,N/A,"Inclusion Criteria:~early labor (>=2cm but =<6cm cervical dilation)~at least 12 years of age~have an assigned ASA physical status 1 or 2~singleton pregnancy~Exclusion Criteria:~contraindications to neuraxial anesthesia~with allergies to drugs used in the study~have an assigned ASA status 3 or 4~advanced labor (> 6cm cervical dilation)~less than 12 years of age~Patients with the potential for distorted epidural anatomy, such as Harrington rods or prior back surgery, will also be excluded.",Included,The trial explicitly includes pregnant individuals as it is focused on labor analgesia for women in early labor.,Inclusion Criteria: early labor (>=2cm but =<6cm cervical dilation),1,0,0,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,Labor induction/management (non-C-section),"The trial compares spinal tetracaine with fentanyl and epinephrine versus bupivacaine with fentanyl and epinephrine for labor analgesia. It involves pregnant individuals in early labor, focusing on pain management during labor. The primary category is labor management, and it evaluates a pain management intervention.",1,1,0,
51,NCT00099632,Maintaining Options for Mothers Study (MOMS): A Phase II Randomized Comparison of Three Antiretroviral Strategies Administered for 7 or 21 Days to Reduce the Emergence of Nevirapine Resistant HIV-1 Following a Single Intrapartum Dose of Nevirapine,"HIV infected pregnant women may take single-dose nevirapine (SD NVP) prior to giving birth to prevent mother-to-child transmission (MTCT) of HIV. However, SD NVP may cause NVP resistance in the mother, potentially ruling out some treatment options in the future. The purpose of this study is to determine which of three anti-HIV drug regimens most effectively reduces the development of maternal NVP resistance in HIV infected pregnant women. The effectiveness of short-term (7 day therapy) versus long-term (21-day therapy) regimens will also be compared.~The study hypotheses are: 1) intrapartum SD NVP with a 21-day course of antiretroviral therapy (ART) results in less frequent selection of NVP-resistant HIV-1 variants than intrapartum SD NVP with a 7-day course of ART, and 2) a 7- or 21-day course of lamivudine/zidovudine (3TC/ZDV), emtricitabine/tenofovir disoproxil fumarate (FTC/TDF), or lopinavir/ritonavir (LPV/r) following SD NVP will not select nucleoside reverse transcriptase inhibitor (NRTI)- or protease inhibitor (PI)- resistant HIV-1 variants.",Female,13 Years,N/A,"Inclusion Criteria for Mothers:~HIV-1 infected~CD4 count 250 cells/mm3 or greater within 30 days of study entry~The following laboratory values obtained within 30 days prior to study entry: absolute neutropil count >= 750/mm3; hemoglobin >= 8.0 g/dL; platelet count >= 50,000/mm3; calculated creatinine clearance (Cockcroft-Gault formula) > 60 mL/min; AST(SGOT) and ALT(SGPT) < 5 x ULN; total bilirubin < 1.5 X ULN.~Pregnant with a viable fetus at 28 to 38 weeks gestation at study entry.~Willing to give birth to baby in a hospital or clinic~Written informed consent from parent or guardian, if applicable~Exclusion Criteria for Mothers:~Any ART, including single-dose NVP, prior to study entry. Mothers who receive ZDV monotherapy prior to labor under the supervision of the site investigator are not excluded.~Known allergy or sensitivity to study drugs or their formulations~Current drug or alcohol abuse that may interfere with the study~Serious illness requiring systemic treatment or hospitalization. Participants who complete therapy or are clinically stable on therapy for at least 14 days prior to study entry are not excluded.~Hepatitis B surface antigen positive within 180 days prior to study entry~Active tuberculosis infection requiring treatment~Prior enrollment in this study~Expect to use ART, except ZDV monotherapy, prior to onset of labor~Expect to use ART other than study medications from delivery to 9 weeks postpartum",Included,The study explicitly includes pregnant women with HIV-1 infection to determine the effectiveness of different antiretroviral regimens in reducing NVP resistance.,HIV infected pregnant women may take single-dose nevirapine (SD NVP) prior to giving birth to prevent mother-to-child transmission (MTCT) of HIV.,1,0,0,"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",None,HIV (PMTCT),"This study focuses on HIV-infected pregnant women and aims to determine the most effective antiretroviral regimen to reduce nevirapine resistance, which is directly related to the prevention of mother-to-child transmission of HIV. The inclusion criteria specifically target pregnant women, and the study's primary goal is to address issues related to HIV transmission during pregnancy.",1,1,0,
52,NCT04656067,Comparative Study Between Oxytocin Versus Tranexamic Acid and Ethamsylate to Reduce Blood Loss Intraoperative and Post Operative During Elective Cesarean Section,"Comparative Study Between Oxytocin Versus Tranexamic Acid and Ethamsylate, Pre-operative Administration.",Female,20 Years,40 Years,"Inclusion Criteria:~Pregnant females admitted for elective Cesarean Section.~Gestational age (38 to 41 weeks).~Age of the participants: 20 to 40 years.~Body Mass Index (18.5 - 29.9).~Singleton living fetus.~No medical disorders.~Informed written consent from the candidates.~Exclusion criteria:~- Medical and surgical disorders as thyroid dysfunction, which was excluded by routine thyroid function test (free T3, free T4, and thyroid-stimulating hormone(TSH), all of them should be within normal limits).~-Bleeding tendency, was excluded by platelet count, coagulation time, bleeding time, prothrombin time, partial thromboplastin time, and thrombin time (all should be within normal).~-Acute and chronic liver or kidney diseases; blood disorders, such as anemia.~-Allergy to Tranexamic acid or any drug used.~-Risk factors for PPH, such as polyhydramnios, fetal macrosomia, antepartum hemorrhage.~- Abnormal placentae such as placenta previa and placental abruption.~-Pregnancy complications such as severe pre-eclampsia, Gestational HTN, Gestational DM, and multi Fetal pregnancies, those requiring blood transfusion.~- Patients who refused spinal anesthesia.",Included,"The study explicitly includes pregnant females admitted for elective Cesarean Section, making it clear that pregnant individuals are included.",Inclusion Criteria: Pregnant females admitted for elective Cesarean Section.,1,0,0,15. C-section/caesarean,28. Postpartum sepsis/hemorrhage/complications,C-sections,"The trial involves pregnant individuals undergoing elective cesarean section and aims to reduce blood loss intraoperatively and postoperatively. The primary focus is on cesarean sections, with a secondary focus on managing postpartum hemorrhage complications.",1,1,0,
54,NCT02326142,"A Phase 2, Double-blind, Parallel Group, Randomised, Placebo Controlled, Proof of Concept Study to Assess the Safety and Efficacy of OBE001 After Oral Administration in Pregnant Women With Threatened Preterm Labour.","The primary objective of this study is to assess the efficacy of a single dose of OBE001, an oral oxytocin antagonist, given for up to 7 days to delay preterm birth by 7 days compared to placebo.",Female,18 Years,N/A,Inclusion Criteria:~Gestational age (GA) between 34^0/7 and 35^6/7 weeks.~Subjects with symptoms of preterm labour.~Subjects with a singleton pregnancy.~Exclusion Criteria:~Foetal death in utero in current pregnancy or in previous pregnancy after gestational week 24 or expected high risk of foetal death in the current pregnancy.~Any contraindications for the mother or the foetus to stop labour or prolong pregnancy or any maternal or foetal conditions likely to indicate iatrogenic delivery.~Use of cervical cerclage or a pessary in situ in the current pregnancy.~The Subject has any condition which in the opinion of the PI constitutes a risk or a contraindication for the participation of the subject in the trial.,Included,"The trial explicitly includes pregnant women with threatened preterm labor, as indicated by the inclusion criteria specifying gestational age and symptoms of preterm labor.",Inclusion Criteria:~Gestational age (GA) between 34^0/7 and 35^6/7 weeks.~Subjects with symptoms of preterm labour.,1,0,0,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,None,Pre-term labor/delivery,"The trial assesses the efficacy of OBE001 in delaying preterm birth in pregnant women with threatened preterm labor. The inclusion criteria specify pregnant women with symptoms of preterm labor, and the primary objective is to delay preterm birth, fitting well into the category of 'Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage'.",1,1,0,
55,NCT01717586,Pravastatin for the Prevention of Preeclampsia in High-Risk Women: A Phase I Pilot Study,The primary purpose of this pilot study is to determine the pharmacokinetic (PK) parameters and collect preliminary safety data for pravastatin when used as a prophylactic daily treatment in pregnant women at high risk of preeclampsia.,Female,18 Years,N/A,"Inclusion Criteria:~Documented history (review of chart or delivery note) of prior severe early onset PE in a prior pregnancy and requiring delivery ≤340/7 weeks' gestation. If in the index pregnancy, the woman was induced at the upper limit of 34 0/7 weeks of pregnancy and delivered within 48 hours in the same hospitalization, that woman could be enrolled. Women with severe PE in a pregnancy remote (greater than 2 pregnancies removed) from the current pregnancy do not qualify.~18 years or older with the ability to give informed consent~Singleton pregnancy~Normal serum transaminase (ALT and AST) concentrations in the last 6-months~Gestational age (GA) between 12 weeks 0 days to 16 weeks 6 days based on clinical information and confirmed by an ultrasound per study procedures.~Willingness to participate in planned PK study visits~Exclusion Criteria:~Known chromosomal, genetic, or major fetal malformations, fetal demise, or planned termination~Patients with contraindications for statin therapy:~Hypersensitivity to pravastatin or any component of the product~Active liver disease (acute hepatitis, chronic active hepatitis, persistently abnormal liver enzymes (2 x normal of serum transaminases)~History of myopathy or rhabdomyolysis~Patients with any of the following conditions:~HIV positive~Status post solid organ transplant~Chronic renal disease/insufficiency with baseline serum creatinine ≥1.5 mg/dL~Uterine malformations (didelphus, bicornuate, unicornate)~Cancer~Statin use in current pregnancy~Current use of medications with potential drug interactions with statins, such as cyclosporine, fibrates, gemfibrozil, niacin, erythromycin, fluconazole, itraconazole, cholestyramine, digoxin, rifampin (patients will not be excluded if the drug has been discontinued, or is prescribed for a short duration of time)~Participating in another intervention study that influences the outcomes of this study~Plans to deliver in a non-network site",Included,The study explicitly includes pregnant women at high risk of preeclampsia and does not mention any postpartum intervention or child-specific treatment.,The primary purpose of this pilot study is to determine the pharmacokinetic (PK) parameters and collect preliminary safety data for pravastatin when used as a prophylactic daily treatment in pregnant women at high risk of preeclampsia.,1,0,0,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,None,HTN/Pre-eclampsia/Eclampsia,"This study focuses on the prevention of preeclampsia in pregnant women, which falls under the category of hypertension/pre-eclampsia/eclampsia/HELLP syndrome. The trial exclusively enrolls pregnant women, as indicated by the inclusion criteria specifying a history of severe early onset preeclampsia in a prior pregnancy. There is no mention of pain management in the study.",1,1,0,
56,NCT05757167,Improving Neonatal Health Through Rapid Malaria Testing in Early Pregnancy With High-Sensitivity,"The purpose of the INTREPiD study is to compare 1st trimester screening for malaria parasites with a high-sensitivity malaria rapid diagnostic test followed by treatment of test-positive women with artemether-lumefantrine (AL) against usual antenatal care on a composite adverse pregnancy outcome including low birth weight, small for gestational age, preterm, fetal loss, or neonatal death.",Female,16 Years,40 Years,Inclusion Criteria:~Aged between 16 years and 40 years (inclusive)~Viable singleton pregnancy with gestational age estimated less than 13 6/7 weeks (inclusive) by ultrasound~HIV-uninfected~Willing to participate in the study schedule~Planning to remain in the study area for the duration of pregnancy and 1 month after delivery~Willing to deliver in a study-affiliated health facility~Exclusion Criteria:~High risk pregnancy that requires referral for specialized care by local guidelines~Active medical problem at the time of screening requiring higher level care~Antimalarial receipt in the 2 weeks prior to screening~Past allergy to Artemether or Lumefantrine or another condition that prohibits the receipt of either drug~Current participation in another clinical research study,Included,The trial explicitly includes pregnant women in the first trimester and follows them through pregnancy and 1 month postpartum. It does not study nonviable pregnancies or interventions for children after birth.,Viable singleton pregnancy with gestational age estimated less than 13 6/7 weeks (inclusive) by ultrasound,1,0,0,5. Malaria (with or without HIV),8. Fetal growth/IUGR/Fetal Growth Retardation,Malaria/TB,"The trial focuses on improving neonatal health through rapid malaria testing in early pregnancy, specifically targeting pregnant women and evaluating outcomes such as low birth weight, small for gestational age, preterm birth, fetal loss, or neonatal death. The primary category is malaria, and a secondary category is fetal growth due to the focus on birth weight and gestational age.",1,1,0,
57,NCT03423147,A Randomized Trial to Determine if a Pre-operative Wash With a Chlorhexidine Gluconate Cloth and Chlorhexidine Gluconate Vaginal Scrub Reduces Infectious Morbidity in Patients Undergoing Cesarean Section After Labor,"Surgical site infections (SSI) are the second most common cause of nosocomial infections accounting for 15% of all nosocomial infections among hospitalized patients and 38% of nosocomial infections in surgical patients. In obstetric patients, infectious morbidity (i.e. SSI, endometritis) occurs in 5-10% of cesarean sections, which is 5-fold higher than vaginal deliveries. Additionally, infectious morbidity is thought to be highest in those patients who have cesarean sections after undergoing labor.~Chlorhexidine, a chemical antiseptic effective on gram positive and gram negative bacteria, reduces skin microflora/colonization but it is not clear if it decreases the risk of SSI.~Historically, chlorhexidine has been studied and used in orthopedic and cardiac implant surgeries. Research on the use of chlorhexidine for SSI prevention in cesarean sections is limited. This study intends to evaluate the effectiveness of use of both chlorhexidine gluconate (CHG) wipe and vaginal scrub in reducing SSI in patients undergoing cesarean section that have previously been laboring. Patients will be randomized to one of two groups: wash with both a pre-operative CHG cloth prior to surgery and chlorhexidine gluconate vaginal scrub in addition to standard preoperative scrub as compared to standard preoperative scrub alone.",Female,18 Years,N/A,Inclusion Criteria:~Women at > 24 weeks gestation who are admitted in labor or admitted for induction of labor at Mount Sinai Hospital~Exclusion Criteria:~Allergy to chlorhexidine~Unplanned or emergency cesarean section~Women at <24 weeks gestation~Estimated fetal weight <500 grams~Fetal face presentation regardless of gestational age.,Included,The trial explicitly includes pregnant women at > 24 weeks gestation who are admitted in labor or admitted for induction of labor. It does not study nonviable pregnancies or postpartum interventions.,Inclusion Criteria: Women at > 24 weeks gestation who are admitted in labor or admitted for induction of labor at Mount Sinai Hospital,1,0,0,15. C-section/caesarean,21. Other infectious disease prevention/treatment (non-vaccine),C-sections,"The trial focuses on reducing infectious morbidity in patients undergoing cesarean section after labor using chlorhexidine gluconate. It exclusively enrolls pregnant individuals undergoing labor or induction of labor, making it a pregnancy-only trial. The primary category is C-section/caesarean due to the focus on cesarean sections, and the secondary category is other infectious disease prevention/treatment (non-vaccine) due to the emphasis on preventing surgical site infections.",1,1,0,
58,NCT00811057,Tocolysis for Preterm Labor,"Preterm birth is the most common and costly complication in obstetrics. It complicates up to 11% of all pregnancies and it is responsible for 70% of sick babies. The ideal way to stop preterm labor when it occurs (which drug to use) is not known. Currently magnesium sulfate is used by about 95% of all practitioners, but recent data suggest magnesium given this way may be harmful for the baby's future development. Other drugs such as antiprostaglandin agents are very effective in stopping uterine activity, but particularly when used for >48 hours have been associated with both maternal and fetal sides effects. Lastly, calcium channel antagonists are effective in stopping contractions and have very little in the way of maternal and fetal side effects, but less data is available in the United States on their use. Because there is no FDA approved drug to stop preterm labor, we purpose to randomize all women with preterm labor (20-34 weeks) to receive one of the above three methods of stopping preterm labor. The primary outcomes will be to see which agent stops the uterine contractions most effectively, for the longest period of time with fewest relapses and results in significant prolongation of pregnancy. If one of these agents is clearly superior to the other two it would help women avoid early delivery or have significant extension of their pregnancy to avoid some of the complications of preterm birth in the baby.",Female,16 Years,45 Years,"Inclusion Criteria:~Pregnancies with intact membranes in confirmed preterm labor;~20 - 32 weeks' gestation;~Cervical dilatation 0 - 3cm versus 4 - 6cm;~No conditions contraindicating continued pregnancy (severe IUGR, chorioamnionitis, non-reassuring fetal tracing - physician judgement); AND~Able and willing to consent to the study protocol.~Exclusion Criteria:~Failure to meet admission criteria;~Known serious fetal malformations;~Severe maternal/obstetric disease affecting the mother or fetus (severe cardiac disease, placental abruption/previa, severe diabetes, severe preeclampsia, etc. - physician judgment);~Allergic to magnesium, antiprostaglandin or calcium channel antagonist;~Refusal or inability to consent to the study",Included,The study explicitly includes pregnant women in preterm labor (20-34 weeks) and aims to evaluate the effectiveness of different tocolytic agents in prolonging pregnancy.,Pregnancies with intact membranes in confirmed preterm labor; 20 - 32 weeks' gestation;,1,0,0,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,None,Pre-term labor/delivery,"This trial focuses on evaluating different drugs for stopping preterm labor, which is a complication specific to pregnancy. The inclusion criteria specifically target pregnant individuals in preterm labor, and the primary outcome is to determine the most effective drug for prolonging pregnancy and preventing preterm birth.",1,1,0,
