,nct_id,official_title,summary,gender,minimum_age,maximum_age,criteria,AnyPregGPT_updated2,Summary.x,Summary_quote,Preg_Only_GPT.x,Nonviable_GPT,Nonviable_quote,Category,Secondary.category,Code,Summary.y,AnyPreg_Rev,Preg_Only_Rev,Category_Rev,Postpartum_Rev
293,NCT02212210,Maternal Epidural Steroids to Prevent Neonatal Exposure to Hyperthermia and Inflammation,"The purpose of this study is to look to see if adding steroids to an epidural reduces the chances of having a fever in labor, and protects the baby from exposure to inflammation.",Female,18 Years,N/A,"Inclusion criteria:~Nulliparity~Age>=18~Patient requests epidural analgesia~GA >= 37 weeks~Exclusion criteria:~No prenatal care~Temperature >99.4 at decision for epidural placement~Cervical dilation >4cm~Diabetes (pre-gestational or gestational)~Autoimmune condition~Pre-eclampsia~Maternal heart disease~Current steroid use~Active infection (bacterial or viral)~Wet Tap (CSF on placement of epidural)~Pre-gestational diabetes~Known systemic infection (bacterial, viral, fungal or tubercular)~Known allergy to steroids~Heart failure~Hypertensive crisis~History of active epilepsy",Included,The study explicitly includes pregnant individuals as it aims to investigate the effects of adding steroids to an epidural during labor to reduce fever and protect the baby from inflammation.,"The purpose of this study is to look to see if adding steroids to an epidural reduces the chances of having a fever in labor, and protects the baby from exposure to inflammation.",1,0,0,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",30. Other - maternal/parental/pregnant person disease or injury,Labor induction/management (non-C-section),"The trial investigates the addition of steroids to an epidural to reduce fever and inflammation during labor, which directly relates to labor management. The inclusion and exclusion criteria focus on pregnant individuals, making it a pregnancy-only trial. The study also addresses labor pain management, hence the Pain variable is set to 1. The secondary category is included due to the focus on maternal complications.",1,1,,
294,NCT05973747,Pharmacokinetic Equivalence of Calcium Gluconate and Calcium Chloride in Parturients,"Calcium is a life saving medicine in the care of parturients. It has many important uses including treatment of hypocalcemia, treatment of magnesium toxicity, prevention of hypocalcemia during blood transfusion (of citrate containing blood products), treatment of hyperkalemia, and others. Recent clinical trials also suggest that calcium given after cord clamping may decrease blood loss in patients undergoing cesarean delivery. 2 FDA approved forms of calcium can be given intravenously: calcium chloride and calcium gluconate. Over the last decade there have been times with drug shortages of either calcium chloride or calcium gluconate. So there have been and likely will continue to be times when one formulation or the other may not be adequately available. Despite the importance of calcium and the frequency in which it is used in parturients, there are no published studies in parturients to determine dose equivalence between calcium gluconate and calcium chloride. In this study the investigators will determine the population pharmacokinetics of calcium gluconate and calcium chloride in parturients and calculate the dose equivalent ratio the two drugs. This will help clinicians select appropriate doses of calcium and provide resilience to the drug supply chain in our era of frequent drug shortages.",Female,18 Years,45 Years,"Inclusion Criteria:~Pregnant female subjects delivering at the study institution via scheduled cesarean delivery at term (>=37 weeks gestation)~Exclusion Criteria:~severe range blood pressure (BP >160/>110) within the 48 hours prior to delivery~patient age <18 years or >45 years~renal dysfunction with serum Cr > 1.0 mg/dL~known history of congenital or acquired cardiac disease or history of arrhythmia~patient taking digoxin~patient currently taking a calcium channel blocker~Weight <55kg or >100kg, or~receiving magnesium infusion within 24 hours prior to or during cesarean delivery~administration of intraoperative doses of calcium by the anesthesiology team for clinical indications",Included,The study explicitly includes pregnant individuals delivering via scheduled cesarean delivery at term (>=37 weeks gestation).,Pregnant female subjects delivering at the study institution via scheduled cesarean delivery at term (>=37 weeks gestation),1,0,0,28. Postpartum sepsis/hemorrhage/complications,30. Other - maternal/parental/pregnant person disease or injury,Labor induction/management (non-C-section),"This trial evaluates the pharmacokinetics of calcium gluconate and calcium chloride in parturients, specifically focusing on their use in preventing hypocalcemia and reducing blood loss during cesarean delivery. The study exclusively enrolls pregnant individuals undergoing scheduled cesarean delivery, making it relevant to postpartum complications and maternal health.",1,1,28. Postpartum sepsis/hemorrhage/complications,
295,NCT04047849,The Effect of Antibiotics on Latency in Previable Prelabor Rupture of Membranes Between 18 0/7 and 22 6/7 Weeks Gestational Age,"This study is a non-blinded, prospective, randomized controlled trial designed to compare the effect of outpatient oral antibiotics (i.e., amoxicillin and azithromycin) on the length of time (days) that pregnancy continues after a patient's water bag has ruptured prematurely. If a patient has been diagnosed with rupture of their water bag between 18 0/7 weeks and 22 6/7 weeks and there are no other associated complications with the pregnancy, the patient is eligible for initial consideration for this study. Patients will be admitted to the hospital for a 24-hour monitoring period. If the patient remains without further complications during this monitoring period, the patient will be eligible for enrollment. If enrollment is desired, the patient will be randomly assigned to receive either antibiotics (treatment arm of the study) or no antibiotics (control arm of the study). The treatment arm will receive an outpatient, 7-day course of oral antibiotics (azithromycin and amoxicillin) with the first dose given in the hospital to ensure no side effects. The control arm will not receive outpatient antibiotics. Both groups will have weekly, office follow-up visits with high-risk pregnancy specialists to ensure no further complications. Both groups will be admitted to the hospital if the patients reach 23 0/7 weeks without complications. At this time the patients will receive all medications and therapies recommended by the governing board of OBGYNs. Subjects of both groups will also be admitted before 23 0/7 weeks if further complications noted either at their clinic follow up visits or anytime outside of the hospital. The duration of time that the patient remains pregnant after breaking of the water bag will be compared in each group. The investigators will also see if there is a difference in the number of patients able to reach 23 0/7 weeks between each group (treatment versus control).",Female,18 Years,N/A,"Inclusion Criteria:~Singleton gestation~Gestational age of greater than 18 0/7 but less than or equal to 22 6/7~Diagnosis of prelabor premature rupture of membranes as determined by clinical examination noting either/or 1) visualization of amniotic fluid passing from the cervical canal and pooling in the vagina via sterile speculum examination, 2) a basic pH (i.e., positive nitrazine) test of vaginal fluid, 3) arborization (ferning) of dried vaginal fluid identified via microscopic examination, or 4) an amniotic fluid index (AFI) of less than 4cm~Greater than or equal to 18 years of age~Those with no known drug allergies or significant adverse reactions to azithromycin or amoxicillin~Afebrile at the time of presentation and throughout 24-hour observation period~Patient must be able to provide informed consent~Exclusion Criteria:~Fetal anomalies in current pregnancy~Diabetes mellitus, including both pre-gestational and gestational~Abnormal placentation~Poor dating with dating ultrasound performed later than or equal to 20 0/7 weeks~Current subchorionic hemorrhage or current vaginal bleeding on presentation~Hypertensive disease, including pre-gestational chronic hypertension, gestational hypertension and pre-eclampsia/eclampsia~History of amniocentesis during this pregnancy~History of cervical incompetence, history of cerclage in previous pregnancy or current cerclage in place~Current documented urinary tract infection or bacteriuria~Current documented genital tract infection (Chlamydia, gonorrhea, or trichomonas)~Immunocompromised (i.e., HIV positive, daily steroid use, or a history of autoimmune disease for which the patient is currently undergoing treatment with immunotherapy medication)",Included,The study explicitly includes pregnant individuals diagnosed with prelabor premature rupture of membranes between 18 0/7 and 22 6/7 weeks gestational age.,"If a patient has been diagnosed with rupture of their water bag between 18 0/7 weeks and 22 6/7 weeks and there are no other associated complications with the pregnancy, the patient is eligible for initial consideration for this study.",1,0,0,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,21. Other infectious disease prevention/treatment (non-vaccine),Pre-term labor/delivery,"This study focuses on the effect of antibiotics on latency in previable prelabor rupture of membranes (PROM) between 18 0/7 and 22 6/7 weeks gestational age. The primary aim is to compare the duration of pregnancy continuation after PROM between those receiving antibiotics and those who do not. The study exclusively enrolls pregnant individuals diagnosed with PROM, making it relevant to the prevention of pre-term labor and premature birth. The use of antibiotics also aligns it with the prevention/treatment of other infectious diseases.",1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,
296,NCT00432991,"A Double-Blind, Placebo-Controlled Study to Evaluate the Effect of Intramuscular Ephedrine on the Incidence of Perioperative Nausea and Vomiting During Elective Cesarean Section",The purpose of this research study is to investigate if the incidence of nausea and vomiting that subjects experience during and after a Cesarean section can be reduced by giving a shot of the drug ephedrine into the thigh muscle at the time of spinal anesthesia administration.,Female,18 Years,40 Years,Inclusion Criteria:~Must be pregnant with a single baby~Must be at term in their pregnancy (estimated gestational age of at least 38 weeks)~Must be scheduled for an elective Cesarean section~Must be between 60-70 tall~Must be free of severe systemic disease (ASA class I or II)~Exclusion Criteria:~Contraindication to spinal anesthesia~Any allergy to any of the medications included in the study~History of pregnancy-induced hypertension or preeclampsia~History of preexisting hypertension~Diabetes mellitus~Hyperemesis gravidum~Previous perioperative nausea and vomiting~History of motion sickness~Women carrying a fetus with a known abnormality will also be excluded from the study,Included,"The study explicitly includes pregnant individuals as it requires participants to be pregnant with a single baby and at term in their pregnancy. The intervention is given during the Cesarean section, not postpartum.",Must be pregnant with a single baby~Must be at term in their pregnancy (estimated gestational age of at least 38 weeks),1,0,0,15. C-section/caesarean,27. Nausea and vomiting during pregnancy/Morning sickness/Hyperemesis,C-sections,"The trial investigates the effect of intramuscular ephedrine on the incidence of perioperative nausea and vomiting during elective Cesarean section. It exclusively enrolls pregnant individuals scheduled for a Cesarean section, making it relevant to both C-section/caesarean and nausea and vomiting during pregnancy categories.",1,1,15. C-section/caesarean,
297,NCT03048422,Phase III Study of the Virologic Efficacy and Safety of Dolutegravir-Containing Versus Efavirenz-Containing Antiretroviral Therapy Regimens in HIV-1-Infected Pregnant Women and Their Infants,"The purpose of this study was to compare the virologic efficacy and safety of three antiretroviral (ARV) regimens, dolutegravir plus emtricitabine/tenofovir alafenamide, dolutegravir plus emtricitabine/tenofovir disoproxil fumarate, and efavirenz/emtricitabine/tenofovir disoproxil fumarate in pregnant women living with HIV-1 and to compare the safety of these regimens for their infants.",Female,18 Years,N/A,"Inclusion Criteria:~Mother is able to provide written informed consent for her and her infant's participation in this study~Mother has confirmed HIV-1 infection based on documented testing of two samples collected at different time points:~Sample #1 may be tested using any of the following:~Two rapid antibody tests from different manufacturers or based on different principles and epitopes~One enzyme immunoassay (EIA) OR Western blot OR immunofluorescence assay OR chemiluminescence assay~One HIV DNA polymerase chain reaction (PCR)~One quantitative HIV RNA PCR (above the limit of detection of the assay)~One qualitative HIV RNA PCR~One total HIV nucleic acid test~Sample #2 may be tested using any of the following:~One rapid antibody test. If this option is used in combination with two rapid tests for Sample #1, at least one of the three rapid tests must be FDA-approved and the third rapid test must be from a third manufacturer or based on a third principle or epitope.~One EIA OR Western blot OR immunofluorescence assay OR chemiluminescence assay~One HIV DNA PCR~One quantitative HIV RNA PCR (above the limit of detection of the assay)~One qualitative HIV RNA PCR~One total HIV nucleic acid test.~See the protocol for more information on this inclusion criterion.~At screening, mother is ART-naive, defined as having not received prior antiretroviral therapy other than ARVs received during prior pregnancies or prior periods of breastfeeding (i.e., receipt of any single, dual, or triple ARV regimen during prior time-limited periods of pregnancy and breastfeeding is permitted). Receipt of up to 14 days of ARVs during the current pregnancy is permitted prior to study entry so that initiation of ARVs during the current pregnancy is not delayed during the study screening period. Note: Non-study ART may be initiated in the current pregnancy prior to initiation of the study screening process. For eligible participants, enrollment must occur within 14 days of non-study ART initiation. Note: Receipt of ARVs during a prior pregnancy or prior period of breastfeeding must have concluded at least six months prior to study entry. Receipt of TDF or FTC/TDF for pre-exposure prophylaxis at any time in the past is not exclusionary (even if received within six months prior to study entry).~At screening, mother has the following laboratory test results (based on testing of samples collected within 14 days prior to study entry):~Grade 1 or lower (less than 2.5 times upper limit of normal [ULN]) alanine aminotransferase (ALT) and aspartate aminotransferase (AST)~Grade 2 or lower (less than or equal to 1.8 times ULN) creatinine~Grade 2 or lower (greater than or equal to 60 mL/min) estimated creatinine clearance (CrCl; Cockcroft-Gault formula). See the protocol for guidance on severity grading. Laboratory tests may be repeated during the study screening period, with the latest result used for eligibility determination.~At screening and at study entry, no evidence of multiple gestation or fetal anomalies, as assessed by best available method~At study entry, gestational age of 14-28 weeks, defined as greater than 13 weeks plus six days and less than 28 completed weeks gestation, estimated by best available method. Note: For this inclusion criterion and the previous inclusion criterion, fetal ultrasound is preferred but not required for purposes of eligibility determination. If ultrasound cannot be performed during the study screening period prior to study entry, it must be performed within 14 days after study entry. As further explained in the protocol, enrolled participants will not be withdrawn from the study based on ultrasound findings obtained after study entry.~At study entry, mother expects to remain in the geographic area of the study site during pregnancy and for 50 weeks postpartum [Eligibility criteria added per Letter of Amendment 1 to V2; July 2018]:~At study entry, mother reports that she does not wish to become pregnant again for at least 50 weeks after her current pregnancy and that she is willing to use effective contraception during this period. Effective contraception may include surgical sterilization (i.e., hysterectomy, bilateral oophorectomy, tubal ligation, or salpingectomy) or any of the following methods:~Contraceptive intrauterine device (IUD) or intrauterine system (IUS)~Subdermal contraceptive implant~Progestogen injections~Progestogen only oral contraceptive pills~Combined estrogen and progestogen oral contraceptive pills~Percutaneous contraceptive patches~Contraceptive vaginal rings~Note: IUDs, IUSs, implants, and injections are strongly recommended due to their lower failure rates with typical use. Male or female condom use is recommended with all contraceptive methods for dual protection against pregnancy and to avoid transmission of HIV and other sexually transmitted infections.~Exclusion Criteria:~Mother is currently incarcerated or involuntarily confined in a medical facility~Mother is currently receiving:~A psychoactive medication for treatment of a psychiatric illness~Treatment for active tuberculosis~Treatment for active hepatitis C infection~Mother is expected to require treatment with interferon and/or ribavirin for hepatitis C infection during the study follow-up period~Mother has a history of any of the following, as determined by the site investigator or designee based on maternal report and available medical records:~Hypersensitivity or clinically significant adverse reaction to any of the ARVs included in the three study drug regimens (ever)~Antiretroviral drug resistance mutations that would impact selection of ART regimen (ever)~Clinically significant heart disease and/or known prolonged corrected QT (QTc) interval (ever)~Suicidal ideation or attempt (ever)~HIV-2 infection (ever)~Zika virus infection, diagnosed or suspected, during the current pregnancy~Receipt of any antiretroviral medication within six months prior to study entry, with two exceptions: receipt of any duration of TDF or FTC/TDF for pre-exposure prophylaxis or receipt of up to 14 days of ARVs during the current pregnancy~Receipt of any prohibited medication within 14 days prior to study entry (see the protocol for more information)~Clinically significant acute illness requiring systemic treatment and/or hospitalization (i.e., major medical condition that is likely to lead to hospitalization and/or to an adverse pregnancy outcome) within 14 days prior to study entry~Unstable liver disease (defined by the presence of ascites, encephalopathy, coagulopathy, hypoalbuminemia, esophageal or gastric varices, or persistent jaundice) or known biliary abnormalities (with the exception of Gilbert's syndrome or asymptomatic gallstones) within 14 days prior to study entry~Note: Testing to rule out HIV-2 infection is not required.~Mother or fetus has any other condition that, in the opinion of the site investigator or designee, would make participation in the study unsafe, complicate interpretation of study outcome data, or otherwise interfere with achieving the study objectives",Included,The study explicitly includes pregnant women living with HIV-1 and evaluates the safety of antiretroviral regimens for both the mothers and their infants. The inclusion criteria specify that the mother must be pregnant and within a certain gestational age range. The study also follows up with the mother for 50 weeks postpartum.,"The purpose of this study was to compare the virologic efficacy and safety of three antiretroviral (ARV) regimens, dolutegravir plus emtricitabine/tenofovir alafenamide, dolutegravir plus emtricitabine/tenofovir disoproxil fumarate, and efavirenz/emtricitabine/tenofovir disoproxil fumarate in pregnant women living with HIV-1 and to compare the safety of these regimens for their infants.",1,0,0,"4. HIV (non-PMTCT, NO malaria, NO tuberculosis)",None,HIV (non-PMTCT),"This study compares the virologic efficacy and safety of different antiretroviral therapy regimens in pregnant women living with HIV-1 and their infants. The trial exclusively enrolls pregnant women, making it a pregnancy-only study. The primary focus is on HIV treatment, fitting best under the category of 'HIV (non-PMTCT, NO malaria, NO tuberculosis)'. There is no indication of pain management being evaluated.",1,1,"4. HIV (non-PMTCT, NO malaria, NO tuberculosis)",
298,NCT03098407,A Pilot Randomized Comparative Effectiveness Clinical Trial of Buprenorphine vs. Methadone for the Treatment of Opioid Dependence in Pregnancy.,"The incidence of opioid dependence in pregnancy increased over the last decade from 1.2 to 5.8 per 1,000 hospital births per year.1 While methadone is the current, standard treatment for opioid dependent (OD) pregnant women, buprenorphine recently emerged as an alternative. In a recent clinical trial (MOTHER), buprenorphine was associated with superior neonatal outcomes such as shorter duration of treatment for neonatal abstinence syndrome (NAS) compared to methadone. However, buprenorphine was also associated with greater study discontinuation (33% vs. 18%) and illicit opioid use (33% vs. 23%) compared to methadone. Treatment dropout often leads to relapse and resumption of high-risk behaviors, overshadowing any short-term improvement in neonatal outcomes. Therefore, The goal of this K23 proposal is to conduct a pilot study to establish the feasibility and acceptability of a randomized comparative effectiveness clinical trial comparing office-based buprenorphine vs. federally licensed methadone programs for the treatment of OD pregnant women.~A pilot study is critical to develop the outcome measures, assessment tools and participant tracking techniques necessary for a future, large-scale comparative effectiveness clinical trial. An examination of feasibility and acceptability will also allow use to characterize the subpopulations of OD pregnant women willing to participate in treatment randomization, identify patient and provider characteristics associated with established treatment preferences and inform the development of strategies to improve participation and enhance the generalizability of the future large-scale clinical trial.",Female,18 Years,N/A,"Inclusion Criteria:~Pregnant women 18+ years old, with a singleton pregnancy ≤ 28 weeks gestation confirmed by ultrasound, who meet Diagnostic and Statistical Manual-IV criteria for opioid dependence confirmed by urine drug screen (UDS), who are interested in opioid maintenance treatment and plan to receive prenatal care and deliver at Magee Womens Hospital (MWH) will be recruited.~Exclusion Criteria:~(1) active, current dependence on benzodiazepines or alcohol~(2) acute severe psychiatric condition in need of immediate treatment (e.g. suicidal ideations)~(3) pending or legal action that could prohibit or interfere with participation (e.g. incarceration)~(4) current, established treatment with methadone or buprenorphine. Exclusion criteria are based on the Substance Abuse and Mental Health Services Administration (SAMHSA) recommendations for office-based buprenorphine use.",Included,"The trial explicitly includes pregnant women with opioid dependence, aiming to compare the effectiveness of buprenorphine vs. methadone for treatment during pregnancy.","Pregnant women 18+ years old, with a singleton pregnancy ≤ 28 weeks gestation confirmed by ultrasound, who meet Diagnostic and Statistical Manual-IV criteria for opioid dependence confirmed by urine drug screen (UDS), who are interested in opioid maintenance treatment and plan to receive prenatal care and deliver at Magee Womens Hospital (MWH) will be recruited.",1,0,0,17. Opioid use disorder/Substance use disorder/OUD/SUD,None,Substance use/cessation,"This trial focuses on comparing buprenorphine vs. methadone for treating opioid dependence in pregnant women. The inclusion criteria specifically target pregnant women, making it clear that the trial is exclusively for this population. The primary category is opioid use disorder/substance use disorder, and there is no secondary category that fits well. Pain management is not a focus of this trial.",1,1,17. Opioid use disorder/Substance use disorder/OUD/SUD,
299,NCT02213094,Phase I Study of Nicotinamide for Early Onset Preeclampsia,"This is a Phase I study of vitamin B3-amide (nicotinamide) dietary supplementation in pregnant women with early onset preeclampsia. The investigators will enroll 10 pregnant women at 24-32 weeks' gestation with the diagnosis of preeclampsia. If the woman is anticipated to remain undelivered for 48 hours after diagnosis she will receive vitamin B3-amide, 500 mg/day given in the morning (n=5) or 1000 mg given in the morning (n=5), continuing until delivery or for 14 days, whichever occurs first. Maternal blood will be collected at baseline and twice a day on days 1, 3, and 7 of nicotinamide administration to measure nicotinamide metabolites, The objectives of this Phase I study are to to test safety of nicotinamide.",Female,18 Years,45 Years,"Inclusion Criteria:~Maternal age 18-45 years~Informed written consent~Preeclampsia or new onset hypertension between 24-32 completed weeks' gestation~Hypertensive complications of pregnancy defined as new onset systolic BP > 140 mm Hg and/or diastolic BP > 90 mm Hg on two occasions 6 hours apart; OR > 300 mg proteinuria on 24 hour urine collection OR urine P/C ratio >0.3;~Dating criteria based on menstrual dating confirmed by first or second trimester ultrasound OR second trimester ultrasound if menstrual dating unavailable;~Deemed clinically stable by primary clinician and candidate for expectant management (delayed delivery);~Maternal liver function tests < 3x ULN~Maternal platelet count > 100,000 mm3~Fetal well-being established by estimated fetal weight > 5th %tile; normal amniotic fluid volume (MVP > 2 cm); normal Umbilical Artery Dopplers; AND reactive NST(non-stress test) or BPP (biophysical profile) > 6~Plan for expectant management until delivery~Delivery not anticipated within first 48 hours~Exclusion Criteria:~Preeclampsia < 24 or > 33 weeks' gestation;~Suspected fetal structural or chromosomal abnormality;~Pre-existing renal disease (creatinine > 1.5 mg/dL)~Pre-existing vascular disease (systemic lupus; cardiac disease;)~Plan for delivery within 48 hours~Any pre-existing medical condition that would increase risk for liver toxicity (e.g. hepatitis B or C; HIV)~Evidence of cerebral dysfunction (seizures; cerebral edema on CT/MRI; headache unresolved with oral analgesics)~Pulmonary edema~HELLP (hemolysis, elevated liver enzymes, low platelets syndrome)~Evidence of liver dysfunction (LFTs > 3x ULN)~Thrombocytopenia (platelets < 100,000 mm3)~Evidence of fetal compromise: EFW(estimated fetal weight) < 5th percentile; BPP < 6; absent or reverse diastolic UA blood flow; oligohydramnios (MVP < 2 cm)~Placental abruption defined as unexplained vaginal bleeding~Preterm labor defined as regular contractions and cervical change~Any condition deemed by the investigator to be a risk to mother or fetus in completion of the study~Any condition deemed by the investigator to require delivery within 48 hours",Included,The study explicitly includes pregnant women with early onset preeclampsia between 24-32 weeks' gestation.,This is a Phase I study of vitamin B3-amide (nicotinamide) dietary supplementation in pregnant women with early onset preeclampsia.,1,0,0,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,7. Nutrition supplementation/Vitamin D/folic acid (DO NOT INCLUDE IRON OR ANEMIA),HTN/Pre-eclampsia/Eclampsia,"This Phase I study investigates the safety of vitamin B3-amide (nicotinamide) dietary supplementation in pregnant women with early onset preeclampsia. The trial exclusively enrolls pregnant women diagnosed with preeclampsia, making it relevant to the category of Hypertension/pre-eclampsia/eclampsia/HELLP syndrome. Additionally, since the intervention involves a dietary supplement, it also fits under Nutrition supplementation/Vitamin D/folic acid.",1,1,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,
300,NCT03502915,Randomized Controlled Trial of Nitrous Oxide Analgesia in External Cephalic Version (ECV),This study seeks to determine the effectiveness of nitrous oxide in reducing the anxiety and pain associated with external cephalic version (ECV); a maneuver to turn the fetus from breech to cephalic position.,Female,18 Years,N/A,"Inclusion Criteria:~Female 18 years or greater~Scheduled to undergo external cephalic version due to singleton breech presentation~Not scheduled to have spinal or epidural anesthesia during the version procedure~American Society of Anesthesiology (ASA) Physical Status 1, 2 or 3.~Able to provide informed consent and adhere to study protocol~Exclusion Criteria:~Current or historical evidence of any clinically significant disease or condition, especially cardiovascular or neurological conditions that, in the opinion of the Investigator, may increase the risk of exposure to nitrous oxide or complicate the subject's post-procedural course.~Significant medical conditions or laboratory results that, in the opinion of the Investigator, indicate an increased vulnerability to study drugs and procedures.",Included,"The study involves pregnant individuals undergoing external cephalic version, a procedure to turn the fetus from breech to cephalic position. Therefore, pregnant individuals are explicitly included.",Scheduled to undergo external cephalic version due to singleton breech presentation,1,0,0,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,Labor induction/management (non-C-section),"The trial evaluates the effectiveness of nitrous oxide in reducing anxiety and pain during external cephalic version (ECV), a procedure related to labor management. The inclusion criteria specify pregnant individuals undergoing ECV, making it relevant to labor and delivery. The focus on pain management justifies the 'Pain' variable.",1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",
301,NCT03275623,Management of Sub-Clinical Bacteriuria in Pregnancy: A Feasibility Trial,"The purpose of the study is to determine if treatment of pregnant women with urine cultures with a low level of bacteria (less than 100,000 colony forming units (CFU)) may decrease adverse pregnancy outcomes.",Female,18 Years,N/A,"Inclusion Criteria:~Pregnant women who seek prenatal care within the University of Texas Health System with UT Physicians.~Urine culture of less than 100,000 CFU~Exclusion Criteria:~Less than 18 years of age~Risk factors to complicated UTI (including but not limited to: diverticula, urolithiasis, renal cysts, indwelling catheter, intermittent catheterization, stent placements, nephrostomy tubes, neurogenic bladder, cystocele, vesicoureteral reflux, ileal conduit)~Use of immunosuppressant drugs~Abnormalities of the urinary tract (including but not limited to: known ureteric or urethral strictures, tumors of the urinary tract, pelvicalyceal obstruction, congenital anomalies, history of urological procedures)~History of renal disease including renal failure and transplants~Urine culture > 100,000 CFU of any organism",Included,"The study explicitly includes pregnant women as part of the inclusion criteria, focusing on the treatment of sub-clinical bacteriuria in pregnancy.",Inclusion Criteria: Pregnant women who seek prenatal care within the University of Texas Health System with UT Physicians.,1,0,0,24. UTI,None,Other infectious diseases,"The trial focuses on the treatment of sub-clinical bacteriuria in pregnant women to decrease adverse pregnancy outcomes. The inclusion criteria specifically mention pregnant women, and the condition being studied is related to urinary tract infections (UTI).",1,1,24. UTI,
302,NCT00424814,Prevention of HIV1 Mother to Child Transmission Without Nucleoside Analogue Reverse Transcriptase Inhibitors in the Pre-partum Phase. A Multicenter Randomised Phase II/III Open Label Study With a Group of 100 Pregnant Women Receiving Lopinavir/Ritonavir and a Group of 50 Receiving Lopinavir/Ritonavir Plus Zidovudine and Lamivudine. ANRS 135 Primeva,"In the pre-partum phase the use of antiretroviral therapy for the mother during the last trimester of pregnancy is mandatory. The use of HAART during pregnancy, usually two nucleosides analogues and a protease inhibitor exposes the mother and the child to cumulate toxicities related to both families. The aim of this study is to assess the use of a boosted protease inhibitor without nucleoside analogue during the pre-partum phase for women with no indication of antiretroviral therapy for their own.",Female,18 Years,N/A,"Inclusion Criteria: Assessed between 20 and 24 months of pregnancy~Pregnancy known before 24 weeks of gestation~Documented HIV-1 infection without indication for ARV therapy~CD4 count above or equal to 350 per mm3~VL under 30 000 copies per ml~Naïve for PI (except treatment during previous pregnancy)~Informed consent signed~Exclusion Criteria:~HIV2 infection or HIV1 group O infection~Any pathology related to pregnancy~Contra-indication to study drugs~Unstable hypertension or diabetes~Known risk of premature delivery~In case of previous treatment with a protease inhibitor : presence of resistance mutations on the HIV-1 protease gene by genotyping analysis (1 mutation among V32I et I47A, I50V V82A/F/S/T, I84V, L90 M or more than 3 mutations among L10 F/I/R/V, K20/M/R, L24I, L33F, M46I/L, F53L, I54M/L/T/V, L63P, A71L/V/T,)",Included,The trial explicitly includes pregnant women in the last trimester of pregnancy to assess the use of a boosted protease inhibitor without nucleoside analogue during the pre-partum phase.,In the pre-partum phase the use of antiretroviral therapy for the mother during the last trimester of pregnancy is mandatory.,1,0,0,"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",None,HIV (PMTCT),"This trial focuses on the prevention of mother-to-child transmission of HIV-1 during the pre-partum phase using antiretroviral therapy. It specifically enrolls pregnant women, making it a clear fit for the category 'HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)'. There is no indication that the trial involves pain management.",1,1,"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",
303,NCT00473707,A Randomized Trial of Active Versus Expectant Management of the Third Stage of Labor,"The purpose of this study is to determine if giving oxytocin immediately after delivery causes less bleeding, transfusion needs and hastens delivery of placenta.",Female,16 Years,N/A,Inclusion Criteria:~Singleton gestation~Cephalic presentation~>37 weeks gestation~>16 years of age~Exclusion Criteria:~Multiple gestation~Breech presentation~Blood dyscrasias~Multiparous females Para >5~Placenta previa~Patients on anticoagulants~Previous history of postpartum hemorrhage~IUFD~Non-reassuring fetal heart rate pattern,Included,"The trial includes pregnant individuals as it involves the management of the third stage of labor, which occurs immediately after delivery. The inclusion criteria specify pregnant individuals with singleton gestation and >37 weeks gestation.","The purpose of this study is to determine if giving oxytocin immediately after delivery causes less bleeding, transfusion needs and hastens delivery of placenta.",0,0,0,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",28. Postpartum sepsis/hemorrhage/complications,Labor induction/management (non-C-section),"The trial focuses on the management of the third stage of labor, specifically evaluating the use of oxytocin to reduce postpartum hemorrhage, which is directly related to labor management and postpartum complications. The inclusion and exclusion criteria confirm that the study is exclusively for pregnant individuals.",Excluded,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",1
