"","nct_id","official_title","summary","criteria","Postpartum_GPT","Postpartum_quote.x","Enrolls_postpartum","Postpartum_intervention","Postpartum_quote.y"
"18","NCT04236258","A Randomized Controlled Trial Comparing Nifedipine and Enalapril in Medical Resources Used in the Postpartum Period","This study evaluates whether nifedipine or enalapril is better at decreasing the amount of medical resources used in the postpartum period by women who have high blood pressure in pregnancy and the postpartum period. Half of participants will receive enalapril while the other half will receive enalapril. We will compare the two groups in the amount of medical resources used which we are defining as prolonged hospitalizations, unscheduled medical visits and/or hospital readmissions in the postpartum period.","Inclusion Criteria:~diagnosis of any hypertensive disorder of pregnancy/postpartum period or chronic hypertension~provider wanting to initiate antihypertensive in the postpartum period~the patient is not currently on >1 antihypertensive~plans to receive postpartum care at the hospital or affiliated clinic~Exclusion Criteria:~sustained pulse <60 or >120 BPM over four hours~allergy to any of the antihypertensives~creatinine greater than or equal to 1.5~strict contraindication to any of the antihypertensives~history of failed treatment with any of the antihypertensives","Postpartum intervention","This study evaluates whether nifedipine or enalapril is better at decreasing the amount of medical resources used in the postpartum period by women who have high blood pressure in pregnancy and the postpartum period.",1,1,"provider wanting to initiate antihypertensive in the postpartum period"
"19","NCT03364491","Tranexamic Acid for the Prevention of Obstetrical Hemorrhage After Cesarean Delivery: A Randomized Controlled Trial","A randomized placebo-controlled trial of 11,000 women to assess whether tranexamic acid as prophylaxis lowers the risk of postpartum hemorrhage in women undergoing a cesarean delivery.","Inclusion Criteria:~Scheduled or unscheduled cesarean delivery~Singleton or twin gestation~Exclusion Criteria:~Age less than 18 years~Transfusion or planned transfusion of any blood products during the current admission because the primary outcome is already pre-determined and the need for transfusion will be unrelated to perioperative hemorrhage~Recent diagnosis or history of venous thromboembolism or arterial thrombosis because TXA is a risk factor for thromboembolism, and its use is contraindicated~Known congenital or acquired thrombophilias, including antiphospholipid antibody syndrome, because of the increased risk of thrombosis~Seizure disorder (including eclampsia) because TXA is a GABA receptor antagonist, and its use has been associated with postoperative seizures~Serum creatinine 1.2 or higher or on dialysis, with renal disease, or a history of renal insufficiency, because TXA is substantially excreted by the kidney, and impaired renal function may increase the risk of toxic reactions.~Sickle cell disease, because of substantial use of perioperative transfusion unrelated to hemorrhage. Sickle cell trait is not an exclusion per se.~Autoimmune diseases such as lupus, rheumatoid arthritis, Sjogren's disease, and inflammatory bowel disease because of hypercoagulability and the increased risk of thrombosis or thromboembolism~Need for therapeutic dose of anticoagulation before delivery, because the risk of thrombosis may be increased with TXA~Treatment with clotting factor concentrates, because the risk of thrombosis may be increased with TXA~Presence of frank hematuria, because the risk of ureteral obstruction in those with upper urinary tract bleeding may be increased with TXA~Patient refusal of blood products because the primary outcome is then pre-determined~Receipt of TXA; or planned or expected use of TXA prophylaxis~Active cancer, because of risk of thromboembolism~Congestive heart failure requiring treatment, because of risk of thrombosis~History of retinal disease, because the risk of central retinal artery or vein obstruction may be increased with TXA~Acquired defective color vision or subarachnoid hemorrhage, since TXA is contraindicated~Hypersensitivity to TXA or any of the ingredients~No hemoglobin result available from the last 4 weeks, since it is necessary to measure the post-operative change in hemoglobin~Scheduled cesarean delivery and quota for scheduled deliveries already met. Quotas on the number of scheduled and unscheduled deliveries will be placed to ensure approximately equal distribution of scheduled and unscheduled cesarean deliveries.~Participation in this trial in a previous pregnancy. Patients who were screened in a previous pregnancy, but not randomized, may be included.~Participating in another intervention study where the primary outcome includes postpartum bleeding or thromboembolism, or the study intervention directly affects postpartum bleeding or thromboembolism~Receipt of uterotonics, other than oxytocin, or planned or expected use of uterotonic prophylaxis~Symptomatic for COVID-19 infection within 14 days prior to delivery","Postpartum intervention","A randomized placebo-controlled trial of 11,000 women to assess whether tranexamic acid as prophylaxis lowers the risk of postpartum hemorrhage in women undergoing a cesarean delivery.",0,0,""
"20","NCT04227704","Postpartum Depression After Cesarean Delivery: Ketamine as a Preventative Intervention: A Feasibility Pilot-study","The investigators plan to randomise participants to receive ketamine or placebo control subcutaneously or by 40-minute intravenous infusions and will follow them up for 42 days to assess the incidence of postpartum depression. This feasibility pilot study is designed to explore the adequacy of the study procedures and tolerability of the interventions.","Inclusion criteria:~Term pregnancy~Age 18-45 years of age~Scheduled cesarean delivery under neuraxial anesthesia~Exclusion criteria:~ASA classification IV or V~History of psychotic episodes~History of allergy to ketamine~Inability to communicate in English or any other barrier to providing informed consent","Postpartum intervention","The investigators plan to randomise participants to receive ketamine or placebo control subcutaneously or by 40-minute intravenous infusions and will follow them up for 42 days to assess the incidence of postpartum depression.",0,0,""
"21","NCT03152877","Efficacy of Extended-Release Liposomal Bupivacaine for Post-Partum Pain Management Following Obstetrical Laceration: A Prospective, Randomized, Single-Blinded Trial","We propose a prospective, randomized, single blinded trial with subjects recruited from the WRNMMC Labor and Delivery Unit to study post-partum efficacy of Exparel® for pain control in patients undergoing a vaginal delivery who sustained a second, third, or fourth degree obstetrical laceration. Subjects who meet inclusion criteria and agree to participate in the study will be consented upon admission for active labor or induction of labor and will be randomized to receive either 20mL of liposomal bupivacaine or 20ml of 0.25% plain bupivacaine, infiltrated through the perineum at completion of their obstetrical repair. Current standard of care is to receive no injection of local anesthetic upon completion of the repair.~The primary aim of the trial will be to evaluate post-partum pain using a visual analogue pain scale at days 1, 3 and 7 postpartum. All subjects will have acetaminophen, a non-steroidal anti-inflammatory drug and narcotic pain medication available for pain control regardless of assignment, which is the usual post-partum pain control regimen.~We anticipate a 30% difference in post-operative pain measurements between the Exparel® group and the plain bupivacaine group. Other aims of this study are to evaluate total medication usage, comparing the study group to the control, and compare quality of life measures between the two study groups.","Inclusion Criteria:~Pregnant females >18 years of age who sustained a second, third, or fourth degree laceration during a vaginal delivery, or operative vaginal delivery (forceps-assisted or vacuum-assisted) at Walter Reed National Military Medical Center~Exclusion Criteria:~Known allergy to amide local anesthetics~Unstable cardiac arrhythmia~Hepatic impairment~Regular use of narcotic pain medication, defined as use on most days of week at any time in the three months prior to surgery~Significant history of opioid or alcohol abuse or addiction (requiring treatment)~Delivery of a fetal demise","Postpartum intervention","The primary aim of the trial will be to evaluate post-partum pain using a visual analogue pain scale at days 1, 3 and 7 postpartum.",0,1,"post-partum efficacy of Exparel® for pain control in patients undergoing a vaginal delivery who sustained a second, third, or fourth degree obstetrical laceration."
"22","NCT00805545","The Timing of Antibiotic Prophylaxis for Cesarean Delivery","The current standard of care to prevent post partum infectious morbidities is to administer antibiotic prophylaxis to all women undergoing a cesarean delivery. The general practice is to administer the antibiotic immediately after the umbilical cord is clamped. This study will compare the incidence of post partum infectious morbidities when the extended spectrum prophylaxis given before the incision time vs. the time of cord clamp.","Inclusion Criteria:~All Patients undergoing cesarean delivery~Exclusion Criteria:~Patients diagnosed with chorioamnionitis at the time of decision~Patients that require an emergency cesarean delivery~Patients that decline participating on the study","Postpartum intervention","The current standard of care to prevent post partum infectious morbidities is to administer antibiotic prophylaxis to all women undergoing a cesarean delivery.",0,0,""
"23","NCT01146457","The Optimal Dosage of Intrathecal Morphine for Peripartum Analgesia","The purpose of this study is to determine the ideal dosage of intrathecal morphine for intra and post partum analgesia, while minimizing the side effect profile.","Inclusion Criteria:~singleton pregnancy,~at least 36 weeks gestational age,~active labor (≤ 5 cm dilation) requesting neuraxial analgesia,~ASA I or II,~not currently taking pain medications.~Exclusion Criteria:~multiple gestation,~preterm labor,~systemic opioids in the past 4 hours,~chronic pain syndromes,~chronic opioid use,~contraindications to regional anesthesia,~allergies to opioids,~significant co existing medical problems,~severe pregnancy induced hypertension,~sedatives,~magnesium therapy,~diabetes type 1.","Postpartum intervention","The purpose of this study is to determine the ideal dosage of intrathecal morphine for intra and post partum analgesia.",0,0,"The purpose of this study is to determine the ideal dosage of intrathecal morphine for intra and post partum analgesia, while minimizing the side effect profile."
"24","NCT02891174","A Randomized-controlled Trial to Assess the Effect of Ibuprofen on Post-partum Blood Pressure in Women With Hypertensive Disorders of Pregnancy","To assess the effect of routine doses of ibuprofen on post-partum blood pressure control in women with gestational hypertension (gHTN) or preeclampsia without severe features (preE).","Inclusion Criteria:~Antepartum women~Diagnosis of Gestational Hypertension or Pre-eclampsia by blood pressure ≥140 systolic or ≥90 diastolic, on at least 2 measurements ≥ 4 hours apart; with or without proteinuria (urine protein-creatinine ratio ≥0.3 or 24 hour-urine protein ≥300 mg).~Taking one or fewer oral medications for blood pressure control.~Singleton gestation.~English-speaking~Exclusion Criteria:~Allergy to nonsteroidal anti-inflammatory drugs, aspirin, or acetaminophen~More than 1 severe range blood pressure (≥160 systolic or ≥110 diastolic) prior to enrollment.~Neurologic symptoms attributed to hypertension (headache, visual changes) prior to enrollment.~Pulmonary edema.~Elevated AST (>60 international units/L) or ALT (>70 international units/L) prior to enrollment.~Low platelet count (<100,000/microliter) prior to enrollment.~Renal insufficiency (creatinine > 1.1 or double the baseline creatinine if known) prior to enrollment.~Chronic hypertension defined as hypertension pre-existing pregnancy or diagnosed prior to 20-weeks' gestation.~Moderate- or severe-persistent asthma.~Therapeutic anticoagulation.~Chronic opiate use during the pregnancy (opiate therapy given daily for > 2 weeks).~Lactose intolerance or allergy due to placebo containing lactose.~Cesarean delivery.~Additional anesthesia at time of delivery (spinal anesthesia, sedation) that would change routine pain management.","Enrolls postpartum","To assess the effect of routine doses of ibuprofen on post-partum blood pressure control in women with gestational hypertension (gHTN) or preeclampsia without severe features (preE).",1,1,"To assess the effect of routine doses of ibuprofen on post-partum blood pressure control in women with gestational hypertension (gHTN) or preeclampsia without severe features (preE)."
"25","NCT02027272","Eclampsia and Posterior Reversible Encephalopathy Syndrome (PRES): A Randomized Clinical Trial Evaluating Corticosteroid Efficacy to Augment Standard Therapy and Shorten Recovery.","This is a double blinded, placebo-controlled trial to determine if IV dexamethasone more quickly than placebo assists resolution of Posterior Reversible Encephalopathy Syndrome (PRES) encountered in eclamptic patients. All patients regardless of assignment to placebo or steroid will receive standard therapy to include magnesium sulfate, blood pressure medications and diuretics. We hypothesize that the addition of dexamethasone to standard therapy will accelerate CNS recovery more quickly than standard management without dexamethasone.","Inclusion Criteria:~Currently 34 weeks pregnant or within 6 weeks postpartum~At least 18 years of age~Singleton or twin gestation~Patient or family sign informed consent~Diagnosis of eclampsia~Able to obtain MRI scanning within 24hours of hosp admit and/or seizure~Exclusion Criteria:~Neither pregnant nor within first 6 weeks postpartum~Patient or family unable to sign informed consent~Less than 18 years of age~Triplet or higher order gestation~Unable to obtain MRI scanning within 24 hours of hospital admission (~Diagnosis of cerebral hemorrhage~Patient in whom MRI is contraindicated","Enrolls postpartum","Inclusion Criteria:~Currently 34 weeks pregnant or within 6 weeks postpartum",1,1,"Currently 34 weeks pregnant or within 6 weeks postpartum"
"26","NCT00067340","Northwest Alaska Center to Reduce Oral Health Disparity Project 2: Caries Transmission Prevention in Alaska Native Infants","The purpose of this study is to conduct a community based, randomized control trial to determine if the use of chlorhexidine mouth rinse and xylitol-sweetened chewing gum will reduce the vertical transmission of caries between Alaska Native mothers to their infants.","primiparous or multiparous pregnant Alaska Native mothers of all ages~in the last month of pregnancy~reside in the health service delivery area of the native health corporation, in one of the communities with the highest birth counts from 2002~eligible for obstetric care from the health corporation~plan to give birth to their infant in a specified city of Alaska","Postpartum intervention","The purpose of this study is to conduct a community based, randomized control trial to determine if the use of chlorhexidine mouth rinse and xylitol-sweetened chewing gum will reduce the vertical transmission of caries between Alaska Native mothers to their infants.",0,0,""
"27","NCT00074399","Nevirapine (NVP) Use to Prevent Maternal-Infant HIV Transmission: A Randomized Clinical Trial of Two Doses of NVP Compared to Six Weeks of NVP for the Prevention of Maternal-Infant HIV Transmission in the Breastfeeding Infant","HIV can be transmitted from an HIV infected mother to her infant through her breast milk. The purpose of this study is to determine whether giving infants of HIV infected mothers the anti-HIV drug nevirapine (NVP) for six weeks will reduce the risk of HIV transmission.~Study hypothesis: Six weeks of nevirapine prophylaxis provided to the infant will decrease HIV transmission through breastfeeding.","Inclusion Criteria:~HIV infection, documented on two separate specimens~Estimated gestational age at enrollment of 32 weeks or more as indicated by last menstrual cycle and fundal height~Permanent residency in Addis Ababa~Plan to deliver at a hospital affliated with the study (Tikur Anbessa Hospital, Gandhi hospital, or St. Paul's Hospital)~Hemoglobin >= 7.5 gm/dl within 4 weeks prior to study entry~Serum glutamic pyruvic transaminase (SGPT) < 5 times upper limit of normal within 4 weeks prior to study entry~Serum creatinine < 1.5 mg/dl within 4 weeks prior to study entry~Consent form signed by the mother and, when possible, by the father, prior to the onset of labor","Postpartum intervention","The purpose of this study is to determine whether giving infants of HIV infected mothers the anti-HIV drug nevirapine (NVP) for six weeks will reduce the risk of HIV transmission.",0,0,""
"28","NCT00120471","A Phase I Open Label Trial of the Safety and Pharmacokinetics of Tenofovir Disoproxil Fumarate in HIV-1 Infected Pregnant Women and Their Infants","To prevent mother-to-child transmission (MTCT) of HIV in resource-limited countries, a simple yet effective treatment plan is needed. Tenofovir disoproxil fumarate (TDF) is an anti-HIV drug approved for use in the United States for the treatment of HIV infected adults. The purpose of this study is to determine the safety, tolerability, and blood levels of TDF in HIV infected pregnant women and their babies. The study will be conducted at sites in Malawi and Brazil.","Inclusion Criteria for HIV Infected Pregnant Women:~HIV-1 infected~Intend to deliver at the study site~Willing to be contacted or visited at home~Willing to be admitted to and remain in the delivery facility through Day 3 postpartum (Cohort 1) or Day 7 postpartum (Cohorts 2 and 3)~Exclusion Criteria for HIV Infected Pregnant Women:~Prior treatment with TDF~Active opportunistic infection~Serious bacterial infection~Chronic malabsorption or diarrhea during the current pregnancy~Clinically significant disease or condition that, in the opinion of the study clinician, would interfere with the study~Known multiple gestation (twins, etc.) prior to study entry~Participation in any other therapeutic or vaccine trial during the current pregnancy~Use of certain medications~Any other condition or situation that, in the opinion of the investigator, would interfere with the study~For Cohort 4, use of atazanavir or lopinavir/ritonavir (Kaletra) within 2 weeks of anticipated delivery~Exclusion Criteria for Infants Born to HIV Infected Pregnant Women:~Birth weight of less than 2 kg (4.4 lbs)~Severe congenital malformation or other medical condition that may affect survival and, in the opinion of the clinician, participation in this study~Grade 2 or higher serum creatinine level or any other Grade 3 or higher toxicity~Part of a multiple birth (twins, etc.)","Enrolls postpartum","Willing to be admitted to and remain in the delivery facility through Day 3 postpartum (Cohort 1) or Day 7 postpartum (Cohorts 2 and 3)",1,0,"Willing to be admitted to and remain in the delivery facility through Day 3 postpartum (Cohort 1) or Day 7 postpartum (Cohorts 2 and 3)"
"29","NCT04733157","The Efficacy of Tranexamic Acid in Preventing Postpartum Haemorrhage After Caesarean Section","This study seeks to determine if the using tranexamic acid prophylactically at caesarean section will prevent postpartum haemorrhage which is a major cause of maternal mortality in Zimbabwe and globally.","Inclusion Criteria: Women undergoing elective or emergency caesarean section with:~Estimated gestational age of 37 weeks or more~Live intrauterine foetus~Elective or emergency caesarean delivery~Signed informed consent~Exclusion Criteria:~History of coagulopathies or conditions predisposing them to thromboembolic phenomena,~seizure history,~autoimmune disease,~placental abruption,~placenta praevia,~abnormally adherent placentae if identified on prenatal ultrasound,~eclampsia or HELLP syndrome,~known hypersensitivity to TXA,~planned general anaesthesia,~caesarean delivery for the second twin or second/third triplet(s) after vaginal birth of the first twin,~poor understanding of English/Shona languages,~those who have received anticoagulants in the week before delivery~persons-under-investigation for Coronavirus disease (COVID-19) and confirmed COVID-19 positive women","Postpartum intervention","This study seeks to determine if the using tranexamic acid prophylactically at caesarean section will prevent postpartum haemorrhage which is a major cause of maternal mortality in Zimbabwe and globally.",0,0,""
"30","NCT02793622","Prevention of Malaria in HIV-uninfected Pregnant Women and Infants","This will be a double-blinded randomized controlled phase III trial of 782 HIV uninfected pregnant women and the children born to them. HIV uninfected women at 12-20 weeks gestation will be randomized in equal proportions to one of two intermittent preventive treatment in pregnancy (IPTp) treatment arms: 1) monthly sulfadoxine-pyrimethamine (SP), or 2) monthly dihydroartemisinin-piperaquine (DP). Both interventions arms will have either SP or DP placebo to ensure adequate blinding is achieved in the study. Follow-up for the pregnant women will end approximately 6 weeks after giving birth. All children born to mothers enrolled in the study will be followed from birth until they reach 12 months of age.","Inclusion Criteria:~Pregnancy confirmed by positive urine pregnancy test or intrauterine pregnancy by ultrasound~Estimated gestational age between 12-20 weeks~Confirmed to be HIV uninfected by rapid test~16 years of age or older~Resident of Busia District, Uganda~Provision of informed consent by the pregnant woman for herself and her unborn child~Agreement to come to the study clinic for any febrile episode or other illness and avoid medications given outside the study protocol~Plan to deliver in the hospital~Exclusion Criteria:~History of serious adverse event to SP or DP~Active medical problem requiring inpatient evaluation at the time of screening~Intention of moving outside of Busia District, Uganda~Chronic medical condition requiring frequent medical attention~Prior SP preventive therapy or any other antimalarial therapy during this pregnancy~Early or active labor (documented by cervical change with uterine contractions)","Enrolls postpartum","Follow-up for the pregnant women will end approximately 6 weeks after giving birth.",0,0,""
"31","NCT02722356","Outcomes After Implementation of a New Oxytocin Protocol for the Prevention of Postpartum Hemorrhage in Non-emergent Cesarean Sections","The proposed study is a prospective, randomized, active control, open label study. One hundred sixty subjects undergoing elective cesarean section will be randomly assigned to one of two groups (n = 80 per group): the oxytocin protocol group or the standard practice group. The oxytocin protocol group will receive oxytocin boluses along with a regulated infusion according to a stepwise algorithm following delivery of the placenta. The standard practice group will receive oxytocin via a free flowing (wide-open) infusion with a concentration of 30 IU per 500 mL of 0.9% normal saline following the delivery of the placenta. Primary outcomes include uterine tone (adequate or inadequate) as assessed by the surgeon, amount of time required to establish adequate uterine tone following the delivery of the infant, total dose of oxytocin required to establish adequate uterine tone, and total calculated blood loss based on pre-operative and post-operative hematocrit concentrations. Secondary outcomes include total estimated blood loss as agreed upon by the surgeon and the anesthesia provider, use of additional uterotonic drugs, mean arterial pressure, and incidence of oxytocin side effects (nausea, chest tightness/pain, and ST-segment changes).","Inclusion Criteria:~Pregnant women with American Society of Anesthesiologists (ASA) physical status II (subjects with ASA physical status III based solely on a body mass index [BMI] ≥ 40 will be included in the study)~Over 18 years of age~Undergoing an elective cesarean section under neuraxial anesthesia~Exclusion Criteria:~Maternal or obstetrician refusal~Multiple gestation~Ruptured membranes~Abnormal placentation~Preexisting coagulopathy~Macrosomia~Chorioamnionitis~Diabetes mellitus (preexisting, not gestational)~Uterine fibroids~Contraindication to neuraxial anesthesia~Previous allergic reaction to synthetic oxytocin","Postpartum intervention","The oxytocin protocol group will receive oxytocin boluses along with a regulated infusion according to a stepwise algorithm following delivery of the placenta.",0,0,""
"32","NCT00270296","Lopinavir/Ritonavir/Combivir vs. Abacavir/Zidovudine/Lamivudine for Virologic Efficacy and the Prevention of Mother-to-Child HIV Transmission Among Breastfeeding Women With CD4 Counts Greater Than or Equal to 200 Cells/mm3 in Botswana","Anti-HIV drug regimens have dramatically improved the rates of prevention of mother-to-child transmission (MTCT) of HIV in developed countries. However, little is known of the effectiveness of such regimens in developing countries, such as Botswana. This study will determine whether Trizivir (TZV), a single pill containing abacavir sulfate, lamivudine, and zidovudine (ABC/3TC/ZDV), or lopinavir/ritonavir (LPV/r) and lamivudine/zidovudine (3TC/ZDV) is more effective in reducing HIV-1 viral load and preventing MTCT among HIV infected pregnant women in Botswana.","Inclusion Criteria for Mothers:~HIV-infected~At least at 26th week of pregnancy (treatment group) or 18th week of pregnancy (observational group) but not beyond the 34th week of pregnancy~Able to complete study visits until at least 6 months postpartum~Citizen of Botswana~Exclusion Criteria for Mothers:~Taken ARVs for more than 1 week, other than ZDV, during current or prior pregnancy. Women who have received single-dose NVP in a prior pregnancy are not excluded.~Certain abnormal laboratory values~Plan to formula feed~Known fetal abnormalities that suggest the fetus will not survive to 6 months of gestational age~Known allergy or medical contraindication to any of the study drugs~Require certain medications~Previous participation in the Prevention of Milk-Borne Transmission of HIV-1C in Botswana (Mashi) study~Currently incarcerated","Enrolls postpartum","Able to complete study visits until at least 6 months postpartum",0,0,""
"33","NCT01585129","Treatment Utility of Postpartum Antibiotics in Chorioamnionitis","To determine if prophylactic postpartum antibiotics are required post-cesarean delivery for pregnancies with treated chorioamnionitis.","Inclusion Criteria:~Clinical diagnosis of chorioamnionitis~Undergoing cesarean section for delivery~Exclusion Criteria:~Multiple gestations,~Allergy to beta-lactam antibiotics~Patients with estimated creatinine clearance (ClCr) less than 70 mL/min~Maternal fever explained by etiology other than chorioamnionitis~Inability to comply with the study protocol.","Postpartum intervention","To determine if prophylactic postpartum antibiotics are required post-cesarean delivery for pregnancies with treated chorioamnionitis.",1,1,"To determine if prophylactic postpartum antibiotics are required post-cesarean delivery for pregnancies with treated chorioamnionitis."
"34","NCT05245227","A Randomized Controlled Trial of Double Simultaneous Uterotonic Agents (Misoprostol Plus Intravenous Oxytocin) Versus Single Agent Regimen (Intravenous Oxytocin Only) to Prevent Early Postpartum Hemorrhage","To determine the effectiveness of using two medications simultaneously versus one medication, as is standard of care, in preventing early postpartum hemorrhage.~There have been studies that looked at giving two medications and that there were reduced odds of postpartum hemorrhage.~Specific Aim 1: Determine if double simultaneous uterotonic agent regimen (misoprostol and oxytocin) is superior to single agent (oxytocin only) in reducing postpartum hemorrhage.~Specific Aim 2: Determine any potential side effects of a double simultaneous uterotonic agentregimen (misoprostol and oxytocin) versus a single agent (oxytocin only).","Inclusion Criteria:~- All women 18 years and older admitted to delivery at Stony Brook University hospital who agree to participate in the study~Exclusion Criteria:~Women under 18 years old~Women with known coagulation disorders~Women with planned cesarean hysterectomy~Women with known placental accreta spectrum disorders~Women with known allergy to prostaglandins","Postpartum intervention","The trial evaluates the effectiveness of medications in preventing early postpartum hemorrhage, which occurs after childbirth.",1,1,"to prevent early postpartum hemorrhage"
"35","NCT00402389","Randomized Controlled Trial of Omega-3 Fatty Acids for Perinatal Depression","This study will evaluate the effectiveness of using omega-3 fatty acids to treat women with perinatal depression.","Inclusion Criteria:~Women who are pregnant (12 to 32 weeks gestation) or postpartum~Meets criteria for a major depressive episode~Scores a minimum of 9 on the Edinburgh Postnatal Depression scale~Must be able to be treated on an outpatient basis~Exclusion Criteria:~Known intolerance or allergy to omega-3 fatty acid or fish oil~Presently taking antidepressant medication~Currently using heparin or warfarin (compounds used to prevent blood from clotting)~Presence of psychotic symptoms~History of mania (abnormally elevated mood state) or hypomania (same as mania but occurs at a much lesser degree)~Active suicidal ideation (desire to commit suicide)","Enrolls postpartum","Inclusion Criteria:~Women who are pregnant (12 to 32 weeks gestation) or postpartum",1,0,"Women who are pregnant (12 to 32 weeks gestation) or postpartum"
"36","NCT00147420","RCT of Zhi Byed 11 (ZB11) Versus Misoprostol in Tibet","Previous research has confirmed that hemorrhage is among the most commonly encountered pregnancy complications in the Tibet Autonomous Region (TAR). This trial will test the effectiveness of a traditional Tibetan drug (Zhi Byed 11) vs. misoprostol to prevent postpartum hemorrhage (PPH) among women delivering vaginally in three hospitals in Lhasa, TAR.","Inclusion and Exclusion Criteria~Adult, pregnant women who satisfy all the following criteria may be enrolled in the study. Pregnant women:~who are delivering during the study period at one of the three hospitals~who are 18 years of age or older at the time of delivery~who are 28 weeks or more pregnant~who are likely to have a normal vaginal delivery~with singleton intrauterine pregnancy with vertex presentation either in early labor or in anticipation of induction of labor, and~whose fetus is alive (has a heart rate >100bpm) at the time of screening~who are able to give informed consent.~Any of the following criteria will exclude a woman from study participation:~pre-term labor (<28 weeks)~previous or planned cesarean delivery~current multiple gestations~active hemorrhaging~severe anemia (Hgh <7)~hypertension (persistent BP>140/90 or greater OR hypertension requiring treatment) [this criteria was omitted mid-study]~maternal history of bleeding disorders~known allergies to any medications (severe chronic allergic conditions)~body temperature greater than 38ºC~asthma (asthma requiring treatment)~mental disability~unable to focus on consent process due to imminent delivery~To be eligible for participation as a care provider, the participant must satisfy the following criteria:~obstetrical care provider to pregnant woman in the study~at least 18 years of age~must be a physician or nurse midwife","Postpartum intervention","This trial will test the effectiveness of a traditional Tibetan drug (Zhi Byed 11) vs. misoprostol to prevent postpartum hemorrhage (PPH) among women delivering vaginally in three hospitals in Lhasa, TAR.",0,0,""
"37","NCT05705427","Simplifying Hepatitis B Care in Pregnancy by Combining Birth-dose Vaccine and Tenofovir: The COMBAT HBV Feasibility Trial","This is a double-blind, randomized placebo-controlled trial (RCT) of a prophylaxis-for-all approach to prevention of mother-to-child transmission (PMTCT) of hepatitis B virus (HBV) in the Democratic Republic of Congo (DRC). HBV-infected pregnant women will be randomized to either receive tenofovir or placebo beginning at 28-32 weeks' gestation and continuing through 4 weeks' postpartum. Women will be followed every 4-6 weeks throughout the prenatal and postpartum period to evaluate for side effects related to the medication. Infants will receive a birth-dose of HBV vaccine, ideally within 24 hours. Participants will be followed longitudinally through 6 months' postpartum.","Inclusion Criteria:~Pregnant women ≥18 years of age who present for routine prenatal care between 28-32 weeks' gestation and who test HBV-positive by point-of-care hepatitis B surface antigen test. Women must intend to seek maternity and postpartum care exclusively at one of the Kinshasa-based study maternity centers.~Infants born to enrolled women will be included in the study~Exclusion Criteria:~Individuals with abnormal creatinine by point-of-care testing~Any woman who plans to move outside of Kinshasa Province during the study period.~Any HIV-positive individual, determined by routine point-of-care screening at antenatal care visits","Postpartum intervention","Women will be followed every 4-6 weeks throughout the prenatal and postpartum period to evaluate for side effects related to the medication.",1,0,"continuing through 4 weeks' postpartum"
"38","NCT03978767","Preeclampsia And Nonsteroidal Drugs for Analgesia (PANDA): a Randomized Non Inferiority Trial","A randomized non-inferiority trial of women with preeclampsia with severe features to determine if the addition of nonsteroidal anti-inflammatory drugs is inferior or non-inferior to standard analgesic bundles in their impact on postpartum hypertension.","Inclusion Criteria:~Women at > 23 weeks gestational age undergoing vaginal or cesarean delivery at Barnes-Jewish Hospital with:~An antepartum diagnosis of preeclampsia with severe features~Pre-eclampsia with severe features will be defined as:~Elevated blood pressure ≥ 160/110, or~Pre-eclampsia in the setting of thrombocytopenia (platelet count < 100,000), or~Impaired liver function (AST elevated to twice upper limit of normal), or~Persistent epigastric pain, or~Renal insufficiency (serum creatinine of 1.1 mg/dl or doubling of prior value), or~Pulmonary edema, or~New onset visual disturbance or headache unresponsive to therapy.~Exclusion Criteria:~NSAID allergy~Allergy to acetaminophen~Antihypertensive use in this pregnancy prior to 20 weeks gestation~Chronic kidney disease or Acute kidney injury with Creatine clearance less than 60 mL/min~Inability to obtain consent~Opioid abuse disorder~Peptic ulcer disease.","Postpartum intervention","to determine if the addition of nonsteroidal anti-inflammatory drugs is inferior or non-inferior to standard analgesic bundles in their impact on postpartum hypertension",1,1,"to determine if the addition of nonsteroidal anti-inflammatory drugs is inferior or non-inferior to standard analgesic bundles in their impact on postpartum hypertension."
