,nct_id,official_title,summary,criteria,conditions,Erectile,Erectile_summary,Erectile_quote,Review,
46,NCT00705861,"A 12 Week, Multi-center, Randomized, Double Blinded, Placebo-controlled, Parallel Group, Fixed Dose Study to Assess the Efficacy and Safety of SK3530 on Erectile Dysfunction in Patients With Diabetes Mellitus",The purpose of this study is to evaluate the efficacy and safety of SK3530 on erectile dysfunction in Patients with Diabetes Mellitus.,"Inclusion Criteria:~clinical diagnosis of type 1 or type 2 diabetes.~Score below 25 from IIEF EF domain during 4 weeks of treatment run-in period.~Failure rate above 50% from sexual attempt above 4 during 4 weeks of treatment run-in period.~Exclusion Criteria:~Lab abnormality.~Uncontrolled diabetic mellitus(HbA1c > 12%).~High or low blood pressure, orthostatic hypotension.~Hyper- or hypo-thyroidism.",erectile dysfunction,1,The trial is specifically focused on assessing the efficacy and safety of SK3530 for treating erectile dysfunction in patients with diabetes mellitus.,The purpose of this study is to evaluate the efficacy and safety of SK3530 on erectile dysfunction in Patients with Diabetes Mellitus.,1,
49,NCT01352507,An Evaluation of Tadalafil and Sildenafil Treatment in Men With Erectile Dysfunction in China,"The primary objective of this study is to evaluate whether, after two 8-week treatment periods, male patients with erectile dysfunction (ED) in China prefer 20 milligram (mg) tadalafil or 100 mg sildenafil. This trial consists of two treatment periods of 8 weeks each and an extension phase of 8 weeks, for a total of 24 weeks.","Inclusion Criteria:~Study Subjects~Are able to read, understand and provide signed informed consent.~Have a history ED of any etiological classification (psychogenic, organic, or mixed) and any severity for at least 3 months.~Have never taken any phosphodiesterase 5 (PDE5) inhibitor for the treatment of ED.~Anticipate having the same female sexual partner during the study for recording responses to efficacy questionnaires. If a qualifying participant has more than one female partner during the study, the participant will not be excluded from the trial. However, the participant will be required to respond to the questionnaires based on his sexual interactions with only one of these partners.~Make at least 4 sexual intercourse attempts, with the female sexual study partner, during the 4-week run-in period and during the final 4 weeks of each 8-week treatment period.~Not use any ED treatment including the use of herbal therapy and traditional Chinese medicine (TCM) for the treatment of ED other than study medication at any time during the study and for 96 hours after study completion.~Partners~Are female, at least 18 years of age at screening and will have the same male study subject as her sexual partner during the study.~Are able to read, understand and provide signed informed consent.~Agree to make at least 4 sexual intercourse attempts with the male sexual study partner during the 4-week run-in phase and during the final 4 weeks of each 8-week treatment period.~Willing to participate in recording responses to efficacy questionnaires, sexual quality of life questionnaires and other instruments used in this study.~Exclusion Criteria:~Present with ED caused by other primary sexual disorders including premature ejaculation or ED caused by untreated endocrine disease.~Have a history of radical prostatectomy, or other pelvic surgery with subsequent failure to achieve erection.~Have a history of penile implant.~Have a clinically significant penile deformity in the opinion of the investigator.~Exhibit evidence of clinically significant renal insufficiency as determined by the investigator, or defined as receiving renal dialysis or having an estimated creatinine clearance of less than (<)30 milliliters per minute (mL/minute) at screening, as calculated by the local laboratory using the Cockcroft-Gault formula.~Exhibit evidence of active symptomatic hepatobiliary disease at Visit 1.~Exhibit Hemoglobin A1c greater than (>) 11 percent (%) at screening, in patients with a history of diabetes mellitus of any type.~Present with chronic stable angina treated with long-acting nitrates, or with chronic stable angina requiring short-acting nitrates in the last 90 days, or with angina occurring during sexual intercourse in the last 6 months.~Have met the criteria for unstable angina within 6 months before screening, or have a history of myocardial infarction or coronary artery bypass graft surgery within 90 days before screening, or percutaneous coronary intervention within 90 days before screening.~Have any supraventricular arrhythmia with an uncontrolled ventricular response (mean heart rate >100 bpm) at rest, or have any history of spontaneous or induced sustained ventricular tachycardia (heart rate >100 beats per minute (bpm) for greater than or equal [≥] to 30 seconds) despite medical or device therapy, or use an internal cardioverter-defibrillator.~Have a history of sudden cardiac arrest despite medical or device therapy.~Exhibit any evidence of congestive heart failure within 6 months before screening.~Have had a new or significant cardiac conduction defect within 90 days before screening.~Exhibit systolic blood pressure >170 or <90 milliliters of mercury (mm Hg) or diastolic blood pressure >100 or <50 mm Hg at screening, or have a history of malignant hypertension.~Have retinitis pigmentosa.~Have a history of significant central nervous system injuries (including stroke and spinal cord injury) within the last 6 months.~Have a history of human immunodeficiency virus (HIV) infection.~Have a condition that in the opinion of the investigator would interfere with the patient's ability to provide informed consent or comply with study instructions, would place the patient at increased risk, or might confound the interpretation of study results.~Currently receive treatment with nitrates, alpha [1]-adrenergic blockers (such as doxazosin), cancer chemotherapy, or antiandrogens (except finasteride taken as Propecia™ or Proscar® or Avodart® [dutasteride]).~Have a history of drug, alcohol, or substance abuse within the past 6 months, as assessed by the investigator.~Have received treatment within the last 30 days with a drug that has not received regulatory approval for any indication at the time of study entry.~Patients who are currently taking TCM for ED treatment within the last 30 days prior to study entry or planned concomitant administration of TCM for ED treatment during study enrolment.~Are currently enrolled in, or discontinued with the last 30 days from a clinical trial involving an investigational product or unapproved use of a drug or device, or concurrently enrolled in any other type of medical research judged not to be scientifically or medically compatible with this study. Patients who have been screen failures in other studies may be eligible if they satisfy the inclusion/exclusion criteria.~Have a history of loss of vision in one eye because of non-arteritic anterior ischemic optic neuropathy (NAION), regardless of whether this episode was in connection or not with previous PDE5 inhibitor exposure.~Have rare hereditary problems of galactose intolerance, the Lapp lactase deficiency or glucose-galactose malabsorption lactose intolerance.~Are currently in a sexual relationship with a female of child-bearing potential where no form of birth control is being used. A female of child-bearing potential is a female who is not surgically or chemically sterilized and who is between menarche and 1-year post menopause.~Are currently in or are planning to be in a sexual relationship with a pregnant female or are currently in a relationship where either partner is actively trying to conceive.",erectile dysfunction,1,"This clinical trial is focused on evaluating the preferences of male patients with erectile dysfunction (ED) in China for two different treatments, tadalafil and sildenafil. The study's primary objective and inclusion criteria specifically target individuals with ED, making it clear that the trial is centered on this condition.","The primary objective of this study is to evaluate whether, after two 8-week treatment periods, male patients with erectile dysfunction (ED) in China prefer 20 milligram (mg) tadalafil or 100 mg sildenafil.",1,
50,NCT00379756,"A Randomized, Double-blind, Placebo-controlled, Parallel-group, Study Evaluating the Efficacy, Safety, and Duration of Erection of Flexible-dose Vardenafil Administered for 12 Weeks Compared to Placebo in Subjects With Erectile Dysfunction and Dyslipidemia","This is a study consisting of four periods (screening, run-in, treatment, follow-up). A four-week treatment-free, run-in period where the subject will make at least four attempts at intercourse on four separate days with at least 50% of the attempts must be unsuccessful. During run-in the subjects will be using a stopwatch to measure the time from erection perceived hard enough for penetration until withdrawal from the partner's vagina. Next there are 12 weeks of treatment with either placebo or LEVITRA. Each subject will be required to visit the clinic on 5 occasions over a period of 4 months.","Inclusion criteria:~Males with ED for more than six months, according to the NIH Consensus Statement (inability to attain and/or maintain penile erection sufficient for satisfactory sexual performance).~Stable heterosexual relationship for more than 6 months.~The subject must make at least four attempts at sexual intercourse (according to the question in the subject diary: Was sexual activity initiated with the intention of intercourse?) on four separate days during the untreated baseline period. At least 50% of attempts during this period must be unsuccessful, according to the following questions from the subject diary [at least one question should be answered No]: Were you able to achieve at least some erection (some enlargement of the penis)? Were you able to insert your penis into your partner's vagina? Did your erection last long enough for you to have successful intercourse?~Diagnosis of dyslipidemia treated with a stable dose of a statin for 6 months at Visit 1.~IIEF-EF domain score of 25 denoting mild to severe ED at Visit 2.~Documented, dated, written Informed Consent.~Exclusion criteria:~Premature ejaculator <2 minutes~Any unstable medical, psychiatric, spinal cord injury, penile anatomical abnormalities, or substance abuse disorder that MD feels subject will not be able to complete the study.~Low sexual desire.~Prior prostatectomy surgery~Severe chronic or acute liver disease, history of moderate or severe liver impairment~Clinically significant chronic hematological disease~Bleeding disorder or significant active peptic ulceration.~Cardiovascular conditions that prevent sexual activity.~History of heart attack, stroke, or life-threatening arrhythmia within the prior 6 months.~hypotension or hypertension at rest.~cancer within the past 5 years. Use of these medications: nitrates or nitric oxide donors, anti-androgens, oral or injectable androgens, received any investigational drug (including placebo) within 30 days of screening (Visit 1).~Use of any treatment for ED within 7 days of screening including oral medications, vacuum devices, constrictive devices, injections or urethral suppositories.~Subjects who are taking the following potent inhibitors of cytochrome P-450 3A4.~Abnormal Laboratory Values:~serum total testosterone level >25% below the lower limit of normal~serum creatinine >3.0 mg/dl.~AST and/or ALT >3x the upper limit of normal.",erectile dysfunction,1,"The trial is focused on evaluating the efficacy, safety, and duration of erection of Vardenafil in subjects with erectile dysfunction and dyslipidemia. The inclusion criteria specifically mention males with ED for more than six months, and the study involves measuring erection duration and success of intercourse attempts.","A Randomized, Double-blind, Placebo-controlled, Parallel-group, Study Evaluating the Efficacy, Safety, and Duration of Erection of Flexible-dose Vardenafil Administered for 12 Weeks Compared to Placebo in Subjects With Erectile Dysfunction and Dyslipidemia",1,
54,NCT04686916,"A Randomised, Double-Blind, Placebo-Controlled, Crossover Trial Studying the Efficacy and Safety of IP2018 in Young, Depressed, Erectile Dysfunction (ED) Patients","This is a Phase IIa, randomised, double-blind, placebo-controlled, 3-period, crossover study to assess two single oral dose levels of IP2018. It is planned to enrol 24 patients. Patients will take part in three treatment periods, in which they will be randomised to receive either a single dose of IP2018 or a single dose of placebo in each treatment period.","Inclusion Criteria:~- Male patients with a diagnosis of mild to moderate depression and ED as determined from the Hamilton depression scale score of 7 to 23 and International Index of Erectile Function (IIEF-5) score of 12 to 18, respectively, with a body mass index of 18 to 32 kg/m2 (inclusive), of any ethnic origin.~Exclusion Criteria:~- Any significant cardiovascular, pulmonary, hepatic, renal, gastrointestinal (GI), haematological, endocrinological, metabolic, neurological, psychiatric conditions, or history of fainting or syncope or such condition that, in the opinion of Investigator, may place the patient at unacceptable risk as a participant in the study, may interfere with the interpretation of safety or tolerability data obtained in this study, or may interfere with the absorption, distribution, metabolism or excretion of drugs, or with the completion of treatment according to this protocol.",erectile dysfunction,1,"The trial is specifically focused on studying the efficacy and safety of IP2018 in patients with erectile dysfunction (ED), as indicated by the title and inclusion criteria which require a diagnosis of ED.","A Randomised, Double-Blind, Placebo-Controlled, Crossover Trial Studying the Efficacy and Safety of IP2018 in Young, Depressed, Erectile Dysfunction (ED) Patients",1,
55,NCT00282607,"A Randomized, Placebo-Controlled, Double-Blind, Parallel Design Phase 2 Dose Ranging Trial To Assess The Safety and Efficacy of DA-8159 Tablets in Male Subjects With Erectile Dysfunction.","The purpose of this study will be to evaluate the clinical efficacy and safety of DA-8159, an orally administered, potent and selective inhibitor of PDE5, versus placebo for the treatment of subjects with erectile dysfunction (ED).","Inclusion Criteria:~Is male and at least 19 years of age.~Has a stable monogamous relationship for at least 6 months with a consenting female partner (vaginal intercourse is a required study activity).~Provides written informed consent.~The subject's female partner provides written informed consent.~Has a history of ED (clinically defined as the inability to attain and maintain an erection of the penis sufficient to permit satisfactory sexual intercourse) of at least 3 months duration. The investigator will record the etiology of the ED (organic, psychogenic or mixed).~Has scored between 6-25 for the Erectile Function domain score (Questions Number 1-5, 15) at both Visits 1 & 2.~Completes least four diary entries by Visit 2, showing at least 4 attempts at sexual intercourse with a 50% or greater failure rate in achieving or in maintaining an erection sufficient to complete intercourse (defined as answering no to SEP questions #2 or #3).~The subject's partner is not pregnant or lactating and both subject and partner agree to the use of a medically acceptable form of birth control. Exceptions would be subjects with a vasectomy or partners that are post menopausal, and partners that have had a tubal ligation or hysterectomy.~Exclusion Criteria:~Has a history of stroke, myocardial infarction, or coronary artery disease within the past 6 months.~Has a history of cardiac failure, angina, or life-threatening arrhythmia within the past 6 months.~Is taking nitrate medication in any form(Appendix 7)~Is taking alpha blockers.~Has a clinically significant abnormal laboratory value as determined by the principal investigator.~Has a history of uncontrolled diabetes (HbA1c>9%).~Has a history of proliferative diabetic retinopathy.~Has a history of spinal cord injury or a radical prostatectomy or radical pelvic surgery.~Has a supine blood pressure lower than 90/50mmHg or uncontrolled hypertension higher than 170/100mmHg.~Has a anatomical deformity of the penis such as severe penile fibrosis or Peyronie's disease.~Has a thyroid stimulating hormone (TSH) level lower than 30% of LLN.~Has erectile dysfunction caused by neurological or endocrine factors such as hyperprolactinemia or low serum testosterone levels (<300 ng/dl).~Has hepatic impairment (GOT, GPT levels > 3 x ULN).~Has renal impairment (serum creatinine ≥ 2.5mg/dl).~Has a history of hematological disorder such as bleeding disorder or a risk of GI bleeding such as peptic ulceration.~Has a history of retinitis pigmentosa.~Has a history of sickle cell disease, multiple myeloma, leukemia or any other disorders that may cause priapism.~Has a history of significant psychiatric disorder.~Has a history of central nervous system disorders such as stroke, transient ischemic attacks, or spinal cord injury.~Has a history of drug abuse (alcohol, marijuana, cocaine, or opiates).~Has a known sensitivity to drugs especially to phosphodiesterase type 5 inhibitors such as Viagra, Cialis or Levitra.~Has used other erectile dysfunction therapies including nutraceutical and herbal products within 14 days prior to entering into this study.~Is using concomitant medications that are known or suspected to interact with PDE 5 inhibitors such as the following:~Antibacterial: erythromycin~Antifungals: itraconazole, ketoconazole~Antivirals: ritonavir, saquinavir, amprenavir, indinavir, nelfinavir~H2 receptor antagonist: cimetidine~Anticoagulants, androgens, trazodone~Have other sexual disorders such as hypoactive sexual desire.~Have previously failed to respond to PDE-5 inhibitors such as Viagra, Cialis or Levitra.~Have a major illness that in the opinion of the investigator would interfere with the conduct of the study.~Has not participated in a clinical drug study within the last 30 days prior to entering this study.",erectile dysfunction,1,This trial is focused on evaluating the safety and efficacy of DA-8159 specifically for the treatment of erectile dysfunction in male subjects.,"The purpose of this study will be to evaluate the clinical efficacy and safety of DA-8159, an orally administered, potent and selective inhibitor of PDE5, versus placebo for the treatment of subjects with erectile dysfunction (ED).",1,
56,NCT02224846,"Postmarketing Surveillance Study: A Randomized, Open-Label, 3-Month Interventional Study of Tadalafil Effectiveness (2.5 mg and 5 mg) and Long-Term Safety Administered Once Daily in Chinese Men With Erectile Dysfunction","The purpose of this study is to evaluate the safety and effectiveness of the study drug, taken once daily, known as tadalafil in Chinese participants with erectile dysfunction (ED). The study will last about up to 25 months for each participant.","Inclusion Criteria:~Have a history of erectile dysfunction for at least 3 months.~Are sexually active and willing to remain sexually active with the same female partner during the study.~Are willing to have 4 or more attempts of sexual intercourse with female partner between screening and first treatment start day.~Are willing to stay away from any other medicines that the participants were already taking for erectile dysfunction during this study period.~Exclusion Criteria:~Have erectile dysfunction, which is caused by any other primary sexual disorder.~Have certain problems with kidneys, liver, heart, blood sugar levels, eyes, or central nervous system (study doctor will discuss with participants).~Have a penis deformity or penile implant that in the opinion of the participants' doctor is significant.~Have human immunodeficiency virus (HIV) infection.~Are using certain kinds of medicines, which are not allowed in this study.~Are allergic to tadalafil.~Are planning to father a baby or are in a relationship with a pregnant partner.~Are participating or discontinued participation in the past 30 days from any another clinical trial, which is not compatible with this trial.~Have participated or discontinued from any other tadalafil clinical trial.~Have a history of drug, alcohol, or substance abuse within the past 6 months.",erectile dysfunction,1,The trial is focused on evaluating the safety and effectiveness of tadalafil specifically for the treatment of erectile dysfunction in Chinese men.,"The purpose of this study is to evaluate the safety and effectiveness of the study drug, taken once daily, known as tadalafil in Chinese participants with erectile dysfunction (ED).",1,
58,NCT03813992,"A Phase III, Dose Ranging, Multi-centre, Randomised, Double Blind, Placebo Controlled, Home Use, Parallel Group Clinical Trial of Topically-applied Glyceryl Trinitrate for the Treatment of Erectile Dysfunction, With an Open Label Extension","To demonstrate the efficacy of various doses of MED2005 versus placebo in male patients with clinically diagnosed erectile dysfunction, and to evaluate the long-term efficacy and safety (12 months) of MED2005.","Inclusion Criteria:~Subject is a male aged between 18 and 70 years inclusive, at screening~Confirmed clinical diagnosis of ED for more than 3 months according to the NIH Consensus Statement ('the inability to achieve or maintain penile erection sufficient for satisfactory sexual performance at least once')~Subject answers 'yes' to the question regarding the presence of residual EF over the past 3 months: 'At home over the past 3 months, have you experienced at least some growth of your penis in response to: (1) mechanical stimulation by yourself or your partner, or (2) visual stimulation?'~Subject has been involved in a continuous heterosexual relationship for at least 6 months prior to screening~Documented written informed consent from both subject and his female partner~If the male subject's female partner is of childbearing potential from the time of first sexual intercourse attempt during the screening period until the last administration of study treatment, then the couple must have been using a medically acceptable form of contraception for at least 3 months prior to entering the study, and agree to continue such use for at least 1 month after the last study drug administration. Subjects who are or wish to become pregnant will not be included in the study.~Subject and his female partner are capable of understanding and complying with the requirements of the protocol and must have signed the ICF prior to participation in any study related procedures~Low IIEF-EF scores (≤ 25) during the screening period~To continue in the open-label extension phase of the study, subjects must meet the following inclusion criteria at the follow-up visit of the double-blind phase (Visit 6):~Subject and his female partner complete the double-blind phase~Subject and his female partner were compliant to study procedures during the double blind phase~Documented written informed consent from both subject and his female partner~If the male subject's female partner is of childbearing potential from the time of first sexual intercourse attempt during the screening period until the last administration of study treatment, then the couple must have been using a medically acceptable form of contraception for at least 3 months prior to entering the study, and agree to continue such use for at least 1 month after the last study drug administration. Subjects who are or wish to become pregnant will not be included in the study.~Exclusion Criteria:~Any significant or serious cardiovascular, pulmonary, hepatic, renal, gastrointestinal, haematological, endocrinological, metabolic, neurological or psychiatric disease which, in the opinion of the PI, renders the subject unfit to take part in the study~Subject has any history of an unstable medical or psychiatric condition or using any medication that, in the opinion of the PI, is likely to affect the subject's ability to complete the study or precludes the subject's participation in the study Certain concomitant medications; e.g. other vasodilators, calcium channel blockers, angiotensin converting enzyme (ACE) inhibitors, beta blockers, diuretics, anti hypertensives, tricyclic anti depressants and major tranquillisers, as well as the consumption of alcohol, may potentiate the BP lowering effects of MED2005; therefore, the PI must consider this carefully and include subjects at their discretion~Any presence of a symptomatic, active urinary tract infection diagnosed by the PI or their delegate at screening or during the study~Any presence of chronic indwelling urethral catheterisation or penile anatomical abnormalities (e.g. penile fibrosis) that would significantly impair EF~Any history of operations for Peyronie's disease~Primary hypoactive sexual desire or any history of hypogonadism~Any history of radical prostatectomy~Any history of severe/uncontrolled diabetes~Subjects taking two or more anti hypertensives for the treatment of BP~Hypersensitivity to GTN or to any of the excipients, or idiosyncratic reactions to other organic nitrates~Concomitant treatment with sildenafil citrate, tadalafil, vardenafil and other PDE 5 inhibitors~Subjects taking Alpha blockers~Subjects receiving testosterone pellets~Any penile surgery except circumcision~Any treatment with acetyl cysteine within 6 months~Any treatment with dihydroergotamine within 6 months~Postural hypotension, hypotension or uncorrected hypovolaemia, as the use of GTN in such states could produce severe hypotension or shock~Increased intracranial pressure (e.g. head trauma or cerebral haemorrhage) or inadequate cerebral circulation~Any history of migraine or recurrent headache~Aortic or mitral stenosis~Hypertrophic obstructive cardiomyopathy~Constrictive pericarditis or pericardial tamponade~Closed-angle glaucoma~Subjects with nursing partners, known pregnant partners or with partners who wish to become pregnant during the course of the study~Confirmed positive results from urine drug screen (amphetamines, benzodiazepines, cocaine, cannabinoids, opiates, barbiturates, tricyclic antidepressants and methadone) or from the alcohol breath test at screening (for clarification, any positive result from the urine drug screen or alcohol breath tests at screening will mean the subject will be excluded from the study). In the instance that a subject is using medication which may give a positive result, exclusion will be at the PI's discretion~Subject has recent (last 12 months) clinical evidence of alcoholism or drug abuse.~Subject has a positive screen for hepatitis B, consisting of hepatitis B surface antigen (HBsAG), hepatitis C antibody, and human immunodeficiency virus (HIV)~Any clinically significant abnormal laboratory, vital signs or other safety findings as determined by medical history, physical examination or other evaluations conducted at screening or on admission~Subjects unwilling to cease use of vacuum devices, intracavernosal injections, PDE-5s or other therapy for ED for the entire course of the study~Unwillingness of the subject or their partner to agree to make the required attempts at sexual intercourse during treatment period~Any history of unresponsiveness to PDE 5 treatment or significant side effects, excluding visual disturbances, with PDE 5s~Fewer than four attempts at sexual intercourse during the screening period~Subjects or their partners who are illiterate or are unable to understand the language in which the questionnaires are available~Subject has received any investigational product during the 90 days prior to dosing for this study~Subject or his partner cannot communicate reliably with the PI~Subjects with severe premature ejaculation (little or no control of ejaculation at the time of penetration)~Subjects are prohibited from participating in the open-label extension phase of the study if they meet any of the following exclusion criteria at the follow-up visit of the double-blind phase (Visit 6):~Subsequent to recruitment into the double-blind phase of the study, the development of any significant or serious cardiovascular, pulmonary, hepatic, renal, gastrointestinal, haematological, endocrinological, metabolic, neurological or psychiatric disease which, in the opinion of the PI, renders the subject unfit to continue in the open-label extension phase of the study~Subject using any medication that, in the opinion of the PI, is likely to affect the subject's ability to complete or participate in the open-label phase of the study.~NB The concomitant medications listed as exclusion criteria for the study apply to the open-label extension phase. Certain concomitant medications; e.g. other vasodilators, calcium channel blockers, ACE inhibitors, beta blockers, diuretics, anti hypertensives, tricyclic anti depressants and major tranquillisers, as well as the consumption of alcohol, may potentiate the BP lowering effects of MED2005; therefore, the PI must consider this carefully and include subjects at their discretion~Any presence of a symptomatic, active urinary tract infection diagnosed by the PI or their delegate at the start of the open-label extension phase~Subsequent to recruitment into the double-blind phase of the study, the development of postural hypotension, hypotension or uncorrected hypovolaemia, increased intracranial pressure or inadequate cerebral circulation, any clinically significant vital signs or other safety findings as determined by medical history, physical examination or other evaluations conducted at Visit 6 prior to recruitment to the open-label phase",erectile dysfunction,1,"The trial is focused on demonstrating the efficacy and safety of MED2005 for the treatment of erectile dysfunction in male patients, as indicated by the explicit mention of erectile dysfunction in the study's objective.","To demonstrate the efficacy of various doses of MED2005 versus placebo in male patients with clinically diagnosed erectile dysfunction, and to evaluate the long-term efficacy and safety (12 months) of MED2005.",1,
59,NCT00668109,"A Randomized, Open-label, Multi-center, Parallel Group Study to Investigate the Efficacy and Safety of Vardenafil in Comparison to Tadalafil in Males With Erectile Dysfunction and a Diagnosis of Diabetes, Hypertension or Hyperlipidemia","Assessment of efficacy of vardenafil in subjects with erectile dysfunction and diabetes, hypertension or hyperlipidemia","Inclusion Criteria:- Age: 18 years and older- Males with erectile dysfunction- Stable heterosexual relationship- Medical history / diagnosis of diabetes mellitus and/or hypertension and/or hyperlipidemia Exclusion Criteria:- Primary hypoactive sexual desire- History of myocardial infarction, stroke or life-threatening arrhythmia within the prior 6 months- Nitrate use- Other exclusion criteria apply according to Summary of Product Characteristics",erectile dysfunction,1,"The trial is focused on investigating the efficacy and safety of vardenafil in comparison to tadalafil specifically in males with erectile dysfunction, making it directly related to erectile dysfunction.","A Randomized, Open-label, Multi-center, Parallel Group Study to Investigate the Efficacy and Safety of Vardenafil in Comparison to Tadalafil in Males With Erectile Dysfunction and a Diagnosis of Diabetes, Hypertension or Hyperlipidemia",1,
60,NCT06213077,To Determine the Potentiating Effects of Berkeley Life Foundation Nitric Oxide Capsules in Supporting Healthy Sexual Function in Men on an Existing Treatment Plan But Who Are Experiencing Occasional Unsatisfactory Erections.,"Twenty (20) individuals to be recruited from Ballantyne Medical Associates in Charlotte, NC, without any significant chronic medical history. These patients are general patients for primary care that meet inclusion criteria. Patients will be screened and enrolled by Dr. Bauer and his delegated research staff upon patient consult. Patients will be informed of the purpose of the study including risks, benefits, and alternative treatments to the study. After the potential participants have been given the opportunity to ask questions and have their questions answered, they will be asked to sign an informed consent prior to any study-specific procedures being performed.~Blinded test product will be randomly assigned to study subjects. Test group 1 will be dosed with a placebo capsule taken two capsules once daily Test group 2 will be dosed with Berkeley Life capsules taken two capsules once daily. At baseline, prior to crossover to the other treatment, and at the study's conclusion, NO levels will be monitored using salivary nitric oxide test strips. Both test groups will remain on their existing treatment protocol throughout the study.","Inclusion Criteria:~Subjects Male between the ages of 40 and 65~Subjects looking to support healthy sexual function who have been undergoing treatment to support healthy erections for at least 90 days with unsatisfactory results and whose nitric oxide levels are suboptimal based on an easy-to-use, self-check saliva strip that provides immediate, real-time, actionable feedback.~Patients who are able to sign informed consent.~Exclusion Criteria:~Patients who are not considered medically stable (history of drug or alcohol dependency or having experienced health issues which could prevent experiencing a healthy erection).~Patients with any known allergy to ingredients of capsule.~Patients currently taking organic nitrates for acute angina~Patients who do not or cannot tolerate PDE5 inhibitors~Patients are unwilling or unable to provide informed consent.",erectile dysfunction,1,"The trial is focused on supporting healthy sexual function in men who are experiencing occasional unsatisfactory erections, indicating a direct study of erectile dysfunction.",To Determine the Potentiating Effects of Berkeley Life Foundation Nitric Oxide Capsules in Supporting Healthy Sexual Function in Men on an Existing Treatment Plan But Who Are Experiencing Occasional Unsatisfactory Erections.,1,
61,NCT00655590,"A Randomized, Double-blind, Placebo Controlled, Parallel Arm, Multicenter Trial Assessing the Effect of Daily Treatment of Vardenafil 20 mg or Sildenafil 100 mg Compared to Placebo on Spermatogenesis",Assess the effect of daily treatment of vardenafil 20mg or sildenafil 100mg and placebo on sperm function,"Inclusion Criteria:~Healthy male subjects or men with ED aged 25 - 64~Baseline sperm conc. of > 20 mio / ml- Normal World Health Organization A+B+C sperm mortality > 50%- Normal sperm morphology (WHO, 1992 manual criteria) > 30% and - 1.0 mL ejaculate volume at each of the 3 analyses during the screening phase.~Exclusion Criteria:~Presence of any psychological or physiological abnormalities that in the opinion of the Investigator would significantly impair sexual performance or ability to provide semen samples according to the protocol- Spinal cord injury~History of surgical prostatectomy~Other exclusion criteria apply according to US Product Information",erectile dysfunction,1,"The trial is focused on assessing the effect of daily treatment of vardenafil or sildenafil on sperm function in men, including those with erectile dysfunction (ED). The inclusion criteria specifically mention men with ED, indicating that the study is directly related to erectile dysfunction.",Healthy male subjects or men with ED aged 25 - 64,1,
