"","nct_id","official_title","summary","gender","minimum_age","maximum_age","criteria","AnyPregGPT_updated2","Summary.x","Summary_quote","Preg_Only_GPT.x","Nonviable_GPT","Nonviable_quote","Category","Secondary.category","Summary.y"
"41","NCT01103063","A Phase 3, Open Label, Randomized, Comparative Study To Evaluate Azithromycin Plus Chloroquine And Sulfadoxine Plus Pyrimethamine Combinations For Intermittent Preventive Treatment Of Falciparum Malaria Infection In Pregnant Women In Africa","The primary objective is to establish superiority of AZCQ over SP in protective efficacy for IPTp as measured by the proportion of subjects with sub-optimal pregnancy outcome.","Female","16 Years","35 Years","Inclusion Criteria:~Pregnant women (all gravidae) with ≥14 and ≤26 weeks of gestational age (by ultrasound).~Evidence of a personally signed and dated informed consent/assent document. Assent will be obtained from subjects <18 years of age.~Subjects who are willing to and able to comply with scheduled visits, treatment plan, laboratory tests, and other study procedures.~Subjects who are available for follow up at delivery and on 28 days post delivery.~Exclusion Criteria:~Age <16 years old or >35 years old.~Multiple gestations as per the ultrasound at screening.~Clinical symptoms of malaria.~Hemoglobin < 8 g/dL (at enrollment).~Any condition requiring hospitalization at enrollment.~History of convulsions, hypertension, diabetes or any other chronic illness that may adversely affect fetal growth and viability.~Inability to tolerate oral treatment in tablet form.~Known allergy to the study drugs (azithromycin, chloroquine, and sulfadoxine-pyrimethamine) or to any macrolides or sulphonamides.~Requirement to use medication during the study that might interfere with the evaluation of the study drug eg, trimethoprim-sulfamethoxazole use in subjects positive for HIV infection.~Other severe acute or chronic medical or psychiatric condition or laboratory abnormality that may increase the risk associated with study participation.~Evidence of current obstetric complications that may adversely impact the pregnancy and/or fetal outcomes, including presence of congenital anomalies, placenta previa or abruption.~Known severe Sickle Cell (SS) disease or Sickle Hemoglobin C (SC) anemia.~Known family history of prolonged QT Syndrome, serious ventricular arrhythmia, or sudden cardiac death.","Included","The trial explicitly includes pregnant women aged 16-35 years with 14-26 weeks of gestational age. It does not study nonviable pregnancies or postpartum interventions.","Pregnant women (all gravidae) with ≥14 and ≤26 weeks of gestational age (by ultrasound).",1,0,"0","5. Malaria (with or without HIV)","None","This trial evaluates the efficacy of azithromycin plus chloroquine versus sulfadoxine plus pyrimethamine for intermittent preventive treatment of falciparum malaria infection in pregnant women in Africa. The inclusion criteria specifically target pregnant women, making it clear that only pregnant individuals can enroll. The primary focus is on malaria prevention, fitting well into the category of 'Malaria (with or without HIV)'. There is no indication that the trial involves pain management."
"42","NCT02299414","A Pragmatic Multicenter Randomized Clinical Trial (RCT) of Antihypertensive Therapy for Mild Chronic Hypertension During Pregnancy: Chronic Hypertension and Pregnancy (CHAP) Project","The purpose of this study is to evaluate whether a blood pressure treatment strategy during pregnancy to achieve targets that are recommended for non-pregnant reproductive-age adults (<140/90 mmHg) compared ACOG- recommended standard during pregnancy (no treatment unless BP is severe) is effective and safe.","Female","12 Years","N/A","Inclusion Criteria:~Women with chronic hypertension in pregnancy with new or untreated chronic hypertension, blood pressure 140-159 systolic or 90-104 diastolic OR known chronic hypertension on monotherapy and taking any antihypertensive and blood pressure ≤159/104 (including those with blood pressure <140/90);~Singleton; and~viable pregnancy <23 weeks of gestation.~Exclusion Criteria:~Blood pressures prior to randomization ≥160 systolic or ≥105 diastolic (with or without treatment);~Severe hypertension including patients currently treated with >1 antihypertensive medication (more likely to have severe chronic hypertension);~Multi-fetal pregnancy;~Known secondary cause of chronic hypertension;~High-risk co-morbidities for which treatment may be indicated:~Diabetes mellitus diagnosed at age ≤10 years or duration of diagnosis ≥20 years~Diabetes mellitus complicated by end organ damage (retinopathy, nephropathy, heart disease, transplant)~Chronic kidney disease - including baseline proteinuria (>300mg/24-hr, protein/creatinine ratio ≥0.3, or persistent 1+ proteinuria*) or creatinine >1.2.~*If a dipstick value at screening is more than trace, a clean catch or catheter urine should be obtained and re-tested by dipstick. If this shows trace or absence of protein, the patient is included. If it again shows 1+ protein, the patient is excluded until a 24-hr urine <300mg/24hr or p/c ratio is <0.3. If a p/c ratio is >0.3, the patient may be included if a 24-hour urine is < 300 mg.~Cardiac disorders: cardiomyopathy, angina, CAD~Prior stroke~Retinopathy~Sickle cell disease~Known major fetal anomaly;~Known fetal demise;~Suspected IUGR;~Membrane rupture or planned termination prior to randomization;~Plan to deliver outside the consortium centers (unless approved by the Clinical Coordinating Center) or unlikely to follow-up in the opinion of study staff or previous participation in this trial;~Contraindication to labetalol and nifedipine (e.g. know hypersensitivity);~Current substance abuse or addiction (cocaine, methamphetamine)~Participation in another trial without prior approval (CHAP participants will not be enrolled in other trials without prior approval by protocol committee)~Physician or provider refusal~Patient refusal *The minimum age varies by center","Included","The trial explicitly includes pregnant women with chronic hypertension and evaluates a blood pressure treatment strategy during pregnancy.","The purpose of this study is to evaluate whether a blood pressure treatment strategy during pregnancy to achieve targets that are recommended for non-pregnant reproductive-age adults (<140/90 mmHg) compared ACOG- recommended standard during pregnancy (no treatment unless BP is severe) is effective and safe.",1,0,"0","2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome","None","This trial evaluates antihypertensive therapy for mild chronic hypertension during pregnancy, focusing on achieving blood pressure targets recommended for non-pregnant adults. The inclusion criteria specify pregnant women with chronic hypertension, and the study aims to determine the safety and effectiveness of this treatment strategy during pregnancy."
"43","NCT01005459","Comparison of Spinal Tetracaine With Fentanyl and Epinephrine Versus Bupivacaine With Fentanyl and Epinephrine for Combined Spinal Epidural Labor Analgesia","The investigators hypothesis is that spinal tetracaine with fentanyl and epinephrine used for CSE labor analgesia volume will last a significantly longer period of time that that of spinal bupivacaine with fentanyl. After informed consent is obtained for the study, subjects meeting criteria when analgesia is requested will be randomized to receive a combined spinal-epidural containing either tetracaine 2 mg with fentanyl and epinephrine or bupivacaine 2 mg with fentanyl and epinephrine.","Female","12 Years","N/A","Inclusion Criteria:~early labor (>=2cm but =<6cm cervical dilation)~at least 12 years of age~have an assigned ASA physical status 1 or 2~singleton pregnancy~Exclusion Criteria:~contraindications to neuraxial anesthesia~with allergies to drugs used in the study~have an assigned ASA status 3 or 4~advanced labor (> 6cm cervical dilation)~less than 12 years of age~Patients with the potential for distorted epidural anatomy, such as Harrington rods or prior back surgery, will also be excluded.","Included","The trial explicitly includes pregnant individuals as it is focused on labor analgesia for women in early labor.","Inclusion Criteria: early labor (>=2cm but =<6cm cervical dilation)",1,0,"0","16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)","None","The trial compares spinal tetracaine with fentanyl and epinephrine versus bupivacaine with fentanyl and epinephrine for labor analgesia. It involves pregnant individuals in early labor, focusing on pain management during labor. The primary category is labor management, and it evaluates a pain management intervention."
"44","NCT04656067","Comparative Study Between Oxytocin Versus Tranexamic Acid and Ethamsylate to Reduce Blood Loss Intraoperative and Post Operative During Elective Cesarean Section","Comparative Study Between Oxytocin Versus Tranexamic Acid and Ethamsylate, Pre-operative Administration.","Female","20 Years","40 Years","Inclusion Criteria:~Pregnant females admitted for elective Cesarean Section.~Gestational age (38 to 41 weeks).~Age of the participants: 20 to 40 years.~Body Mass Index (18.5 - 29.9).~Singleton living fetus.~No medical disorders.~Informed written consent from the candidates.~Exclusion criteria:~- Medical and surgical disorders as thyroid dysfunction, which was excluded by routine thyroid function test (free T3, free T4, and thyroid-stimulating hormone(TSH), all of them should be within normal limits).~-Bleeding tendency, was excluded by platelet count, coagulation time, bleeding time, prothrombin time, partial thromboplastin time, and thrombin time (all should be within normal).~-Acute and chronic liver or kidney diseases; blood disorders, such as anemia.~-Allergy to Tranexamic acid or any drug used.~-Risk factors for PPH, such as polyhydramnios, fetal macrosomia, antepartum hemorrhage.~- Abnormal placentae such as placenta previa and placental abruption.~-Pregnancy complications such as severe pre-eclampsia, Gestational HTN, Gestational DM, and multi Fetal pregnancies, those requiring blood transfusion.~- Patients who refused spinal anesthesia.","Included","The study explicitly includes pregnant females admitted for elective Cesarean Section, making it clear that pregnant individuals are included.","Inclusion Criteria: Pregnant females admitted for elective Cesarean Section.",1,0,"0","15. C-section/caesarean","28. Postpartum sepsis/hemorrhage/complications","The trial involves pregnant individuals undergoing elective cesarean section and aims to reduce blood loss intraoperatively and postoperatively. The primary focus is on cesarean sections, with a secondary focus on managing postpartum hemorrhage complications."
"45","NCT03727971","Use of Omalizumab Will Increase the Pregnancy Rate, Proof of Concept Study, Where Women With Asthma and Infertility Will be Treated Three Times With Weight and IgE Balanced Dosis at the First Day of Their Period Bleeding","The investigators have previously confirmed a clinical hunch that women with asthma have difficulties in becoming pregnant. The investigators found increased time to pregnancy (TTP) in women with asthma compared to non-asthmatic women (55 vs 33 months, p<0.001), furthermore, women with asthma had less successful pregnancies following fertility treatment (39.6 vs 60.4%, p=0.002). Treatment with omalizumab stabilizes the eosinophilic disease, through the systemic and most likely the anti-inflammatory pathways, which indicate a promising possibility to increase pregnancy rate. In a small real-life study in 2017, 5 patients with eosinophilic asthma who underwent in vitro fertilization (IVF), were treated with omalizumab prior to embryo transplantation; three out of the five women became pregnant. Lastly, the two remaining patients had several treatments with omalizumab, but did not become pregnant. This real-life study calls for further investigation. By targeting systemic inflammation with omalizumab treatment the aim is to increase asthma control before and during pregnancy. A treatment strategy aiming at improving overall inflammatory control may increase fertility, but also reduce well known maternal and perinatal adverse pregnancy outcomes such as pregnancy loss, preeclampsia, gestational diabetes, low-birth weight, small for gestational age (SGA), preterm delivery.~Study design:~A randomized control trial with omalizumab and placebo, stratified for blood eosinophil count, is therefore needed. A randomized, double blinded, parallel group, study to evaluate the difference between omalizumab (O) and placebo (P) on pregnancy rate in patients with atopic asthma.Treatment schedule: After collection of material (blood samples, sputum) 6th day (±1 day) of the menstrual cycle, the patients will be randomized in either the omalizumab group or the placebo group. No collection of material will be done at the time of enrollment, as this will be on different time of the female cycles. The treatment is initiated with one injection with weight and serum-immunglobulin E balanced omalizumab or one injection placebo. After omalizumab treatment at ovulation it will again be collected material (blood samples, sputum). If no pregnancy has occurred after first IVF cycle, this will be repeated for 3 consecutive IVF cycles in total or until pregnancy has occurred.~Outcome:~The primary out-come is efficacy of omalizumab, compared to placebo, in increasing pregnancy rate in females with asthma. Secondary out-comes are changes in the inflammation in lungs/systemic, pregnancy loss, asthma control and biomarkers in the blood/lungs.","Female","18 Years","40 Years","Inclusion Criteria:~* Informed consent~Diagnosis of asthma~Infertility due to male factor infertility, tubal factor infertility or unexplained infertility.~Referred to IVF treatment with or without ICSI~Willingness to receive treatment with biologic drugs during menstruation period~Controlled disease with an ACQ ≤ 1.5~Exclusion criteria:~Other respiratory diseases than asthma~Other inflammatory disease or a disease that affects fertility.~Allergy to the investigational drugs~Respiratory infections requiring antibiotics or anti-viral treatment within 30 days~TESA / TESE, endometriosis~Infertility due to other reasons than male factor, tubal factor or unexplained infertility","Included","The trial explicitly includes pregnant individuals as it aims to increase pregnancy rates in women with asthma and infertility. The study involves treatment with omalizumab to improve asthma control before and during pregnancy.","By targeting systemic inflammation with omalizumab treatment the aim is to increase asthma control before and during pregnancy.",0,0,"0","19. Asthma","30. Other - maternal/parental/pregnant person disease or injury","This trial investigates the use of omalizumab to increase pregnancy rates in women with asthma and infertility. The primary focus is on asthma management and its impact on fertility, making 'Asthma' the best-fitting category. The trial also addresses maternal health outcomes, justifying 'Other - maternal/parental/pregnant person disease or injury' as a secondary category. Pregnant individuals can enroll, but the trial is not exclusive to them."
"46","NCT02326142","A Phase 2, Double-blind, Parallel Group, Randomised, Placebo Controlled, Proof of Concept Study to Assess the Safety and Efficacy of OBE001 After Oral Administration in Pregnant Women With Threatened Preterm Labour.","The primary objective of this study is to assess the efficacy of a single dose of OBE001, an oral oxytocin antagonist, given for up to 7 days to delay preterm birth by 7 days compared to placebo.","Female","18 Years","N/A","Inclusion Criteria:~Gestational age (GA) between 34^0/7 and 35^6/7 weeks.~Subjects with symptoms of preterm labour.~Subjects with a singleton pregnancy.~Exclusion Criteria:~Foetal death in utero in current pregnancy or in previous pregnancy after gestational week 24 or expected high risk of foetal death in the current pregnancy.~Any contraindications for the mother or the foetus to stop labour or prolong pregnancy or any maternal or foetal conditions likely to indicate iatrogenic delivery.~Use of cervical cerclage or a pessary in situ in the current pregnancy.~The Subject has any condition which in the opinion of the PI constitutes a risk or a contraindication for the participation of the subject in the trial.","Included","The trial explicitly includes pregnant women with threatened preterm labor, as indicated by the inclusion criteria specifying gestational age and symptoms of preterm labor.","Inclusion Criteria:~Gestational age (GA) between 34^0/7 and 35^6/7 weeks.~Subjects with symptoms of preterm labour.",1,0,"0","1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage","None","The trial assesses the efficacy of OBE001 in delaying preterm birth in pregnant women with threatened preterm labor. The inclusion criteria specify pregnant women with symptoms of preterm labor, and the primary objective is to delay preterm birth, fitting well into the category of 'Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage'."
"47","NCT01717586","Pravastatin for the Prevention of Preeclampsia in High-Risk Women: A Phase I Pilot Study","The primary purpose of this pilot study is to determine the pharmacokinetic (PK) parameters and collect preliminary safety data for pravastatin when used as a prophylactic daily treatment in pregnant women at high risk of preeclampsia.","Female","18 Years","N/A","Inclusion Criteria:~Documented history (review of chart or delivery note) of prior severe early onset PE in a prior pregnancy and requiring delivery ≤340/7 weeks' gestation. If in the index pregnancy, the woman was induced at the upper limit of 34 0/7 weeks of pregnancy and delivered within 48 hours in the same hospitalization, that woman could be enrolled. Women with severe PE in a pregnancy remote (greater than 2 pregnancies removed) from the current pregnancy do not qualify.~18 years or older with the ability to give informed consent~Singleton pregnancy~Normal serum transaminase (ALT and AST) concentrations in the last 6-months~Gestational age (GA) between 12 weeks 0 days to 16 weeks 6 days based on clinical information and confirmed by an ultrasound per study procedures.~Willingness to participate in planned PK study visits~Exclusion Criteria:~Known chromosomal, genetic, or major fetal malformations, fetal demise, or planned termination~Patients with contraindications for statin therapy:~Hypersensitivity to pravastatin or any component of the product~Active liver disease (acute hepatitis, chronic active hepatitis, persistently abnormal liver enzymes (2 x normal of serum transaminases)~History of myopathy or rhabdomyolysis~Patients with any of the following conditions:~HIV positive~Status post solid organ transplant~Chronic renal disease/insufficiency with baseline serum creatinine ≥1.5 mg/dL~Uterine malformations (didelphus, bicornuate, unicornate)~Cancer~Statin use in current pregnancy~Current use of medications with potential drug interactions with statins, such as cyclosporine, fibrates, gemfibrozil, niacin, erythromycin, fluconazole, itraconazole, cholestyramine, digoxin, rifampin (patients will not be excluded if the drug has been discontinued, or is prescribed for a short duration of time)~Participating in another intervention study that influences the outcomes of this study~Plans to deliver in a non-network site","Included","The study explicitly includes pregnant women at high risk of preeclampsia and does not mention any postpartum intervention or child-specific treatment.","The primary purpose of this pilot study is to determine the pharmacokinetic (PK) parameters and collect preliminary safety data for pravastatin when used as a prophylactic daily treatment in pregnant women at high risk of preeclampsia.",1,0,"0","2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome","None","This study focuses on the prevention of preeclampsia in pregnant women, which falls under the category of hypertension/pre-eclampsia/eclampsia/HELLP syndrome. The trial exclusively enrolls pregnant women, as indicated by the inclusion criteria specifying a history of severe early onset preeclampsia in a prior pregnancy. There is no mention of pain management in the study."
"48","NCT05757167","Improving Neonatal Health Through Rapid Malaria Testing in Early Pregnancy With High-Sensitivity","The purpose of the INTREPiD study is to compare 1st trimester screening for malaria parasites with a high-sensitivity malaria rapid diagnostic test followed by treatment of test-positive women with artemether-lumefantrine (AL) against usual antenatal care on a composite adverse pregnancy outcome including low birth weight, small for gestational age, preterm, fetal loss, or neonatal death.","Female","16 Years","40 Years","Inclusion Criteria:~Aged between 16 years and 40 years (inclusive)~Viable singleton pregnancy with gestational age estimated less than 13 6/7 weeks (inclusive) by ultrasound~HIV-uninfected~Willing to participate in the study schedule~Planning to remain in the study area for the duration of pregnancy and 1 month after delivery~Willing to deliver in a study-affiliated health facility~Exclusion Criteria:~High risk pregnancy that requires referral for specialized care by local guidelines~Active medical problem at the time of screening requiring higher level care~Antimalarial receipt in the 2 weeks prior to screening~Past allergy to Artemether or Lumefantrine or another condition that prohibits the receipt of either drug~Current participation in another clinical research study","Included","The trial explicitly includes pregnant women in the first trimester and follows them through pregnancy and 1 month postpartum. It does not study nonviable pregnancies or interventions for children after birth.","Viable singleton pregnancy with gestational age estimated less than 13 6/7 weeks (inclusive) by ultrasound",1,0,"0","5. Malaria (with or without HIV)","8. Fetal growth/IUGR/Fetal Growth Retardation","The trial focuses on improving neonatal health through rapid malaria testing in early pregnancy, specifically targeting pregnant women and evaluating outcomes such as low birth weight, small for gestational age, preterm birth, fetal loss, or neonatal death. The primary category is malaria, and a secondary category is fetal growth due to the focus on birth weight and gestational age."
"49","NCT03423147","A Randomized Trial to Determine if a Pre-operative Wash With a Chlorhexidine Gluconate Cloth and Chlorhexidine Gluconate Vaginal Scrub Reduces Infectious Morbidity in Patients Undergoing Cesarean Section After Labor","Surgical site infections (SSI) are the second most common cause of nosocomial infections accounting for 15% of all nosocomial infections among hospitalized patients and 38% of nosocomial infections in surgical patients. In obstetric patients, infectious morbidity (i.e. SSI, endometritis) occurs in 5-10% of cesarean sections, which is 5-fold higher than vaginal deliveries. Additionally, infectious morbidity is thought to be highest in those patients who have cesarean sections after undergoing labor.~Chlorhexidine, a chemical antiseptic effective on gram positive and gram negative bacteria, reduces skin microflora/colonization but it is not clear if it decreases the risk of SSI.~Historically, chlorhexidine has been studied and used in orthopedic and cardiac implant surgeries. Research on the use of chlorhexidine for SSI prevention in cesarean sections is limited. This study intends to evaluate the effectiveness of use of both chlorhexidine gluconate (CHG) wipe and vaginal scrub in reducing SSI in patients undergoing cesarean section that have previously been laboring. Patients will be randomized to one of two groups: wash with both a pre-operative CHG cloth prior to surgery and chlorhexidine gluconate vaginal scrub in addition to standard preoperative scrub as compared to standard preoperative scrub alone.","Female","18 Years","N/A","Inclusion Criteria:~Women at > 24 weeks gestation who are admitted in labor or admitted for induction of labor at Mount Sinai Hospital~Exclusion Criteria:~Allergy to chlorhexidine~Unplanned or emergency cesarean section~Women at <24 weeks gestation~Estimated fetal weight <500 grams~Fetal face presentation regardless of gestational age.","Included","The trial explicitly includes pregnant women at > 24 weeks gestation who are admitted in labor or admitted for induction of labor. It does not study nonviable pregnancies or postpartum interventions.","Inclusion Criteria: Women at > 24 weeks gestation who are admitted in labor or admitted for induction of labor at Mount Sinai Hospital",1,0,"0","15. C-section/caesarean","21. Other infectious disease prevention/treatment (non-vaccine)","The trial focuses on reducing infectious morbidity in patients undergoing cesarean section after labor using chlorhexidine gluconate. It exclusively enrolls pregnant individuals undergoing labor or induction of labor, making it a pregnancy-only trial. The primary category is C-section/caesarean due to the focus on cesarean sections, and the secondary category is other infectious disease prevention/treatment (non-vaccine) due to the emphasis on preventing surgical site infections."
"50","NCT00811057","Tocolysis for Preterm Labor","Preterm birth is the most common and costly complication in obstetrics. It complicates up to 11% of all pregnancies and it is responsible for 70% of sick babies. The ideal way to stop preterm labor when it occurs (which drug to use) is not known. Currently magnesium sulfate is used by about 95% of all practitioners, but recent data suggest magnesium given this way may be harmful for the baby's future development. Other drugs such as antiprostaglandin agents are very effective in stopping uterine activity, but particularly when used for >48 hours have been associated with both maternal and fetal sides effects. Lastly, calcium channel antagonists are effective in stopping contractions and have very little in the way of maternal and fetal side effects, but less data is available in the United States on their use. Because there is no FDA approved drug to stop preterm labor, we purpose to randomize all women with preterm labor (20-34 weeks) to receive one of the above three methods of stopping preterm labor. The primary outcomes will be to see which agent stops the uterine contractions most effectively, for the longest period of time with fewest relapses and results in significant prolongation of pregnancy. If one of these agents is clearly superior to the other two it would help women avoid early delivery or have significant extension of their pregnancy to avoid some of the complications of preterm birth in the baby.","Female","16 Years","45 Years","Inclusion Criteria:~Pregnancies with intact membranes in confirmed preterm labor;~20 - 32 weeks' gestation;~Cervical dilatation 0 - 3cm versus 4 - 6cm;~No conditions contraindicating continued pregnancy (severe IUGR, chorioamnionitis, non-reassuring fetal tracing - physician judgement); AND~Able and willing to consent to the study protocol.~Exclusion Criteria:~Failure to meet admission criteria;~Known serious fetal malformations;~Severe maternal/obstetric disease affecting the mother or fetus (severe cardiac disease, placental abruption/previa, severe diabetes, severe preeclampsia, etc. - physician judgment);~Allergic to magnesium, antiprostaglandin or calcium channel antagonist;~Refusal or inability to consent to the study","Included","The study explicitly includes pregnant women in preterm labor (20-34 weeks) and aims to evaluate the effectiveness of different tocolytic agents in prolonging pregnancy.","Pregnancies with intact membranes in confirmed preterm labor; 20 - 32 weeks' gestation;",1,0,"0","1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage","None","This trial focuses on evaluating different drugs for stopping preterm labor, which is a complication specific to pregnancy. The inclusion criteria specifically target pregnant individuals in preterm labor, and the primary outcome is to determine the most effective drug for prolonging pregnancy and preventing preterm birth."
"51","NCT05782816","Low-Dose Versus High-Dose Oxytocin Dosing for Induction and Augmentation of Labor: A Randomized Control Trial","The goal of this clinical trial is to compare oxytocin infusion rates for induction and augmentation of labor in nulliparous women. The main question[s] it aims to answer are:~Does a high dose oxytocin infusion protocol affect length of induction to delivery interval?~Does a high dose oxytocin infusion protocol affect mode of delivery?~Does a high dose oxytocin infusion protocol affect maternal and neonatal outcomes?~Participants will be randomized to either low- or high-dose oxytocin groups:~The low dose group will receive an infusion to start at 2 milli-units/min and will be increased by 2 milli-units/min every 20 minutes. The maximum rate of infusion is 40 milli-units/min.~The high dose group will receive an infusion to start at 6 milli-units/min and will be increased by 6 milli-units/min every 20 minutes. Maximum rate of infusion is 40 milli-units/min.","Female","18 Years","50 Years","Inclusion Criteria:~Women aged 18-50 years old~Singleton gestation~Nulliparous~Vertex presentation~Gestational age greater than or equal to 37 weeks~No prior uterine surgery~Presents for elective or medically indicated induction of labor~Need for augmentation of labor with oxytocin~Exclusion Criteria:~Previous cervical ripening using non-mechanical methods~Patient unable or unwilling to provide verbal consent~Contraindications to vaginal delivery~Fetal demise or life-limiting anomaly~Allergy to oxytocin~Non-reassuring fetal heart tracing prior to inclusion~Maternal pulmonary edema prior to inclusion~Fetal growth restriction","Included","The trial explicitly includes pregnant individuals as it involves induction and augmentation of labor in nulliparous women at 37 weeks or more of gestation.","Presents for elective or medically indicated induction of labor",1,0,"0","16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)","None","This trial compares low-dose versus high-dose oxytocin infusion rates for induction and augmentation of labor in nulliparous women. It focuses on labor management and delivery outcomes, making 'Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)' the most fitting category. Pregnant individuals are the only participants, and there is no focus on pain management."
"52","NCT04599075","Intravenous Insulin Versus Subcutaneous Insulin Infusion in Intrapartum Management of Pregnant Women With Type 1 Diabetes Mellitus: A Randomized Trial","The purpose of this study is to perform a randomized trial to investigate if intrapartum insulin delivery mechanisms reduces adverse outcomes associated with type 1 diabetes in pregnancy. The investigators aim to compare subcutaneous insulin pump versus intravenous insulin infusion with regard to the primary outcome of neonatal blood sugar.","Female","18 Years","N/A","Inclusion Criteria:~Pregnant women with pre-gestational diagnosis of type 1 diabetes mellitus and managed on an insulin pump in pregnancy~Pregnancy and delivery care obtained at University of Massachusetts (UMass) Memorial Medical Center~Patients able to provide written informed consent~Exclusion Criteria:~Patients who are under the age of 18~Patients with altered state of consciousness~Critically ill patient requiring intensive care unit admission~Patient at risk for suicide~Patient refuses or is otherwise unable to participate in own care~Patient without pump supplies~Patients presenting with diabetic ketoacidosis on admission","Included","The study explicitly includes pregnant women with type 1 diabetes mellitus, focusing on intrapartum management.","Pregnant women with pre-gestational diagnosis of type 1 diabetes mellitus and managed on an insulin pump in pregnancy",1,0,"0","9. Diabetes (Type I or Type II ONLY)","None","This trial investigates the management of type 1 diabetes in pregnant women, specifically comparing intravenous insulin infusion versus subcutaneous insulin pump during labor. The study exclusively enrolls pregnant women with type 1 diabetes, making it fit into the category of 'Diabetes (Type I or Type II ONLY)'. There is no indication of pain management being a focus of the study."
"53","NCT04523363","Metformin Versus Standard of Care Treatment in Pregnant Women With Prediabetes: A Randomized Trial","The purpose of this study is to assess if metformin reduces adverse outcomes associated with prediabetes in pregnancy. Our hypothesis is that pregnant women with prediabetes who are treated with metformin will show a greater reduction in large for gestational age infants at birth compared to women treated with the standard of care.","Female","18 Years","N/A","Inclusion Criteria:~Pregnant women with hemoglobin A1c of 5.7 to 6.4%, fasting plasma glucose of greater than or equal to 100 to 125, or oral glucose tolerance test of greater than or equal to 140 to less than 200 before 14 weeks gestation~Pregnancy and delivery care obtained at University of Massachusetts (UMass) Memorial Medical Center~Patients able to provide written informed consent~Exclusion Criteria:~Pre-existing diabetes diagnosis as assessed at visit in the first trimester by history or by laboratory evaluation as listed above~Presence of contra-indication to metformin (liver, renal, or heart failure) or sensitivity to metformin~Participants who are under the age of 18~Multiple Pregnancy~Patients already taking metformin for other indications~Fetal defect noted on early dating ultrasound~Miscarriage before randomization","Included","The study explicitly includes pregnant women with prediabetes and aims to assess the impact of metformin on pregnancy outcomes.","Pregnant women with hemoglobin A1c of 5.7 to 6.4%, fasting plasma glucose of greater than or equal to 100 to 125, or oral glucose tolerance test of greater than or equal to 140 to less than 200 before 14 weeks gestation",1,0,"0","10. Gestational diabetes","None","This trial evaluates the use of metformin in pregnant women with prediabetes to reduce adverse outcomes, specifically targeting large for gestational age infants. The inclusion criteria specify pregnant women with prediabetes, and the study focuses on pregnancy-related outcomes, fitting well into the category of gestational diabetes."
"54","NCT03362697","Randomized Clinical Trial on the Safety and Efficacy of Lactobacillus Reuteri DSM 16666/ATCC 55845 & Lactobacillus Reuteri DSM 17938 for Treatment of Pregnant Women With Asymptomatic Bacteriuria or Uncomplicated Acute Cystitis","Prevalence of uro-genital infections during pregnancy move between 7% to 12% in developed countries, meanwhile in developing countries this figure moved between 14% and until 55%, such is the case of Mexico. Meanwhile use of antibiotics for 3 to 7 days had established as a standard of care, the use of non-antibiotic therapy, such as cranberry powder or probiotics for prevention/treatment of this conditions is scarce. Randomized controlled trial aimed to evaluate the safety and efficacy of probiotic vs. antibiotics to treat pregnant women with uncomplicated cystitis or asymptomatic bacteriuria","Female","18 Years","40 Years","Inclusion Criteria:~Healthy women on the second or third trimester of pregnancy with positive urine culture according to the operational definition with or without symptoms~Age 18 to 40 years~Verbal and Written Informed Consent for participation in the study~Exclusion Criteria:~Pathologic pregnancy (different for UTI)~No supplementation of probiotics 2 weeks before study start or during the study period.~Antibiotic therapy within last 2 weeks before randomization~Known allergies towards the ingredients of the experimental product~Inability to comprehend the study protocol~Systemic diseases~Multiple pregnancy","Included","The trial explicitly includes pregnant women in the second or third trimester with uncomplicated cystitis or asymptomatic bacteriuria. It does not study nonviable pregnancies or postpartum interventions.","Healthy women on the second or third trimester of pregnancy with positive urine culture according to the operational definition with or without symptoms",1,0,"0","24. UTI","None","This trial evaluates the safety and efficacy of probiotics versus antibiotics for treating pregnant women with uncomplicated cystitis or asymptomatic bacteriuria. The inclusion criteria specifically target pregnant women, making it clear that the trial is focused on this population. The primary condition being studied is urinary tract infection (UTI) during pregnancy."
