"","nct_id","post_year","official_title","summary","criteria","conditions","Fertility","Fertility_summary","Fertility_quote"
"11","NCT01016340",2009,"A Phase II, Randomized, Double-Blind, Placebo-Controlled Study to Investigate the Efficacy and Safety of MCS-5 in Treating Male Oligoasthenospermia (MCS_MOS)","This is a phase II randomized, double-blind, placebo-controlled study where eligible subfertile male subjects (age 20 years).","Inclusion Criteria:~Male subjects who are 20 years old or older~Subjects who are diagnosed as idiopathic oligoasthenospermia~Subjects who have a normal baseline hormone profile~Subjects who were not able to impregnate female partners in the past 12 months under an active and unprotected sexual life~Subject's female partner has no endocrine or genital obstructive disorders and is capable of impregnation.~Subjects who have an acceptable baseline liver function~Subjects who have a normal baseline renal function.~Exclusion Criteria:~Subjects who have been diagnosed as male infertility for more than 5 years.~Subjects who have a baseline semen white blood cell count of 1*106/mL.~Subjects who have genital/seminal tract obstruction, infection, inflammation or anatomic abnormalities.~Subjects whose female partner has been diagnosed as infertility of any kind.~Male infertility that is associated with hormonal deficiency/imbalance, poor nutrition, congenital/chromosomal disorders, erectile dysfunction, or psychological disorders.~Subjects who plan to undergo artificial insemination of any kind within the study period.~Subjects who have been treated with chemotherapy, pelvic irradiation or major pelvic surgery~Subjects who will undergo any invasive procedures within the study period~Subjects who will undergo any chemotherapy or radiotherapy of any kind during the study period.~Subjects who can not or are not willing to undergo the two-week wash-out period for any reasons.","male oligoasthenospermia",1,"The study is directly related to fertility as it investigates the efficacy and safety of MCS-5 in treating male oligoasthenospermia, a condition associated with male infertility.","This is a phase II randomized, double-blind, placebo-controlled study where eligible subfertile male subjects (age 20 years)."
"12","NCT01270841",2011,"A Randomized, Double Blind, Placebo and Active Controlled, Parallel, Multi-Center Phase IIb Study to Evaluate Normalization of Morning Testosterone Levels in Men With Secondary Hypogonadism","The Purpose of the study is to determine the effects of Androxal on morning testosterone and reproductive status in men with secondary hypogonadism(confirmed morning Testosterone less than 250 ng/dL), compared to changes with placebo, or Testim (topical testosterone). The effects of Testim versus placebo on reproductive status will also be examined. Study subjects must not be currently using a topical testosterone.","Inclusion Criteria:~Healthy males between the ages of 21 and 65 years of age~All clinical laboratory tests within normal ranges (any clinically significant deviation of laboratory results will require approval of sponsor)~Previously or concurrently diagnosed as having secondary hypogonadism and confirmed morning testosterone <250ng/dL (two assessments at least 10 days apart)~Ability to complete the study in compliance with the protocol~Ability to understand and provide written informed consent~Agreement to use double barrier contraception if with a fertile female partner~Agreement to provide a semen sample in the clinic~Exclusion Criteria:~Use of an injectable, oral, topical, or subcutaneous pelleted testosterone within 6 months prior to study~Use of spironolactone, cimetidine, Clomid, 5α-reductase inhibitors, hCG, androgen, estrogen, anabolic steroid, DHEA, or herbal hormone products during the study~Use of Clomid in the past year~Uncontrolled hypertension or diabetes mellitus based on the Investigator's assessment at baseline. Subjects treated for Type II diabetes but exhibiting glycemic control will be allowed into the study~A hematocrit >50% or a hemoglobin >17 g/dL~Clinically significant abnormal findings on screening examination~Use of an investigational drug or product, or participation in a drug or medical device research study within 30 days prior to receiving study medication~Known hypersensitivity to Clomid~Symptomatic cataracts (nuclear sclerosis cataract or cortical cataract grade > 2 based on 0-4 scale or any trace of posterior subcapsular cataract)~Any condition which in the opinion of the investigator would interfere with the participant's ability to provide informed consent, comply with study instructions, possibly confound interpretation of study results, or endanger the participant if he took part in the study~Irreversibly infertile or compromised fertility (cryptorchism, Kallman Syndrome, primary hypogonadism, vasectomy, or tumors of the pituitary)~Current or history of breast cancer~Current or history of prostate cancer or a suspicion of prostate disease unless ruled out by prostate biopsy, or a PSA>3.6~Presence or history of hyperprolactinemia with or without a tumor~Chronic use of medications use such as glucocorticoids~Subjects with cystic fibrosis (mutation of the CFTR gene)~Subjects unable to provide a semen sample in the clinic~Subject has a BMI >36 kg/m2","secondary hypogonadism",1,"The study is directly related to fertility as it aims to evaluate the effects of Androxal on reproductive status in men with secondary hypogonadism, which includes assessing semen samples and reproductive health.","The Purpose of the study is to determine the effects of Androxal on morning testosterone and reproductive status in men with secondary hypogonadism"
"13","NCT00894517",2009,NA,"This is a 24 week study evaluating the effects of botulinum toxin Type A on semen quality in patients with signs and symptoms of Benign Prostatic Hyperplasia (BPH).","Inclusion Criteria:~Symptoms due to an enlarged prostate~Able to provide semen samples at required visits.~Exclusion Criteria:~Previous use of any botulinum toxin for the treatment of any urological condition~History of vasectomy~History of undescended testicles or testicular trauma~Subject who has not ejaculated for greater than 1 year~History of prostate infection or any sexually transmitted disease, such as gonorrhea, within the previous 12 months~History of bladder stones~History of cancer in the prostate, testicles, or bladder~Previous use of chemotherapy for cancer treatment~History of urinary incontinence~Previous prostate surgery","benign prostatic hyperplasia",1,"The study is directly related to fertility as it evaluates the effects of botulinum toxin Type A on semen quality, which is a key factor in male fertility.","This is a 24 week study evaluating the effects of botulinum toxin Type A on semen quality in patients with signs and symptoms of Benign Prostatic Hyperplasia (BPH)."
"14","NCT00891228",2009,"A Multicenter, Randomized, Double-Blind Comparator Trial of the Safety and Sperm and Gonadotropin Suppression Resulting From Combined Use of Nestorone® Gel (0, 8 or 12 mg NES) and Testosterone Gel (10 g) Compared With Testosterone Gel in Normal Men","To determine the number of men who have suppression of sperm production when using a daily regimen of Nestorone® Gel (0, 8 or 12 mg) and Testosterone Gel applied transdermally.","Inclusion Criteria~Men who meet all the following criteria are eligible for enrollment in the trial:~Male volunteers in good health as confirmed by physical examination, medical history, and clinical laboratory tests of blood and urine at the time of screening~18 to 50 years of age~BMI ≤ 33 calculated as weight in Kg/ (height in cm) 2~No history of hormonal therapy use in the last six months prior to the first screening visit~Subject will agree to use a recognized effective method of contraception with his partner (i.e. at a minimum, use double-barrier contraception) during the course of the study treatment and recovery phase~In the opinion of the investigator, subject is able to comply with the protocol, understand and sign an informed consent and HIPAA form~Does not meet any of the exclusion criteria.~Exclusion Criteria:~Men who meet any of the following criteria are NOT eligible for enrollment in the trial:~Men participating in another clinical trial involving an investigational drug within the last 30 days prior to the first screening visit~Men not living in the catchment's area of the clinic or within a reasonable distance from the site~Clinically significant abnormal findings at screening~Elevated PSA (levels ≥ 4 ng/mL), according to local laboratory normal values~Abnormal serum chemistry values, according to local laboratory normal values that indicate liver or kidney dysfunction or that may be considered clinically significant. Other abnormal lab values may also be exclusionary, at the discretion of the investigator~Sperm concentration below 15 million/mL in more than one of three screening samples~Use of androgens or body building substances within 6 months before first screening visit~Diastolic (D) blood pressure (BP) ≥ 85 and Systolic (S) BP ≥ 135 mm Hg; (BP will be taken 3 times at 5 minute intervals and the mean of all measurements be considered)~History of hypertension, including hypertension controlled with treatment~Known history of primary testicular disease or disorders of the hypothalamic-pituitary axis~Known hypersensitivity to progestins~Family or personal history of venous thromboembolism~Benign or malignant liver tumors; active liver disease~History of breast carcinoma~Known history of reproductive dysfunction including vasectomy or infertility~Known history of cardiac, renal, hepatic or prostatic disease~A serious systemic disease such as diabetes mellitus or morbid obesity (body weight greater than 120% of ideal body weight or BMI limitation as above)~History of sleep apnea~Known or suspected alcoholism or drug abuse that may affect metabolism/transformation of steroid hormones and study treatment compliance~Known dermatitis or severe skin disorder~Partner is known to be pregnant~Men desiring fertility within the first 24 weeks of study participation.~Men participating in competitive sports where drug screening for prohibited substances (including anabolic steroids) is routine will be advised of the relative and temporary hazards that participating in this study may have for their fertility or sporting status.","contraception",1,"The study is directly related to fertility as it aims to determine the suppression of sperm production in men using a combination of Nestorone® Gel and Testosterone Gel.","To determine the number of men who have suppression of sperm production when using a daily regimen of Nestorone® Gel (0, 8 or 12 mg) and Testosterone Gel applied transdermally."
"15","NCT05403476",2022,"A Randomised, Double-blind, Placebo-controlled Trial to Assess the Efficacy and Safety of FE 999049 for Treatment of Men With Idiopathic Infertility","The primary purpose of this trial is to investigate whether men with idiopathic infertility (unexplained reduction of semen quality), after being treated with a daily dose of 12 µg recombinant follicle stimulating hormone (rFSH) for 6 months, can improve the chance of spontaneous pregnancy observed in their female partners in comparison to placebo (inactive treatment). For more information, please visit the trial's website www.adamclinicaltrial.com (only applicable in the US).","Inclusion Criteria:~History of infertility for 12-60 months with current partner at randomization.~Men between the ages of 18 and 50 years.~Total sperm count 5-39 million at screening; confirmed by two consecutive samples taken ≥2 weeks apart before randomization.~Total motile sperm count of 5-16 million at screening; confirmed by two consecutive samples taken ≥2 weeks apart before randomization.~Semen volume ≥1.4 mL at screening; confirmed by two consecutive samples taken ≥2 weeks apart before randomization.~Serum follicle-stimulating hormone (FSH) levels of 1.5-8.0 IU/L (measured at central laboratory) at screening.~Serum luteinising hormone (LH) levels of 1.2-7.5 IU/L (measured at central laboratory) at screening.~Serum total testosterone levels of ≥300 ng/dL (equals ≥10.4 nmol/L; measured at central laboratory) at screening.~Agree to have regular intercourse with current female partner with the intent of spontaneous conception within 9 months from randomization.~Agree to provide information on female partner's positive urine pregnancy test(s) and documentation of ultrasound(s), delivery, and neonatal/infant health.~Current partner fulfilling the criteria below:~Pre-menopausal woman between the ages of 18 and 35 years.~Regular menstrual cycles of 21-35 days.~No history or current condition of pelvic inflammatory disease, endometriosis stage II-IV by definite or empirical diagnosis, or tubal ligation.~Agree not to obtain infertility treatment outside of this trial for 9 months from randomization of male subject.~Exclusion Criteria:~Previous FSH treatment not leading to conception.~Past or current use of finasteride within 3 months prior to screening.~Any history of anatomical disorder of the pituitary gland or testes.~Any structural abnormalities of the vas deferens (unilateral or bilateral) at screening.~Any known, clinically significant, systemic disease in addition to the trial indication that might negatively impact fertility.~Known history or presence of clinical varicocele (subclinical and Grade 1 varicocele are acceptable).~Known history of cryptorchidism, testicular torsion, or orchitis.~Known abnormal karyotype (including Y-chromosome microdeletion).~Current or past treatment of urogenital (kidney, bladder, testicular, or prostate) cancer as well as history of chemo- or radiotherapy that can have impact on testes.~Any known uncontrolled non-gonadal endocrinopathies (thyroid, adrenal, pituitary disorders).~Administration of hormonal preparations, agents known to impair testicular function or affect sex hormone secretion, and known or suspected teratogens within 3 months prior to screening. Administration of anabolic steroids within 12 months prior to screening.","male idiopathic infertility",1,"This study is directly related to fertility as it investigates the treatment of idiopathic infertility in men with the aim of improving semen quality and increasing the chances of spontaneous pregnancy in their female partners.","The primary purpose of this trial is to investigate whether men with idiopathic infertility (unexplained reduction of semen quality), after being treated with a daily dose of 12 µg recombinant follicle stimulating hormone (rFSH) for 6 months, can improve the chance of spontaneous pregnancy observed in their female partners in comparison to placebo (inactive treatment)."
"16","NCT03802864",2019,"Post-operative Pain Control of Testicular Sperm Extraction Using Liposomal Bupivacaine","The study is a drug trial comparing the post-operative pain control provided by liposomal bupivacaine (a local anesthetic) against standard bupivacaine (a different formulation of the local anesthetic) for men undergoing testicular sperm extraction.","Inclusion Criteria:~Men scheduled for surgical sperm retrieval for infertility~Men 18 years and older who can provide informed consent~No documented allergy to bupivacaine or celecoxib~Exclusion Criteria:~Prior history of substance abuse~Any narcotic use within the last 3 months~Concomitant use of aspirin~Any of the following comorbidities: renal failure, heart disease, peptic ulcer disease, cerebrovascular disease, significant liver disease, untreated depression, chronic pain disorder, or bleeding diatheses~Medical history or concurrent illness that the investigator considers sufficiently serious to interfere with the conduct, completion, or results of this trial, or constitutes an unacceptable risk to the subject","male infertility",1,"The study involves men undergoing testicular sperm extraction, which is a procedure directly related to addressing male infertility.","Men scheduled for surgical sperm retrieval for infertility"
"17","NCT01663740",2012,"A Multicenter Prospective Cohort Study to Investigate if Ganciclovir Significantly Affects Spermatogenesis in Adult Male Renal Transplant Recipients Receiving up to 200 Days Valganciclovir Vs. Concurrent Untreated Matched Controls","This observational study will compare spermatogenesis in male adult renal transplant recipients receiving valganciclovir versus untreated matched controls. Data will be collected from each participant for up to 52 weeks post transplant.","Inclusion Criteria:~First renal transplant~Participant eligible to receive valganciclovir prophylaxis as determined by the treating physician in accordance with the local approved product prescribing information (Cohort A only) or the participant is not expected to require any valganciclovir prophylaxis (Cohort B only) post-transplant~Participant has no history of known infertility~Participant is able and willing to provide semen samples~Participant agrees to utilize a barrier contraceptive throughout the study or for at least 90 days after cessation of valganciclovir treatment~Exclusion Criteria:~Prior ganciclovir or valganciclovir within 3 months of enrollment~Organ transplant other than kidney~Participant has received an investigational new drug in the 3 months prior to transplant~Participant hs received an alkylating agent or other medications known to affect fertility/spermatogenesis~Participant is unlikely to be available for follow-up for the entire duration of the study (up to 52 weeks)","cytomegalovirus infections",1,"The study directly investigates the impact of valganciclovir on spermatogenesis, which is a key aspect of male fertility.","This observational study will compare spermatogenesis in male adult renal transplant recipients receiving valganciclovir versus untreated matched controls."
"18","NCT01323595",2011,"The Use of Celecoxib (Celebrex (c)) in Post-operative Pain Control After Microdissection Testicular Sperm Extraction","While narcotic medication are commonly used for pain control near the time of surgery, there are significant side effects including constipation, nausea, risk of overdose leading to decreased breathing, and risk of addiction to narcotics. Our goal is to explore alternatives to narcotics for perioperative pain for patients undergoing sperm retrieval surgery. We have designed a prospective randomized clinical trial to evaluate how effective the anti-inflammatory medicine celecoxib(Celebrex©) is for pain control near the time of surgery. Celecoxib is known as a COX-2 inhibitor, a drug that belongs to the non-steroidal anti-inflammatory drug (NSAID) class. It is used to reduce swelling and to treat pain.~Patients will be divided into two groups: the first group receives a celecoxib pill and the second group receives a sugar pill(placebo). Patients and doctors will be unaware of exactly which pills are given. The patient will complete questionnaires for pain level. By comparing the pain levels we can better understand whether celecoxib (Celebrex©) significantly decreases perioperative pain.","Inclusion Criteria:~>/= 18 years old~Male~Scheduled to undergo microdissection testicular sperm extraction~Exclusion Criteria:~History of allergies to celecoxib (Celecoxib)~Renal failure~History of ulcer disease~Any history of myocardial infarction~Any history of stroke~History of bleeding diathesis~Use of aspirin","pain",1,"The study is directly related to fertility as it involves patients undergoing microdissection testicular sperm extraction, a procedure used in the context of male infertility treatment.","Our goal is to explore alternatives to narcotics for perioperative pain for patients undergoing sperm retrieval surgery."
"19","NCT00655590",2008,"A Randomized, Double-blind, Placebo Controlled, Parallel Arm, Multicenter Trial Assessing the Effect of Daily Treatment of Vardenafil 20 mg or Sildenafil 100 mg Compared to Placebo on Spermatogenesis","Assess the effect of daily treatment of vardenafil 20mg or sildenafil 100mg and placebo on sperm function","Inclusion Criteria:~Healthy male subjects or men with ED aged 25 - 64~Baseline sperm conc. of > 20 mio / ml- Normal World Health Organization A+B+C sperm mortality > 50%- Normal sperm morphology (WHO, 1992 manual criteria) > 30% and - 1.0 mL ejaculate volume at each of the 3 analyses during the screening phase.~Exclusion Criteria:~Presence of any psychological or physiological abnormalities that in the opinion of the Investigator would significantly impair sexual performance or ability to provide semen samples according to the protocol- Spinal cord injury~History of surgical prostatectomy~Other exclusion criteria apply according to US Product Information","erectile dysfunction",1,"The study is directly related to fertility as it aims to assess the effect of vardenafil and sildenafil on sperm function, which is a key aspect of male fertility.","Assess the effect of daily treatment of vardenafil 20mg or sildenafil 100mg and placebo on sperm function"
"20","NCT05903859",2023,"Improvement of Reproductive Function in Men With Spinal Cord Injury (SCI)","This is a study of infertility which often occurs in men with spinal cord injury. Most men with spinal cord injury have a normal sperm count but abnormally low sperm motility - which means that the sperm does not swim well. This study will determine if a medicine given by mouth will improve sperm motility in men with spinal cord injuries. The medicine is called probenecid.","Inclusion Criteria:~Subject has a traumatic spinal cord injury.~Subject is male and is 18 years or older.~Exclusion Criteria:~Subject has been injured less than 1 year.~The subject is known to be azoospermic.~The subject has an indwelling urethral Foley catheter.~Subject is under the age of 18 years.~Subject has an unstable medical condition including, but not limited to, Crohn's disease, ulcerative colitis, colon cancer or has other conditions deemed to be exclusionary per the Investigator.~Subject is unable to consent or comprehend the procedures and their implications.~Subject has a permanent implanted electrical device, i.e., cardiac pacemaker, phrenic nerve stimulator, spinal cord stimulator, etc.~Any subject for whom the procedure or medication is otherwise contraindicated.~Subject has hypersensitivity to probenecid.~Subject has a history of uric acid kidney stones and/or peptic ulcer.~The subject has had a febrile Urinary Tract Infection (UTI) within the 2 months prior to enrollment.~The subject is taking methotrexate, aspirin, other salicylates, or anti-inflammatory medicines.~The subject has a history of Glucose-6-phosphate dehydrogenase (G6PD) deficiency.","infertility, male",1,"The study focuses on improving sperm motility in men with spinal cord injuries, directly addressing issues related to male infertility.","This is a study of infertility which often occurs in men with spinal cord injury. Most men with spinal cord injury have a normal sperm count but abnormally low sperm motility - which means that the sperm does not swim well. This study will determine if a medicine given by mouth will improve sperm motility in men with spinal cord injuries."
"21","NCT01856361",2013,"Ramipril for the Treatment of Oligospermia: A Double-Blind Randomized Control Trial","This is a randomized controlled trial to evaluate the effect of ramipril in stimulating and promoting sperm production in men with low sperm count. Ramipril is an Angiotensin Converting Enzyme Inhibitor (ACEI) currently used to treat high blood pressure. However, previous studies have shown that this class of medications can improve sperm parameters. The purpose of this study is to evaluate the efficacy of ramipril compared to placebo (Substance That is not known to have treatment effect), in improving sperm density in infertile men with documented low sperm count. This study will help us identify subjects that might benefit from treatment with this medication, and the effect it will have on sperm count, shape, and motility.","Inclusion Criteria:~Male partner of a couple presenting for infertility.~Moderate abnormalities of semen parameters (Mean sperm density <20 million, but ≥ 3 million/ml), and/or motility < 50%, and/or < 4% abnormal morphology on at least two separate occasions.~Age 18-45 years.~Normal renal function defined as Glomerular filtration rate > 90~Exclusion Criteria:~Patients that are currently taking thiazide, cyclosporin, lithium, and allopurinol or the use of these medications in the last 2 weeks.~The frequent use of NSAIDS (3 or more times a week).~Vasectomy reversal.~Regular use of tobacco products.~Mean white blood cell count >1 million/ml in the ejaculate.~Inability or unwillingness to participate in evaluations required by the study.~Potassium > 5.0.~Systolic blood pressure < 90 mmHg.~Currently use of ACEI","oligospermia~teratospermia~asthenozoospermia~male infertility",1,"The study is directly related to fertility as it aims to evaluate the effect of ramipril on sperm production, density, shape, and motility in infertile men with documented low sperm count.","This is a randomized controlled trial to evaluate the effect of ramipril in stimulating and promoting sperm production in men with low sperm count."
"22","NCT01230541",2010,"Effect of Udenafil on Spermatogenesis: A Double-blind, Randomized, Placebo-controlled, Parallel-group Study","Study of udenafil daily in subjects with mild or no erectile dysfunction to evaluate effects on semen characteristics.","Inclusion Criteria:~No or mild ED (erectile dysfunction) willing & able to provide 2 semen samples without the use of PDE-5 inhibitor or other excluded medication or devices on 2 separate days during screening and at Weeks 12 & 26~BMI (body mass index) between 19 and 31 kilogram/meter squared~Exclusion Criteria:~New onset coronary artery disease within last 3 months, history of myocardial infarction or cardiac surgical procedure within last 6 months or sudden cardiac arrest~Nitrate medications for angina pectoris~Used of anti-arrhythmic drug treatment or device~Congestive heart failure~Uncontrolled diabetes~Stroke or transient ischemic attack (TIA) within last 6 months~Bleeding disorder or history of GI bleeding within last 12 months~Cancer chemotherapy~History of alcohol or drug abuse","spermatogenesis~erectile dysfunction",1,"The study is directly related to fertility as it evaluates the effects of udenafil on spermatogenesis and semen characteristics in subjects with mild or no erectile dysfunction.","Effect of Udenafil on Spermatogenesis: A Double-blind, Randomized, Placebo-controlled, Parallel-group Study Study of udenafil daily in subjects with mild or no erectile dysfunction to evaluate effects on semen characteristics."
"23","NCT03038867",2017,"Impact of Duloxetine on Male Fertility","The investigators are conducting a placebo-controlled, randomized control trial with duloxetine in healthy, fertile men not previously on any antidepressants. Participants will be randomized to either the duloxetine or placebo groups for 6 weeks. The investigators will assess changes in sperm DNA fragmentation at 0, 2, 6, 8, and 10 weeks. Other outcomes measured will include semen parameters (sperm concentration, motility, morphology), hormone levels (testosterone, estrogen, prolactin, LH, FSH), and sexual function (IIEF and MSHQ) surveys.","Inclusion Criteria:~Healthy men aged 18-65 years old;~normal or borderline semen analysis (sperm concentration > 10 million/mL, sperm motility > 30%, sperm morphology > 3%);~willing to engage in sexual activity (alone or with a partner) at least once per week for the duration of the study;~capable of providing semen sample.~Exclusion Criteria:~Clinically detected varicocele;~oligoasthenoteratospermia or azoospermia on semen analysis;~ongoing attempts to initiate pregnancy;~current sexual dysfunction (classified as moderate or worse on IIEF);~history of seizure disorder;~history of previous chemotherapy or radiation therapy;~current psychiatric history or history of bipolar disorder;~family history of bipolar disorder, depression, or suicide;~use of any psychotropic medications or anticonvulsants;~use of sleeping pills more than once per week;~use of any hormonal medications on a daily or intermittent basis during the preceding 3 months;~use of medications which may affect hormone measures and/or sexual function;~inability to read, follow instructions, or complete questionnaires in English;~consumption of tobacco or illicit drugs;~consumption of >2oz of alcohol daily.","infertility, male~depression",1,"The study is directly related to male fertility as it assesses the impact of duloxetine on various semen parameters, sperm DNA fragmentation, and hormone levels in healthy, fertile men.","The investigators are conducting a placebo-controlled, randomized control trial with duloxetine in healthy, fertile men not previously on any antidepressants. Participants will be randomized to either the duloxetine or placebo groups for 6 weeks. The investigators will assess changes in sperm DNA fragmentation at 0, 2, 6, 8, and 10 weeks. Other outcomes measured will include semen parameters (sperm concentration, motility, morphology), hormone levels (testosterone, estrogen, prolactin, LH, FSH), and sexual function (IIEF and MSHQ) surveys."
"24","NCT00631696",2008,"Prospective Randomized Double-Blind Study Of Sperm Production In Healthy Volunteers Receiving Pregabalin Or Placebo","This study is being performed as a Phase IV FDA commitment study and is being powered adequately to assess changes in sperm concentration, FSH and testosterone in healthy male subjects treated with pregabalin as compared to placebo, in addition to confirming lack of effects on sperm motility.","Inclusion Criteria:~Healthy 18 to 55 years old males~Exclusion Criteria:~Screening sperm count <20 x 106/mL; screening sperm motility <50% motile (a+b) or <25% Class a motile or screening sperm morphology <30% normal or semen volume <1.5 mL or white blood cell count >1 x 106 /mL on any screening visit sample","healthy",1,"The study directly investigates the effects of pregabalin on sperm concentration, FSH, testosterone, and sperm motility in healthy male subjects, which are all related to male fertility.","This study is being performed as a Phase IV FDA commitment study and is being powered adequately to assess changes in sperm concentration, FSH and testosterone in healthy male subjects treated with pregabalin as compared to placebo, in addition to confirming lack of effects on sperm motility."
"25","NCT00765336",2008,"A Randomized, Double-Blind, Placebo-Controlled Study to Examine the Effects of Minocycline Extended-Release Tablets on Spermatogenesis in Human Males","Researchers want to find out how Minocycline Extended-Release Tablets affect sperm-production in healthy males.~The study will include Minocycline Extended-Release Tablets, a new once-daily formulation of minocycline, compared with a placebo or inactive pill.~Approximately 170 healthy adult males will be assigned by chance (like flipping a coin) to 2 treatment groups with approximately 85 subjects per group. You will be treated with either Minocycline Extended-Release Tablets or placebo once daily. Screening will occur within 14 days prior to the first dose of study drug.~Required study activities include:~Written informed consent~Weight~Two semen collections within 48-72 hours of one another at the screening visit and Days 84,112, 140, and 168~Blood draws at the screening visit and Days 84, 112, 140, and 168~Genital examination (excluding prostate) at screening and at the Day 84 and Day 112 visits~Medical history~You will continue in the treatment phase of the study for 12 weeks.~You will return to the clinic 4 weeks and 8 weeks after completion of the treatment phase of the study, with the final study visit approximately 12 weeks after the last dose.~Participation will be for 24-weeks.~Up to 10 investigational sites will enroll subjects into the study.","Inclusion Criteria:~Males at least 18 years of age~Weight 45 kg - 136.36 kg (99-300 lbs)~Must understand and give consent voluntarily to be in the study and to comply with study requirements~Subjects must ejaculate between 48 and 72 hours prior to collection of the first specimen (Pre-Collection Ejaculation) and refrain from further ejaculation until Specimen 1 is collected. The second ejaculation sample Specimen 2) must be collected between 48 hours and 72 hours after Specimen 1. No ejaculation is permitted between Specimen 1 and Specimen 2~Must refrain from using saunas or hot tubs during the duration of the study 168 days)~Must be a non smoker~Must be medically healthy as determined by the investigator physician (via medical history and clinical laboratory tests)~Must have sperm parameters (average of Specimen 1 and Specimen 2) within clinically acceptable limits at screening defined as:~Total sperm concentration ≥20 x 106/mL10~% motile ≥50%10~% normal morphology >4.4%14~Exclusion Criteria:~Known allergy/sensitivity to minocycline or any of the other drug product components~Use of antacids or other dietary supplements containing aluminum, calcium, iron, or magnesium~History of vestibular incidents including vertigo, lightheadedness, nausea, or vomiting within the 30 days prior to enrollment~Known history of alcohol or drug dependency, significant within the past 2 years~Known history or current risk of hepatic dysfunction~Known history or current risk of renal dysfunction, e.g., uncontrolled diabetes~Systemic lupus erythematosis (SLE) or a positive ANA at screening~Receipt of any experimental drugs within 120 days prior to Study Day 0~Non-LFT clinical laboratory values outside the normal range and determined to be of clinical significance~Liver function tests greater than 1.5 times the upper limit of normal (ALT, AST, GGT)~Use of tetracyclines, erythromycin within 12 weeks of Day 0","human volunteer",1,"The study is directly investigating the effects of Minocycline Extended-Release Tablets on spermatogenesis, which is the process of sperm production. This is directly related to male fertility.","Researchers want to find out how Minocycline Extended-Release Tablets affect sperm-production in healthy males."
"26","NCT01155518",2010,"Effect of Hypogonadotropic Hypogonadism and Replacement With Clomiphene Citrate and Testosterone on Insulin Sensitivity, Body Composition, Inflammation, Sexual Function and Spermatogenesis in Young Type 2 Diabetic Men","Low testosterone production, known clinically as hypogonadism, appears to be common complication of type 2 diabetes, affecting one in three diabetic men. Hypogonadism is known to be associated with decreased muscle mass, increased fat mass, increased inflammation and decreased fertility. In this grant, the investigators propose to study the effects of having low testosterone on 1) insulin sensitivity, the ability of the body to handle glucose 2) fat and muscle mass at specific areas of the body 3) expression of mediators of inflammation in the blood 4) semen quality. This study will compare diabetic men (with or without hypogonadism). This study will also evaluate the effect of treatment with clomiphene (a drug that increases testosterone and sperm production) or testosterone in men with diabetes and hypogonadism. The investigators hope that this project will help us understand the state of hypogonadism in young type 2 diabetic men who are in their peak fertility years and give us insights into treatment of this condition. With the rising prevalence of type 2 diabetes in the young, this project may have implications for public health.","Inclusion Criteria:~T2D Males with age 18-40 years~Exclusion Criteria:~planning to have children in the next one year~Use of androgens, CC, hCG, aromatase inhibitors or over the counter health supplements which contain androgens currently or in the past 6 months;~PSA > 4ng/ml, symptoms of severe BPH, prostate nodule or severe enlargement on digital rectal examination or h/o prostatic carcinoma~Hemoglobin A1c > 8%~Hematocrit > 50%~History of obstructive sleep apnea~Congestive heart failure~Use of thiazolidinediones or exenatide~currently suffering from depression, with or without treatment~history of severe depression in the past which needed hospitalization~currently suffering from foot ulcer, significant periodontal disease or any other chronic infectious condition~Coronary event or procedure in the previous 6 months~Hepatic disease (transaminase > 3 times normal) or cirrhosis~Renal impairment (serum creatinine > 1.5)~HIV or Hepatitis C positive status~Participation in any other concurrent clinical trial","hypogonadotropic hypogonadism~type 2 diabetes",1,"The study investigates the effects of hypogonadism on fertility-related parameters such as semen quality and evaluates treatments (clomiphene and testosterone) that directly impact sperm production and testosterone levels, which are crucial for male fertility.","Hypogonadism is known to be associated with decreased muscle mass, increased fat mass, increased inflammation and decreased fertility. This study will also evaluate the effect of treatment with clomiphene (a drug that increases testosterone and sperm production) or testosterone in men with diabetes and hypogonadism."
