"","Combined"
"11","NCT03120780_High Dose Epidural Fentanyl for Second Stage Labor Analgesia_This study is being done to investigate if there is more effective pain relief during the latter stages of labor and delivery when epidural fentanyl 100mcg is administered compared to epidural fentanyl 20mcg._Female_18 Years_N/A_Conditions:  labor pain_Inclusion Criteria:~Nulliparous women~Spontaneous labor~A single vertex presentation fetus at term (38-42 weeks)~Effective labor epidural analgesia with continuous epidural infusion established~Provide written consent to participate in the study.~Exclusion Criteria:~Multigravida women~Multigestation pregnancies~Patients being treated/managed for chronic pain~Allergies or significant adverse reactions to local anesthetic or opioid medications~Inadequate or unsatisfactory labor epidural analgesia~Patients with history of spine abnormalities or spine surgery~Non-English speaking~Prisoners~Age less than 18 years old"
"12","NCT05273632_Comparison Study Between Oxytocin Versus Tranexamic Acid and Ethamsylate Versus Placebo to Reduce Blood Loss Intraoperative and Post Operative During Elective Cesarean Section_Comparison Study Between Oxytocin Versus Tranexamic Acid and Ethamsylate Versus Normal Saline as Pre-operative Administration._Female_20 Years_40 Years_Conditions:  blood loss, surgical~blood loss, postoperative_Inclusion Criteria:~Pregnant females admitted for Elective Cesarean Section.~Gestational age of pregnancy (38 weeks To 40 weeks).~the average height of 145 to 160 cm,average body weight of 45 to 85 kgs.~Singleton living fetus.~No medical disorders.~Informed Oral Consent From The Patient.~Exclusion Criteria:~Severe medical and surgical disorders as thyroid dysfunction, which was excluded by routine thyroid function test (free T3, free T4, and thyroid stimulating hormone(TSH), all of them should be within normal limits).~Bleeding tendency, for example, disseminated intravascular coagulopathy, which was excluded by platelet count, coagulation time, bleeding time, prothrombin time, partial thromboplastin time, and thrombin time (all should be within normal).~Acute liver or kidney diseases; blood disorders, such as anaemia.~Allergy to Tranexamic acid.~Risk factors for PPH, such as polyhydramnios, fetal macrosomia, antepartum haemorrhage.~Ante partum Hemorrhage such placental abruption."
"13","NCT05232994_Use of Combination Metformin and Esomeprazole in Preterm Pre- Eclampsia: Randomized Controlled Trial_A recent randomized controlled trial by Cluver et al included 180 women with preterm pre-eclampsia between 26+0 to 31+6 weeks' gestation undergoing expectant management: 90 were randomised to extended release metformin and 90 to placebo. Investigators found that extended release metformin (3g daily) can prolong gestation in women with preterm pre-eclampsia. Combination metformin and esomeprazole has shown promise in the treatment of preeclampsia as both agents reduce placental and endothelial secretion of soluble fms-like tyrosine kinase 1 (sFlt-1) and soluble endoglin, and reduce endothelial dysfunction._Female_18 Years_55 Years_Conditions:  preeclampsia severe~preeclampsia second trimester~preterm birth complication_Inclusion Criteria:~Individuals presenting with pre-eclampsia between 24+0 and 31+6 weeks of gestation, with a single viable fetus and no major anomalies~Women 18 years or older~Women diagnosed with preeclampsia~Women with pre-eclampsia superimposed on chronic hypertension~Candidates for expectant management and had no clinical indication for immediate delivery~Exclusion Criteria:~Delivery within 48hr is highly likely~Maternal or fetal compromise that necessitated immediate delivery~Diabetes or gestational diabetes currently on metformin therapy~Contraindications to metformin, esomeprazole~Baseline creatinine >124 μmol/L~Hypersensitivity to metformin or esomeprazole~Metabolic acidosis~Use of drugs that might interact with metformin (glyburide, furosemide, or cationic drugs) Multiple gestations"
"14","NCT02756403_A Randomized Controlled Trial of Three Prophylactic Antibiotic Regimens for First Trimester Surgical Abortion_This study, a double blinded randomized controlled trial, is being done to compare side effects of commonly used antibiotic regimens prior to same day abortion procedures.~In total, 180 pregnant women in their first trimester of pregnancy (5 0/6-13 6/7 weeks gestation) will be randomized to receive one of the three commonly used antibiotics (azithromycin, doxycycline, metronidazole) for same day abortion procedures or placebo prior to their abortion procedure. Approximately, 30-60 mins after study drug administration, the procedure will be performed.~A sub-study will be completed on 40 women who consent to endometrial sampling and to have their blood drawn._Female_18 Years_N/A_Conditions:  first trimester abortion_Inclusion Criteria:~Women in good general health.~English speaking.~Age 18 or over.~Seeking non-urgent surgical termination of pregnancy.~Gestational age of 5 0/7 to 13 6/7 weeks, confirmed by sonogram.~Exclusion Criteria:~Less than 18 years of age.~Early pregnancy failure or fetal demise.~Poor general health that would prevent one from tolerating the medication or surgical procedure.~Intolerance, allergy, or contraindication to any of the study medications.~Inability to tolerate oral intake due to current nausea or vomiting.~Diagnosis of hyperemesis gravidarum with current pregnancy.~Need of an urgent surgical abortion.~Gestational age outside of 5-13 6/7 weeks by sonogram."
"15","NCT04871425_Ketamine Versus Fentanyl for Surgical Abortions: A Randomized Controlled Noninferiority Trial_Ketamine is commonly used for procedural sedation and analgesia. It is widely used for trauma cases in the emergency department and is considered a superior agent in the outpatient setting due to its lack of respiratory and cardiovascular depression. In chronic opioid users, ketamine decreases acute pain and reduces postoperative opioid consumption. Few studies have examined the use of ketamine for surgical abortions. Previous studies found significant rates of emergence phenomena; however, this can be prevented if a benzodiazepine is given at the same time. Ketamine deserves further study to determine whether it is an acceptable alternative to a standard opioid-based regimen for surgical abortion. Our primary objective is to compare patient satisfaction after surgical abortion among patients receiving IV ketamine versus IV fentanyl for procedural sedation. Our secondary objectives include postoperative pain, additional pain medication used, and postoperative opioid use after the procedure. Our hypothesis is that ketamine will provide similar patient satisfaction and reduce postoperative opioid use. This will be a randomized controlled noninferiority clinical trial of 84 women receiving either IV ketamine with IV midazolam or IV fentanyl with IV midazolam for outpatient one day surgical abortions up to 13, 6/7 weeks gestation. Both groups will receive a standardized paracervical block and additional pain medication as needed. Our study has the potential to introduce IV ketamine as a satisfactory medication for outpatient surgical abortions. Ketamine may decrease the need for IV fentanyl, reduce postoperative opioid use, and may prove to be a superior analgesic for chronic opioid users._Female_14 Years_N/A_Conditions:  abortion in first trimester~pain, procedural~opioid use_Inclusion Criteria:~Aged 14 years or older~Voluntarily requesting surgical pregnancy termination~Intrauterine pregnancy up to 13 weeks 6 days by transabdominal or transvaginal ultrasound performed on day of procedure~Eligible for suction curettage~English or Spanish speaking~Able and willing to give informed consent and agree to terms of the study~Exclusion Criteria:~Age less than 14 years~Reaspiration procedure or failed medication abortion~Early pregnancy loss~Alcohol use disorder or acute alcohol intoxication~Currently incarcerated~Gestational age 14 weeks or more~Requesting a specific pain regimen~Premedication with misoprostol~Contraindications or allergies to ketamine or fentanyl"
"16","NCT02181933_A Prospective Randomised Open Label Clinical Trial to Determine the Efficacy of Nevirapine, Compared With a Combination of ZDV + 3TC, in Decreasing the Peripartum Mother to Child Transmission of HIV. Women, Who Present After 38 Weeks Gestation or in Labour After 35 Weeks Gestation and Who Are Anti-retroviral Naive, Will be Included._The primary objective of the study was to evaluate the efficacy of nevirapine versus ZDV+3TC (Zidovudine + Lamivudine), when administered in labor and again at postdelivery, in reducing peripartum mother to child transmission of HIV (Human Immunodeficiency Virus).~The secondary objective was to assess the overall HIV transmission rate between the 2 groups (intrauterine, intrapartum and postpartum up to 6 weeks) as well as to explore the relationship between infection and timing of maternal dose relative to birth, infant feeding method, maternal peripheral blood viral load, and other potential risk factors for transmission.~Following the introduction of the second and third Amendments to the Protocol, 2 substudies were added. The objectives of these substudies were to evaluate the frequency of resistance-conferring mutations to nevirapine (Amendment 2) and to ZDV+3TC (Amendment 3); to determine whether there was a reversion of any resistant virus to the wild type; and to determine if the resistant virus was transmitted from the mother to the child._All_N/A_N/A_Conditions:  hiv infections_Inclusion Criteria:~Pregnant women who present after 38 weeks gestation or in labour after 35 weeks gestation who are tested HIV positive. Estimated gestational age will be determined by one or more of the following:~Reliable menstrual history, which corresponds with uterine size~Physical examination~Estimated fetal weight~A consent form for the mother and neonate will be signed by either the mother or the guardian prior to inclusion~Exclusion Criteria:~Mothers who have taken any antiretrovirals in the last 12 months~Mothers who are not able to take oral medication~Mothers who present with ARDS (acute respiratory distress syndrome), septic shock or eclampsia~Mothers presenting in discomfort, i.e. regular painful uterine contractions, or other factors that may contribute to her not being able to understand and sign the informed consent for HIV testing and study participation~Use of another investigational drug or concurrent participation in another investigational protocol during the current pregnancy~Unwillingness or inability to reasonably comply with the protocol (i.e., mother and neonate/infant could not be followed for the full 6 weeks of the trial)~Grade 4 SGPT (Serum glutamate pyruvate transaminase) (>10 times the upper limit of normal value), if known prior to delivery~A recent history (6 months preceding the study) or current evidence of drug abuse and/or alcoholism~Mothers with fetuses with anomalies incompatible with life, if known prior to delivery~Decision to deliver the infant by elective Cesarean section~Amniocentesis was indicated~Infants with severe growth retardation diagnosed before birth~Infants who fall into the following groups will not receive treatment, but the mother-infant pair will remain in the trial~Infants with malformations incompatible with life~Life-threatening perinatal conditions which do not allow oral therapy (e.g., sepsis)"
"17","NCT00365170_A Randomised, Parallel-group, Open-label, Multinational Trial Comparing the Safety and Efficacy of Insulin Aspart (NovoRapid®) Versus Human Insulin (Actrapid®), Used in a Multiple Injection Regimen, in the Treatment of Pregnant Women With Type 1 Diabetes, Focusing on Maternal Hypoglycaemia and Pregnancy Outcomes_This trial was conducted in Europe, Middle East, North America and South America.~The aim of this trial was to compare the use of an intensified insulin treatment with insulin aspart (NovoRapid®) versus human insulin (Actrapid®) in pregnancy._Female_18 Years_N/A_Conditions:  diabetes~diabetes mellitus, type 1_Inclusion Criteria:~Type 1 diabetes~Treated with insulin for at least 12 months~Either plan to become pregnant in the immediate future, willing to undertake pre pregnancy counselling, and has a screening HbA1c lesser than or equal to 12.0%, or~Pregnant with normal singleton pregnancy, gestational age for at least 10 weeks at the time of randomisation, confirmed by ultrasound scan.~Exclusion Criteria:~Previous birth of child with a major congenital malformation~More than 2 previous multiple miscarriages or stillbirths~Severe hyperemesis gravidarum, requiring hospitalisation, according to Investigator judgement~Subjects being treated for infertility~Proliferative retinopathy or maculopathy requiring acute treatment~Drug or alcohol abuse~Impaired renal, hepatic or cardiac function"
"18","NCT05276206_Comparative Study Between Transversus Abdominus Plain Block, Local Subcutaneous Injection in the Wound, and Intravenous Nalbuphine in Decreasing Postoperative Pain in Cesarean Section_Approximately 1 in 5 women who undergo CS will experience severe acute postoperative pain. The severity of pain in the acute postoperative period is a significant predictor for the development of chronic pain, which occurs in 9.2%-18% of women who undergo CS. Furthermore, severe acute post-cesarean pain triples a woman's risk of developing postpartum depression and negatively affects breastfeeding and infant care. For these reasons, it is imperative to provide adequate postoperative analgesia in this patient population_Female_20 Years_35 Years_Conditions:  post operative pain~cesarean section pain_Inclusion Criteria:~Pregnant women aged 20-35 years~Gestational age between 37-40 weeks~Pregnant women undergoing elective cesarean section~Medically free~Singleton pregnancy~Exclusion Criteria:~Emergency cesarean section~Diabetic~Hypertensive~Severe anemia~Multiple pregnancy~Complication during section"
"19","NCT03961360_Effectiveness of Higher Aspirin Dosing for Prevention of Preeclampsia in High Risk Obese Gravida: An Open Label, Comparative Effectiveness, Randomized Controlled Trial (ASPREO Trial)_To compare the incidence of preeclampsia in obese pregnant women (BMI greater than 30) with a singleton gestation at less than 20 weeks and either a history of preeclampsia in a prior pregnancy or stage I hypertension or pre-gestational diabetes who are randomized to either 81mg/day aspirin or 162mg/day aspirin._Female_18 Years_45 Years_Conditions:  pre-eclampsia~hypertension in pregnancy~obesity_Inclusion Criteria~A singleton gestation at less than 20 weeks at time of enrollment, with a BMI greater than or equal to 30 and one of the following:~1. History of preeclampsia in a prior pregnancy~Diagnosis will be obtained by review of records, and if unavailable then patient history. Preeclampsia diagnosis may be made in antepartum or postpartum period.~OR 2. At least stage I hypertension during pregnancy~Stage I hypertension is defined as a systolic blood pressure between 130- 139 mm Hg or diastolic blood pressure between 80-89 mm Hg21~This blood pressure criteria is met regardless of medication usage~The patient must have a blood pressure reading ≥ 130-139/80-89 mm Hg at least during 1 clinic visit during the current pregnancy; before or at time of enrollment~OR~3. Pre-gestational diabetes~Type 1 and Type 2 diabetics are included~Gestational diabetes mellitus diagnosed prior to 20 weeks gestational age will also be included~Exclusion Criteria~Known allergy/prior adverse reaction/any medical condition where aspirin is contraindicated~Already on aspirin prior to pregnancy~Baseline renal Disease~Baseline proteinuria identified at time of enrollment, defined as urine analysis with 3+ protein, or urine protein to creatinine ratio ≥ 0.3~Systemic Lupus Erythematosus~Seizure disorder on medications~HIV positive status~Known major fetal anomalies~Multifetal gestation"
"20","NCT01170702_The Postoperative Analgesic Efficacy of Varied Concentrations of Ropivacaine Used for the Transverse Abdominis Plane (TAP) Block After Cesarean Delivery_Since there have been no published dose-response studies investigating the effective analgesic dose of ropivacaine for use in a TAP block for post-Cesarean delivery analgesia, the investigators propose a study primarily examining the effect on 24 hour post-Cesarean delivery opioid consumption of using either a placebo, 0.25% ropivacaine, 0.5% ropivacaine, or 0.75% ropivacaine for TAP blocks._Female_18 Years_N/A_Conditions:  postoperative pain~pregnancy~obesity_Inclusion Criteria:~ASA II-III patient~> 18 years of age who is pregnant~presenting for a cesarean delivery via Pfannenstiel incision who is eligible to receive a spinal anesthetic with 0.75% bupivacaine and fentanyl and whose is not eligible to receive intrathecal morphine due to a BMI >40 kg/m2.~Exclusion Criteria:~< 18 years of age~contraindication to placement of a spinal anesthetic~contraindication to use of non-steroidal anti-inflammatory drugs (NSAIDs)~patients receiving medical therapies considered to result in tolerance to opioids~patients with a history of established chronic pain, (e.g. chronic low back pain, fibromyalgia or headaches), defined as requiring regular medical follow-up with pain specialists, as well as recent use (within the year preceding pregnancy) of opioid analgesics as an outpatient~patients with a history of diabetes mellitus~patients undergoing a vertical midline skin incision~patients who are undergoing a cesarean delivery after a failed vaginal trial of labor~patients who had a prior epidural placed for labor analgesia during the same hospital encounter."
