NCT_ID,AnyPregGPT,Preg_Only_GPT,Category,Secondary category,Pain,Summary,Certainty
NCT03120780,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,1,"The trial investigates the effectiveness of epidural fentanyl for pain relief during labor, specifically targeting nulliparous women in spontaneous labor. This fits under labor management and pain management.",95
NCT05273632,1,1,15. C-section/caesarean,28. Postpartum sepsis/hemorrhage/complications,0,"This trial involves pregnant females undergoing elective cesarean section and aims to compare the effectiveness of oxytocin, tranexamic acid, and ethamsylate versus placebo in reducing intraoperative and postoperative blood loss. The primary focus is on cesarean sections, with a secondary focus on managing postpartum hemorrhage complications.",95
NCT05232994,1,1,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,0,"The trial focuses on the use of combination metformin and esomeprazole in women with preterm pre-eclampsia, aiming to prolong gestation. The inclusion criteria specifically target pregnant women diagnosed with pre-eclampsia, making it clear that the trial is exclusively for pregnant individuals. The primary category is 'Hypertension/pre-eclampsia/eclampsia/HELLP syndrome' due to the focus on pre-eclampsia. The secondary category is 'Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage' because the trial also aims to prolong gestation in preterm pre-eclampsia cases.",100
NCT02756403,1,1,34. Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage,None,0,This study involves pregnant individuals seeking a first trimester surgical abortion and compares the side effects of different antibiotic regimens. It exclusively enrolls pregnant individuals and focuses on abortion procedures.,100
NCT04871425,1,0,34. Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage,17. Opioid use disorder/Substance use disorder/OUD/SUD,1,"The trial compares ketamine versus fentanyl for procedural sedation in surgical abortions, focusing on patient satisfaction and postoperative pain management. It involves pregnant individuals seeking surgical abortion, making it relevant to abortion and opioid use disorder categories. Pain management is a key aspect of the study.",95
NCT02181933,1,1,"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",None,0,"This trial evaluates the efficacy of nevirapine versus ZDV+3TC in reducing peripartum mother-to-child transmission of HIV. It includes pregnant women who are HIV positive and present after 38 weeks gestation or in labor after 35 weeks gestation. The primary focus is on preventing mother-to-child transmission of HIV, fitting well into the category of 'HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)'. There is no indication of pain management being a focus of this trial.",100
NCT00365170,1,0,9. Diabetes (Type I or Type II ONLY),None,0,"This trial compares the safety and efficacy of insulin aspart versus human insulin in pregnant women with Type 1 diabetes. The inclusion criteria specifically mention pregnant women or those planning to become pregnant, indicating that pregnant individuals can enroll. The primary focus is on diabetes management, fitting best under 'Diabetes (Type I or Type II ONLY)'. There is no indication of pain management being evaluated.",100
NCT05276206,1,1,15. C-section/caesarean,27. Nausea and vomiting during pregnancy/Morning sickness/Hyperemesis,1,"The trial focuses on comparing different pain management techniques for postoperative pain in women undergoing elective cesarean sections. The inclusion criteria specify pregnant women, making it clear that the trial is exclusively for pregnant individuals. The primary category is 'C-section/caesarean' due to the focus on cesarean section pain management. A secondary category of 'Nausea and vomiting during pregnancy/Morning sickness/Hyperemesis' is included due to the potential impact of pain management on these conditions.",95
NCT03961360,1,1,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,None,0,"The trial focuses on comparing the incidence of preeclampsia in obese pregnant women using different dosages of aspirin. The inclusion criteria specifically target pregnant women with a history of preeclampsia, stage I hypertension, or pre-gestational diabetes. Therefore, the primary category is 'Hypertension/pre-eclampsia/eclampsia/HELLP syndrome.' No secondary category is applicable as the primary focus is clear.",100
NCT01170702,1,1,15. C-section/caesarean,0. None,1,"The trial investigates the postoperative analgesic efficacy of varied concentrations of ropivacaine for TAP block after cesarean delivery. It exclusively enrolls pregnant individuals undergoing cesarean delivery, focusing on pain management post-surgery.",100
NCT06266767,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,1,"This trial evaluates different combinations of programmed intermittent epidural bolus (PIEB) techniques for labor analgesia, specifically focusing on pain relief during labor. The inclusion criteria specify pregnant individuals in active labor, making it clear that the trial is exclusively for pregnant people. The primary focus is on labor management and pain relief, fitting best under 'Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)'.",100
NCT01555931,1,0,30. Other - maternal/parental/pregnant person disease or injury,None,0,"This trial involves postpartum contraception using the levonorgestrel-releasing intrauterine system (LNG-IUS) and compares its immediate placement after vaginal delivery to placement 4-8 weeks later. The primary focus is on breastfeeding prevalence, not pain management. The trial includes pregnant individuals but is not exclusively for them, and it does not fit into other specific categories like pre-term labor or hypertension.",95
NCT04098874,1,0,20. Smoking cessation,None,0,"The trial enrolls pregnant women who quit smoking during pregnancy and aims to prevent postpartum smoking relapse using bupropion. The primary focus is on smoking cessation, and the trial includes pregnant individuals but is not exclusive to them.",95
NCT01414777,1,1,15. C-section/caesarean,None,0,"This trial investigates the use of intravenous ondansetron to manage hypotension and bradycardia in pregnant individuals undergoing elective caesarean section. The study exclusively enrolls pregnant individuals scheduled for elective caesarean section, making it a clear fit for the 'C-section/caesarean' category. There is no indication that the trial evaluates a pain management drug or intervention.",100
NCT00066950,1,0,29. Other - infant disease or injury,None,0,"The trial aims to reduce dental disease patterns and transmissible bacteria in young children by treating mothers and their infants with Chlorhexidine and fluoride varnish. Pregnant individuals are included, but the focus is on infant health, not exclusively on pregnant individuals.",95
NCT04402385,1,1,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,None,0,"The trial aims to determine if low dose aspirin reduces the incidence of hypertensive disorders of pregnancy, including gestational hypertension, preeclampsia, eclampsia, and HELLP syndrome, in pregnant women with stage 1 hypertension and elevated blood pressure. The inclusion criteria specifically target pregnant women, and the primary focus is on hypertensive disorders during pregnancy.",100
NCT03750968,1,1,7. Nutrition supplementation/Vitamin D/folic acid (DO NOT INCLUDE IRON OR ANEMIA),None,0,"The trial focuses on the effects of prenatal supplementation with lutein and zeaxanthin on maternal and infant carotenoid status. Pregnant women are the sole participants, and the study aims to address nutrient deficiency during pregnancy. The primary category is nutrition supplementation.",95
NCT01119963,1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,None,0,"The trial focuses on the use of 17-alpha-Hydroxyprogesterone Caproate (17P, Makena®) to prolong pregnancy in women with preterm rupture of the membranes (PROM). The inclusion criteria specifically target pregnant women, and the primary objective is to prevent preterm delivery, fitting well into the category of 'Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage'. There is no indication of pain management in the trial.",100
NCT01708330,1,1,34. Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage,None,1,"The trial involves women undergoing manual vacuum aspiration (MVA) for nonviable pregnancies, including missed abortion, inevitable abortion, and incomplete abortion. The primary focus is on evaluating pain control using lidocaine gel during the procedure. This fits into the category of 'Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage' as it deals with nonviable pregnancies and related procedures. Pain management is a key aspect of the study.",100
NCT01192035,1,0,"4. HIV (non-PMTCT, NO malaria, NO tuberculosis)",None,0,"This trial evaluates two different HIV treatment regimens in a West African population with low adherence. Pregnant women can be included, but the trial is not exclusively for pregnant individuals. The primary focus is on HIV treatment outcomes, not on preventing mother-to-child transmission or any other specific condition related to pregnancy. Therefore, the best-fitting category is 'HIV (non-PMTCT, NO malaria, NO tuberculosis)'.",95
NCT01519765,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,0,"The trial compares buccal versus vaginal misoprostol for third trimester induction of labor, focusing on labor induction and management. It exclusively enrolls pregnant individuals, making it a pregnancy-only trial. There is no mention of pain management as a primary focus.",100
NCT01321359,1,0,21. Other infectious disease prevention/treatment (non-vaccine),None,0,"The trial evaluates the safety and efficacy of NB-001 in treating recurrent herpes labialis. Pregnant individuals can enroll at the investigator's discretion, but the trial is not exclusively for pregnant individuals. The primary focus is on treating an infectious disease (herpes labialis), and there is no indication that pain management is a primary outcome.",95
NCT01061151,1,0,"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",None,0,"The study focuses on HIV-infected pregnant and postpartum women and their infants, aiming to find optimal interventions for preventing mother-to-child transmission of HIV during antepartum, intrapartum, and postpartum periods. It includes pregnant women and continues to follow them postpartum, but it is not exclusively for pregnant individuals.",100
NCT01235546,1,1,15. C-section/caesarean,21. Other infectious disease prevention/treatment (non-vaccine),0,"The trial evaluates the effectiveness and safety of azithromycin-based extended-spectrum antibiotic prophylaxis to prevent post-cesarean infection. It specifically targets pregnant women undergoing unscheduled/non-elective cesareans, making it relevant to the category of C-section/caesarean. The focus on preventing infections also aligns with the category of other infectious disease prevention/treatment.",95
NCT02163434,1,1,27. Nausea and vomiting during pregnancy/Morning sickness/Hyperemesis,None,1,"This trial compares gabapentin and metoclopramide for treating hyperemesis gravidarum, a condition specific to pregnancy. The inclusion criteria specify that participants must be pregnant, making it a pregnancy-only trial. The primary focus is on managing symptoms of hyperemesis gravidarum, which involves severe nausea and vomiting during pregnancy. Gabapentin is also evaluated for its pain management properties.",100
NCT01746199,1,0,5. Malaria (with or without HIV),"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",0,"This trial evaluates the efficacy of two antifolate prophylactic strategies against malaria in HIV-positive pregnant women. The primary focus is on malaria prevention, but it also involves HIV-positive participants, making it relevant to both malaria and HIV categories. Pregnant women are explicitly included, but the trial is not exclusive to them.",95
NCT01180296,1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,None,0,"The trial evaluates the effectiveness of daily oral micronized progesterone in preventing recurrent spontaneous preterm birth (RSPB) in pregnant women. The inclusion criteria specifically target pregnant women, and the condition being studied is preterm birth, which fits well into the category of 'Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage.' There is no indication of pain management being a focus of this trial.",100
NCT01466491,1,1,34. Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage,None,1,The trial focuses on refining paracervical block techniques for pain control in first-trimester surgical abortion. It involves pregnant individuals seeking pregnancy termination and evaluates pain management interventions.,100
NCT01222247,1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,None,0,"This trial evaluates the use of antenatal corticosteroids to decrease neonatal respiratory support and NICU admissions in late preterm infants. It specifically targets pregnant individuals at risk for preterm delivery, making it relevant to the prevention of pre-term labor and preterm delivery.",100
NCT00614445,1,1,27. Nausea and vomiting during pregnancy/Morning sickness/Hyperemesis,None,0,"This trial evaluates the efficacy of Diclectin® for controlling nausea and vomiting of pregnancy (NVP). The inclusion criteria specify that participants must be pregnant females suffering from NVP, confirming that the trial is exclusively for pregnant individuals. The primary focus is on managing nausea and vomiting during pregnancy, fitting well into the category of 'Nausea and vomiting during pregnancy/Morning sickness/Hyperemesis'. There is no indication that the trial involves pain management.",100
NCT00583011,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,1,"The trial evaluates the effect of local anesthesia on maternal pain perception during amniocentesis, which is a procedure related to labor management. The study exclusively enrolls pregnant women, and the primary focus is on pain management.",95
NCT01547390,1,1,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,None,0,"This trial evaluates the efficacy of low dose aspirin for preventing preeclampsia in women identified as high risk. The inclusion criteria specify pregnant women, and the condition being studied is preeclampsia, which falls under the category of hypertension/pre-eclampsia/eclampsia/HELLP syndrome. There is no indication that the trial involves pain management.",100
NCT00617097,1,0,34. Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage,None,1,"This trial investigates the analgesic effects of combined ketorolac and lidocaine in a paracervical block compared to preoperative ibuprofen followed by intra-operative paracervical block with lidocaine alone on women undergoing first trimester surgical abortions. The primary outcome is the mean difference in pain level from preoperative baseline to time after cervical dilation. The trial is relevant to pregnant individuals seeking elective surgical abortions, thus it falls under the category of 'Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage'. Pain management is a key focus of the study.",100
NCT00589329,1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,21. Other infectious disease prevention/treatment (non-vaccine),0,"The trial evaluates the use of antibiotics to prolong pregnancy in women experiencing preterm labor with advanced cervical exams. The primary focus is on preventing preterm birth, which fits into the category of 'Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage.' Since antibiotics are used, it also fits well into 'Other infectious disease prevention/treatment (non-vaccine).' The trial exclusively enrolls pregnant women.",95
NCT03911466,1,1,17. Opioid use disorder/Substance use disorder/OUD/SUD,None,0,"This trial focuses on medication treatment for opioid use disorder in expectant mothers, comparing extended-release and daily buprenorphine formulations. It evaluates the impact on mother-infant outcomes, including neonatal opioid withdrawal syndrome and infant development. The trial exclusively enrolls pregnant individuals.",100
NCT00514618,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",10. Gestational diabetes,0,"This trial focuses on the use of orally administered misoprostol for cervical ripening and labor induction in term pregnancies complicated by diabetes mellitus. The primary aim is to demonstrate the effectiveness and safety of misoprostol in an outpatient setting. The trial exclusively enrolls pregnant individuals, specifically those with gestational diabetes, and aims to manage labor induction, fitting well into the categories of labor management and gestational diabetes.",95
NCT00468299,1,1,34. Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage,None,0,"This study compares two drug combinations for the medical treatment of early pregnancy failure, specifically focusing on miscarriage. The trial exclusively enrolls pregnant individuals experiencing early pregnancy failure, making it fit into the category of 'Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage.' There is no indication that the study evaluates a pain management drug or intervention.",100
NCT00467363,1,0,34. Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage,None,0,"The trial investigates the effects of low-dose aspirin combined with folic acid on live births and spontaneous abortions among women who become pregnant. The inclusion criteria focus on women with a history of pregnancy losses, and the study aims to understand the impact of aspirin on pregnancy outcomes. This fits best under 'Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage' due to the focus on spontaneous abortions.",95
NCT01810354,1,1,15. C-section/caesarean,21. Other infectious disease prevention/treatment (non-vaccine),0,"This study evaluates the effectiveness of increased doses of prophylactic antibiotics in preventing surgical site infections in obese women undergoing cesarean sections. The trial exclusively enrolls pregnant women who are obese and require a cesarean section, making it a clear fit for the 'C-section/caesarean' category. The focus on infection prevention also aligns well with 'Other infectious disease prevention/treatment (non-vaccine)' as a secondary category.",95
NCT03377699,1,0,9. Diabetes (Type I or Type II ONLY),None,0,"The trial evaluates the safety and efficacy of insulin degludec versus insulin detemir in pregnant women with type 1 diabetes. It includes both pregnant women and those planning to become pregnant, focusing on diabetes management.",100
NCT02989571,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,0,"The trial focuses on the effects of increased intravenous hydration on the course of labor in nulliparous women undergoing labor induction. It specifically targets pregnant individuals and aims to manage labor, fitting well into the category of labor induction/labor management. There is no mention of pain management.",100
NCT05097326,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,0,"This trial explores the use of mifepristone for labor induction at term, focusing on the efficacy of cervical preparation. The inclusion criteria specify pregnant patients, and the study aims to assess labor induction outcomes, fitting well into the category of labor induction/labor management. There is no mention of pain management interventions.",100
NCT04721912,1,1,23. GBS,None,0,"This trial focuses on the use of probiotics to reduce Group B Strep (GBS) colonization in pregnant women. The inclusion criteria specifically target pregnant women who are GBS positive, and the study aims to determine the feasibility of a larger RCT in this population. The primary category is 'GBS' as the study is centered around GBS infection prevention in pregnant women. There is no secondary category that fits well. Pain management is not a focus of this trial.",100
NCT05423249,1,1,6. Anemia,None,0,"The trial investigates the treatment of non-anemic iron deficiency (NAID) in pregnant individuals to prevent the progression to anemia. The study exclusively enrolls pregnant women and focuses on anemia, fitting well into the 'Anemia' category. There is no indication of pain management in the trial.",100
NCT03657433,1,1,6. Anemia,None,0,"This trial focuses on treating anemia in pregnant women using either intravenous iron infusions or oral iron supplementation. The inclusion criteria specifically target pregnant women with anemia, and the study aims to assess pregnancy outcomes related to these treatments.",100
NCT00163020,1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,None,0,"The trial investigates the use of 17-alpha-hydroxyprogesterone caproate (17OHP) to reduce neonatal morbidity by reducing the rate of preterm delivery in women with twin or triplet pregnancies. The inclusion criteria specifically target pregnant individuals with a high risk of preterm birth, and the study aims to prevent preterm labor, fitting well into the category of 'Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage.' There is no indication that the trial evaluates a pain management drug or intervention.",100
NCT01866254,1,0,15. C-section/caesarean,None,1,"The trial evaluates the use of intrathecal hydromorphone for pain relief in elective cesarean deliveries. It includes pregnant individuals scheduled for elective C-sections and focuses on pain management, making 'C-section/caesarean' the primary category and 'Pain' relevant.",100
NCT00804609,1,1,15. C-section/caesarean,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",1,"The trial involves evaluating the effects of epidural lidocaine on the pharmacokinetics and pharmacodynamics of DepoDur® (morphine sulfate extended-release injection) in patients undergoing cesarean delivery. The inclusion criteria specify healthy parturients, indicating that only pregnant individuals are enrolled. The primary focus is on cesarean delivery, fitting the category of C-section/caesarean. Additionally, it involves labor management, fitting the secondary category of labor induction/labor management. The use of morphine for pain management indicates the trial evaluates a pain management intervention.",95
NCT02509312,1,0,15. C-section/caesarean,28. Postpartum sepsis/hemorrhage/complications,1,"This trial evaluates the effect of ketorolac on estimated blood loss and postcesarean pain control, specifically targeting patients undergoing Cesarean delivery. The primary focus is on C-section procedures, with a secondary focus on postpartum hemorrhage and complications. Pain management is a key component of the study.",95
NCT01875172,1,1,20. Smoking cessation,None,0,"This study focuses on smoking cessation among pregnant individuals, comparing counseling with and without sustained-release bupropion. The inclusion criteria specifically mention pregnancy, and the study aims to address smoking cessation, fitting well into the 'Smoking cessation' category. There is no indication of pain management in the study.",100
NCT01494038,1,1,31. Tuberculosis (with or without HIV),"4. HIV (non-PMTCT, NO malaria, NO tuberculosis)",0,"This trial evaluates the safety of Isoniazid Preventive Therapy (IPT) among HIV-infected pregnant women in high tuberculosis incidence settings. The study specifically targets pregnant women, making it a pregnancy-only trial. The primary focus is on tuberculosis prevention in the context of HIV, fitting well into the category of 'Tuberculosis (with or without HIV)'. Given the strong emphasis on HIV, it also fits into the secondary category of 'HIV (non-PMTCT, NO malaria, NO tuberculosis)'.",95
NCT01904500,1,1,15. C-section/caesarean,30. Other - maternal/parental/pregnant person disease or injury,0,"This study investigates the appropriate dosing of cefazolin for pre-operative antibiotic prophylaxis in obese pregnant women undergoing cesarean delivery. The primary focus is on cesarean delivery, but it also addresses maternal obesity, which can complicate pregnancy and lead to adverse outcomes.",95
NCT03140488,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,0,"This trial investigates the use of high dose vs. low dose oxytocin for labor induction in obese women. The primary focus is on labor induction and management, which fits best under the category '16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)'. Pregnant individuals are the only participants, hence 'Preg_Only_GPT' is 1. There is no indication that the trial evaluates a pain management drug or intervention.",100
NCT01912677,1,1,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,None,0,"This trial focuses on the management of severe hypertension in pregnant women using three different oral antihypertensive regimens. The inclusion criteria specifically target pregnant women with severe hypertension, and the trial aims to compare the efficacy, safety, and side effects of the treatments. Therefore, it fits best under the category of 'Hypertension/pre-eclampsia/eclampsia/HELLP syndrome.'",100
NCT01103063,1,1,5. Malaria (with or without HIV),None,0,"This trial evaluates the efficacy of azithromycin plus chloroquine versus sulfadoxine plus pyrimethamine for intermittent preventive treatment of falciparum malaria infection in pregnant women in Africa. The inclusion criteria specifically target pregnant women, making it clear that only pregnant individuals can enroll. The primary focus is on malaria prevention, fitting well into the category of 'Malaria (with or without HIV)'. There is no indication that the trial involves pain management.",100
NCT02299414,1,1,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,None,0,"This trial evaluates antihypertensive therapy for mild chronic hypertension during pregnancy, focusing on achieving blood pressure targets recommended for non-pregnant adults. The inclusion criteria specify pregnant women with chronic hypertension, and the study aims to determine the safety and effectiveness of this treatment strategy during pregnancy.",100
NCT01005459,1,1,"16. Labor induction/Labor management/Other labor and delivery (NOT C-SECTION, NOT CAESAREAN)",None,1,"The trial compares spinal tetracaine with fentanyl and epinephrine versus bupivacaine with fentanyl and epinephrine for labor analgesia. It involves pregnant individuals in early labor, focusing on pain management during labor. The primary category is labor management, and it evaluates a pain management intervention.",100
NCT00099632,1,1,"3. HIV (Prevention of Mother-to-Child Transmission / PMTCT, NO malaria)",None,0,"This study focuses on HIV-infected pregnant women and aims to determine the most effective antiretroviral regimen to reduce nevirapine resistance, which is directly related to the prevention of mother-to-child transmission of HIV. The inclusion criteria specifically target pregnant women, and the study's primary goal is to address issues related to HIV transmission during pregnancy.",100
NCT04656067,1,1,15. C-section/caesarean,28. Postpartum sepsis/hemorrhage/complications,0,"The trial involves pregnant individuals undergoing elective cesarean section and aims to reduce blood loss intraoperatively and postoperatively. The primary focus is on cesarean sections, with a secondary focus on managing postpartum hemorrhage complications.",95
NCT03714880,1,1,34. Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage,None,0,"The trial investigates the use of mifepristone prior to cervical osmotic dilators to improve the safety of dilation and evacuation (D&E) procedures, which are relevant to second-trimester abortions. The inclusion criteria specify pregnant individuals in their second trimester, making it clear that the trial is focused on pregnant individuals. The primary category is 'Abortion/Fetal Demise/Dilation and Evacuation/Dilation and Curettage' due to the focus on D&E procedures.",100
NCT03727971,1,0,19. Asthma,30. Other - maternal/parental/pregnant person disease or injury,0,"This trial investigates the use of omalizumab to increase pregnancy rates in women with asthma and infertility. The primary focus is on asthma management and its impact on fertility, making 'Asthma' the best-fitting category. The trial also addresses maternal health outcomes, justifying 'Other - maternal/parental/pregnant person disease or injury' as a secondary category. Pregnant individuals can enroll, but the trial is not exclusive to them.",95
NCT02326142,1,1,1. Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage,None,0,"The trial assesses the efficacy of OBE001 in delaying preterm birth in pregnant women with threatened preterm labor. The inclusion criteria specify pregnant women with symptoms of preterm labor, and the primary objective is to delay preterm birth, fitting well into the category of 'Prevention of pre-term labor/premature birth/preterm delivery/PROM/pPROM/Cervical insufficiency/Cervical cerclage'.",100
NCT01717586,1,1,2. Hypertension/pre-eclampsia/eclampsia/HELLP syndrome,None,0,"This study focuses on the prevention of preeclampsia in pregnant women, which falls under the category of hypertension/pre-eclampsia/eclampsia/HELLP syndrome. The trial exclusively enrolls pregnant women, as indicated by the inclusion criteria specifying a history of severe early onset preeclampsia in a prior pregnancy. There is no mention of pain management in the study.",100
NCT05757167,1,1,5. Malaria (with or without HIV),8. Fetal growth/IUGR/Fetal Growth Retardation,0,"The trial focuses on improving neonatal health through rapid malaria testing in early pregnancy, specifically targeting pregnant women and evaluating outcomes such as low birth weight, small for gestational age, preterm birth, fetal loss, or neonatal death. The primary category is malaria, and a secondary category is fetal growth due to the focus on birth weight and gestational age.",95
