NCT_ID,AnyPregGPT,Preg_Only_GPT,Nonviable_GPT,Postpartum_GPT,Child_GPT,Summary,Summary_quote,Nonviable_quote,AnyPregGPT_updated,Postpartum_quote
NCT03767582,Excluded,0,0,Neither,0,Pregnant and breastfeeding women are explicitly excluded from the trial.,Woman who are pregnant or breastfeeding.,0,Excluded,0
NCT03788434,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. It focuses on participants with primary or recurrent C. difficile infection.",Unspecified,0,Unspecified,0
NCT02510534,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria.,Exclusion Criteria: Pregnancy within 3 months,0,Excluded,0
NCT05083468,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as the inclusion criteria require women of childbearing potential to have a negative pregnancy test and use contraception.,"If of childbearing potential, must have a negative pregnancy test at the screening visit (blood test) and before the first study drug administration (Day -1 urine test). They must agree not to attempt to become pregnant, must not be breastfeeding, must not donate ova from signing the consent form until at least 30 days after the last does of study drug, and must agree to: i. Use 2 forms of highly effective contraceptive method at least 2 weeks prior to screening, between signing consent, during the study, and at least 30 days after the last dose of study therapy, OR ii. Use at least one highly effective contraceptive method, plus an additional barrier-method of contraception at least 2 weeks prior to screening, between signing the consent, during the study, and at least 30 days after the last dose of study drug.",0,Excluded,0
NCT01251120,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. It focuses on adult patients with moderate-to-severe active rheumatoid arthritis.",Unspecified,0,Unspecified,0
NCT02168205,Excluded,0,0,Neither,0,The study explicitly excludes pregnant individuals by requiring participants to be male or postmenopausal women and by implementing a pregnancy prevention risk management plan.,Must be male or postmenopausal* women of any race between ≥61 to ≤85 years of age (inclusive) at the time of signing the Informed Consent... Must agree to comply with the conditions described in the counseling document (part of the pomalidomide Pregnancy Prevention Risk Management Plan).,0,Excluded,0
NCT05129137,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as the inclusion criteria specify 'non-pregnant female human subjects'.,"Inclusion Criteria: Male and non-pregnant female human subjects, age 18 - 45 years.",0,Excluded,0
NCT05828953,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as female participants of childbearing potential must use contraception and have a negative pregnancy test before study entry.,"Female participants of childbearing potential must agree to use contraception (such as intrauterine device, contraceptive pill, or condom) during the study and for 6 months after the end of the study; must have a negative serum pregnancy test within 7 days before study entry and must not be lactating.",0,Excluded,0
NCT02706834,Excluded,0,0,Neither,0,The study explicitly excludes pregnant individuals by requiring participants to be of non-childbearing potential.,Is a healthy male and female (non-child bearing potential) participants.,0,Excluded,0
NCT02204163,Excluded,0,0,Neither,0,"The trial explicitly enrolls only pediatric patients with Prader-Willi Syndrome, excluding pregnant individuals.",Pediatric patients with PWS confirmed by methylation PCR genetic testing,0,Excluded,0
NCT01587079,Excluded,0,0,Neither,0,Pregnant and lactating women are explicitly excluded from the trial. The study requires a negative pregnancy test and acceptable contraceptive methods for females of childbearing potential.,Women who are pregnant or lactating,0,Excluded,0
NCT01555931,Included,1,0,Postpartum intervention,0,The trial explicitly includes pregnant women who are at least 24 weeks gestational age and plans to use the LNG-IUS postpartum. The intervention is evaluated based on its deployment after birth.,Pregnant and equal to or more than 24 weeks of estimated gestational age~States a plan to use the LNG-IUS postpartum,0,Included,The investigators will compare the frequency of breastfeeding among women receiving the levonorgestrel-releasing intrauterine system (LNG-IUS) immediately after vaginal delivery compared to 4-8 weeks later.
NCT01535053,Excluded,0,1,Neither,0,"The trial explicitly excludes pregnant individuals as participants must practice effective contraception and cannot breast-feed during treatment. The study focuses on gestational trophoblastic neoplasia, which involves nonviable pregnancies.",Patients must be willing to practice effective contraception for the duration of the study,Patients must have undergone evacuation of a complete or partial hydatidiform mole and then meet the criteria for GTN defined as: A < 10% decrease in the hCG level using as a reference the first value in the series of 4 values taken over a period of 3 weeks (> 50 mIU/ml minimum) OR A > 20% sustained rise in the hCG taking as a reference the first value in the series of 3 values taken over a period of 2 weeks (> 50 mIU/ml minimum) OR A persistently elevated hCG level a period of 6 months or more following the initial curettage (> 50 mIU/ml minimum),Excluded,0
NCT02623998,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as it requires a negative pregnancy test and agreement to use reliable birth control for females with childbearing potential.,a negative pregnancy test and an agreement to use a reliable method of birth control for the duration of the trial in all females with childbearing potential,0,Excluded,0
NCT00332163,Unspecified,0,0,Neither,0,"The trial does not specify inclusion or exclusion based on pregnancy status. There is no mention of pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria.",Unspecified,0,Unspecified,0
NCT02376972,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as participants must have a negative urine pregnancy test and agree to use an adequate method of birth control to avoid pregnancy.,Non-pregnant (negative urine pregnancy test at Entry Visit/V1) nor breast-feeding patient,0,Excluded,0
NCT01863186,Excluded,0,0,Neither,0,Pregnant and lactating individuals are explicitly excluded from the trial. Females of childbearing potential must agree to using birth control methods and must have had documented proof.,Female subject who is pregnant or lactating.,0,Excluded,0
NCT04720456,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial.,Subjects who are pregnant.,0,Excluded,0
NCT04695080,Excluded,0,0,Neither,0,"Pregnant individuals are explicitly excluded from the trial. The exclusion criteria mention pregnancy, planning to father a child, breastfeeding, and the requirement for effective contraception.",Pregnancy including planning to father a child or breastfeeding~Unwillingness to use effective contraception throughout the trial period until at least six months after the last administration of IMP.,0,Excluded,0
NCT06005597,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. Therefore, the status of pregnant individuals in the trial is unspecified.",Unspecified,0,Unspecified,0
NCT05979415,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as the inclusion criteria require female subjects to not be pregnant or breastfeeding and to use effective contraception or commit to abstinence.,"Female subjects, who are not pregnant or breastfeeding, and one of the following conditions applies: ... Have a negative urine pregnancy test at Screening and Day -1, as verified by the study doctor prior to starting study therapy.",0,Excluded,0
NCT00926575,Excluded,0,0,Neither,0,Pregnant and lactating individuals are explicitly excluded from the trial.,Exclusion Criteria:~Pregnancy/lactation,0,Excluded,0
NCT04983901,Excluded,0,0,Neither,0,"Pregnant individuals are explicitly excluded from the trial as participants must agree not to attempt to become pregnant during the study, and if of childbearing potential, must have a negative pregnancy test and use effective contraception.","If of childbearing potential (including being < 2 years postmenopausal), is willing to practice sexual abstinence or use an effective dual form of contraception with her partner (eg, 2 barrier methods, barrier method plus hormonal method) during treatment and up 28 days post treatment",0,Excluded,0
NCT01119963,Included,1,0,Neither,0,The trial explicitly includes pregnant women with preterm rupture of the membranes (PROM) and aims to prolong pregnancy and decrease neonatal morbidity.,"The objective of the study is to determine if a weekly dose of 17 hydroxyprogesterone caproate (17P, Makena®) given to women with preterm rupture of the membranes will:~increase the probability of continuing the pregnancy until a favorable gestational age.~increase the interval between randomization and delivery.~decrease neonatal morbidity.",0,Included,0
NCT01707251,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. It focuses on patients scheduled for laparoscopic bariatric surgery.",Unspecified,0,Unspecified,0
NCT01944800,Excluded,0,0,Neither,0,Pregnant and lactating individuals are explicitly excluded from the trial. The exclusion criteria include a requirement for a negative pregnancy test and agreement to use reliable birth control methods.,"for women of childbearing potential no negative pregnancy test and no agree to use reliable method of birth control during the study~Pregnancy, giving birth within the last 90 days, or lactation",0,Excluded,0
NCT04290208,Included,1,0,Postpartum intervention,0,"The study includes pregnant individuals as it involves patients scheduled for cesarean section. The intervention is evaluated for use postoperatively, which is after delivery.",Scheduled to undergo a cesarean section,0,Included,This randomized controlled study will compare narcotic consumption between two groups: patients that receive a perioperative dose of IV acetaminophen versus patients that receive a perioperative dose of oral liquid acetaminophen for scheduled cesarean section.
NCT01524133,Excluded,0,0,Neither,0,Pregnant females are explicitly excluded from the trial.,Exclusion Criteria: Pregnant females,0,Excluded,0
NCT02848417,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. It focuses on veterans with Gulf War Illness aged 35 to 70 years.",Unspecified,0,Unspecified,0
NCT04306146,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. It focuses on subjects with schizophrenia and healthy volunteers.",Unspecified,0,Unspecified,0
NCT01225835,Excluded,0,0,Neither,0,"The study explicitly excludes pregnant individuals as it focuses on subfertile premenopausal female patients undergoing IVF treatment. The inclusion criteria require participants to be eligible for IVF treatment, which implies they are not currently pregnant.",Subfertile premenopausal female patients eligible for in vitro fertilisation (IVF) treatment,0,Excluded,0
NCT01321359,Included,0,0,Neither,0,Pregnant individuals are explicitly mentioned as potentially being included in the study at the investigator's discretion.,"Women who are pregnant, lactating or may become pregnant may (at the investigator's discretion) be included in the study.",0,Included,0
NCT01735370,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as it requires a negative Beta-hCG pregnancy test and the use of contraceptives for females of childbearing potential.,Subjects having negative Beta-hCG Pregnancy test (only for female subjects).,0,Excluded,0
NCT01233050,Excluded,0,0,Neither,0,"Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria. Additionally, women of child-bearing age must have a negative pregnancy test prior to surgery.","Exclusion Criteria: Pregnant. If of child-bearing age, patients must have a negative (serum or urine) pregnancy prior to surgery.",0,Excluded,0
NCT01739218,Excluded,0,0,Neither,0,Pregnant or lactating females are explicitly excluded from the trial.,Pregnant or lactating females,0,Excluded,0
NCT00840411,Excluded,0,0,Neither,0,"The study explicitly excludes pregnant and lactating females, as well as requires a negative pregnancy test for female participants.",Females who are pregnant or lactating.,0,Excluded,0
NCT02564146,Excluded,0,0,Neither,0,Pregnant females and females of childbearing potential unable to perform adequate contraceptive measures or practice complete abstinence from heterosexual intercourse are explicitly excluded from the trial.,"Pregnant females, breast feeding females or females of childbearing potential unable to perform adequate contraceptive measures or practice complete abstinence from heterosexual intercourse",0,Excluded,0
NCT01280669,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. It focuses on the safety and effectiveness of sirolimus for uveitis in patients aged 12 and older.",Unspecified,0,Unspecified,0
NCT01180296,Included,1,0,Neither,0,The trial explicitly includes pregnant women less than 20 weeks' gestation who had at least one prior spontaneous preterm birth. It does not study nonviable pregnancies or postpartum interventions.,Inclusion Criteria: pregnant women less than 20 weeks' gestation who had at least one prior spontaneous preterm birth of a liveborn baby between 20 & 0/7 weeks' and 36 & 6/7 weeks' gestation.,0,Included,0
NCT05996133,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. It focuses on postoperative pain control in patients undergoing posterior cervical spine fusion surgery.",Unspecified,0,Unspecified,0
NCT01690520,Excluded,0,0,Neither,0,Pregnant or breastfeeding individuals are explicitly excluded from the trial.,Pregnant or breastfeeding,0,Excluded,0
NCT01686932,Unspecified,0,0,Neither,0,The study does not mention pregnant individuals in the inclusion or exclusion criteria. It focuses on type-2 diabetic patients with pre-existing cardiovascular disease.,Unspecified,0,Unspecified,0
NCT05165485,Excluded,0,0,Neither,0,"The study explicitly excludes pregnant and lactating women, and requires women of childbearing potential to have a negative pregnancy test and use highly effective birth control measures.",Participant is female and is nonpregnant and nonlactating. A woman of childbearing potential must have a documented negative urine pregnancy test at screening.,0,Excluded,0
NCT01573442,Excluded,0,0,Neither,0,"The trial explicitly includes only postmenopausal women, excluding pregnant individuals.","Women who are postmenopausal by surgery, radiotherapy or presence of natural amenorrhea ≥ 12 months",0,Excluded,0
NCT00491829,Excluded,0,0,Neither,0,"The trial explicitly includes premenopausal women and does not mention pregnancy, lactation, or contraceptives in the inclusion or exclusion criteria. However, it does not explicitly exclude pregnant individuals.",Unspecified,0,Unspecified,0
NCT04165317,Unspecified,0,0,Neither,0,The study does not mention pregnant individuals in the inclusion or exclusion criteria. It focuses on participants with non-muscle invasive bladder cancer.,Unspecified,0,Unspecified,0
NCT02732314,Excluded,0,0,Neither,0,Pregnant and lactating individuals are explicitly excluded from the trial.,Is currently pregnant or lactating or planning to become pregnant in the next 6 months.,0,Excluded,0
NCT00583011,Included,1,0,Neither,0,The study explicitly includes pregnant women between 15-24 weeks gestation to evaluate the effect of local anesthesia on pain perception during amniocentesis.,Gestational ages 15 - 24 weeks,0,Included,0
NCT01547390,Included,1,0,Neither,0,The trial explicitly includes pregnant women identified as high risk for preeclampsia and aims to test the efficacy of low dose aspirin initiated early in pregnancy.,The investigators hypothesize that the risk of preeclampsia in women identified by a first trimester multiparameter predictive model to be at high risk will be significantly reduced by initiating low dose aspirin early in pregnancy.,0,Included,0
NCT01754961,Excluded,0,0,Neither,0,Pregnant and breastfeeding women are explicitly excluded from the trial.,Women who are pregnant or breastfeeding.,0,Excluded,0
NCT03250507,Excluded,0,0,Neither,0,"The study explicitly excludes pregnant individuals as it involves open abdominal hysterectomies, which are surgical procedures to remove the uterus, making pregnancy impossible.",The goal of this study is to evaluate the effectiveness of different formulations of bupivacaine infiltrated into the transversus abdominis plane (TAP) on post-operative pain management after open abdominal hysterectomy.,0,Excluded,0
NCT01433263,Excluded,0,0,Neither,0,"Pregnant or lactating women are explicitly excluded from the trial. Additionally, women capable of becoming pregnant must use highly effective contraception and have negative pregnancy test results throughout the study.",Pregnant or lactating women. Women capable of becoming pregnant must use highly effective contraception during the study and for 8 weeks after stopping treatment. All female patients must have negative pregnancy test results throughout the study.,0,Excluded,0
NCT01760330,Excluded,0,0,Neither,1,"The study is focused on children undergoing palatoplasty, explicitly excluding pregnant individuals by targeting a pediatric population.",This project is being used to assess the utility of intravenous acetaminophen in the pediatric population undergoing palate repairs.,0,Excluded,0
NCT00622687,Excluded,0,0,Neither,0,Pregnant individuals were explicitly excluded from the trial as a negative pregnancy test was required for fertile women.,"For fertile women, a negative pregnancy test was required.",0,Excluded,0
NCT01194245,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. It focuses on adults with Type 1 Diabetes Mellitus.",Unspecified,0,Unspecified,0
NCT00640627,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. It focuses on the efficacy and tolerability of celecoxib in patients with knee osteoarthritis.",Unspecified,0,Unspecified,0
NCT02742441,Excluded,0,0,Neither,0,"Pregnant and lactating individuals are explicitly excluded from the trial. The inclusion criteria specify that females must be post-menopausal, surgically sterile, or use an effective method of birth control with a negative urine pregnancy test at the Baseline Visit.","Subject is pregnant, lactating, or is planning to become pregnant during the study.",0,Excluded,0
NCT01773798,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria.,"Female of childbearing potential who is pregnant, breast-feeding or intend to become pregnant or is not using adequate contraceptive methods (adequate contraceptive measures include sterilisation, hormonal intrauterine devices, oral contraceptives, condom with spermizide, sexual abstinence or vasectomised partner)",0,Excluded,0
NCT01775605,Included,1,0,Neither,0,"The study explicitly includes pregnant individuals undergoing elective cesarean section, which means it is designed for pregnant people.",Undergoing pre-scheduled cesarean section,0,Included,0
NCT00314340,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as participants must take a mandatory commercial pregnancy test before any study medication is consumed.,Patient is pregnant (as ascertained by a self-report and a mandatory commercial pregnancy test before any study medication is consumed),0,Excluded,0
NCT01780259,Excluded,0,0,Neither,0,Pregnant individuals are excluded as participants must agree to a protocol-defined method of contraception.,Agree to protocol-defined method of contraception,0,Excluded,0
NCT06119529,Excluded,0,0,Neither,0,Pregnant and lactating women are explicitly excluded from the trial.,Exclusion Criteria: Women who are pregnant and/or lactating,0,Excluded,0
NCT06097728,Unspecified,0,0,Neither,0,"The trial does not specify inclusion or exclusion based on pregnancy status. There is no mention of pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria.",Unspecified,0,Unspecified,0
NCT03911466,Included,1,0,Neither,0,The trial explicitly includes pregnant individuals as it is designed to evaluate medication treatment for opioid use disorder in expectant mothers.,Medication Treatment for Opioid Use Disorder in Expectant Mothers,0,Included,0
NCT00295022,Unspecified,0,0,Neither,0,"The trial does not specify inclusion or exclusion based on pregnancy status. There is no mention of pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria.",Unspecified,0,Unspecified,0
NCT01589380,Excluded,0,0,Neither,0,Pregnant and breastfeeding women are explicitly excluded from the trial.,Female of child-bearing potential who do not use adequate contraception and women who are pregnant or breast-feeding.,0,Excluded,0
NCT01795248,Excluded,0,0,Neither,0,"The trial explicitly excludes pregnant and breastfeeding women, as well as those planning to become pregnant within the next 5 years. It also requires safe contraception and a negative pregnancy test.",Exclusion Criteria for women with previous GDM: Pregnant or breast feeding women. Women planning to become pregnant within the next 5 years. Safe contraception and negative pregnancy test.,0,Excluded,0
NCT01170221,Unspecified,0,0,Neither,0,"The trial does not specify inclusion or exclusion based on pregnancy status. There is no mention of pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria.",Unspecified,0,Unspecified,0
NCT02312115,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. Therefore, the status of pregnant individuals in the trial is unspecified.",Unspecified,0,Unspecified,0
NCT01803867,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as women of childbearing potential must have a negative serum pregnancy test and must agree to practice adequate contraception or remain abstinent.,Women of childbearing potential must have a negative serum pregnancy test at the Screening Visit and Women of childbearing potential and engaged in heterosexual relations must agree to practice adequate contraception for at least 60 days after study dosing.,0,Excluded,0
NCT01803945,Excluded,0,0,Neither,0,"The trial explicitly excludes pregnant and breastfeeding women, as well as those with a positive serum pregnancy test.",Female patients that are breastfeeding or female patients with a positive serum pregnancy test.,0,Excluded,0
NCT01810354,Included,1,0,Neither,0,The study explicitly includes pregnant women who are greater than 37 weeks gestation with a singleton pregnancy and require a cesarean section. The study does not focus on nonviable pregnancies or postpartum interventions.,Subjects will be selected if they are greater than 37 weeks gestation with a singleton pregnancy and require a cesarean section for any obstetrical indication.,0,Included,0
NCT02989571,Included,1,0,Neither,0,"The study explicitly includes pregnant individuals undergoing induction of labor, as indicated by the inclusion criteria.",Inclusion Criteria: Pregnant,0,Included,0
NCT01818544,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. It focuses on patients with non-CF bronchiectasis.",Unspecified,0,Unspecified,0
NCT05418712,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. It focuses on the effects of VX-150 on C-nociceptor action potentials in healthy subjects.",Unspecified,0,Unspecified,0
NCT03034967,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as the inclusion criteria specify that female participants must not be pregnant or breastfeeding and must follow contraceptive guidance.,"A female participant is eligible to participate if she is not pregnant, not breastfeeding, and at least one of the following conditions applies: Not a woman of childbearing potential (WOCBP) OR A WOCBP who agrees to follow the contraceptive guidance during the treatment period and for at least 60 hours after the last dose of study treatment.",0,Excluded,0
NCT00656227,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria.,Subjects who are pregnant or who become pregnant up to and including Day 0. Subjects must use suitable forms of contraception during at least the first two months of the trial.,0,Excluded,0
NCT01828359,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. It focuses on evaluating blood pressure lowering effects in patients with essential hypertension.",Unspecified,0,Unspecified,0
NCT00665665,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as females of childbearing potential must have a negative pregnancy test and must use double barrier contraception.,"Females who consent to using double barrier method of contraception, are post-menopausal and older than 50 years, or have had total hysterectomy",0,Excluded,0
NCT05423249,Included,1,0,Neither,0,The study explicitly includes pregnant individuals as it investigates the treatment of non-anemic iron deficiency in pregnancy. The inclusion criteria specify that participants must be less than 20 weeks gestational age.,less than 20 weeks gestational age,0,Included,0
NCT00208767,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as premenopausal females with potential for pregnancy are not eligible.,Premenopausal females with potential for pregnancy,0,Excluded,0
NCT03657433,Included,1,0,Neither,0,"The trial explicitly includes pregnant women with anemia, as indicated by the inclusion criteria specifying gestational age and pregnancy status.",This randomized controlled trial includes pregnant women with anemia.,0,Included,0
NCT05660356,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. It focuses on growth hormone therapy for patients with persistent post-concussion symptoms.",Unspecified,0,Unspecified,0
NCT00443729,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial as stated in the exclusion criteria.,"Patient is or plans to become pregnant, or is nursing a child",0,Excluded,0
NCT01098448,Excluded,0,0,Neither,0,Pregnant or nursing individuals are explicitly excluded from the trial.,Exclusion Criteria:~pregnant or nursing (if female),0,Excluded,0
NCT03960970,Included,1,0,Neither,0,"The trial explicitly includes pregnant women undergoing scheduled cesarean delivery, with specific inclusion criteria for pregnant patients.",Inclusion Criteria: Pregnant women 18 years or older,0,Included,0
NCT02269917,Excluded,0,0,Neither,0,Pregnant individuals are excluded from the trial as participants must take contraceptives to participate.,Participants must take contraceptives to participate.,0,Excluded,0
NCT02814058,Excluded,0,0,Neither,0,Pregnant and breastfeeding women are explicitly excluded from the trial. Women must use effective contraceptive methods and have a negative BHCG urine test.,women cannot be pregnant or in breastfeeding period and should be committed to use an effective contraceptive method during the study,0,Excluded,0
NCT01658020,Excluded,0,0,Neither,0,"Pregnant individuals are explicitly excluded from the trial as female subjects who might be pregnant must do a pregnancy test and results should be negative before randomization. Additionally, subjects who have used single hormone contraception for pregnancy control or have not been more than 1 year after tubal ligation and menopause are excluded.",Female subjects who might be pregnant must do pregnancy test and results should be negative before randomization is done. She must receive written informed consent form (NOTE: Subject who has used single hormone contraception for pregnancy control or has not been more than 1 year after Tubule ligation and menopause are excluded from the study),0,Excluded,0
NCT01152437,Unspecified,0,0,Neither,0,"The trial does not specify inclusion or exclusion based on pregnancy status. There is no mention of pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria.",Unspecified,0,Unspecified,0
NCT03283371,Unspecified,0,0,Neither,0,"The trial does not specify inclusion or exclusion based on pregnancy status. There is no mention of pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria.",Unspecified,0,Unspecified,0
NCT03082573,Excluded,0,0,Neither,0,Pregnant individuals are explicitly excluded from the trial.,Exclusion Criteria: Pregnancy,0,Excluded,0
NCT03845023,Excluded,0,0,Neither,0,Pregnant and nursing women are explicitly excluded from the trial.,Women who are pregnant or nursing.,0,Excluded,0
NCT03467932,Excluded,0,0,Neither,0,The study explicitly excludes pregnant and breastfeeding individuals as stated in the exclusion criteria.,Subject is pregnant or breastfeeding.,0,Excluded,0
NCT02984683,Excluded,0,0,Neither,0,Pregnant or breast-feeding women are explicitly excluded from the trial. Participants with reproductive potential must agree to use accepted and effective method of contraception during the study treatment period and for 6 months following discontinuation of study drug.,Pregnant or breast-feeding women. Participants with reproductive potential who do not agree to use accepted and effective method of contraception during the study treatment period and for 6 months following discontinuation of study drug.,0,Excluded,0
NCT01145326,Excluded,0,0,Neither,0,Pregnant individuals are excluded from the trial as it explicitly mentions that women who are currently breastfeeding are excluded.,women who are currently breastfeeding,0,Excluded,0
NCT01875172,Included,1,0,Neither,0,The study explicitly includes pregnant smokers as participants and aims to determine the effectiveness of bupropion SR in increasing smoking cessation among them. Non-viable fetuses are excluded.,The purpose of this study is to determine whether bupropion SR increases cessation and/or smoking reduction among pregnant smokers.,All patients found to have a non-viable fetus or major congenital anomaly,Included,0
NCT01721655,Excluded,0,0,Neither,1,"The study focuses on preterm infants with chronic lung disease and does not include pregnant individuals. The inclusion criteria specify gestational age < 32 weeks at the time of delivery, indicating the study is for neonates.",Inclusion Criteria: Gestational age < 32 weeks at time of delivery,0,Excluded,0
NCT01156246,Unspecified,0,0,Neither,0,"The study does not mention pregnancy, lactating, contraceptives, or childbearing in the inclusion or exclusion criteria. It only specifies healthy volunteers aged 18-55 years.",Unspecified,0,Unspecified,0
